OLIGOTYPE	PHYLUM	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	HMTs	HOMD_SPECIES	STRAIN_CLONE	HOMD_REFSEQ_ID	GB_NCBI_ID	HOMD_STATUS
V1V3_011_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-681	Rothia mucilaginosa	Strain: DY-18	681_4690	NR_074690	Named	
V1V3_012_Gammaproteobacteria	Gammaproteobacteria	1	100.0	100.0	HMT-718,HMT-718	Haemophilus parainfluenzae,Haemophilus parainfluenzae	Clone: ncd81b03c1,Strain: CIP 102513	718N000A,718_3530	HM255881,EU083530	Named,Named	
V1V3_013_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_014_Fusobacteria	Fusobacteria	2	100.0	100.0	HMT-370,HMT-201,HMT-201	Fusobacterium sp. HMT 370,Fusobacterium periodonticum,Fusobacterium periodonticum	Strain: E9_12,Strain: ATCC 33693,Clone: BS011	370_1217,201_5405,201BS011	AF481217,X55405,AF432130	Unnamed,Named,Named	
V1V3_015_Firmicutes	Firmicutes	1	100.0	100.0	HMT-534,HMT-534	Granulicatella adiacens,Granulicatella adiacens	Strain: TKT1,Strain: ATCC 49175	534_2027,534_0540	AB022027,D50540	Named,Named	
V1V3_016_Firmicutes	Firmicutes	1	100.0	100.0	HMT-758	Streptococcus sanguinis	Strain: ATCC 10556	758_3928	AF003928	Named	
V1V3_017_Firmicutes	Firmicutes	1	100.0	100.0	HMT-411,HMT-411,HMT-411	Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411,Streptococcus parasanguinis clade 411	Clone: SJTU_F_10_28,Clone: C2MKM006,Clone: C4MKM110	411_9017,411_8629,411_8634	EF399017,AY278629,AY278634	Named,Named,Named	
V1V3_018_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-022	Lautropia mirabilis	Strain: Fredericksen	022_3223	X73223	Named	
V1V3_019_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-610	Neisseria flavescens	Clone: P1D1-762	610_1998	EF511998	Named	
V1V3_020_Betaproteobacteria	Betaproteobacteria	4	100.0	100.0	HMT-609,HMT-764,HMT-099,HMT-682	Neisseria flava,Neisseria sicca,Neisseria macacae,Neisseria mucosa	Strain: U40,Strain: Q13,Strain: M-740,Strain: LNP405	609_9301,764_9292,099N064A,682_9282	AJ239301,AJ239292,NR_117701,AJ239282	Named,Named,Named,Named	
V1V3_021_Firmicutes	Firmicutes	2	100.0	100.0	HMT-161,HMT-160	Veillonella parvula,Veillonella dispar	Clone: _X002,Clone: _X031	161_X002,160_X031	GU350451,GQ422726	Named,Named	
V1V3_022_Actinobacteria	Actinobacteria	2	100.0	100.0	HMT-175,HMT-169,HMT-169,HMT-169	Actinomyces sp. HMT 175,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169,Actinomyces sp. HMT 169	Clone: ncd1455a04c1,Clone: AG004,Strain: F0496a,Strain: F0496b	175_5563,169AG004,169F496a,169F496b	JF125563,AF287747,tbd,tbd	Unnamed,Unnamed,Unnamed,Unnamed	
V1V3_023_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-279	Porphyromonas pasteri	Strain: F0450d	279F450d	tbd	Named	
V1V3_024_Firmicutes	Firmicutes	1	100.0	100.0	HMT-158,HMT-158	Veillonella rogosae,Veillonella rogosae	Strain: F0412,Clone: BI029	158F0412,158BI029	tbd,GQ422725	Named,Named	
V1V3_025_Firmicutes	Firmicutes	1	100.0	100.0	HMT-524	Veillonella atypica	Strain: DSM 20739	524Vatyp	X84007	Named	
V1V3_026_Firmicutes	Firmicutes	3	100.0	100.0	HMT-108,HMT-108,HMT-934,HMT-934,HMT-457	Oribacterium asaccharolyticum,Oribacterium asaccharolyticum,Oribacterium parvum,Oribacterium parvum,Oribacterium sinus	Strain: ACB7,Strain: F0425,Strain: FTB41,Strain: ACB1,Strain: F0268	108_5571,108F0425,934FTB41,934_5570,457F0268	NR_125571,tbd,AF287770,NR_125570,FJ577261	Named,Named,Named,Named,Named	
V1V3_027_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-279	Porphyromonas pasteri	Clone: CW034	279CW034	AY008310	Named	
V1V3_028_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-775	Capnocytophaga sputigena	Strain: ATCC 33612	775_7609	X67609	Named	
V1V3_029_Firmicutes	Firmicutes	1	100.0	100.0	HMT-596,HMT-596	Granulicatella elegans,Granulicatella elegans	Strain: 2640-91,Clone: ncd32a06c1	596_5408,596_2532	Y15408,HM252532	Named,Named	
V1V3_030_Firmicutes	Firmicutes	2	100.0	100.0	HMT-721,HMT-066	Streptococcus parasanguinis clade 721,Streptococcus sp. HMT 066	Strain: ATCC 15912,Clone: FN051	721_3933,066FN051	AF003933,AF432135	Named,Unnamed	
V1V3_031_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-279,HMT-279	Porphyromonas pasteri,Porphyromonas pasteri	Strain: F0450c,Strain: F0450b	279F450c,279F450b	tbd,tbd	Named,Named	
V1V3_032_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-322	Bergeyella sp. HMT 322	Clone: AK152	322AK152	AY008691	Phylotype	
V1V3_033_Firmicutes	Firmicutes	1	100.0	100.0	HMT-524	Veillonella atypica	Clone: MB5_P17	524_3631	DQ003631	Named	
V1V3_034_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-681	Rothia mucilaginosa	Strain: DY-18	681_4690	NR_074690	Named	
V1V3_035_Bacteroidetes	Bacteroidetes	3	99.535	99.535	HMT-572,HMT-572,HMT-572,HMT-298,HMT-313	Prevotella veroralis,Prevotella veroralis,Prevotella veroralis,Prevotella histicola,Prevotella sp. HMT 313	Strain: JCM 6290,Clone: 071062_262,Strain: ATCC 33779,Clone: BE073,Clone: 069104_177	572_3124,572_4079,572_6473,298BE073,313_9254	NR_113124,JQ474079,L16473,AF385551,JQ449254	Named,Named,Named,Named,Unnamed	
V1V3_036_Actinobacteria	Actinobacteria	2	100.0	100.0	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_037_Firmicutes	Firmicutes	1	99.219	99.219	HMT-158,HMT-158	Veillonella rogosae,Veillonella rogosae	Strain: F0412,Clone: BI029	158F0412,158BI029	tbd,GQ422725	Named,Named	
V1V3_038_Firmicutes	Firmicutes	1	100.0	100.0	HMT-757	Gemella sanguinis	Strain: C24KA	757C24KA	AY005051	Named	
V1V3_039_Bacteroidetes	Bacteroidetes	2	99.07	99.07	HMT-337,HMT-325,HMT-325	Capnocytophaga gingivalis,Capnocytophaga granulosa,Capnocytophaga granulosa	Strain: ATCC 33624,Clone: AH015,Strain: LMG 16022	337_7608,325AH015,325_1347	X67608,AY005074,U41347	Named,Named,Named	
V1V3_040_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-200,HMT-200	Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii	Clone: AJ050,Clone: 071075_343	200AJ050,200_7962	AF287805,JQ477962	Named,Named	
V1V3_041_TM7	TM7	1	100.0	100.0	HMT-351	Saccharibacteria (TM7) [G-3] bacterium HMT 351	Clone: CW040	351CW040	AF385506	Phylotype	
V1V3_042_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-714	Prevotella pallens	Strain: JCM 11140	714_3121	NR_113121	Named	
V1V3_043_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-723	Atopobium parvulum	Strain: ATCC22793	723_2372	AF292372	Named	
V1V3_044_Fusobacteria	Fusobacteria	2	100.0	100.0	HMT-200,HMT-202	Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. polymorphum	Strain: ATCC 49256,Strain: ATCC 10953	200_0026,202_7812	NZ_AABF02000026,AF287812	Named,Named	
V1V3_045_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-221	Leptotrichia sp. HMT 221	Clone: FP036	221FP036	AF432138	Unnamed	
V1V3_046_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-307	Prevotella salivae	Strain: DSM 15606	307_8826	AB108826	Named	
V1V3_047_Actinobacteria	Actinobacteria	2	99.115	99.115	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_048_Actinobacteria	Actinobacteria	2	99.119	99.558	HMT-180,HMT-172	Schaalia sp. HMT 180,Schaalia sp. HMT 172	Strain: Hal-1083,Clone: CT047	180H1083,172CT047	AF385522,AF385504	Unnamed,Unnamed	
V1V3_049_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-598	Neisseria elongata	Strain: ATCC 25295	598_6171	L06171	Named	
V1V3_050_Firmicutes	Firmicutes	2	100.0	100.0	HMT-136,HMT-149	Selenomonas sp. HMT 136,Selenomonas sp. HMT 149	Clone: ncd2234b08c1,Clone: FT050	136_3497,149FT050	JF193497,AY349403	Unnamed,Unnamed	
V1V3_051_Betaproteobacteria	Betaproteobacteria	1	99.216	99.216	HMT-101	Neisseria perflava	Strain: Branham 7078	101N065A	NR_117694	Named	
V1V3_052_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-476	Neisseria subflava	Strain: U37	476_9291	AJ239291	Named	
V1V3_053_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-666	Corynebacterium matruchotii	Strain: CIP 81.82	666_2065	X82065	Named	
V1V3_054_Fusobacteria	Fusobacteria	2	99.605	99.605	HMT-222,HMT-417	Leptotrichia wadei,Leptotrichia sp. HMT 417	Strain: A39FD,Clone: C3MKM102	222_7816,417_8621	AF287816,AY278621	Named,Unnamed	
V1V3_055_Firmicutes	Firmicutes	1	100.0	100.0	HMT-075	Ruminococcaceae [G-1] bacterium HMT 075	Clone: _F058	075_F058	AF287779	Phylotype	
V1V3_056_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-693	Prevotella nigrescens	Strain: F0103	693F0103	GU470890	Named	
V1V3_057_Firmicutes	Firmicutes	1	100.0	100.0	HMT-780,HMT-780	Veillonella sp. HMT 780,Veillonella sp. HMT 780	Strain: F0009,Clone: HB016	780F0009,780_7189	GQ422743,DQ087189	Unnamed,Unnamed	
V1V3_058_Firmicutes	Firmicutes	1	100.0	100.0	HMT-622	Streptococcus gordonii	Strain: ATCC 10558	622_3931	AF003931	Named	
V1V3_059_Epsilonproteobacteria	Epsilonproteobacteria	1	100.0	100.0	HMT-575	Campylobacter concisus	Strain: FDC 288	575_6977	L06977	Named	
V1V3_060_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-298	Prevotella histicola	Clone: BE073	298BE073	AF385551	Named	
V1V3_061_Firmicutes	Firmicutes	2	99.609	99.609	HMT-755,HMT-755,HMT-021	Streptococcus salivarius,Streptococcus salivarius,Streptococcus vestibularis	Strain: ATCC 7073,Strain: ATCC 13419,Strain: ATCC 49124	755N000A,755_8839,021_8353	NR_042776,M58839,AY188353	Named,Named,Named	
V1V3_062_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-279,HMT-279	Porphyromonas pasteri,Porphyromonas pasteri	Clone: CW034,Clone: DP023	279CW034,279DP023	AY008310,AF385516	Named,Named	
V1V3_063_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_064_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-473	Alloprevotella sp. HMT 473	Clone: IK062	473IK062	AY349402	Unnamed	
V1V3_065_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-299	Prevotella nanceiensis	Clone: BI027	299BI027	AY005064	Named	
V1V3_066_Actinobacteria	Actinobacteria	2	99.558	99.558	HMT-688,HMT-171	Actinomyces viscosus,Actinomyces sp. HMT 171	Strain: NCTC 10951,Clone: BL008	688_2453,171BL008	X82453,AF385553	Named,Unnamed	
V1V3_067_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-595	Corynebacterium durum	Strain: IBS G15036	595_7069	Z97069	Named	
V1V3_068_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-313	Prevotella sp. HMT 313	Clone: 069104_177	313_9254	JQ449254	Unnamed	
V1V3_069_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-930	Porphyromonas sp. HMT 930	Clone: 071041_260	930_8499	JQ468499	Phylotype	
V1V3_070_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-893	Actinomyces oris	Clone: 070043_377	893_4727	JQ464727	Named	
V1V3_071_Firmicutes	Firmicutes	1	100.0	100.0	HMT-096	Lachnospiraceae [G-2] bacterium HMT 096	Clone: DO008	096DO008	AF385508	Unnamed	
V1V3_072_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-706	Kingella oralis	Strain: CCUG 30450	706_6164	L06164	Named	
V1V3_073_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-420	Fusobacterium nucleatum subsp. animalis	Strain: NCTC 12276	420_5404	X55404	Named	
V1V3_074_Bacteroidetes	Bacteroidetes	1	99.07	99.07	HMT-329	Capnocytophaga leadbetteri	Clone: BM058	329BM058	AY005075	Named	
V1V3_075_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_076_Bacteroidetes	Bacteroidetes	2	100.0	100.0	HMT-337,HMT-325	Capnocytophaga gingivalis,Capnocytophaga granulosa	Strain: ATCC 33624,Clone: AH015	337_7608,325AH015	X67608,AY005074	Named,Named	
V1V3_077_Gammaproteobacteria	Gammaproteobacteria	1	100.0	100.0	HMT-036,HMT-036	Haemophilus sp. HMT 036,Haemophilus sp. HMT 036	Clone: 16slp93-3e06.p1k,Clone: ELU0098-000114	036_8981,036_3900	GQ158981,HQ783900	Unnamed,Unnamed	
V1V3_078_Firmicutes	Firmicutes	12	99.609	99.609	HMT-058,HMT-058,HMT-071,HMT-071,HMT-071,HMT-074,HMT-070,HMT-677,HMT-734,HMT-423,HMT-431,HMT-398,HMT-073,HMT-073,HMT-066,HMT-578	Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. dentisani clade 058,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus oralis subsp. tigurinus clade 071,Streptococcus sp. HMT 074,Streptococcus oralis subsp. tigurinus clade 070,Streptococcus mitis,Streptococcus pneumoniae,Streptococcus sp. HMT 423,Streptococcus infantis clade 431,Streptococcus oralis subsp. dentisani clade 398,Streptococcus australis,Streptococcus australis,Streptococcus sp. HMT 066,Streptococcus cristatus clade 578	Clone: BW009,Clone: BM035,Strain: AZ_3a,Clone: C3ALM006,Clone: P4PA_13,Strain: T4-E3,Strain: Hans 7A,Strain: ATCC 49456,Strain: ATCC 33400,Clone: C2MKM128,Clone: C4AKM023,Strain: SK34,Strain: ATCC 700641,Strain: T1-E5,Clone: MCE7_144,Strain: NCTC 12479	058BW009,058BM035,071_8234,071_8631,071_7062,074-T4E3,070-7A,677_3929,734_3930,423_8630,431_8633,398_5045,073_4974,073-T1E5,066_1230,578_8313	AY005042,AY005043,NR_118234,AY278631,AY207062,AF385526,AY005040,AF003929,AF003930,AY278630,AY278633,AY005045,AF184974,AF385525,AF481230,AB008313	Named,Named,Named,Named,Named,Lost,Unnamed,Named,Named,Lost,Named,Named,Named,Named,Unnamed,Named	
V1V3_079_Bacteroidetes	Bacteroidetes	1	100.0	100.0	HMT-329,HMT-329	Capnocytophaga leadbetteri,Capnocytophaga leadbetteri	Clone: BR085,Clone: BU084	329BR085,329BU084	GU350453,AF385569	Named,Named	
V1V3_080_Betaproteobacteria	Betaproteobacteria	1	99.216	99.216	HMT-610	Neisseria flavescens	Clone: P1D1-762	610_1998	EF511998	Named	
V1V3_081_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-215	Leptotrichia sp. HMT 215	Clone: DR011	215DR011	AF385518	Unnamed	
V1V3_082_Firmicutes	Firmicutes	2	99.219	99.219	HMT-107,HMT-082,HMT-082	Lachnoanaerobaculum umeaense,Lachnoanaerobaculum orale,Lachnoanaerobaculum orale	Strain: F0167,Clone: BE088,Strain: F0431	107F0167,082BE088,082F0431	tbd,AF385552,tbd	Named,Named,Named	
V1V3_083_Bacteroidetes	Bacteroidetes	1	99.535	99.535	HMT-329,HMT-329,HMT-329	Capnocytophaga leadbetteri,Capnocytophaga leadbetteri,Capnocytophaga leadbetteri	Clone: BR085,Clone: BU084,Clone: BM058	329BR085,329BU084,329BM058	GU350453,AF385569,AY005075	Named,Named,Named	
V1V3_084_Fusobacteria	Fusobacteria	2	100.0	100.0	HMT-563,HMT-225,HMT-225	Leptotrichia buccalis,Leptotrichia sp. HMT 225,Leptotrichia sp. HMT 225	Strain: not listed,Clone: HE052,Strain: FEA2	563_7788,225HE052,225_FEA2	L37788,GQ422732,GQ422731	Named,Unnamed,Unnamed	
V1V3_085_Epsilonproteobacteria	Epsilonproteobacteria	1	100.0	100.0	HMT-623	Campylobacter gracilis	Strain: ATCC 33236	623_4320	L04320	Named	
V1V3_086_Firmicutes	Firmicutes	1	100.0	100.0	HMT-165	Catonella morbi	Clone: EZ006	165EZ006	AF385577	Named	
V1V3_087_Firmicutes	Firmicutes	1	100.0	100.0	HMT-161	Veillonella parvula	Strain: DSM 2008	161Vparv	X84005	Named	
V1V3_088_Actinobacteria	Actinobacteria	1	99.558	99.558	HMT-893	Actinomyces oris	Strain: JCM 16131	893_5935	AB545935	Named	
V1V3_089_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-014,HMT-014	Neisseria oralis,Neisseria oralis	Strain: F0314,Clone: AP085	014F0314,014AP085	tbd,AY005023	Named,Named	
V1V3_090_Actinobacteria	Actinobacteria	1	98.678	99.115	HMT-866,HMT-866	Actinomyces graevenitzii,Actinomyces graevenitzii	Strain: F0530,Strain: CCUG 27294	866F0530,866_2167	tbd,NR_042167	Named,Named	
V1V3_091_Actinobacteria	Actinobacteria	1	100.0	100.0	HMT-595	Corynebacterium durum	Strain: IBS G15036	595_7069	Z97069	Named	
V1V3_092_Betaproteobacteria	Betaproteobacteria	1	100.0	100.0	HMT-022	Lautropia mirabilis	Clone: AP009	022AP009	AY005030	Named	
V1V3_093_Firmicutes	Firmicutes	1	99.219	99.219	HMT-626	Gemella haemolysans	Strain: ATCC 10379	626_4326	L14326	Named	
V1V3_094_Fusobacteria	Fusobacteria	1	100.0	100.0	HMT-200	Fusobacterium nucleatum subsp. vincentii	Clone: _R002	200_R002	AF287806	Named	
