OLIGO	HMT	SPECIES	STRAIN_CLONE	REFSEQ	NCBI	HOMD_STATUS	NUM_BEST_HITS	BEST_PCT_ID	BEST_FULL_PCT_ID	BM_MEAN	BM_SD	HP_MEAN	HP_SD	KG_MEAN	KG_SD	PT_MEAN	PT_SD	ST_MEAN	ST_SD	SUBP_MEAN	SUBP_SD	SUPP_MEAN	SUPP_SD	SV_MEAN	SV_SD	TD_MEAN	TD_SD	TH_MEAN	TH_SD
V1V3_001_Firmicutes	HMT-073	Streptococcus australis	Strain: T1-E5	073-T1E5	AF385525	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-066	Streptococcus sp. HMT 066	Clone: MCE7_144	066_1230	AF481230	Unnamed	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_001_Firmicutes	HMT-578	Streptococcus cristatus clade 578	Strain: NCTC 12479	578_8313	AB008313	Named	12	100.0	100.0	43.05		32.69		46.36		14.80		0.02		6.49		7.58		7.57		5.47		12.42		
V1V3_002_Firmicutes	HMT-755	Streptococcus salivarius	Strain: ATCC 7073	755N000A	NR_042776	Named	2	100.0	100.0	2.48		6.37		3.93		7.15		0.02		0.13		0.08		2.67		7.46		7.37		
V1V3_002_Firmicutes	HMT-755	Streptococcus salivarius	Strain: ATCC 13419	755_8839	M58839	Named	2	100.0	100.0	2.48		6.37		3.93		7.15		0.02		0.13		0.08		2.67		7.46		7.37		
V1V3_002_Firmicutes	HMT-021	Streptococcus vestibularis	Strain: ATCC 49124	021_8353	AY188353	Named	2	100.0	100.0	2.48		6.37		3.93		7.15		0.02		0.13		0.08		2.67		7.46		7.37		
V1V3_003_Firmicutes	HMT-058	Streptococcus oralis subsp. dentisani clade 058	Clone: C3MLM097	058_8632	AY278632	Named	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-061	Streptococcus sp. HMT 061	Clone: DN025	061DN025	AF432131	Lost	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-707	Streptococcus oralis subsp. oralis	Strain: ATCC 35037	707_3932	AF003932	Named	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-070	Streptococcus oralis subsp. tigurinus clade 070	Strain: Hans 12F	070-12F	GQ422711	Unnamed	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-064	Streptococcus sp. HMT 064	Clone: C5MLM037	064_8609	AY278609	Unnamed	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-638	Streptococcus infantis clade 638	Strain: ATCC 700779	638_8315	AB008315	Named	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_003_Firmicutes	HMT-398	Streptococcus oralis subsp. dentisani clade 398	Clone: P2PA_41	398_7051	AY207051	Named	7	100.0	100.0	4.05		5.42		2.00		2.39		0.01		3.52		4.64		3.08		4.23		2.48		
V1V3_004_Firmicutes	HMT-161	Veillonella parvula	Clone: BU083	161BU083	AF366266	Named	2	100.0	100.0	0.82		2.36		0.32		3.18		0.02		0.53		0.42		4.19		5.67		3.42		
V1V3_004_Firmicutes	HMT-160	Veillonella dispar	Strain: DSM 20735	160Vdisp	X84006	Named	2	100.0	100.0	0.82		2.36		0.32		3.18		0.02		0.53		0.42		4.19		5.67		3.42		
V1V3_005_Actinobacteria	HMT-188	Rothia aeria	Strain: CCUG 25688	188_3025	Y13025	Named	2	100.0	100.0	1.59		0.39		0.26		0.12		0.00		7.34		9.78		0.83		0.04		0.28		
V1V3_005_Actinobacteria	HMT-188	Rothia aeria	Clone: ncd2429e02c1	188_0891	JF210891	Named	2	100.0	100.0	1.59		0.39		0.26		0.12		0.00		7.34		9.78		0.83		0.04		0.28		
V1V3_005_Actinobacteria	HMT-587	Rothia dentocariosa	Strain: ATCC 17931	587_9055	M59055	Named	2	100.0	100.0	1.59		0.39		0.26		0.12		0.00		7.34		9.78		0.83		0.04		0.28		
V1V3_006_Firmicutes	HMT-626	Gemella haemolysans	Strain: ATCC 10379	626_4326	L14326	Named	1	100.0	100.0	6.72		3.22		4.81		1.59		0.00		0.50		0.33		0.42		0.16		1.63		
V1V3_007_Bacteroidetes	HMT-469	Prevotella melaninogenica	Strain: ATCC 25845	469_3525	AY323525	Named	1	100.0	100.0	0.52		2.99		0.14		2.48		0.00		0.20		0.08		3.50		4.35		2.98		
V1V3_008_Epsilonproteobacteria	HMT-575	Campylobacter concisus	Strain: FDC 288	575_6977	L06977	Named	1	99.623	99.623	0.35		0.83		0.14		2.69		0.00		0.19		0.29		5.55		2.56		2.92		
V1V3_009_TM7	HMT-952	Saccharibacteria (TM7) [G-1] bacterium HMT 952	Strain: TM7x	952-TM7x	tbd	Unnamed	3	100.0	100.0	0.15		0.54		0.03		1.37		0.00		0.53		0.33		6.86		1.84		1.86		
V1V3_009_TM7	HMT-957	Saccharibacteria (TM7) [G-1] bacterium HMT 957	Strain: BB001	95731001	SEQF3100_00133	Unnamed	3	100.0	100.0	0.15		0.54		0.03		1.37		0.00		0.53		0.33		6.86		1.84		1.86		
V1V3_009_TM7	HMT-352	Saccharibacteria (TM7) [G-1] bacterium HMT 352	Clone: DR034	352DR034	AF385520	Phylotype	3	100.0	100.0	0.15		0.54		0.03		1.37		0.00		0.53		0.33		6.86		1.84		1.86		
V1V3_010_Betaproteobacteria	HMT-101	Neisseria perflava	Strain: Branham 7078	101N065A	NR_117694	Named	1	100.0	100.0	0.70		1.39		0.08		2.44		0.00		0.01		0.02		1.13		4.93		2.03		
V1V3_011_Actinobacteria	HMT-681	Rothia mucilaginosa	Strain: DY-18	681_4690	NR_074690	Named	1	100.0	100.0	2.08		2.86		0.40		1.07		0.00		0.05		0.07		1.20		3.48		1.31		
V1V3_012_Gammaproteobacteria	HMT-718	Haemophilus parainfluenzae	Clone: ncd81b03c1	718N000A	HM255881	Named	1	100.0	100.0	1.62		0.95		1.96		0.81		0.01		0.71		1.38		1.39		1.31		0.74		
V1V3_012_Gammaproteobacteria	HMT-718	Haemophilus parainfluenzae	Strain: CIP 102513	718_3530	EU083530	Named	1	100.0	100.0	1.62		0.95		1.96		0.81		0.01		0.71		1.38		1.39		1.31		0.74		
V1V3_013_Firmicutes	HMT-058	Streptococcus oralis subsp. dentisani clade 058	Clone: BW009	058BW009	AY005042	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-058	Streptococcus oralis subsp. dentisani clade 058	Clone: BM035	058BM035	AY005043	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Strain: AZ_3a	071_8234	NR_118234	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Clone: C3ALM006	071_8631	AY278631	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-071	Streptococcus oralis subsp. tigurinus clade 071	Clone: P4PA_13	071_7062	AY207062	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-074	Streptococcus sp. HMT 074	Strain: T4-E3	074-T4E3	AF385526	Lost	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-070	Streptococcus oralis subsp. tigurinus clade 070	Strain: Hans 7A	070-7A	AY005040	Unnamed	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-677	Streptococcus mitis	Strain: ATCC 49456	677_3929	AF003929	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-734	Streptococcus pneumoniae	Strain: ATCC 33400	734_3930	AF003930	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-423	Streptococcus sp. HMT 423	Clone: C2MKM128	423_8630	AY278630	Lost	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-431	Streptococcus infantis clade 431	Clone: C4AKM023	431_8633	AY278633	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-398	Streptococcus oralis subsp. dentisani clade 398	Strain: SK34	398_5045	AY005045	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-073	Streptococcus australis	Strain: ATCC 700641	073_4974	AF184974	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-073	Streptococcus australis	Strain: T1-E5	073-T1E5	AF385525	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-066	Streptococcus sp. HMT 066	Clone: MCE7_144	066_1230	AF481230	Unnamed	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_013_Firmicutes	HMT-578	Streptococcus cristatus clade 578	Strain: NCTC 12479	578_8313	AB008313	Named	12	99.609	99.609	3.77		1.57		1.67		0.92		0.00		0.55		0.09		0.40		0.12		1.55		
V1V3_014_Fusobacteria	HMT-370	Fusobacterium sp. HMT 370	Strain: E9_12	370_1217	AF481217	Unnamed	2	100.0	100.0	0.53		1.06		0.10		2.46		0.00		0.13		0.12		1.34		2.84		1.93		
V1V3_014_Fusobacteria	HMT-201	Fusobacterium periodonticum	Strain: ATCC 33693	201_5405	X55405	Named	2	100.0	100.0	0.53		1.06		0.10		2.46		0.00		0.13		0.12		1.34		2.84		1.93		
V1V3_014_Fusobacteria	HMT-201	Fusobacterium periodonticum	Clone: BS011	201BS011	AF432130	Named	2	100.0	100.0	0.53		1.06		0.10		2.46		0.00		0.13		0.12		1.34		2.84		1.93		
V1V3_015_Firmicutes	HMT-534	Granulicatella adiacens	Strain: TKT1	534_2027	AB022027	Named	1	100.0	100.0	0.60		1.64		0.17		1.30		0.00		0.54		0.54		1.27		2.74		1.50		
V1V3_015_Firmicutes	HMT-534	Granulicatella adiacens	Strain: ATCC 49175	534_0540	D50540	Named	1	100.0	100.0	0.60		1.64		0.17		1.30		0.00		0.54		0.54		1.27		2.74		1.50		
V1V3_016_Firmicutes	HMT-758	Streptococcus sanguinis	Strain: ATCC 10556	758_3928	AF003928	Named	1	100.0	100.0	0.70		0.27		0.66		0.10		0.00		3.10		3.91		0.42		0.03		0.13		
V1V3_017_Firmicutes	HMT-411	Streptococcus parasanguinis clade 411	Clone: SJTU_F_10_28	411_9017	EF399017	Named	1	100.0	100.0	0.36		1.45		0.07		1.48		0.01		0.02		0.02		0.90		3.09		1.68		
V1V3_017_Firmicutes	HMT-411	Streptococcus parasanguinis clade 411	Clone: C2MKM006	411_8629	AY278629	Named	1	100.0	100.0	0.36		1.45		0.07		1.48		0.01		0.02		0.02		0.90		3.09		1.68		
V1V3_017_Firmicutes	HMT-411	Streptococcus parasanguinis clade 411	Clone: C4MKM110	411_8634	AY278634	Named	1	100.0	100.0	0.36		1.45		0.07		1.48		0.01		0.02		0.02		0.90		3.09		1.68		
V1V3_018_Betaproteobacteria	HMT-022	Lautropia mirabilis	Strain: Fredericksen	022_3223	X73223	Named	1	100.0	100.0	0.56		0.27		0.06		0.11		0.00		3.09		3.47		1.24		0.03		0.27		
V1V3_019_Betaproteobacteria	HMT-610	Neisseria flavescens	Clone: P1D1-762	610_1998	EF511998	Named	1	100.0	100.0	0.47		1.03		0.11		1.72		0.00		0.10		0.19		1.05		2.31		2.03		
V1V3_020_Betaproteobacteria	HMT-609	Neisseria flava	Strain: U40	609_9301	AJ239301	Named	4	100.0	100.0	1.16		0.54		0.49		0.13		0.00		2.46		3.17		0.78		0.04		0.18		
V1V3_020_Betaproteobacteria	HMT-764	Neisseria sicca	Strain: Q13	764_9292	AJ239292	Named	4	100.0	100.0	1.16		0.54		0.49		0.13		0.00		2.46		3.17		0.78		0.04		0.18		
V1V3_020_Betaproteobacteria	HMT-099	Neisseria macacae	Strain: M-740	099N064A	NR_117701	Named	4	100.0	100.0	1.16		0.54		0.49		0.13		0.00		2.46		3.17		0.78		0.04		0.18		
V1V3_020_Betaproteobacteria	HMT-682	Neisseria mucosa	Strain: LNP405	682_9282	AJ239282	Named	4	100.0	100.0	1.16		0.54		0.49		0.13		0.00		2.46		3.17		0.78		0.04		0.18		
V1V3_021_Firmicutes	HMT-161	Veillonella parvula	Clone: _X002	161_X002	GU350451	Named	2	100.0	100.0	1.07		0.15		1.14		0.07		0.02		2.67		2.34		0.88		0.04		0.14		
V1V3_021_Firmicutes	HMT-160	Veillonella dispar	Clone: _X031	160_X031	GQ422726	Named	2	100.0	100.0	1.07		0.15		1.14		0.07		0.02		2.67		2.34		0.88		0.04		0.14		
V1V3_022_Actinobacteria	HMT-175	Actinomyces sp. HMT 175	Clone: ncd1455a04c1	175_5563	JF125563	Unnamed	2	100.0	100.0	0.88		0.12		0.25		0.04		0.00		2.95		3.70		0.19		0.01		0.04		
V1V3_022_Actinobacteria	HMT-169	Actinomyces sp. HMT 169	Clone: AG004	169AG004	AF287747	Unnamed	2	100.0	100.0	0.88		0.12		0.25		0.04		0.00		2.95		3.70		0.19		0.01		0.04		
V1V3_022_Actinobacteria	HMT-169	Actinomyces sp. HMT 169	Strain: F0496a	169F496a	tbd	Unnamed	2	100.0	100.0	0.88		0.12		0.25		0.04		0.00		2.95		3.70		0.19		0.01		0.04		
V1V3_022_Actinobacteria	HMT-169	Actinomyces sp. HMT 169	Strain: F0496b	169F496b	tbd	Unnamed	2	100.0	100.0	0.88		0.12		0.25		0.04		0.00		2.95		3.70		0.19		0.01		0.04		
V1V3_023_Bacteroidetes	HMT-279	Porphyromonas pasteri	Strain: F0450d	279F450d	tbd	Named	1	100.0	100.0	0.69		1.09		0.74		1.11		0.00		0.53		0.34		1.48		1.42		0.75		
V1V3_024_Firmicutes	HMT-158	Veillonella rogosae	Strain: F0412	158F0412	tbd	Named	1	100.0	100.0	0.39		1.07		0.08		1.58		0.00		0.01		0.01		1.68		1.76		0.99		
V1V3_024_Firmicutes	HMT-158	Veillonella rogosae	Clone: BI029	158BI029	GQ422725	Named	1	100.0	100.0	0.39		1.07		0.08		1.58		0.00		0.01		0.01		1.68		1.76		0.99		
V1V3_025_Firmicutes	HMT-524	Veillonella atypica	Strain: DSM 20739	524Vatyp	X84007	Named	1	100.0	100.0	0.18		0.67		0.05		1.39		0.00		0.01		0.00		1.84		0.96		1.76		
V1V3_026_Firmicutes	HMT-108	Oribacterium asaccharolyticum	Strain: ACB7	108_5571	NR_125571	Named	3	100.0	100.0	0.14		0.54		0.02		0.89		0.00		0.01		0.01		2.21		1.14		1.07		
V1V3_026_Firmicutes	HMT-108	Oribacterium asaccharolyticum	Strain: F0425	108F0425	tbd	Named	3	100.0	100.0	0.14		0.54		0.02		0.89		0.00		0.01		0.01		2.21		1.14		1.07		
V1V3_026_Firmicutes	HMT-934	Oribacterium parvum	Strain: FTB41	934FTB41	AF287770	Named	3	100.0	100.0	0.14		0.54		0.02		0.89		0.00		0.01		0.01		2.21		1.14		1.07		
V1V3_026_Firmicutes	HMT-934	Oribacterium parvum	Strain: ACB1	934_5570	NR_125570	Named	3	100.0	100.0	0.14		0.54		0.02		0.89		0.00		0.01		0.01		2.21		1.14		1.07		
V1V3_026_Firmicutes	HMT-457	Oribacterium sinus	Strain: F0268	457F0268	FJ577261	Named	3	100.0	100.0	0.14		0.54		0.02		0.89		0.00		0.01		0.01		2.21		1.14		1.07		
V1V3_027_Bacteroidetes	HMT-279	Porphyromonas pasteri	Clone: CW034	279CW034	AY008310	Named	1	100.0	100.0	0.72		0.71		0.28		0.73		0.00		0.31		0.38		1.03		0.88		0.66		
V1V3_028_Bacteroidetes	HMT-775	Capnocytophaga sputigena	Strain: ATCC 33612	775_7609	X67609	Named	1	100.0	100.0	0.23		0.09		0.07		0.49		0.00		1.82		1.98		0.34		0.25		0.40		
V1V3_029_Firmicutes	HMT-596	Granulicatella elegans	Strain: 2640-91	596_5408	Y15408	Named	1	100.0	100.0	0.80		0.97		3.07		0.14		0.00		0.09		0.08		0.22		0.02		0.13		
V1V3_029_Firmicutes	HMT-596	Granulicatella elegans	Clone: ncd32a06c1	596_2532	HM252532	Named	1	100.0	100.0	0.80		0.97		3.07		0.14		0.00		0.09		0.08		0.22		0.02		0.13		
V1V3_030_Firmicutes	HMT-721	Streptococcus parasanguinis clade 721	Strain: ATCC 15912	721_3933	AF003933	Named	2	100.0	100.0	0.21		0.92		0.06		0.98		0.01		0.01		0.01		0.81		1.23		1.19		
V1V3_030_Firmicutes	HMT-066	Streptococcus sp. HMT 066	Clone: FN051	066FN051	AF432135	Unnamed	2	100.0	100.0	0.21		0.92		0.06		0.98		0.01		0.01		0.01		0.81		1.23		1.19		
V1V3_031_Bacteroidetes	HMT-279	Porphyromonas pasteri	Strain: F0450c	279F450c	tbd	Named	1	100.0	100.0	0.62		0.62		0.16		0.84		0.00		0.28		0.33		0.96		0.94		0.60		
V1V3_031_Bacteroidetes	HMT-279	Porphyromonas pasteri	Strain: F0450b	279F450b	tbd	Named	1	100.0	100.0	0.62		0.62		0.16		0.84		0.00		0.28		0.33		0.96		0.94		0.60		
V1V3_032_Bacteroidetes	HMT-322	Bergeyella sp. HMT 322	Clone: AK152	322AK152	AY008691	Phylotype	1	99.535	99.535	0.33		0.21		0.70		0.33		0.00		1.10		1.52		0.31		0.27		0.23		
V1V3_033_Firmicutes	HMT-524	Veillonella atypica	Clone: MB5_P17	524_3631	DQ003631	Named	1	100.0	100.0	0.08		0.38		0.03		0.99		0.00		0.01		0.00		1.20		0.70		1.25		
V1V3_034_Actinobacteria	HMT-681	Rothia mucilaginosa	Strain: DY-18	681_4690	NR_074690	Named	1	99.558	99.558	0.18		0.77		0.06		0.73		0.00		0.01		0.00		0.30		1.41		1.08		
V1V3_035_Bacteroidetes	HMT-572	Prevotella veroralis	Strain: JCM 6290	572_3124	NR_113124	Named	3	99.535	99.535	0.17		0.51		0.02		0.83		0.00		0.07		0.08		0.69		0.84		1.06		
V1V3_035_Bacteroidetes	HMT-572	Prevotella veroralis	Clone: 071062_262	572_4079	JQ474079	Named	3	99.535	99.535	0.17		0.51		0.02		0.83		0.00		0.07		0.08		0.69		0.84		1.06		
V1V3_035_Bacteroidetes	HMT-572	Prevotella veroralis	Strain: ATCC 33779	572_6473	L16473	Named	3	99.535	99.535	0.17		0.51		0.02		0.83		0.00		0.07		0.08		0.69		0.84		1.06		
V1V3_035_Bacteroidetes	HMT-298	Prevotella histicola	Clone: BE073	298BE073	AF385551	Named	3	99.535	99.535	0.17		0.51		0.02		0.83		0.00		0.07		0.08		0.69		0.84		1.06		
V1V3_035_Bacteroidetes	HMT-313	Prevotella sp. HMT 313	Clone: 069104_177	313_9254	JQ449254	Unnamed	3	99.535	99.535	0.17		0.51		0.02		0.83		0.00		0.07		0.08		0.69		0.84		1.06		
V1V3_036_Actinobacteria	HMT-180	Schaalia sp. HMT 180	Strain: Hal-1083	180H1083	AF385522	Unnamed	2	100.0	100.0	0.07		0.34		0.01		0.97		0.00		0.00		0.00		0.38		1.39		1.10		
V1V3_036_Actinobacteria	HMT-172	Schaalia sp. HMT 172	Clone: CT047	172CT047	AF385504	Unnamed	2	100.0	100.0	0.07		0.34		0.01		0.97		0.00		0.00		0.00		0.38		1.39		1.10		
V1V3_037_Firmicutes	HMT-158	Veillonella rogosae	Strain: F0412	158F0412	tbd	Named	1	99.219	99.219	0.24		0.67		0.07		0.80		0.00		0.01		0.01		1.02		0.88		0.57		
V1V3_037_Firmicutes	HMT-158	Veillonella rogosae	Clone: BI029	158BI029	GQ422725	Named	1	99.219	99.219	0.24		0.67		0.07		0.80		0.00		0.01		0.01		1.02		0.88		0.57		
V1V3_038_Firmicutes	HMT-757	Gemella sanguinis	Strain: C24KA	757C24KA	AY005051	Named	1	100.0	100.0	0.23		0.71		0.05		0.82		0.00		0.01		0.01		0.51		1.06		0.68		
V1V3_039_Bacteroidetes	HMT-337	Capnocytophaga gingivalis	Strain: ATCC 33624	337_7608	X67608	Named	2	99.07	99.07	0.18		0.03		0.03		0.29		0.00		1.66		1.35		0.16		0.12		0.18		
V1V3_039_Bacteroidetes	HMT-325	Capnocytophaga granulosa	Clone: AH015	325AH015	AY005074	Named	2	99.07	99.07	0.18		0.03		0.03		0.29		0.00		1.66		1.35		0.16		0.12		0.18		
V1V3_039_Bacteroidetes	HMT-325	Capnocytophaga granulosa	Strain: LMG 16022	325_1347	U41347	Named	2	99.07	99.07	0.18		0.03		0.03		0.29		0.00		1.66		1.35		0.16		0.12		0.18		
V1V3_040_Fusobacteria	HMT-200	Fusobacterium nucleatum subsp. vincentii	Clone: AJ050	200AJ050	AF287805	Named	1	100.0	100.0	0.06		0.02		0.11		0.64		0.00		2.37		0.40		0.15		0.01		0.25		
V1V3_040_Fusobacteria	HMT-200	Fusobacterium nucleatum subsp. vincentii	Clone: 071075_343	200_7962	JQ477962	Named	1	100.0	100.0	0.06		0.02		0.11		0.64		0.00		2.37		0.40		0.15		0.01		0.25		
V1V3_041_TM7	HMT-351	Saccharibacteria (TM7) [G-3] bacterium HMT 351	Clone: CW040	351CW040	AF385506	Phylotype	1	100.0	100.0	0.02		0.08		0.00		0.19		0.00		0.03		0.02		3.20		0.16		0.23		
V1V3_042_Bacteroidetes	HMT-714	Prevotella pallens	Strain: JCM 11140	714_3121	NR_113121	Named	1	100.0	100.0	0.13		0.66		0.02		0.63		0.00		0.01		0.00		0.84		0.59		0.95		
V1V3_043_Actinobacteria	HMT-723	Atopobium parvulum	Strain: ATCC22793	723_2372	AF292372	Named	1	100.0	100.0	0.09		0.46		0.01		0.56		0.00		0.12		0.03		0.71		0.98		0.84		
V1V3_044_Fusobacteria	HMT-200	Fusobacterium nucleatum subsp. vincentii	Strain: ATCC 49256	200_0026	NZ_AABF02000026	Named	2	100.0	100.0	0.28		0.04		0.38		0.17		0.00		1.17		1.18		0.17		0.03		0.11		
V1V3_044_Fusobacteria	HMT-202	Fusobacterium nucleatum subsp. polymorphum	Strain: ATCC 10953	202_7812	AF287812	Named	2	100.0	100.0	0.28		0.04		0.38		0.17		0.00		1.17		1.18		0.17		0.03		0.11		
V1V3_045_Fusobacteria	HMT-221	Leptotrichia sp. HMT 221	Clone: FP036	221FP036	AF432138	Unnamed	1	100.0	100.0	0.10		0.29		0.02		0.97		0.00		0.01		0.01		0.14		0.96		0.98		
V1V3_046_Bacteroidetes	HMT-307	Prevotella salivae	Strain: DSM 15606	307_8826	AB108826	Named	1	100.0	100.0	0.07		0.27		0.02		0.65		0.00		0.03		0.01		1.03		0.51		0.78		
V1V3_047_Actinobacteria	HMT-180	Schaalia sp. HMT 180	Strain: Hal-1083	180H1083	AF385522	Unnamed	2	99.115	99.115	0.06		0.30		0.01		0.72		0.00		0.00		0.00		0.22		1.05		0.86		
V1V3_047_Actinobacteria	HMT-172	Schaalia sp. HMT 172	Clone: CT047	172CT047	AF385504	Unnamed	2	99.115	99.115	0.06		0.30		0.01		0.72		0.00		0.00		0.00		0.22		1.05		0.86		
