Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015298-RAF	S700015974-RAF	S700016085-RAF	S700016095-RAF	S700016176-RAF	S700016661-RAF	S700016759-RAF	S700023110-RAF	S700023485-RAF	S700023853-RAF	S700023944-RAF	S700024262-RAF	S700024314-RAF	S700024562-RAF	S700024681-RAF	S700024707-RAF	S700024874-RAF	S700024926-RAF	S700024974-RAF	S700032184-RAF	S700032278-RAF	S700032465-RAF	S700033187-RAF	S700033253-RAF	S700033416-RAF	S700033783-RAF	S700034288-RAF	S700034960-RAF	S700035631-RAF	S700035987-RAF	S700037024-RAF	S700037050-RAF	S700037118-RAF	S700037171-RAF	S700037228-RAF	S700037331-RAF	S700037385-RAF	S700037433-RAF	S700037708-RAF	S700037842-RAF	S700037924-RAF	S700038029-RAF	S700038154-RAF	S700038255-RAF	S700038362-RAF	S700038410-RAF	S700038574-RAF	S700038622-RAF	S700038730-RAF	S700038974-RAF	S700095406-RAF	S700095463-RAF	S700095577-RAF	S700095884-RAF	S700097287-RAF	S700099055-RAF	S700099115-RAF	S700099799-RAF	S700099942-RAF	S700100466-RAF	S700101691-RAF	S700102295-RAF	S700102901-RAF	S700102958-RAF	S700103649-RAF	S700105171-RAF	S700105228-RAF	S700105900-RAF	S700106046-RAF	S700106455-RAF	S700106926-RAF	S700106974-RAF	S700107431-RAF	S700107542-RAF	S700107599-RAF	S700107812-RAF	S700107926-RAF	S700108151-RAF	S700108214-RAF	S700108274-RAF	S700108892-RAF	S700109226-RAF	S700109559-RAF	S700109977-RAF	S700110802-RAF	S700111212-RAF	S700111801-RAF	S700112038-RAF	S700112808-RAF	S700113031-RAF	S700113101-RAF	S700113152-RAF	S700113531-RAF	S700113570-RAF	S700113644-RAF	S700113672-RAF	S700113797-RAF	S700113848-RAF	S700114045-RAF	S700114187-RAF	S700114242-RAF	S700114295-RAF	S700114450-RAF	S700114513-RAF	S700114643-RAF	S700114677-RAF	S700114725-RAF	S700114775-RAF	S700114826-RAF	S700114929-RAF	S700114985-RAF	S700116386-RAF	S700116706-RAF	S700116758-RAF	S700116806-RAF	S700116836-RAF	S700116896-RAF	S700117856-RAF	S700119218-RAF	S700119618-RAF	S700119792-RAF	S700120093-RAF	S700161732-RAF	S700163656-RAF	S700163971-RAF	S700164078-RAF	S700164187-RAF	S700164220-RAF	S700164277-RAF	S700164347-RAF	S700164399-RAF	S700164495-RAF	S700164763-RAF	S700164820-RAF	S700165140-RAF	S700165308-RAF	S700165404-RAF	S700165452-RAF	S700165483-RAF	S700165854-RAF	S700165903-RAF	S700166081-RAF	S700166639-RAF	S700171469-RAF	S700171521-RAF	S700171569-RAF	S700171924-RAF	S700172211-RAF	S700173269-RAF	S700173478-RAF
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.0	0.0	0.997	0.0	0.0	0.004	0.089	0.311	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.156	0.695	0.0	0.0	0.0	0.0	0.115	0.0	0.0	0.269	0.037	0.0	0.449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.949	0.087	0.0	0.723	0.3	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	1.71	0.0	2.504	0.0	0.0	0.0	0.058	0.0	0.209	0.066	1.23	0.0	0.252	0.588	0.012	0.014	0.821	0.0	0.0	0.812	0.351	0.0	16.88	0.0	0.0	0.0	0.0	0.0	0.049	0.313	0.583	0.187	3.175	0.752	0.0	0.0	0.12	0.0	0.034	9.087	0.093	3.974	1.234	0.0	0.0	0.493	0.0	0.829	3.167	0.0	0.04	0.0	0.0	0.0	3.305	0.0	0.0	0.0	0.0	0.196	0.0	0.05	0.0	0.086	0.046	0.0	1.168	0.133	0.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123	0.061	0.377	0.087	0.0	0.0	1.762
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family				1.745	0.0	0.0	0.0	0.0	0.008	0.0	2.331	0.561	0.214	0.054	1.472	0.0	0.3	0.08	1.22	0.39	0.441	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.879	0.0	0.0	0.0	0.0	0.768	0.08	1.624	0.0	0.228	0.0	0.13	0.034	0.0	0.0	0.0	0.035	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.441	0.0	0.668	0.0	0.0	0.0	0.0	2.806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.292	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.321	0.0	0.0	0.0	0.0	0.192	0.039	0.544	0.397	0.0	0.0	0.0	0.112	0.0	0.138	0.125	0.0	0.0	0.117	0.043	0.0	0.0	0.0	0.0	1.205	0.0	0.0	0.184	0.0	0.0	0.036	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family				0.0	0.0	0.141	5.223	0.0	0.004	0.0	0.0	0.0	0.214	0.454	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.076	0.0	0.019	0.0	0.718	0.0	0.0	0.02	0.0	0.167	0.0	0.0	0.0	0.253	0.0	0.0	0.0	0.475	0.013	1.451	0.0	0.0	0.0	0.111	0.125	0.0	0.0	0.543	0.123	0.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.578	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.095	0.0	0.184	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.047	0.0	0.101	0.0	0.0	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.854	0.0	0.0	0.0	0.321	0.0	0.0	0.0	0.0	0.096	0.27	0.0	0.0	0.098	0.321	0.042	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.205	0.0	0.0	0.266	0.094	0.0	0.036	0.0	0.033
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.335	0.0	0.0	0.0	0.279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.864	0.967	0.0	0.0	0.0	0.857	0.046	0.0	0.056	0.0	0.0	0.209	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.487	0.0	0.0	0.0	0.469	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.179	0.038	0.028	0.271	0.0	0.0	0.23	0.0	0.235	0.006	0.029	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.422	0.197	0.212	0.0	0.116	0.0	0.0	0.0	0.161	0.0	0.0	0.086	0.046	0.0	0.0	0.178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.369	0.061	0.0	0.175	0.711	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family				0.0	0.0	0.0	0.0	3.904	0.0	0.148	0.0	0.0	0.905	0.007	0.0	0.0	0.0	0.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.261	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.196	0.0	1.317	0.0	1.14	0.0	0.0	0.0	0.074	0.993	0.0	0.0	0.0	0.141	0.059	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.0	0.029	0.199	0.047	0.0	0.151	0.235	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.247	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.958	0.077	0.0	0.0	0.0	0.562	0.059	0.224	0.043	0.0	0.0	0.0	0.089	0.646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.184	0.0	0.0	0.284	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family				0.0	0.037	3.079	8.961	0.0	0.008	0.0	0.0	0.601	0.146	0.203	1.242	0.364	0.06	0.191	0.305	0.0	1.562	0.38	0.0	0.088	0.776	4.847	0.299	0.0	0.078	1.077	0.0	0.0	0.0	0.126	0.667	0.0	0.458	0.537	1.5	0.053	0.587	0.603	0.0	0.0	0.39	0.217	0.0	0.183	0.0	0.0	0.163	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	1.003	0.107	0.515	0.287	0.0	0.109	0.0	0.337	0.0	0.0	0.223	0.038	0.084	0.409	0.0	0.378	0.46	0.655	0.0	0.049	0.029	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.023	1.181	3.0	0.0	1.236	0.008	0.501	16.035	0.031	0.0	0.05	3.931	0.023	0.0	4.557	0.0	0.087	0.0	0.018	0.034	2.337	1.826	0.0	0.0	3.542	0.408	0.0	0.883	0.0	0.0	0.0	0.0	4.502	0.618	0.871	6.94	0.196	1.445	0.512	0.336	0.0	0.138	0.125	1.609	0.089	0.235	0.346	0.0	0.0	0.0	0.0	6.627	0.0	0.0	2.599	0.0	0.0	1.315	0.122	0.163
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				3.49	0.222	0.0	3.442	1.028	0.081	0.0	7.025	69.767	48.832	18.484	6.578	1.025	1.02	0.064	1.22	0.725	1.121	0.304	0.0	0.136	1.863	6.643	0.0	0.0	0.293	1.042	0.0	0.0	0.0	2.888	0.092	4.857	0.0	0.0	2.304	0.119	3.697	0.0	0.41	0.196	5.194	8.192	0.553	0.0	0.272	1.464	0.859	0.278	0.0	0.0	0.0	0.0	0.0	2.939	0.433	0.807	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.478	0.382	0.0	0.0	6.434	2.215	0.0	0.0	0.0	0.288	0.028	0.133	0.0	1.277	0.0	0.05	0.235	0.031	0.029	0.0	0.0	0.018	0.244	0.176	0.564	0.264	0.0	0.0	0.0	0.0	4.079	0.246	0.0	1.895	0.062	0.173	4.286	0.0	0.023	0.28	6.924	4.889	0.175	0.037	0.018	3.565	2.142	0.395	0.0	0.0	0.151	0.063	0.0	0.763	0.0	0.0	0.197	6.992	0.67	0.425	0.49	1.033	0.587	0.803	0.159	0.448	0.387	0.782	0.125	0.0	0.111	0.059	0.043	0.517	1.699	0.0	0.0	0.602	0.0	0.0	0.0	0.0	0.0	0.142	0.081	5.548
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family				0.0	0.816	0.0	0.0	0.192	0.05	0.03	0.746	0.0	0.136	0.102	2.346	0.033	5.759	0.0	0.762	0.0	0.0	0.127	0.0	0.126	2.329	0.0	0.336	0.0	0.059	0.0	0.056	0.748	0.451	0.628	0.0	0.0	0.131	4.944	0.293	0.04	0.0	1.048	0.228	0.078	0.074	0.125	0.0	0.0	0.924	0.123	1.141	0.0	0.187	0.0	0.0	0.274	0.725	0.0	0.0	0.0	0.723	0.389	0.578	0.0	0.0	0.0	0.059	0.0	0.0	0.668	0.0	0.0	0.53	0.367	0.0	0.268	0.019	0.056	0.048	0.0	0.189	0.058	0.202	0.0	0.197	0.043	1.128	0.004	0.176	0.081	0.05	0.644	0.0	0.0	0.591	1.214	0.104	0.0	0.049	0.0	1.02	23.262	0.0	0.0	0.771	0.0	0.0	0.526	0.202	0.044	0.0	0.054	0.0	4.187	0.0	0.0	0.0	0.151	0.063	0.0	0.04	1.438	0.0	0.0	0.042	0.575	0.309	0.163	0.0	0.196	1.043	0.042	2.352	3.869	0.0	0.062	0.0	0.267	0.059	0.216	0.591	0.523	0.061	0.62	3.012	0.0	0.369	0.266	0.0	0.698	0.178	24.099	0.294
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				0.0	0.0	0.0	12.938	0.418	0.042	0.0	1.337	7.097	2.102	0.0	6.532	0.0	0.0	0.43	1.22	0.0	3.769	0.076	0.0	0.0	1.398	0.0	0.0	0.476	0.195	1.564	0.0	0.249	0.961	1.507	0.184	3.091	0.0	2.472	2.195	0.292	2.661	1.238	0.0	0.078	0.816	0.046	0.748	0.052	0.761	0.185	8.535	0.371	0.093	0.0	0.0	0.0	0.0	13.472	1.321	0.628	0.0	0.569	0.31	0.202	0.024	5.313	0.01	0.809	0.0	0.477	1.783	5.055	1.733	0.0	0.0	0.0	20.284	0.112	0.024	0.0	2.223	0.173	0.806	2.585	0.345	0.057	1.949	0.0	0.035	0.812	0.552	0.886	24.328	0.0	0.591	5.214	2.088	1.669	6.786	0.0	1.166	0.187	12.974	10.501	2.852	0.0	7.791	5.697	1.922	36.217	0.037	3.669	3.394	6.037	0.0	0.07	0.0	1.13	14.801	0.0	0.321	0.0	0.0	0.788	0.169	0.0	0.116	0.0	0.0	0.098	0.08	0.034	0.0	0.301	0.23	4.122	0.82	0.111	0.294	0.173	0.0	4.575	0.246	0.517	0.0	0.0	0.493	0.102	0.283	1.309	0.284	0.142	2.905
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	9.555	0.0	0.0	13.638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family				32.024	0.185	0.0	11.098	0.628	1.22	33.462	2.394	1.043	2.005	0.943	4.784	0.232	0.0	0.43	2.896	3.82	0.951	0.557	0.0	0.078	0.466	2.873	0.037	0.0	5.603	0.069	0.0	0.0	0.0	1.381	0.23	3.974	2.16	2.472	1.609	0.319	1.106	1.206	0.091	0.274	0.408	0.411	0.0	0.209	0.0	0.044	0.282	0.499	0.156	0.016	0.0	1.006	0.0	0.0	0.087	0.179	1.734	1.378	0.0	0.006	0.024	0.149	0.02	0.588	0.0	2.29	0.036	0.643	0.0	0.0	0.0	0.223	0.422	0.168	0.095	0.0	0.047	0.0	0.101	0.118	0.018	0.0	0.0	0.084	0.035	0.325	0.0	0.04	0.0	0.0	0.0	3.929	0.104	0.0	0.0	0.188	0.0	1.247	0.0	0.0	0.655	0.0	0.04	0.0	0.034	0.044	0.0	0.018	0.0	0.0	0.099	0.352	0.0	0.075	0.063	0.0	0.0	0.0	0.612	0.0	0.169	0.287	0.039	0.0	0.0	0.0	2.247	0.084	0.336	0.516	0.552	0.5	12.023	0.378	0.705	0.475	0.0	0.0	0.0	1.551	0.0	0.0	0.246	1.33	0.236	0.087	5.581	0.0	6.723
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae	family				1.134	0.0	0.0	0.0	0.662	0.004	0.592	0.0	0.0	0.0	0.42	1.61	0.0	0.3	0.08	0.229	0.0	0.0	0.0	0.0	0.049	4.037	0.0	0.0	0.0	0.039	0.278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.699	0.0	0.0	0.0	0.0	0.0	0.0	0.445	0.068	0.0	0.0	0.38	0.0	0.0	0.151	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.145	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.238	0.0	0.963	0.0	0.0	0.0	0.046	0.0	0.0	0.022	0.0	0.086	0.0	1.569	0.184	1.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.098
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				0.175	0.0	0.0	0.0	0.0	0.035	0.325	0.0	0.0	1.46	0.0	0.0	0.033	0.54	0.0	1.448	0.0	0.509	0.0	0.0	0.253	1.553	5.027	0.0	0.286	0.0	3.092	0.893	0.0	0.661	0.251	0.46	0.883	0.196	1.934	1.829	0.119	0.553	1.302	0.319	0.196	2.263	0.513	0.683	0.078	0.0	0.141	0.015	0.046	0.0	0.0	0.0	0.0	0.483	18.4	3.833	5.112	0.723	0.689	0.648	0.05	0.0	0.512	0.039	0.074	0.382	1.288	0.546	2.665	11.314	0.428	0.0	0.179	0.729	0.028	0.395	0.731	1.277	0.633	0.655	6.345	0.456	0.072	1.949	0.0	0.018	2.031	0.953	2.215	5.245	0.0	0.636	0.0	28.288	28.245	68.959	1.314	0.583	0.437	21.463	30.226	0.0	0.0	46.304	0.0	17.431	8.869	0.335	7.589	2.571	8.374	0.395	0.915	0.32	0.151	34.713	0.0	0.12	0.0	0.0	1.694	14.746	0.0	0.232	1.143	0.026	0.196	0.562	0.017	0.56	5.89	1.979	0.625	6.311	0.845	3.817	0.0	0.0	1.569	0.614	0.931	3.614	0.49	0.616	0.757	0.047	4.45	0.071	0.204	2.317
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family				0.0	13.83	0.0	0.0	0.105	0.0	0.0	0.404	0.08	0.0	0.637	0.0	1.555	0.42	0.064	0.0	0.335	23.905	0.0	0.0	0.0	9.783	3.591	1.605	0.952	0.195	7.366	0.279	0.561	0.0	1.569	0.023	2.428	0.393	0.484	4.865	0.0	0.76	4.063	0.091	0.0	0.241	0.24	5.76	1.542	0.0	0.238	0.148	0.0	14.01	0.281	0.0	0.0	0.0	0.181	5.457	1.883	8.815	31.756	0.254	0.353	0.189	1.387	0.068	0.441	3.982	0.573	0.4	0.0	2.937	0.0	0.0	0.58	0.154	2.858	0.671	3.256	1.845	0.115	2.218	0.588	0.924	0.029	0.103	0.327	0.424	0.65	1.204	0.443	0.0	0.0	1.136	1.643	0.104	0.124	0.057	0.563	0.146	10.727	0.0	0.526	1.04	0.0	0.0	0.0	0.101	0.0	0.0	0.107	0.0	0.0	0.099	2.535	1.281	0.301	0.031	1.377	0.241	0.575	1.835	1.024	0.127	73.372	0.541	20.838	0.0	3.816	0.562	0.159	1.456	1.72	0.736	0.125	3.376	0.622	1.174	0.735	0.148	0.392	0.061	0.827	8.434	0.0	2.956	1.78	0.142	0.436	0.391	0.0	0.261
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.417	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.115	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family				0.0	0.667	0.0	0.0	2.283	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.0	0.11	0.0	0.691	2.19	0.046	0.0	0.0	0.228	0.716	0.34	0.0	0.0	0.252	0.0	0.0	0.0	0.0	0.0	0.242	0.316	0.087	0.0	0.723	1.019	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.426	0.0	0.101	0.0	0.018	0.0	1.026	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.0	0.0	0.0	0.236	0.0	0.0	0.309	0.979	0.0	0.0	0.0	0.0	0.112	0.0	0.23	0.0	0.0	0.178	0.117	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.716	0.0	0.0	0.107	65.235	0.033
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus				0.0	0.408	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.058	0.495	0.0	0.0	0.12	0.032	0.686	0.0	0.306	0.025	0.0	0.165	0.466	1.436	0.448	1.143	0.0	1.251	0.0	0.0	0.0	0.251	0.069	0.0	0.0	1.827	0.329	0.013	0.484	0.286	0.0	0.0	0.668	0.0	0.325	0.105	0.0	0.079	0.059	0.197	0.031	0.031	0.0	0.091	0.0	0.362	0.433	0.0	0.0	0.33	0.0	0.0	0.0	0.107	0.0	0.809	0.159	0.048	0.255	0.0	2.696	0.183	0.0	0.179	0.019	0.056	0.2	0.199	2.271	0.058	0.806	0.353	0.025	0.043	1.333	0.0	0.159	1.462	0.1	0.483	0.088	0.0	0.0	0.0	4.28	1.422	0.213	0.438	0.437	0.343	0.0	0.175	0.848	0.023	0.2	4.119	22.859	0.218	0.0	0.0	11.862	0.0	0.0	0.141	0.0	0.226	0.0	0.081	0.361	0.0	0.0	0.276	3.729	0.192	0.039	0.163	0.0	0.294	1.043	0.277	0.0	0.516	0.736	0.937	2.24	0.044	0.294	0.216	0.0	0.131	0.184	0.0	2.41	0.0	0.123	0.164	0.0	0.262	0.213	0.0	17.95
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus				0.0	0.0	0.0	1.365	0.0	0.004	0.0	0.0	0.802	2.092	0.203	0.368	0.331	0.0	0.0	0.61	0.195	0.509	0.101	0.058	0.039	4.348	1.077	0.0	0.0	0.0	0.278	0.0	0.0	0.36	0.0	0.0	0.0	0.0	1.558	0.512	0.0	0.968	1.873	0.228	0.157	0.631	0.183	0.0	0.105	0.707	0.026	0.326	0.0	0.0	0.047	0.0	0.0	0.0	1.266	0.227	0.359	0.0	0.12	0.169	0.0	0.0	0.277	0.088	0.147	0.0	1.288	1.456	4.504	1.059	0.183	0.0	0.089	0.058	0.0	0.067	0.0	0.615	0.345	0.353	1.41	0.055	0.014	2.256	0.0	0.018	0.487	0.15	0.443	9.299	0.0	0.0	0.0	0.626	9.023	0.106	0.0	0.146	0.031	5.418	0.301	0.655	0.0	0.0	3.067	0.202	5.548	0.019	1.969	0.446	3.505	0.0	0.0	0.0	0.075	3.888	0.243	0.04	0.0	0.0	0.591	1.568	0.0	0.0	0.163	0.0	0.196	0.08	0.0	0.224	0.129	0.138	0.75	0.189	0.133	0.117	0.043	0.0	2.353	0.0	1.655	6.024	0.0	0.616	0.205	0.425	0.175	0.142	0.061	2.97
