Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015277-PTO	S700015653-PTO	S700016162-PTO	S700016327-PTO	S700016368-PTO	S700016584-PTO	S700016640-PTO	S700016941-PTO	S700021868-PTO	S700021906-PTO	S700023005-PTO	S700023261-PTO	S700023315-PTO	S700023412-PTO	S700023469-PTO	S700023570-PTO	S700023684-PTO	S700023780-PTO	S700023837-PTO	S700023894-PTO	S700023960-PTO	S700024017-PTO	S700024058-PTO	S700024121-PTO	S700024179-PTO	S700024225-PTO	S700024284-PTO	S700024332-PTO	S700024371-PTO	S700024427-PTO	S700024484-PTO	S700024533-PTO	S700024580-PTO	S700024629-PTO	S700024665-PTO	S700024725-PTO	S700024782-PTO	S700024819-PTO	S700024896-PTO	S700024940-PTO	S700024990-PTO	S700033011-PTO	S700033173-PTO	S700033468-PTO	S700033769-PTO	S700037066-PTO	S700037214-PTO	S700037462-PTO	S700037574-PTO	S700037726-PTO	S700038045-PTO	S700038241-PTO	S700038378-PTO	S700038464-PTO	S700038512-PTO	S700038560-PTO	S700038608-PTO	S700038716-PTO	S700038992-PTO	S700095392-PTO	S700095449-PTO	S700096305-PTO	S700097273-PTO	S700097333-PTO	S700097670-PTO	S700098309-PTO	S700098401-PTO	S700098974-PTO	S700099041-PTO	S700099101-PTO	S700099629-PTO	S700099785-PTO	S700100269-PTO	S700101677-PTO	S700102281-PTO	S700102627-PTO	S700102944-PTO	S700103255-PTO	S700103319-PTO	S700103460-PTO	S700103529-PTO	S700103599-PTO	S700103635-PTO	S700103686-PTO	S700105025-PTO	S700105079-PTO	S700105138-PTO	S700105195-PTO	S700105252-PTO	S700105298-PTO	S700105386-PTO	S700105431-PTO	S700105506-PTO	S700105660-PTO	S700105699-PTO	S700105753-PTO	S700105820-PTO	S700105918-PTO	S700106032-PTO	S700106107-PTO	S700106374-PTO	S700106426-PTO	S700106534-PTO	S700106593-PTO	S700106629-PTO	S700106677-PTO	S700106737-PTO	S700106851-PTO	S700106890-PTO	S700106960-PTO	S700113001-PTO	S700113049-PTO	S700113085-PTO	S700113132-PTO	S700113517-PTO	S700113592-PTO	S700113630-PTO	S700113688-PTO	S700113832-PTO	S700113946-PTO	S700114031-PTO	S700114080-PTO	S700114139-PTO	S700114203-PTO	S700114260-PTO	S700114317-PTO	S700114365-PTO	S700114401-PTO	S700114531-PTO	S700114572-PTO	S700114629-PTO	S700114693-PTO	S700114741-PTO	S700114791-PTO	S700114848-PTO	S700114896-PTO	S700114953-PTO	S700116231-PTO	S700116318-PTO	S700116372-PTO	S700116582-PTO	S700116633-PTO	S700116792-PTO	S700116852-PTO	S700117014-PTO	S700117674-PTO	S700117731-PTO	S700117842-PTO	S700117968-PTO	S700118452-PTO
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order				0.125	0.387	0.392	0.291	0.086	0.72	0.101	0.327	5.74	0.815	0.609	0.977	0.696	0.552	0.068	0.844	0.329	2.917	2.536	2.065	0.745	0.94	0.656	0.881	0.436	0.012	0.97	0.478	2.606	3.286	0.136	3.298	0.571	0.974	1.132	0.645	0.033	2.119	2.691	3.647	0.731	0.566	0.482	0.984	0.45	6.686	5.988	0.25	0.321	0.495	1.132	0.573	0.099	6.682	1.541	0.656	3.639	2.162	10.871	0.028	0.71	0.871	0.678	4.955	8.719	0.809	1.748	2.483	1.561	0.064	0.455	0.998	1.991	0.713	0.172	2.936	0.691	2.65	0.388	1.557	0.363	1.572	3.026	10.929	1.127	0.815	2.544	1.812	0.523	0.852	3.129	0.346	0.39	1.605	1.712	0.606	2.095	0.395	14.789	3.511	0.59	0.557	0.385	4.969	0.478	6.098	0.708	1.981	0.649	2.987	1.43	3.603	0.202	0.33	0.0	0.726	10.054	0.317	0.083	0.915	0.218	1.512	0.876	0.194	0.259	0.126	3.07	0.042	0.205	0.819	1.181	0.84	0.871	0.536	0.16	0.26	4.667	0.392	1.719	0.849	0.611	0.817	0.0	0.6	3.692	0.442	2.151	6.372	0.389	0.046
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order				0.036	0.043	0.0	0.203	0.099	0.064	0.0	0.036	0.055	0.489	0.09	0.124	0.432	0.086	1.015	0.015	0.72	0.852	0.063	0.054	0.158	1.669	0.1	2.486	1.59	0.542	0.16	0.036	0.12	0.138	0.123	0.0	0.078	9.538	0.0	0.66	2.598	0.013	0.014	0.066	0.075	0.05	0.037	0.333	0.01	0.034	0.466	0.295	1.389	0.037	0.233	0.196	0.05	0.039	0.055	0.609	0.331	0.007	0.73	0.028	0.0	0.0	0.041	0.0	1.141	0.0	0.141	0.386	0.096	0.509	0.057	0.2	0.068	0.079	0.013	0.122	0.015	0.0	0.835	0.439	0.135	0.0	0.06	0.117	0.059	0.033	0.105	0.0	11.788	4.31	0.081	0.058	0.177	0.331	0.197	0.0	0.07	0.0	1.595	0.0	0.0	1.685	1.74	0.018	0.014	0.099	0.012	0.0	0.0	0.0	0.296	0.099	0.759	0.165	0.0	0.023	0.064	0.799	0.595	0.165	0.011	0.495	0.101	0.0	1.078	0.021	2.0	8.673	0.0	0.0	0.172	3.492	0.064	0.284	0.725	7.358	0.046	0.825	0.115	0.0	0.099	0.775	2.354	0.21	0.0	0.801	0.059	0.38	0.035	0.023
Bacteria;Synergistota;Synergistia;Synergistales	order				0.107	0.0	0.0	0.026	0.0	0.032	0.0	0.0	0.0	0.089	0.045	0.016	0.0	0.0	0.085	0.0	0.031	0.013	0.0	0.0	0.014	0.042	0.029	0.584	0.623	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.005	0.0	0.0	0.0	0.457	0.068	0.0	0.057	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.114	0.0	0.026	0.0	0.015	0.0	0.0	0.353	0.0	0.0	0.0	0.009	0.0	0.0	0.016	0.0	0.0	0.552	0.034	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.014	0.0	0.0	0.0	0.013	0.017	0.0	0.0	0.209	0.0	0.0	0.0	0.0	0.013	1.051	0.0	0.0	0.043	1.403	0.0	0.0	0.147	0.217	0.0	0.0	0.0	0.0	0.014	0.042	0.0	0.016	0.0	0.041	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1]	order				0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order				0.054	0.012	0.0	0.0	0.062	0.176	0.0	0.0	0.041	0.015	0.812	0.016	1.647	0.0	0.0	0.051	1.409	0.413	0.0	0.08	0.0	0.281	0.029	2.04	0.327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.161	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.991	0.0	0.069	0.015	0.0	0.022	0.0	0.035	0.017	0.085	0.403	0.028	0.0	0.0	0.0	0.0	0.32	0.024	0.056	0.0	0.0	0.025	2.133	0.057	0.017	0.0	0.0	0.031	0.015	0.0	0.611	0.03	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.233	0.009	0.0	0.115	0.142	0.0	0.0	0.0	0.0	0.0	0.311	0.043	0.0	0.0	0.167	0.0	0.007	0.015	0.0	0.166	0.0	0.0	0.025	0.0	3.827	0.069	0.0	0.012	0.016	1.762	0.0	0.0	0.011	0.0	0.02	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.15	0.889	0.024	0.032	0.086	0.0	0.069	0.016	0.015	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.01	0.0	0.018	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family				0.0	0.018	0.0	0.0	0.0	0.032	0.0	0.0	0.874	0.015	0.0	0.791	1.815	0.017	0.0	0.64	0.751	0.093	0.063	0.013	0.129	0.084	0.0	0.654	0.062	0.0	0.331	0.0	0.0	1.517	1.565	0.0	0.0	5.336	0.136	0.176	0.0	0.0	0.159	0.049	0.112	0.0	0.019	1.291	0.19	0.0	0.172	0.0	0.476	0.11	0.321	0.301	0.0	0.0	6.964	0.0	4.995	0.243	0.025	0.0	0.089	0.0	1.099	0.154	0.046	0.0	0.0	0.0	0.048	0.432	0.0	0.0	0.102	0.053	0.011	0.092	0.0	0.0	0.0	0.768	0.067	0.0	0.0	0.014	0.049	0.0	0.147	0.0	1.395	6.422	0.007	0.0	0.0	0.038	0.0	0.513	0.0	0.0	0.207	0.121	0.312	0.0	0.653	0.0	0.0	5.083	0.0	0.133	0.011	0.015	0.542	0.873	0.0	0.0	0.0	0.311	0.0	0.025	0.0	0.135	0.0	0.035	0.01	0.0	0.0	0.0	0.315	0.028	0.0	0.08	0.0	0.163	1.006	0.709	0.098	0.695	3.701	0.016	0.443	0.0	0.412	0.0	0.0	0.242	0.0	0.0	0.039	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family				1.344	4.945	14.4	0.997	1.492	1.008	2.206	0.774	5.053	13.964	2.66	3.537	3.278	16.037	6.054	9.719	3.225	8.045	7.89	13.385	7.675	8.011	17.531	1.396	6.796	0.084	6.505	2.679	11.826	3.148	3.835	3.033	6.024	3.779	10.502	4.077	3.098	8.691	7.84	8.229	14.677	7.335	0.575	1.676	4.345	16.85	5.791	2.696	0.427	8.122	1.68	8.681	17.921	9.528	4.074	7.121	7.443	7.727	9.461	2.6	2.73	11.417	2.74	3.171	2.328	0.785	3.721	4.688	7.731	1.424	3.972	0.627	4.323	0.713	0.738	1.621	2.949	2.193	26.452	0.0	5.277	7.408	3.462	0.0	16.266	13.655	8.726	6.693	0.276	0.647	0.0	0.208	8.286	0.0	6.743	0.0	10.794	2.712	5.924	5.659	0.312	7.111	2.359	12.735	0.0	1.885	10.383	2.586	0.0	3.362	3.345	6.755	5.007	5.222	6.357	4.762	6.02	3.701	2.494	9.977	8.473	2.798	8.928	0.233	1.091	2.209	0.629	0.869	2.528	5.688	10.348	1.583	3.499	2.081	5.506	0.803	3.356	2.622	11.183	2.806	4.772	3.897	6.182	18.235	16.771	18.936	17.48	13.354	7.42	2.704
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family				0.0	0.135	0.024	0.132	0.037	0.0	0.029	0.012	0.0	0.0	0.0	0.016	0.0	0.017	0.034	0.007	0.0	0.009	0.052	0.022	0.014	0.019	0.029	0.003	0.057	0.024	0.0	0.012	0.0	0.0	0.002	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.074	0.052	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.048	0.008	0.028	0.0	0.0	0.0	0.032	0.0	0.046	0.0	0.035	0.0	0.027	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.045	5.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.009	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.019	0.0	0.0	0.0	0.0	0.0	0.016	0.008	0.027	0.0	0.021	0.0	0.0	0.009	0.041	0.01	0.0	0.0	0.008
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family				3.529	3.931	7.159	0.468	1.073	1.2	2.754	3.253	0.337	1.468	0.857	1.272	0.672	1.259	1.539	4.649	2.927	0.479	0.689	0.121	3.766	0.435	1.91	0.089	0.281	0.723	0.037	1.926	0.12	0.15	0.362	1.788	0.228	0.36	0.482	0.44	5.03	0.71	1.924	0.821	1.706	12.675	0.854	0.905	0.24	2.482	0.245	0.442	0.136	1.082	0.333	0.799	1.011	0.504	1.294	0.691	0.182	0.394	0.352	3.042	1.398	3.347	2.32	0.661	1.21	2.284	0.592	0.786	8.259	0.331	1.555	1.197	7.233	1.558	6.597	2.156	5.268	0.221	0.341	0.0	0.862	0.626	0.889	0.0	0.148	0.31	0.252	7.004	0.145	0.0	0.0	0.0	0.674	0.0	0.0	0.012	1.356	3.598	0.373	0.035	0.033	0.788	1.305	5.613	0.0	0.053	0.183	0.445	0.0	1.396	0.099	0.296	0.691	1.031	3.632	1.949	0.445	0.152	6.591	1.005	0.087	0.443	0.775	1.613	0.668	0.358	0.629	0.084	1.777	0.386	0.687	0.775	0.12	0.221	2.2	0.087	1.011	1.348	0.741	5.269	0.838	1.257	7.636	0.203	0.723	2.859	0.687	8.316	2.367	3.239
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family				0.09	0.577	0.1	1.323	0.012	0.0	0.072	0.012	0.0	0.0	0.0	0.0	0.176	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.02	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.016	0.0	0.0	0.147	0.133	0.0	0.0	0.491	0.015	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.013	0.047	0.0	0.0	0.0	0.005	0.076	0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.044	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.056	0.015	0.017	0.018	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	1.072	0.0	0.0	0.016	0.076	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.077	0.023	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family				0.0	0.104	1.161	0.344	0.012	0.272	0.115	0.012	0.737	0.919	0.09	0.264	0.24	1.121	0.44	0.08	0.564	0.613	0.157	1.019	0.988	3.03	0.47	0.208	0.125	0.205	0.11	0.323	0.361	0.339	0.019	0.397	0.116	0.487	0.168	0.308	0.133	0.076	0.26	1.002	0.769	0.266	0.037	0.172	0.04	0.304	0.957	0.074	0.117	0.44	0.208	0.347	1.708	0.874	0.11	0.41	0.579	0.112	1.736	1.162	0.0	0.092	0.231	0.815	6.779	0.0	3.158	1.974	0.6	1.411	0.578	0.114	0.391	0.291	0.194	1.025	0.184	0.631	1.211	0.0	0.108	0.582	0.445	0.0	0.316	0.75	0.463	0.427	0.029	0.0	0.0	0.0	0.248	0.0	0.152	0.0	0.88	0.055	0.29	0.285	0.0	1.159	0.117	0.129	0.0	0.107	0.354	0.239	0.0	0.435	0.493	0.45	0.725	0.701	0.799	0.012	0.635	0.824	0.413	0.075	0.207	0.304	0.443	0.0	0.191	0.042	1.157	0.042	0.319	0.305	0.343	0.906	0.016	0.079	0.479	0.022	0.046	0.735	0.405	0.807	0.256	0.23	0.392	0.296	0.2	2.583	1.601	0.884	0.035	0.015
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family				0.018	0.018	0.0	0.0	0.0	0.016	0.0	0.0	0.064	0.193	0.09	0.0	0.112	0.0	0.0	0.0	1.706	0.2	0.0	0.282	0.0	0.0	0.029	0.01	1.605	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.466	0.0	0.043	0.049	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.055	0.013	0.0	0.017	0.086	0.0	0.176	0.017	0.0	0.176	0.028	0.0	0.0	0.0	0.0	0.457	0.0	0.028	0.062	0.024	0.025	0.417	0.257	0.0	0.0	0.0	0.046	0.0	0.008	0.082	0.479	0.0	0.015	0.0	0.0	0.0	0.147	0.0	0.035	1.453	0.0	0.0	0.012	0.231	0.0	0.0	0.0	0.247	0.0	0.0	0.0	0.0	0.0	0.134	0.0	0.0	0.0	0.0	0.007	0.659	0.0	0.074	0.0	0.169	0.027	0.0	0.0	0.016	0.406	0.0	0.0	0.0	0.739	0.0	0.0	0.0	0.0	0.113	4.358	0.0	0.0	0.708	0.759	0.008	0.236	0.295	4.471	0.046	0.09	0.0	0.0	0.028	0.21	4.766	0.07	0.0	0.0	0.0	0.0	0.035	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family				0.036	0.0	0.0	0.0	0.025	0.0	0.0	0.036	0.023	0.0	0.0	0.0	1.287	0.0	0.152	0.0	0.016	0.0	0.0	0.0	0.1	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.0	0.011	0.0	0.469	2.365	0.0	0.0	0.0	0.019	0.017	0.019	0.021	0.0	0.0	0.025	0.0	0.039	0.0	0.132	0.0	0.0	0.022	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.046	0.0	0.0	0.0	0.048	0.0	3.261	0.342	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	14.622	0.094	0.007	0.069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.674	0.0	0.0	0.0	0.0	0.007	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.033	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.742	0.0	0.016	0.049	0.0	0.0	0.221	0.023	0.0	0.0	0.168	0.0	0.031	0.0	0.014	0.0	0.018	0.0	0.008
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family				2.418	1.745	0.481	0.75	9.594	2.928	7.339	2.286	0.665	1.364	9.626	2.141	6.556	0.241	0.93	2.75	1.659	2.078	3.663	1.086	0.029	2.245	0.029	5.982	3.522	0.0	4.762	1.651	0.2	1.003	18.666	0.291	0.629	2.138	2.358	10.091	0.0	3.4	4.007	0.378	2.118	0.532	0.854	13.618	5.953	0.118	0.933	5.466	11.636	5.519	6.373	10.128	0.398	0.491	4.569	0.96	1.522	9.705	0.403	0.857	3.529	1.605	4.816	2.378	0.228	3.735	0.367	0.478	1.008	0.61	1.602	0.713	2.28	1.955	0.932	6.01	1.352	0.355	0.059	6.357	6.031	0.0	0.171	0.75	0.208	0.065	0.484	2.285	5.131	9.744	2.708	3.832	0.905	0.318	0.47	3.93	0.546	1.949	0.621	1.104	4.412	0.325	3.129	0.828	0.099	4.556	0.683	1.443	10.954	0.63	18.642	2.969	3.81	3.985	0.799	10.446	0.492	5.653	1.107	2.176	4.367	1.451	3.483	8.685	6.643	10.036	13.046	7.314	1.435	9.769	1.03	4.349	11.335	14.455	0.442	5.969	7.31	6.175	3.827	0.041	4.871	12.277	12.153	4.826	6.609	1.989	0.246	0.928	8.057	6.919
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				3.977	4.718	9.536	2.382	4.624	6.577	6.747	1.971	26.848	9.902	16.907	9.929	14.08	14.985	20.074	3.172	16.077	19.406	9.017	19.474	7.045	14.198	8.808	21.551	10.801	24.931	8.052	6.531	24.273	32.042	4.431	13.51	26.163	23.798	12.64	13.743	14.823	8.589	13.294	12.369	6.673	7.452	1.113	12.723	2.967	19.973	21.129	27.902	19.289	13.861	22.553	9.013	19.96	18.995	16.983	23.448	9.643	7.615	20.232	13.219	2.175	5.273	5.209	11.121	25.679	0.88	27.291	14.911	10.3	19.189	13.519	3.05	7.284	8.822	3.11	9.711	3.655	26.313	19.034	12.554	5.17	18.542	15.295	19.773	8.929	12.954	13.982	6.254	16.599	24.191	3.719	8.817	7.204	25.436	7.001	9.643	24.74	5.452	12.966	12.043	2.306	18.349	14.138	0.442	12.525	16.905	9.309	18.21	7.955	7.25	11.787	17.872	20.482	15.171	7.083	4.75	18.964	21.219	29.832	6.782	11.737	27.042	16.376	5.887	31.81	7.216	16.228	25.053	20.782	19.65	18.57	17.133	7.956	7.787	12.525	16.996	29.126	16.426	15.599	13.179	13.563	12.026	15.828	7.032	6.217	18.95	20.574	13.469	9.7	8.43
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family				0.018	0.031	0.0	0.0	0.0	0.016	0.0	0.0	0.76	0.059	0.361	0.434	0.328	0.0	0.0	0.407	0.0	0.04	1.221	2.615	0.0	0.589	0.014	0.258	0.499	0.0	0.123	0.0	0.481	0.527	0.013	0.04	0.017	0.011	0.0	0.161	0.0	0.025	0.376	0.394	0.019	0.033	0.019	0.094	0.839	0.0	0.098	0.103	0.165	0.0	0.069	0.407	0.033	0.112	0.936	0.047	1.224	0.217	0.176	0.0	0.688	0.321	0.041	0.0	0.114	0.0	0.0	0.0	0.048	0.0	0.313	0.257	0.119	0.0	0.0	0.015	0.0	0.0	0.024	0.12	0.337	0.0	0.265	0.798	0.0	0.081	0.126	0.0	3.692	0.026	0.081	0.023	0.018	0.025	0.061	0.0	0.07	0.0	0.994	0.604	0.0	0.386	0.033	0.055	0.007	0.519	0.024	0.791	0.032	0.0	0.164	0.113	0.034	0.11	0.0	0.0	0.365	0.368	0.0	0.27	0.415	0.0	0.674	0.0	0.014	0.063	0.013	0.14	0.0	0.032	0.215	0.555	0.04	0.567	0.012	0.282	0.023	0.0	1.352	0.014	0.597	0.105	0.0	1.076	0.192	0.055	0.236	0.327	0.018	0.008
