Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014973-TDO	S700015265-TDO	S700015641-TDO	S700015999-TDO	S700016063-TDO	S700016154-TDO	S700016319-TDO	S700016360-TDO	S700016576-TDO	S700016628-TDO	S700021687-TDO	S700021697-TDO	S700021860-TDO	S700023080-TDO	S700023214-TDO	S700023247-TDO	S700023305-TDO	S700023404-TDO	S700023461-TDO	S700023515-TDO	S700023562-TDO	S700023676-TDO	S700023772-TDO	S700023829-TDO	S700023886-TDO	S700023952-TDO	S700024009-TDO	S700024050-TDO	S700024169-TDO	S700024215-TDO	S700024276-TDO	S700024324-TDO	S700024363-TDO	S700024417-TDO	S700024476-TDO	S700024525-TDO	S700024572-TDO	S700024621-TDO	S700024657-TDO	S700024717-TDO	S700024774-TDO	S700024811-TDO	S700024888-TDO	S700024932-TDO	S700024982-TDO	S700033164-TDO	S700033455-TDO	S700033761-TDO	S700037058-TDO	S700037206-TDO	S700037454-TDO	S700037566-TDO	S700037582-TDO	S700037718-TDO	S700038037-TDO	S700038233-TDO	S700038370-TDO	S700038456-TDO	S700038504-TDO	S700038552-TDO	S700038600-TDO	S700038708-TDO	S700038767-TDO	S700038984-TDO	S700095384-TDO	S700095441-TDO	S700097265-TDO	S700097325-TDO	S700097662-TDO	S700098301-TDO	S700098393-TDO	S700099033-TDO	S700099093-TDO	S700099621-TDO	S700099777-TDO	S700100261-TDO	S700101669-TDO	S700102273-TDO	S700102619-TDO	S700102936-TDO	S700103247-TDO	S700103311-TDO	S700103452-TDO	S700103521-TDO	S700103627-TDO	S700103678-TDO	S700105017-TDO	S700105071-TDO	S700105130-TDO	S700105187-TDO	S700105244-TDO	S700105290-TDO	S700105340-TDO	S700105378-TDO	S700105423-TDO	S700105498-TDO	S700105596-TDO	S700105652-TDO	S700105691-TDO	S700105745-TDO	S700105812-TDO	S700105862-TDO	S700105910-TDO	S700105942-TDO	S700106024-TDO	S700106099-TDO	S700106366-TDO	S700106418-TDO	S700106526-TDO	S700106585-TDO	S700106621-TDO	S700106669-TDO	S700106843-TDO	S700106882-TDO	S700106952-TDO	S700108989-TDO	S700113041-TDO	S700113077-TDO	S700113124-TDO	S700113509-TDO	S700113584-TDO	S700113622-TDO	S700113680-TDO	S700113824-TDO	S700113938-TDO	S700114023-TDO	S700114072-TDO	S700114133-TDO	S700114195-TDO	S700114252-TDO	S700114309-TDO	S700114357-TDO	S700114523-TDO	S700114564-TDO	S700114621-TDO	S700114685-TDO	S700114733-TDO	S700114783-TDO	S700114840-TDO	S700114888-TDO	S700114945-TDO	S700114993-TDO	S700116223-TDO	S700116310-TDO	S700116364-TDO	S700116574-TDO	S700116625-TDO	S700116784-TDO	S700116844-TDO	S700117006-TDO	S700117666-TDO	S700117723-TDO	S700117834-TDO	S700117960-TDO	S700117998-TDO
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				10.736	4.441	14.862	10.418	13.272	20.401	12.662	11.099	16.133	11.588	10.327	6.178	8.634	5.818	11.442	7.79	6.372	18.357	14.54	7.908	9.268	8.035	15.276	9.985	14.796	14.856	10.305	9.174	11.078	13.218	5.499	6.577	11.94	10.851	12.772	15.313	14.392	16.774	7.092	13.768	10.169	9.571	7.995	11.034	8.372	9.703	6.083	8.124	15.82	12.625	12.169	7.964	7.464	14.732	12.172	11.48	19.696	13.623	8.404	15.617	8.27	6.68	13.891	12.162	17.486	6.595	4.192	10.537	15.968	5.131	23.109	13.037	30.385	7.003	22.311	7.797	14.847	8.278	12.558	14.846	22.841	12.534	8.712	6.376	14.424	10.825	18.54	10.553	16.809	14.06	10.662	8.612	9.82	7.447	23.212	16.988	10.721	13.623	11.169	16.242	16.141	10.814	6.397	12.854	8.652	12.781	4.429	18.342	8.51	13.92	18.19	14.562	12.994	14.739	7.662	3.236	7.521	13.458	20.015	14.742	2.563	12.523	17.397	16.745	6.446	17.589	11.129	9.061	2.545	20.414	6.263	5.978	6.763	8.783	25.041	5.959	10.054	9.357	11.891	7.514	8.977	11.17	18.322	16.001	14.41	16.279	12.529	19.34	13.193	10.904	10.916	10.81	15.395	7.42	7.866
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				13.256	5.363	6.167	0.179	0.563	1.065	1.17	5.508	1.782	14.051	2.717	14.271	3.58	23.017	8.243	11.203	8.509	0.094	1.672	0.37	13.798	5.379	0.171	10.256	3.601	0.0	6.082	0.262	10.45	0.133	6.798	11.532	8.447	7.467	16.259	0.256	4.848	0.982	6.344	4.438	0.379	1.062	2.759	3.378	6.766	10.08	25.495	15.37	1.173	5.299	2.605	22.997	18.815	1.708	6.778	9.455	0.458	0.646	13.143	3.212	9.415	12.78	0.78	1.118	0.026	10.011	17.681	7.253	0.24	1.432	1.927	1.5	0.196	5.562	1.436	3.658	0.999	2.241	2.862	1.456	2.135	0.825	17.287	4.792	5.372	5.664	3.741	10.888	0.868	4.734	10.043	1.794	3.701	13.103	8.263	0.695	0.218	11.484	3.352	6.847	1.99	4.832	3.042	0.581	4.093	9.244	2.55	0.297	13.547	0.085	0.436	13.082	11.3	5.047	0.736	0.263	3.882	0.687	0.515	0.014	10.689	0.535	1.457	0.399	8.067	13.391	3.192	7.323	1.44	0.247	9.044	7.245	6.074	8.394	5.173	5.537	5.118	14.71	0.632	1.586	4.317	4.744	0.022	13.066	0.333	2.933	5.109	0.765	6.453	8.606	0.39	4.069	0.561	1.54	4.275
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				6.634	0.269	0.453	0.045	0.152	0.157	5.262	0.397	0.568	0.284	0.033	6.32	11.41	10.555	3.735	3.317	0.664	1.886	9.84	9.16	1.289	0.709	8.438	3.849	6.407	11.34	7.257	0.073	0.332	0.066	1.198	0.322	1.509	5.987	1.076	5.344	8.066	1.219	0.411	0.27	1.617	19.329	0.307	14.138	2.775	6.222	1.85	4.133	4.253	4.567	0.88	0.968	2.813	8.384	3.582	6.197	1.229	25.688	4.777	3.311	21.899	4.906	5.032	0.364	0.026	2.084	0.686	0.858	0.347	0.179	1.991	2.397	0.13	20.437	3.532	0.432	3.648	0.058	0.426	1.884	0.077	2.112	6.235	2.279	1.311	2.353	1.353	2.792	0.145	0.297	0.465	18.915	1.204	1.15	5.126	0.502	0.058	6.796	19.74	0.956	0.218	12.285	0.242	0.015	5.876	4.91	0.194	0.193	1.218	12.152	1.565	2.488	3.252	1.451	0.133	0.079	13.892	0.062	2.313	0.043	0.192	17.644	18.574	0.157	8.469	6.644	9.141	2.144	0.05	2.003	6.419	1.674	0.046	10.44	2.784	0.784	0.927	3.656	1.601	0.22	0.582	4.648	2.916	6.108	3.053	3.132	0.369	0.097	2.417	11.412	2.372	3.365	0.092	0.05	0.048
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.0	0.021	0.309	0.0	0.0	0.0	0.008	0.025	0.065	0.095	0.0	0.142	0.005	0.022	0.015	0.11	0.117	0.031	0.0	0.0	0.081	0.011	0.013	0.0	0.07	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.008	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.115	0.012	0.0	0.018	0.0	0.282	0.008	0.0	0.0	0.041	0.0	0.0	0.014	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.038	0.049	0.0	0.139	0.0	0.015	0.022	0.0	0.0	0.384	0.023	0.012	0.071	0.095	0.0	0.025	0.051	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065	0.0	0.0	0.039	0.0	0.008	0.0	0.0	0.0	0.04	0.0	0.179	0.0	0.0	0.024	0.045	0.0	0.0	0.0	0.008	0.02	0.007	0.02	0.0	0.0	0.0	0.0	0.014	0.027	0.0	0.042	0.014	0.0	0.0	0.008	0.018	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.078	0.0	0.0	0.104	0.0	0.0	0.0	0.01	0.0	0.011	0.0	0.0	0.0	0.0	0.065	0.0	0.046	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				6.056	36.138	2.017	0.566	0.091	0.034	0.623	2.994	1.02	8.778	0.671	19.978	10.912	4.716	17.125	11.533	23.272	1.231	1.329	4.58	3.127	10.826	0.801	14.941	0.014	1.58	12.64	0.553	5.041	0.088	24.909	17.159	0.158	11.276	13.923	8.76	14.645	3.104	32.193	12.317	23.279	0.125	32.197	1.102	4.266	6.633	7.204	4.47	0.843	4.347	23.985	5.014	12.656	1.454	14.764	12.013	3.429	0.623	17.728	11.937	0.064	12.403	2.663	0.067	0.0	9.087	18.278	4.166	0.053	1.591	0.116	3.201	0.5	3.998	0.137	8.852	6.552	7.082	5.865	3.545	10.801	0.287	17.526	30.363	9.051	13.275	6.564	16.304	0.37	0.094	8.939	4.521	32.84	9.965	0.402	0.888	0.957	5.653	3.537	24.557	0.726	20.518	30.665	27.986	15.625	10.94	34.013	0.668	30.176	0.099	9.678	6.61	0.096	2.202	1.389	18.574	16.381	0.031	0.038	7.201	30.588	13.664	0.742	0.356	14.375	10.737	6.275	6.747	28.657	0.48	28.666	22.808	45.636	13.559	3.311	19.292	8.905	13.038	4.952	2.038	10.845	7.571	0.55	0.621	5.99	1.029	11.424	1.28	14.992	1.184	0.179	0.039	12.631	0.017	26.687
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				4.064	0.668	2.204	0.967	0.959	0.796	0.488	0.595	3.307	3.3	0.753	1.728	4.088	3.531	4.702	2.161	0.458	4.924	5.797	1.252	0.371	2.262	6.955	2.017	2.136	1.547	1.678	2.213	2.467	0.818	1.627	1.228	5.051	3.398	1.092	2.915	4.468	7.405	4.42	1.303	5.368	5.714	0.664	9.729	9.495	4.088	2.022	1.194	7.864	3.004	1.091	1.375	2.688	4.919	2.901	1.644	3.778	2.446	3.511	2.728	3.483	2.559	2.663	0.687	0.742	0.322	0.559	1.054	5.661	0.199	1.461	1.67	1.174	2.632	2.906	1.403	2.788	0.522	0.721	2.722	1.547	1.287	0.957	2.367	15.817	3.606	1.837	12.758	4.146	2.984	1.172	5.833	0.756	2.884	7.498	3.398	3.815	2.734	3.816	2.088	1.903	2.351	0.526	5.496	2.531	4.052	0.389	10.1	0.647	0.905	1.86	2.382	11.724	9.576	1.716	0.447	3.55	3.669	2.703	2.656	1.261	2.374	5.057	2.736	4.222	1.44	6.508	0.946	0.335	8.657	3.109	4.057	0.596	3.449	16.82	1.689	1.11	2.608	3.112	3.23	3.857	9.633	1.51	1.386	2.821	6.319	1.039	4.494	1.0	5.83	5.231	5.313	0.814	0.397	1.098
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				0.946	3.277	1.391	3.944	0.107	0.314	0.21	8.072	7.052	5.194	5.254	1.294	0.282	1.552	0.655	1.927	2.65	0.249	0.014	0.25	4.691	0.54	0.131	0.578	0.014	0.022	0.629	0.087	3.036	0.011	1.362	1.067	0.341	0.644	0.672	0.101	0.059	0.418	0.403	2.655	1.875	0.437	2.082	0.101	0.069	0.558	2.259	0.959	0.0	0.049	0.563	0.712	1.141	0.036	0.945	0.944	0.568	0.293	0.326	0.043	0.032	1.688	0.25	0.135	1.024	17.637	15.572	12.08	4.566	18.596	0.349	5.119	2.021	5.389	0.957	13.59	0.488	13.12	5.51	0.712	0.154	0.037	0.461	0.242	0.03	0.049	0.267	0.028	0.064	0.047	0.048	0.007	0.233	0.24	0.029	0.116	0.015	0.062	0.0	0.54	0.726	0.02	1.194	0.417	0.245	0.0	1.142	0.089	1.729	0.071	0.288	0.041	0.157	0.0	2.789	20.31	0.763	0.0	0.088	0.454	0.781	0.0	0.42	0.713	0.628	0.017	0.124	0.676	9.176	0.069	0.365	1.224	2.19	0.71	0.033	2.923	6.907	1.684	1.396	0.753	0.773	3.894	0.089	0.287	2.431	1.771	5.461	1.35	3.798	1.512	0.13	0.068	0.791	4.902	1.28
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family				2.259	0.055	0.707	0.238	0.274	2.298	0.817	0.265	1.059	0.047	0.213	0.337	5.602	3.22	1.741	0.729	0.463	0.14	0.0	2.063	0.387	0.214	4.58	1.734	4.341	0.59	2.167	0.175	0.913	0.0	0.631	0.234	1.461	2.0	0.05	5.275	3.691	0.993	0.773	0.897	0.344	0.796	3.436	4.895	1.101	4.236	1.844	4.327	4.546	4.322	0.446	0.472	1.934	1.199	2.38	0.457	0.055	4.603	1.957	2.686	4.564	1.128	0.132	4.027	0.026	0.752	0.432	2.45	7.984	0.895	6.466	0.835	0.0	0.596	2.644	3.035	0.953	0.046	1.017	3.625	1.491	0.637	0.803	0.324	2.63	0.658	0.033	0.81	1.88	1.187	0.494	2.158	0.518	1.298	1.454	0.174	0.015	2.085	4.117	1.613	0.32	2.321	0.028	2.026	5.772	9.409	0.211	0.0	0.586	2.447	0.443	3.269	1.565	6.017	1.124	0.0	3.163	0.265	0.515	0.014	0.617	3.119	0.784	0.029	1.03	0.156	1.693	0.234	0.037	4.033	1.937	1.535	0.031	3.922	1.631	0.054	0.379	0.661	0.263	15.225	6.804	2.664	0.298	1.109	0.492	1.826	0.318	0.056	0.058	2.557	0.016	2.189	0.637	0.066	0.01
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family				0.0	0.0	0.068	0.0	0.0	0.0	0.008	0.033	0.039	0.0	0.0	0.135	0.0	0.0	0.03	0.454	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.012	0.0	0.011	0.042	0.0	0.012	0.0	0.025	0.0	0.0	0.027	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111	0.023	0.0	0.237	0.01	0.0	0.269	0.0	0.016	0.039	0.012	0.237	0.35	0.0	0.005	0.211	0.0	0.159	0.0	0.0	0.067	0.0	0.021	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.152	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.015	0.061	0.007	0.0	0.0	0.0	0.216	0.116	0.058	0.0	0.09	0.0	0.0	0.103	0.0	0.0	0.0	0.075	0.0	0.007	0.098	0.0	0.015	0.0	0.0	0.133	0.0	0.0	0.0	0.014	0.023	0.0	0.0	0.364	0.0	0.225	0.0	0.0	0.0	0.239	0.011	0.0	0.127	0.049	0.0	0.0	0.0	0.025	0.151	0.0	0.169	0.0	0.019	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family				0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.017	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.014	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.062	0.0	0.0	0.0	0.019	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.033	0.0	0.0	0.0	0.0	0.185	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.015	0.0	0.0	0.033	0.096	0.0	0.0	0.0	0.022	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus				0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.025	0.103	0.0	0.0	0.0	2.917	0.022	0.0	0.234	0.022	0.0	0.0	0.0	0.467	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.012	0.0	0.227	0.015	0.012	3.0	0.185	0.0	0.0	0.0	0.137	0.012	0.0	0.0	0.575	0.081	0.0	0.0	0.368	0.276	0.0	0.098	0.0	0.744	0.841	0.0	0.248	0.213	0.0	0.0	1.88	0.0	2.592	0.037	0.0	0.0	0.0	0.193	1.194	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.3	0.0	0.0	0.012	0.0	0.0	0.0	1.179	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.213	0.015	0.481	0.0	0.0	0.0	0.0	0.718	0.046	1.84	0.0	0.0	0.0	0.0	0.065	0.021	0.008	0.0	1.068	0.0	0.0	1.496	0.082	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.123	0.0	0.0	0.0	0.063	0.0	0.0	0.018	0.0	0.0	0.113	0.0	0.0	0.017	0.0	0.087	0.078	0.225	0.008	15.329	0.184	0.054	0.0	0.411	0.0	0.0	0.0	0.0	0.036	0.01	0.0	0.0	0.008	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus				2.023	0.558	2.002	2.173	1.263	2.085	5.144	0.447	1.795	0.047	1.358	1.339	0.624	1.638	3.377	2.285	1.384	5.953	3.33	2.159	0.5	1.587	3.097	2.3	8.208	1.068	2.069	0.626	1.471	0.022	1.841	0.438	4.163	0.411	0.05	3.938	1.571	2.788	1.594	0.344	0.447	7.088	0.447	1.406	5.023	5.204	0.54	0.459	2.768	2.466	2.452	1.159	2.04	2.932	0.862	1.02	2.622	0.474	0.652	2.842	1.177	0.2	2.031	1.185	0.64	1.289	0.419	2.034	1.389	0.756	2.405	1.144	0.0	1.962	2.381	0.588	1.743	0.0	1.182	6.537	0.0	19.433	0.598	0.995	2.105	1.351	2.372	0.754	1.944	3.406	0.823	1.145	0.504	2.616	0.0	3.784	3.815	0.988	3.271	0.65	7.424	1.09	0.156	3.351	4.481	4.478	0.008	26.838	0.165	4.06	0.517	0.041	0.793	1.517	0.94	0.026	1.438	0.0	1.484	3.835	0.069	0.14	5.603	0.599	1.646	0.0	0.179	1.171	0.0	3.375	1.974	0.172	1.238	3.77	1.252	0.02	0.013	0.636	1.897	0.058	0.941	0.766	2.641	3.24	0.376	2.999	0.871	2.477	1.209	7.651	9.438	8.235	0.223	0.497	0.058
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus				6.336	1.597	8.536	9.436	5.936	13.776	10.33	5.012	2.222	2.621	12.259	4.398	7.302	8.316	9.686	11.753	5.579	14.867	13.279	9.065	6.528	4.749	16.614	9.481	12.284	9.693	13.674	5.869	8.765	5.117	6.369	5.802	23.746	6.069	5.352	6.17	18.649	10.825	7.149	5.433	4.732	11.803	2.49	12.793	11.56	9.982	2.2	3.327	12.851	13.431	15.63	5.613	10.597	19.021	5.105	10.033	9.664	10.196	3.281	21.231	8.302	9.652	9.241	9.764	2.97	1.117	1.423	2.842	2.777	0.696	5.599	4.16	3.564	2.036	4.113	3.359	1.487	0.697	2.022	11.396	0.042	21.345	3.194	12.236	1.911	9.803	16.953	10.134	16.728	12.576	3.109	7.306	11.328	6.707	0.0	8.359	2.872	2.564	9.801	2.511	12.727	2.791	1.379	5.779	9.917	6.009	0.664	11.882	7.999	13.453	6.083	1.838	12.489	3.719	4.903	1.473	5.364	21.218	15.15	9.601	6.907	5.144	5.603	6.784	8.407	0.0	1.126	6.918	0.286	9.658	5.146	1.546	2.491	8.47	15.305	2.299	6.58	7.623	6.865	0.683	6.138	3.786	6.316	10.801	5.859	10.89	6.7	8.696	3.87	9.601	28.021	18.505	7.194	7.834	4.015
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus				1.761	12.42	8.428	12.234	20.0	6.154	7.367	5.88	5.322	2.337	10.556	3.104	1.232	0.246	2.351	2.161	4.051	4.457	2.755	6.214	10.848	6.403	1.785	4.107	0.796	5.063	0.601	14.839	1.957	13.738	1.135	9.369	0.986	0.452	0.328	1.95	0.431	4.402	2.037	3.848	5.179	1.78	1.916	0.506	1.927	1.33	0.51	2.664	1.632	0.952	6.618	0.216	1.383	2.035	0.114	2.055	1.302	0.767	0.729	0.696	0.207	0.846	4.267	5.535	7.373	8.593	3.938	4.729	5.955	22.593	2.043	13.873	2.043	7.897	3.726	9.224	1.859	10.658	10.524	4.891	0.0	0.4	0.922	0.931	0.742	3.557	0.969	0.223	0.53	1.609	0.029	0.314	0.201	3.399	0.0	0.83	14.682	0.031	1.415	1.285	4.3	0.0	6.27	1.564	0.374	0.261	7.214	2.154	0.406	1.726	5.271	0.0	3.136	0.095	21.494	9.208	0.852	0.796	0.578	8.479	3.015	0.303	0.868	7.909	1.332	0.0	0.0	4.549	12.23	4.088	1.571	1.342	3.575	0.203	0.428	7.816	5.771	0.574	2.25	0.486	3.153	0.09	6.687	1.243	5.512	1.394	4.673	12.397	2.676	1.791	1.836	1.466	33.131	17.009	8.308
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus				0.0	0.0	0.002	0.015	0.0	0.0	0.008	0.025	0.0	0.032	0.016	0.022	0.005	0.043	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.211	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.008	0.01	0.0	0.145	0.0	0.0	0.116	0.019	0.0	0.0	0.057	0.0	0.0	0.154	0.043	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.204	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.696	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.009	0.0	0.0	0.0	0.0	0.015	0.008	0.0	0.047	0.0	0.0	0.0	0.139	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus				0.492	0.014	0.477	0.417	0.107	1.099	2.408	0.314	1.589	0.126	0.36	0.18	0.427	0.004	1.175	0.358	0.156	3.787	0.562	1.109	0.032	0.867	0.997	0.726	2.973	1.091	0.503	0.218	0.202	4.52	0.063	0.19	0.609	0.192	0.034	0.986	0.718	1.287	0.097	0.037	0.361	0.265	0.102	1.436	0.849	0.476	0.243	0.194	0.403	0.952	0.915	0.352	0.3	1.539	0.924	0.457	1.467	1.39	0.23	2.132	1.24	0.102	0.883	2.559	3.661	0.15	0.089	0.49	2.323	0.02	3.504	0.959	1.782	0.621	2.974	0.84	0.743	0.464	0.78	0.76	0.0	1.75	0.085	0.064	0.982	0.455	0.217	0.335	0.386	2.328	0.068	1.772	0.019	0.494	0.0	1.042	3.105	0.402	0.928	0.263	1.453	0.18	0.0	0.134	0.245	1.449	0.0	3.06	0.0	1.57	0.812	0.008	0.608	1.583	0.306	0.184	0.409	0.781	2.426	0.554	0.014	0.582	2.003	1.14	0.302	0.0	0.008	0.243	0.0	3.21	0.378	0.064	0.077	0.981	0.362	0.047	0.039	0.661	0.468	0.232	0.061	4.69	1.971	0.707	1.635	1.228	0.05	1.433	0.029	0.298	1.267	1.62	0.123	0.066	0.019
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus				0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus				0.765	1.625	0.851	0.0	0.0	0.0	0.312	4.78	1.537	10.673	1.866	3.792	1.297	4.513	0.074	2.684	6.595	0.031	0.055	0.048	4.529	1.249	0.039	0.713	0.056	0.0	2.195	0.015	3.879	0.011	5.184	0.409	0.28	10.344	20.166	0.005	0.093	1.422	3.357	12.932	0.0	0.016	14.891	0.071	0.069	3.513	12.416	12.503	0.0	2.491	0.598	19.83	6.429	0.024	5.436	5.161	0.183	0.06	9.9	0.043	0.095	8.205	0.029	0.027	0.026	3.33	5.246	2.377	0.0	0.835	0.091	0.387	0.0	2.036	0.023	2.627	0.813	0.209	5.617	0.396	0.469	0.0	10.574	1.287	0.007	1.799	0.0	0.028	0.177	0.219	19.097	1.604	6.096	3.597	1.492	0.154	0.0	2.247	0.162	5.373	0.262	4.782	0.91	1.251	0.891	0.124	4.712	0.0	6.255	0.042	0.059	5.927	0.164	0.263	0.204	1.079	7.079	0.016	0.025	0.043	8.154	0.349	0.098	0.143	0.88	6.99	0.567	8.35	11.708	0.0	0.407	16.54	3.969	2.485	0.099	10.444	5.732	11.316	0.287	5.523	2.549	3.918	0.0	2.705	0.0	1.405	14.271	0.028	9.028	0.378	0.146	0.135	0.008	1.623	5.228
