Taxonomy	Rank	HMT	Notes	Max	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev
Bacteria;Synergistota;Synergistia;Synergistales	order			0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.03	0.03	0.0	0.024	0.148	11.521
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			0.489	0.489	0.0	1.411	1.055	60.369
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			6.772	6.772	0.284	15.804	9.086	95.853
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae	family			0.047	0.047	0.0	0.0	0.272	8.295
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			1.88	1.88	0.0	5.211	3.486	79.263
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae	family			0.008	0.008	0.0	0.0	0.076	5.069
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae	family			0.021	0.021	0.0	0.043	0.092	13.825
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae	family			0.023	0.023	0.0	0.0	0.329	0.922
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae	family			0.01	0.01	0.0	0.0	0.064	4.147
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			1.029	1.029	0.0	2.617	1.807	78.802
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			43.875	43.875	6.305	82.503	27.712	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.071	0.071	0.0	0.081	0.347	14.286
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.073	0.073	0.0	0.0	0.469	6.912
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.003	0.003	0.0	0.0	0.028	1.382
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.286	0.286	0.0	0.602	0.96	41.014
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.47	0.47	0.0	1.106	1.152	54.378
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.154	0.154	0.0	0.172	0.907	18.433
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.179	0.179	0.0	0.404	0.707	29.493
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.372	0.372	0.0	1.312	0.746	53.456
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae	family			0.041	0.041	0.0	0.0	0.543	4.608
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			12.441	12.441	0.325	43.211	21.21	96.313
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.105	0.105	0.0	0.267	0.426	21.198
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.503	0.503	0.0	1.282	0.993	57.143
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.033	0.033	0.0	0.0	0.152	9.217
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			1.174	1.174	0.0	3.166	2.91	54.378
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			5.867	5.867	0.463	14.713	6.595	97.235
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.222	0.222	0.0	0.403	0.751	35.484
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.003	0.003	0.0	0.0	0.015	5.069
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.038	0.038	0.0	0.03	0.163	14.286
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.008	0.008	0.0	0.0	0.063	2.765
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.011	0.011	0.0	0.0	0.056	5.991
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.04	0.04	0.0	0.0	0.203	6.452
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.7	0.7	0.0	1.614	1.489	65.899
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.676	0.676	0.0	1.651	1.734	58.525
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.425	0.425	0.0	0.99	1.299	45.622
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.264	0.264	0.0	0.84	0.727	37.788
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.267	0.267	0.0	0.78	0.734	38.249
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.174	0.174	0.0	0.489	0.493	27.65
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family			0.008	0.008	0.0	0.0	0.062	2.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.112	0.112	0.0	0.0	1.429	9.677
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.129	0.129	0.0	0.299	0.54	29.954
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.068	0.068	0.0	0.0	0.538	7.834
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.144	0.144	0.0	0.101	0.917	17.051
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.042	0.042	0.0	0.101	0.156	18.894
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			1.916	1.916	0.0	2.849	6.486	64.055
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.636	0.636	0.0	1.531	1.765	63.594
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.123	1.123	0.0	2.716	2.902	70.968
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.085	0.085	0.0	0.061	0.661	15.668
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.101	0.101	0.0	0.0	1.259	1.382
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.113	0.113	0.0	0.139	0.659	39.171
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae	family			0.004	0.004	0.0	0.0	0.055	0.461
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.326	0.326	0.0	0.414	1.699	56.682
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.213	0.213	0.0	0.369	0.775	44.7
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.128	0.128	0.0	0.262	0.403	45.622
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.082	0.082	0.0	0.07	0.387	13.825
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.035	0.035	0.0	0.043	0.181	14.286
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			0.01	0.01	0.0	0.0	0.114	1.382
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family			0.006	0.006	0.0	0.0	0.094	0.461
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.03	0.03	0.0	0.024	0.148	11.521
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.406	0.406	0.0	1.26	0.928	55.3
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.032	0.032	0.0	0.0	0.255	5.53
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.051	0.051	0.0	0.045	0.225	16.59
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			6.772	6.772	0.284	15.804	9.086	95.853
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia	genus			0.047	0.047	0.0	0.0	0.272	8.295
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			1.88	1.88	0.0	5.211	3.486	79.263
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium	genus			0.008	0.008	0.0	0.0	0.076	5.069
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter	genus			0.021	0.021	0.0	0.043	0.092	13.825
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae;Arsenicicoccus	genus			0.023	0.023	0.0	0.0	0.329	0.922
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter	genus			0.01	0.01	0.0	0.0	0.064	4.147
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria	genus			0.054	0.054	0.0	0.078	0.234	16.129
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.545	0.545	0.0	1.186	1.637	44.24
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.431	0.431	0.0	1.197	0.82	64.516
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			43.875	43.875	6.305	82.503	27.712	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.031	0.031	0.0	0.0	0.152	9.677
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.04	0.04	0.0	0.0	0.316	4.608
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.073	0.073	0.0	0.0	0.469	6.912
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.003	0.003	0.0	0.0	0.028	1.382
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.286	0.286	0.0	0.602	0.96	41.014
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.141	0.141	0.0	0.321	0.525	22.12
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.325	0.325	0.0	0.736	0.973	46.083
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			0.004	0.004	0.0	0.0	0.025	5.069
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.154	0.154	0.0	0.172	0.907	18.433
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.134	0.134	0.0	0.246	0.679	23.502
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.045	0.045	0.0	0.034	0.208	11.521
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.372	0.372	0.0	1.312	0.746	53.456
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix	genus			0.041	0.041	0.0	0.0	0.543	4.608
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			12.441	12.441	0.325	43.211	21.21	96.313
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.07	0.07	0.0	0.202	0.241	17.512
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	genus			0.035	0.035	0.0	0.0	0.352	6.452
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus	genus			0.012	0.012	0.0	0.0	0.093	5.069
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.135	0.135	0.0	0.149	0.595	17.051
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.356	0.356	0.0	0.972	0.737	50.23
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.033	0.033	0.0	0.0	0.152	9.217
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			1.174	1.174	0.0	3.166	2.91	54.378
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.118	0.118	0.0	0.179	0.533	22.581
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			5.749	5.749	0.448	14.535	6.538	97.235
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.016	0.016	0.0	0.0	0.079	5.991
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.056	0.056	0.0	0.087	0.243	17.972
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.008	0.008	0.0	0.0	0.045	6.912
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.004	0.004	0.0	0.0	0.032	3.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.04	0.04	0.0	0.0	0.44	2.304
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			0.066	0.066	0.0	0.062	0.33	14.286
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.031	0.031	0.0	0.034	0.156	11.521
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.003	0.003	0.0	0.0	0.015	5.069
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.011	0.011	0.0	0.0	0.069	4.608
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.012	0.012	0.0	0.0	0.113	2.765
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.014	0.014	0.0	0.0	0.097	8.756
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.008	0.008	0.0	0.0	0.063	2.765
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.011	0.011	0.0	0.0	0.056	5.991
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.008	0.008	0.0	0.0	0.074	1.382
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.032	0.032	0.0	0.0	0.188	5.53
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.036	0.036	0.0	0.0	0.183	8.295
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.046	0.046	0.0	0.0	0.37	5.069
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.618	0.618	0.0	1.38	1.452	63.594
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.151	0.151	0.0	0.382	0.611	36.406
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.412	0.412	0.0	0.928	1.33	42.857
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.113	0.113	0.0	0.326	0.342	28.111
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.425	0.425	0.0	0.99	1.299	45.622
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.146	0.146	0.0	0.484	0.395	29.954
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.101	0.101	0.0	0.083	0.424	13.825
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.017	0.017	0.0	0.0	0.183	2.304
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.154	0.154	0.0	0.407	0.599	27.65
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.113	0.113	0.0	0.302	0.42	16.129
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.16	0.16	0.0	0.489	0.44	27.189
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.014	0.014	0.0	0.0	0.119	2.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.008	0.008	0.0	0.0	0.062	2.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.112	0.112	0.0	0.0	1.429	9.677
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter	genus			0.01	0.01	0.0	0.0	0.096	2.304
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus	genus			0.119	0.119	0.0	0.254	0.533	29.032
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0.068	0.068	0.0	0.0	0.538	7.834
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	genus			0.068	0.068	0.0	0.0	0.787	7.373
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.076	0.076	0.0	0.043	0.468	11.982
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.042	0.042	0.0	0.101	0.156	18.894
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.025	0.025	0.0	0.0	0.141	6.452
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.132	0.132	0.0	0.298	0.581	20.737
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			1.759	1.759	0.0	2.484	6.495	46.544
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.374	0.374	0.0	0.646	1.618	39.631
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.02	0.02	0.0	0.0	0.125	5.53
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.196	0.196	0.0	0.693	0.532	30.415
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.025	0.025	0.0	0.0	0.149	5.069
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0.022	0.022	0.0	0.0	0.178	7.373
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.028	0.028	0.0	0.0	0.151	7.834
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.03	0.03	0.0	0.021	0.137	11.521
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.633	0.633	0.0	1.271	1.769	57.143
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			0.431	0.431	0.0	0.484	2.224	28.571
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.085	0.085	0.0	0.061	0.661	15.668
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.101	0.101	0.0	0.0	1.259	1.382
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.043	0.043	0.0	0.018	0.257	12.903
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.026	0.026	0.0	0.074	0.074	23.963
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.044	0.044	0.0	0.0	0.436	9.217
