Taxonomy	Rank	HMT	Notes	Max	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae	family			0.005	0.005	0.0	0.0	0.086	1.983
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			0.164	0.164	0.0	0.279	1.026	56.091
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			62.973	62.973	17.542	94.975	28.839	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.019	0.019	0.0	0.008	0.136	10.765
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.01	0.01	0.0	0.0	0.096	4.249
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.043	0.043	0.0	0.039	0.418	22.946
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.045	0.045	0.0	0.094	0.151	36.261
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.062	0.062	0.0	0.031	0.481	17.28
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.04	0.04	0.0	0.068	0.185	25.496
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.046	0.046	0.0	0.073	0.21	33.428
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			20.505	20.505	1.536	53.967	21.251	99.717
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.029	0.029	0.0	0.014	0.262	12.181
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.071	0.071	0.0	0.123	0.355	40.227
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.187	0.187	0.0	0.223	1.537	35.694
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			1.095	1.095	0.004	2.544	2.944	90.085
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.016	0.016	0.0	0.002	0.13	10.198
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.001	0.001	0.0	0.0	0.006	1.7
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.107	0.107	0.0	0.24	0.384	46.742
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			2.12	2.12	0.0	5.49	6.418	64.589
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.069	0.069	0.0	0.095	0.387	34.844
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.051	0.051	0.0	0.069	0.266	21.813
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.001	0.001	0.0	0.0	0.016	0.567
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.03	0.03	0.0	0.032	0.206	20.68
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.05	0.05	0.0	0.02	0.37	19.83
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae	family			0.016	0.016	0.0	0.0	0.24	4.533
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.01	0.01	0.0	0.0	0.146	5.949
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.006	0.006	0.0	0.007	0.055	10.765
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.004	0.004	0.0	0.0	0.029	3.683
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.025	0.025	0.0	0.0	0.27	8.782
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.021	0.021	0.0	0.001	0.256	10.198
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.435	0.435	0.0	0.322	2.112	49.008
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.209	0.209	0.0	0.299	1.253	57.507
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.851	1.851	0.0	1.174	9.751	57.507
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.047	0.047	0.0	0.0	0.445	9.065
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.005	0.005	0.0	0.0	0.074	1.133
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.034	0.034	0.0	0.0	0.368	7.082
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.049	0.049	0.0	0.092	0.196	37.677
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.025	0.025	0.0	0.022	0.167	17.847
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.018	0.018	0.0	0.026	0.098	18.414
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.004	0.004	0.0	0.0	0.033	5.099
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.027	0.027	0.0	0.01	0.21	11.331
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae	family			0.001	0.001	0.0	0.0	0.014	4.249
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.09	0.09	0.0	0.171	0.348	35.411
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.012	0.012	0.0	0.0	0.116	5.382
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			5.895	5.895	0.046	15.716	12.163	94.051
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.601	0.601	0.0	1.326	1.923	79.037
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus	genus			0.005	0.005	0.0	0.0	0.086	1.983
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria	genus			0.002	0.002	0.0	0.0	0.012	5.666
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.046	0.046	0.0	0.051	0.361	24.929
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.116	0.116	0.0	0.196	0.762	43.909
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			62.973	62.973	17.542	94.975	28.839	100.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.017	0.017	0.0	0.0	0.133	7.932
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.003	0.003	0.0	0.0	0.026	3.116
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.01	0.01	0.0	0.0	0.096	4.249
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.043	0.043	0.0	0.039	0.418	22.946
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.016	0.016	0.0	0.023	0.078	17.847
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.029	0.029	0.0	0.062	0.114	24.646
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.062	0.062	0.0	0.031	0.481	17.28
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.028	0.028	0.0	0.034	0.161	18.414
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.011	0.011	0.0	0.0	0.08	9.348
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.046	0.046	0.0	0.073	0.21	33.428
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			20.505	20.505	1.536	53.967	21.251	99.717
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.029	0.029	0.0	0.014	0.262	12.181
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.004	0.004	0.0	0.0	0.024	9.348
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.066	0.066	0.0	0.1	0.354	37.11
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.187	0.187	0.0	0.223	1.537	35.694
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.063	0.063	0.0	0.015	0.736	14.731
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			1.032	1.032	0.001	2.352	2.646	89.802
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.006	0.006	0.0	0.0	0.079	3.966
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.008	0.008	0.0	0.0	0.066	7.932
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.002	0.002	0.0	0.0	0.036	0.567
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.001	0.001	0.0	0.0	0.006	1.7
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.005	0.005	0.0	0.0	0.05	3.399
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.101	0.101	0.0	0.222	0.382	45.892
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			1.635	1.635	0.0	5.194	4.626	54.108
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.173	0.173	0.0	0.186	1.188	29.745
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.312	0.312	0.0	0.209	1.658	24.929
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.069	0.069	0.0	0.095	0.387	34.844
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.032	0.032	0.0	0.027	0.181	14.731
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.018	0.018	0.0	0.017	0.108	12.748
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.001	0.001	0.0	0.0	0.01	0.283
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.001	0.001	0.0	0.0	0.016	0.567
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.008	0.008	0.0	0.009	0.044	11.615
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.022	0.022	0.0	0.004	0.202	10.482
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.049	0.049	0.0	0.018	0.37	17.847
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.001	0.001	0.0	0.0	0.008	2.833
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	genus			0.016	0.016	0.0	0.0	0.24	4.533
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.01	0.01	0.0	0.0	0.146	5.949
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter	genus			0.003	0.003	0.0	0.0	0.052	1.416
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus	genus			0.004	0.004	0.0	0.005	0.016	10.482
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0.004	0.004	0.0	0.0	0.029	3.683
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.025	0.025	0.0	0.0	0.27	8.782
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.021	0.021	0.0	0.001	0.256	10.198
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.004	0.004	0.0	0.0	0.037	4.816
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.053	0.053	0.0	0.023	0.441	15.014
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.378	0.378	0.0	0.183	2.014	35.411
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.079	0.079	0.0	0.089	0.48	35.127
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.005	0.005	0.0	0.0	0.044	4.533
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.078	0.078	0.0	0.061	0.678	25.496
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.025	0.025	0.0	0.0	0.182	6.516
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.005	0.005	0.0	0.0	0.071	2.266
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0.016	0.016	0.0	0.0	0.272	3.116
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.004	0.004	0.0	0.0	0.038	4.816
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.018	0.018	0.0	0.009	0.109	11.615
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.159	0.159	0.0	0.24	0.693	40.227
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			1.67	1.67	0.0	0.303	9.749	30.028
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.047	0.047	0.0	0.0	0.445	9.065
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.005	0.005	0.0	0.0	0.074	1.133
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.034	0.034	0.0	0.0	0.368	7.082
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.0	0.0	0.0	0.0	0.007	0.567
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.049	0.049	0.0	0.092	0.195	37.677
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.01	0.01	0.0	0.011	0.063	13.031
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.015	0.015	0.0	0.0	0.155	7.649
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.018	0.018	0.0	0.026	0.098	18.414
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.004	0.004	0.0	0.0	0.033	5.099
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.027	0.027	0.0	0.01	0.21	11.331
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus	genus			0.001	0.001	0.0	0.0	0.014	4.249
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii	species	849		0.009	0.009	0.0	0.0	0.077	4.533
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893		0.018	0.018	0.0	0.021	0.104	14.731
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.011	0.011	0.0	0.009	0.065	11.331
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.021	0.021	0.0	0.031	0.113	18.13
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.031	0.031	0.0	0.043	0.161	19.263
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT-183	species	183		0.012	0.012	0.0	0.0	0.116	5.382
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.094	0.094	0.0	0.103	0.921	46.176
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030		0.243	0.243	0.0	0.076	3.013	25.779
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.014	0.014	0.0	0.026	0.105	18.13
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.005	0.005	0.0	0.0	0.043	5.666
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.017	0.017	0.0	0.022	0.094	15.581
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.585	0.585	0.0	0.126	3.306	20.113
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.075	0.075	0.0	0.037	0.702	19.83
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053		0.013	0.013	0.0	0.009	0.075	11.898
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;mucifaciens	species	835		0.015	0.015	0.0	0.013	0.087	13.314
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;otitidis	species	832		0.069	0.069	0.0	0.0	1.154	4.816
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.027	0.027	0.0	0.043	0.118	24.363
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pseudodiphtheriticum	species	060		0.01	0.01	0.0	0.008	0.063	11.331
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		4.727	4.727	0.008	11.042	11.151	90.368
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.601	0.601	0.0	1.326	1.923	79.037
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus;sedentarius	species	855		0.005	0.005	0.0	0.0	0.086	1.983
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria;palustris	species	084		0.002	0.002	0.0	0.0	0.012	5.666
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;luteus	species	087		0.046	0.046	0.0	0.051	0.361	24.929
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.022	0.022	0.0	0.019	0.193	13.881
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.04	0.04	0.0	0.042	0.353	22.096
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.055	0.055	0.0	0.075	0.535	32.295
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		56.455	56.455	6.45	94.922	32.636	100.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;avidum	species	552		0.292	0.292	0.0	0.304	1.356	22.38
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;granulosum	species	114		6.226	6.226	0.0	19.616	11.598	82.153
