Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			42.534	42.534	1.709	87.566	30.78	97.931
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.082	0.082	0.0	0.004	0.335	10.345
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			1.011	1.011	0.0	1.157	3.849	46.207
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.539	0.539	0.0	1.52	1.583	49.655
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.72	0.72	0.0	1.317	2.657	42.759
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.123	0.123	0.0	0.486	0.336	25.517
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			1.091	1.091	0.0	2.231	3.299	75.172
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.337	0.337	0.0	0.317	1.437	53.103
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.122	0.122	0.0	0.242	0.664	30.345
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.504	0.504	0.0	1.152	1.258	62.069
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae	family			0.09	0.09	0.0	0.077	0.356	15.172
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			1.577	1.577	0.0	3.479	6.425	57.241
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			1.02	1.02	0.0	2.407	2.084	74.483
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.14	0.14	0.0	0.305	0.496	18.621
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.01	0.01	0.0	0.0	0.108	3.448
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.263	0.263	0.0	0.494	1.008	28.276
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			1.724	1.724	0.0	3.589	3.279	80.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.723	0.723	0.0	2.376	1.287	66.207
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			1.844	1.844	0.0	4.565	3.779	71.724
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.703	0.703	0.0	1.425	2.44	45.517
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.276	0.276	0.0	0.564	1.08	31.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.233	0.233	0.0	0.629	0.766	33.103
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family			0.348	0.348	0.0	0.629	1.048	48.966
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.054	0.054	0.0	0.031	0.365	13.103
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.592	0.592	0.0	0.996	2.833	51.724
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			3.208	3.208	0.0	3.064	10.987	69.655
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.455	0.455	0.0	1.052	1.466	60.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			1.903	1.903	0.0	4.611	5.399	79.31
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.126	0.126	0.0	0.0	1.099	3.448
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			1.039	1.039	0.0	1.805	3.871	61.379
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae	family			0.113	0.113	0.0	0.285	0.401	20.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			2.524	2.524	0.0	3.905	8.357	80.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			1.265	1.265	0.0	2.635	3.315	76.552
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.144	0.144	0.0	0.103	0.821	22.069
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.061	0.061	0.0	0.07	0.249	16.552
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.712	0.712	0.0	1.369	2.027	67.586
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.671	0.671	0.0	1.433	1.773	64.828
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.145	0.145	0.0	0.236	0.564	26.207
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			8.515	8.515	0.029	24.691	11.299	91.034
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia	genus			0.113	0.113	0.0	0.0	0.878	8.276
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.573	0.573	0.0	1.739	0.859	66.207
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter	genus			0.126	0.126	0.0	0.226	0.457	27.586
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.674	0.674	0.0	1.005	2.287	60.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.102	0.102	0.0	0.012	0.978	11.034
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			42.432	42.432	1.268	87.566	30.882	97.931
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.082	0.082	0.0	0.004	0.335	10.345
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			1.011	1.011	0.0	1.157	3.849	46.207
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.204	0.204	0.0	0.703	0.66	27.586
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.335	0.335	0.0	0.549	1.187	32.414
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.72	0.72	0.0	1.317	2.657	42.759
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.123	0.123	0.0	0.486	0.336	25.517
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			1.091	1.091	0.0	2.231	3.299	75.172
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.337	0.337	0.0	0.317	1.437	53.103
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.051	0.051	0.0	0.19	0.14	25.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	genus			0.071	0.071	0.0	0.0	0.651	7.586
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.053	0.053	0.0	0.078	0.323	16.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.451	0.451	0.0	1.109	1.217	56.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	genus			0.09	0.09	0.0	0.077	0.356	15.172
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			1.577	1.577	0.0	3.479	6.425	57.241
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.173	0.173	0.0	0.317	0.707	31.724
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			0.847	0.847	0.0	1.828	1.978	70.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus			0.14	0.14	0.0	0.305	0.496	18.621
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.01	0.01	0.0	0.0	0.108	3.448
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.154	0.154	0.0	0.223	0.604	18.621
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.34	0.34	0.0	0.872	0.936	46.897
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			1.385	1.385	0.0	2.601	3.181	70.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.27	0.27	0.0	0.668	0.711	45.517
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.454	0.454	0.0	1.258	0.99	48.276
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			1.844	1.844	0.0	4.565	3.779	71.724
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.445	0.445	0.0	0.644	1.916	35.862
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.258	0.258	0.0	0.665	0.934	28.276
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.276	0.276	0.0	0.564	1.08	31.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.045	0.045	0.0	0.027	0.204	11.034
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.188	0.188	0.0	0.386	0.733	25.517
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.348	0.348	0.0	0.629	1.048	48.966
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.054	0.054	0.0	0.031	0.365	13.103
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.592	0.592	0.0	0.996	2.833	51.724
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.174	0.174	0.0	0.495	0.487	28.966
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			3.035	3.035	0.0	2.964	11.023	51.034
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.288	0.288	0.0	0.391	1.44	36.552
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.167	0.167	0.0	0.647	0.389	37.241
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.127	0.127	0.0	0.328	0.399	31.724
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.239	0.239	0.0	0.646	0.653	37.931
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.713	0.713	0.0	1.19	2.499	48.276
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			0.825	0.825	0.0	0.795	4.825	29.655
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.126	0.126	0.0	0.0	1.099	3.448
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	genus			0.242	0.242	0.0	0.457	1.258	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.505	0.505	0.0	0.775	2.883	49.655
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.293	0.293	0.0	0.134	2.159	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia	genus			0.113	0.113	0.0	0.285	0.401	20.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			2.524	2.524	0.0	3.905	8.357	80.69
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.96	0.96	0.0	1.697	2.791	68.276
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.127	0.127	0.0	0.0	0.803	8.966
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus			0.017	0.017	0.0	0.039	0.062	15.862
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.061	0.061	0.0	0.07	0.249	16.552
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter	genus			0.153	0.153	0.0	0.268	0.741	33.103
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.153	0.153	0.0	0.268	0.741	33.103
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.109	0.109	0.0	0.044	0.824	11.724
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852		0.061	0.061	0.0	0.136	0.212	21.379
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.135	0.135	0.0	0.176	0.767	37.931
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.181	0.181	0.0	0.222	0.931	35.172
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at this site (LAF).	0.671	0.671	0.0	1.433	1.773	64.828
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium	species	588		0.145	0.145	0.0	0.236	0.564	26.207
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;accolens	species	019		0.198	0.198	0.0	0.543	0.441	44.828
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;afermentans	species	030	Because HMT-835 is not present individually, all equidistant reads were assigned to HMT-030 at this body site (LAF).	1.275	1.275	0.0	1.934	4.68	65.517
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;amycolatum	species	031		0.383	0.383	0.0	1.023	0.964	47.586
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;appendicis	species	033		0.291	0.291	0.0	0.918	0.675	44.138
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.302	0.302	0.0	0.483	1.178	38.621
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;gottingense	species	207		0.464	0.464	0.0	1.392	1.051	45.517
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.424	0.424	0.0	0.191	2.788	17.241
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.339	0.339	0.0	0.862	1.02	42.759
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;minutissimum	species	053	Because HMT-063 is not present individually, all equidistant reads were assigned to HMT-053 at this body site (LAF).	0.757	0.757	0.0	1.606	1.974	53.793
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		1.162	1.162	0.0	2.954	2.375	68.966
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		2.835	2.835	0.0	6.902	4.572	82.759
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia;cinnamea	species	368		0.113	0.113	0.0	0.0	0.878	8.276
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.573	0.573	0.0	1.739	0.859	66.207
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter;indicus	species	339		0.126	0.126	0.0	0.226	0.457	27.586
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.155	0.155	0.0	0.449	0.568	26.207
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.308	0.308	0.0	0.221	1.721	33.103
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.211	0.211	0.0	0.481	0.759	46.897
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.102	0.102	0.0	0.012	0.978	11.034
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		42.385	42.385	1.268	87.566	30.872	97.931
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;modestum	species	193		0.047	0.047	0.0	0.03	0.241	11.034
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta	species	654		0.082	0.082	0.0	0.004	0.335	10.345
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		1.011	1.011	0.0	1.157	3.849	46.207
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.204	0.204	0.0	0.703	0.66	27.586
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		0.194	0.194	0.0	0.241	0.862	22.069
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795		0.106	0.106	0.0	0.125	0.421	15.862
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;sp. HMT-472	species	472		0.035	0.035	0.0	0.009	0.191	10.345
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.305	0.305	0.0	0.343	1.393	24.828
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.188	0.188	0.0	0.417	0.72	21.379
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.227	0.227	0.0	0.315	1.06	31.724
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.123	0.123	0.0	0.486	0.336	25.517
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Because HMT-626 is not present individually, all equidistant reads were assigned to HMT-757 at this body site (LAF).	0.584	0.584	0.0	1.164	1.682	75.172
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;haemolyticus	species	120		0.337	0.337	0.0	0.317	1.437	53.103
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;defectiva	species	389		0.051	0.051	0.0	0.19	0.14	25.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;viridans	species	312		0.071	0.071	0.0	0.0	0.651	7.586
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;pigrum	species	813		0.053	0.053	0.0	0.078	0.323	16.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		0.25	0.25	0.0	0.874	0.505	52.414
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.2	0.2	0.0	0.368	0.887	25.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;durans	species	880		0.09	0.09	0.0	0.077	0.356	15.172
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.498	0.498	0.0	0.812	1.771	25.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;jensenii	species	839		0.072	0.072	0.0	0.033	0.37	11.724
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;lactis	species	804		0.173	0.173	0.0	0.317	0.707	31.724
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.042	0.042	0.0	0.0	0.264	8.966
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		0.496	0.496	0.0	1.23	1.081	61.379
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles	species	095		0.14	0.14	0.0	0.305	0.496	18.621
