Taxonomy	Rank	HMT	Notes	Max	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.048	0.048	0.0	0.085	0.171	19.231
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.07	0.07	0.0	0.191	0.151	44.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			3.95	3.95	0.252	8.619	4.299	95.385
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			1.765	1.765	0.274	3.647	1.831	95.385
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			7.671	7.671	1.799	15.716	5.586	96.923
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			1.133	1.133	0.007	2.84	1.321	90.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			2.277	2.277	0.223	4.944	2.485	92.308
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.085	0.085	0.0	0.164	0.217	52.308
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			1.43	1.43	0.058	3.389	1.462	92.308
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.133	0.133	0.0	0.232	0.53	26.154
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.336	0.336	0.0	0.851	0.436	81.538
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.087	0.087	0.0	0.174	0.203	57.692
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.94	0.94	0.046	2.007	0.904	90.769
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.296	0.296	0.0	0.082	2.552	33.846
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.136	0.136	0.0	0.332	0.458	49.231
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			1.604	1.604	0.167	3.531	1.699	91.538
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.04	0.04	0.0	0.112	0.128	27.692
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			14.96	14.96	3.998	27.501	9.724	99.231
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.059	0.059	0.0	0.192	0.163	32.308
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.485	0.485	0.0	0.969	0.804	84.615
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.262	0.262	0.0	0.638	0.282	84.615
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.052	0.052	0.0	0.139	0.15	32.308
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.038	0.038	0.0	0.068	0.135	25.385
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8]	genus			0.021	0.021	0.0	0.028	0.103	21.538
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			2.571	2.571	0.269	5.551	3.52	94.615
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.302	0.302	0.0	0.735	0.426	77.692
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.027	0.027	0.0	0.052	0.103	29.231
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.139	0.139	0.0	0.359	0.212	70.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.117	0.117	0.0	0.353	0.216	59.231
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.033	0.033	0.0	0.094	0.078	32.308
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.007	0.007	0.0	0.028	0.018	20.769
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.242	0.242	0.0	0.638	0.487	61.538
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			1.344	1.344	0.0	3.582	2.433	81.538
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.493	0.493	0.0	1.454	0.835	70.769
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.277	0.277	0.0	0.666	0.368	77.692
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			2.363	2.363	0.122	5.837	2.828	93.077
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.174	0.174	0.0	0.485	0.297	65.385
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.73	0.73	0.0	1.76	0.951	83.846
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			12.236	12.236	4.566	21.882	6.994	98.462
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			3.879	3.879	0.49	9.818	3.488	96.923
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.691	0.691	0.0	1.665	1.0	83.846
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.484	0.484	0.0	1.042	0.635	84.615
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.072	0.072	0.0	0.172	0.171	43.077
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.11	0.11	0.0	0.041	0.779	16.154
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.016	0.016	0.0	0.0	0.167	4.615
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.005	0.005	0.0	0.0	0.047	3.077
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.002	0.002	0.0	0.0	0.027	1.538
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.006	0.006	0.0	0.0	0.056	3.846
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			1.428	1.428	0.0	2.905	3.723	82.308
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.419	0.419	0.0	0.569	2.321	37.692
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.035	0.035	0.0	0.008	0.158	10.769
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.004	0.004	0.0	0.001	0.018	10.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.041	0.041	0.0	0.113	0.069	54.615
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.174	0.174	0.0	0.475	0.272	73.846
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			4.882	4.882	0.456	11.203	5.454	98.462
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			5.734	5.734	1.134	10.333	4.576	96.923
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.033	0.033	0.0	0.017	0.27	13.077
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.087	0.087	0.0	0.251	0.187	50.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			2.363	2.363	0.032	6.285	4.19	91.538
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.041	0.041	0.0	0.0	0.345	1.538
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			9.474	9.474	0.834	22.106	10.101	98.462
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1]	genus			0.023	0.023	0.0	0.0	0.164	3.846
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.076	0.076	0.0	0.198	0.217	35.385
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.315	0.315	0.0	1.056	0.908	45.385
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.196	0.196	0.0	0.601	0.408	52.308
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.749	0.749	0.0	2.212	2.022	42.308
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		0.463	0.463	0.0	1.478	1.006	73.077
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.205	0.205	0.0	0.62	0.294	69.231
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.098	0.098	0.0	0.231	0.257	70.769
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.219	0.219	0.0	0.564	0.339	76.154
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701		1.814	1.814	0.125	4.387	1.997	94.615
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.095	0.095	0.0	0.194	0.216	60.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.195	0.195	0.0	0.544	0.432	56.923
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.441	0.441	0.0	1.098	0.908	76.923
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		1.396	1.396	0.0	3.556	2.362	87.692
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.604	0.604	0.0	0.609	3.196	60.769
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.603	0.603	0.0	1.436	0.748	79.231
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-365	species	365		0.012	0.012	0.0	0.033	0.044	14.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-505	species	505		0.013	0.013	0.0	0.0	0.096	3.846
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.035	0.035	0.0	0.053	0.135	18.462
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274		0.07	0.07	0.0	0.191	0.151	44.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.184	0.184	0.0	0.527	0.338	64.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273		0.139	0.139	0.0	0.495	0.305	50.769
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		3.167	3.167	0.04	8.22	3.854	91.538
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275		0.025	0.025	0.0	0.019	0.186	11.538
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	277	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SAL).	0.019	0.019	0.0	0.038	0.074	20.769
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278		0.085	0.085	0.0	0.138	0.357	33.846
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SAL).	0.054	0.054	0.0	0.078	0.264	26.154
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-285	species	285		0.034	0.034	0.0	0.0	0.21	6.154
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.243	0.243	0.0	0.391	1.175	44.615
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302		0.237	0.237	0.0	0.547	0.524	60.769
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308		0.584	0.584	0.0	1.411	1.048	83.846
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.723	0.723	0.0	1.791	1.426	72.308
