Taxonomy	Rank	HMT	Notes	Max	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			4.969	4.969	0.35	13.182	5.683	98.512
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.007	0.007	0.0	0.0	0.057	5.06
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.029	0.029	0.0	0.0	0.208	7.143
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.004	0.004	0.0	0.0	0.031	4.762
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.244	0.244	0.0	0.5	0.947	61.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.072	0.072	0.0	0.165	0.227	39.583
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			7.512	7.512	0.201	21.446	11.45	98.214
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			2.536	2.536	0.402	5.468	2.293	98.214
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.104	0.104	0.0	0.0	1.865	3.274
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.684	1.684	0.066	3.67	4.875	97.321
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.466	0.466	0.0	0.0	3.759	9.524
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			1.482	1.482	0.072	3.322	1.703	94.643
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			0.11	0.11	0.0	0.271	0.314	47.024
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family			0.013	0.013	0.0	0.012	0.072	11.31
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.029	0.029	0.0	0.062	0.118	23.512
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.276	0.276	0.0	0.756	0.708	50.595
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			1.987	1.987	0.134	4.678	2.821	95.238
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			4.65	4.65	0.893	9.963	3.97	98.81
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.127	0.127	0.0	0.148	0.844	45.238
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.008	0.008	0.0	0.0	0.068	5.06
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			1.857	1.857	0.136	4.32	2.147	96.726
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium	genus			0.014	0.014	0.0	0.0	0.262	0.595
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.013	0.013	0.0	0.0	0.204	3.869
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.199	0.199	0.0	0.279	0.949	41.071
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.647	0.647	0.0	1.56	0.712	87.5
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus			0.022	0.022	0.0	0.0	0.193	8.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.04	0.04	0.0	0.026	0.246	13.393
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	genus			0.008	0.008	0.0	0.0	0.141	0.595
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.043	0.043	0.0	0.033	0.471	19.94
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			2.949	2.949	0.056	8.436	3.742	94.643
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			2.429	2.429	0.28	5.811	2.309	98.214
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			9.945	9.945	2.296	18.637	6.399	99.405
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella	genus			0.005	0.005	0.0	0.0	0.061	2.679
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			1.253	1.253	0.032	2.951	1.257	90.774
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			1.007	1.007	0.018	2.444	1.738	91.369
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.183	0.183	0.0	0.492	0.422	51.786
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.994	0.994	0.0	2.961	2.103	81.25
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.083	0.083	0.0	0.2	0.291	27.381
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.179	0.179	0.0	0.456	0.302	76.19
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.027	0.027	0.0	0.067	0.081	28.869
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			1.852	1.852	0.102	4.13	2.695	95.833
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.053	0.053	0.0	0.064	0.328	27.679
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.04	0.04	0.0	0.084	0.133	28.869
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			1.652	1.652	0.233	3.387	1.804	97.917
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.007	0.007	0.0	0.0	0.042	6.548
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			22.77	22.77	7.49	44.69	15.202	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiales [F1];Clostridiales [F1 G1]	genus			0.011	0.011	0.0	0.0	0.072	4.464
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.077	0.077	0.0	0.229	0.181	53.869
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.346	0.346	0.0	0.818	0.496	88.095
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella	genus			0.003	0.003	0.0	0.0	0.04	1.488
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.929	0.929	0.126	1.988	0.917	94.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.949	0.949	0.0	3.562	1.723	64.881
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.059	0.059	0.0	0.158	0.192	23.81
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8]	genus			0.012	0.012	0.0	0.028	0.054	19.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			1.156	1.156	0.236	2.32	0.958	97.024
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.827	0.827	0.053	1.974	0.773	94.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.037	0.037	0.0	0.12	0.071	42.262
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor	genus			0.026	0.026	0.0	0.056	0.096	19.345
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.227	0.227	0.0	0.538	0.3	84.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.157	0.157	0.0	0.42	0.201	71.726
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G6 "Eubacterium"]	genus			0.007	0.007	0.0	0.0	0.044	4.762
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.035	0.035	0.0	0.078	0.102	28.274
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.046	0.046	0.0	0.076	0.212	25.298
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.196	0.196	0.0	0.544	0.32	72.619
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.173	0.173	0.0	0.498	0.417	52.381
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.124	0.124	0.0	0.352	0.208	62.798
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia	genus			0.002	0.002	0.0	0.0	0.028	1.786
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.007	0.007	0.0	0.0	0.041	8.929
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.443	0.443	0.016	0.953	0.482	90.476
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.222	0.222	0.0	0.122	1.586	13.988
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.799	0.799	0.0	1.944	1.204	88.69
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.088	0.088	0.0	0.168	0.327	41.667
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.778	0.778	0.0	1.997	0.9	86.012
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			9.855	9.855	3.63	16.34	5.177	99.702
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.134	0.134	0.0	0.228	0.512	40.774
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			5.455	5.455	0.443	11.098	6.082	97.619
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			4.213	4.213	0.096	11.852	5.578	96.131
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.709	0.709	0.0	1.922	0.98	83.036
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.047	0.047	0.0	0.0	0.845	1.786
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.007	0.007	0.0	0.0	0.057	5.06
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.029	0.029	0.0	0.0	0.208	7.143
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.004	0.004	0.0	0.0	0.031	4.762
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.181	0.181	0.0	0.426	0.646	55.952
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.062	0.062	0.0	0.038	0.68	16.369
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.031	0.031	0.0	0.047	0.138	22.321
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.025	0.025	0.0	0.05	0.105	16.964
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.009	0.009	0.0	0.0	0.082	5.06
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.008	0.008	0.0	0.0	0.112	4.762
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.067	0.067	0.0	0.144	0.216	41.369
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.122	0.122	0.0	0.114	1.282	41.964
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			7.318	7.318	0.192	20.833	11.399	97.619
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			0.002	0.002	0.0	0.0	0.027	0.595
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			0.003	0.003	0.0	0.0	0.022	5.357
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			2.536	2.536	0.402	5.468	2.293	98.214
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.104	0.104	0.0	0.0	1.865	3.274
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.009	0.009	0.0	0.0	0.108	8.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			1.675	1.675	0.063	3.67	4.875	97.321
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.003	0.003	0.0	0.0	0.044	2.381
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.463	0.463	0.0	0.0	3.759	7.143
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			1.482	1.482	0.072	3.322	1.703	94.643
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			0.11	0.11	0.0	0.271	0.314	47.024
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.013	0.013	0.0	0.012	0.072	11.31
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.029	0.029	0.0	0.062	0.118	23.512
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.105	0.105	0.0	0.143	0.415	27.679
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.02	0.02	0.0	0.035	0.092	18.75
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.15	0.15	0.0	0.492	0.395	38.393
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		1.766	1.766	0.067	4.409	2.355	91.964
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		0.056	0.056	0.0	0.04	0.726	26.488
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893		0.083	0.083	0.0	0.105	0.527	40.774
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.061	0.061	0.0	0.047	0.613	24.107
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.022	0.022	0.0	0.037	0.105	23.214
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.37	0.37	0.022	0.812	0.426	91.071
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;meyeri	species	671		0.111	0.111	0.0	0.242	0.41	50.893
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (THR).	2.818	2.818	0.496	5.77	2.417	97.619
