Taxonomy	Rank	HMT	Notes	Max	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.806	0.806	0.0	1.914	1.075	86.445
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.034	0.034	0.0	0.0	0.535	6.394
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			5.321	5.321	0.17	12.107	5.271	94.885
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			6.848	6.848	1.94	12.65	4.554	99.488
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.057	0.057	0.0	0.17	0.129	38.363
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.496	0.496	0.0	1.214	0.786	83.887
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.431	0.431	0.0	0.943	0.485	85.934
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			7.902	7.902	1.204	18.182	8.27	99.744
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.157	0.157	0.0	0.441	0.36	50.384
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			4.721	4.721	1.365	8.333	3.877	99.488
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.146	0.146	0.0	0.055	1.92	18.414
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			2.549	2.549	0.278	6.518	3.612	98.977
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			4.725	4.725	1.207	8.994	3.449	98.977
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.068	0.068	0.0	0.197	0.144	38.363
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.273	0.273	0.0	0.697	0.312	77.238
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.967	0.967	0.0	2.271	1.049	88.235
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.197	0.197	0.0	0.54	0.31	66.496
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.024	0.024	0.0	0.084	0.048	34.527
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.494	0.494	0.0	1.39	0.727	82.353
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			12.677	12.677	4.302	23.932	8.442	99.744
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.446	0.446	0.0	1.12	1.507	63.683
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			5.308	5.308	0.81	10.865	4.324	99.488
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			2.822	2.822	0.267	6.694	3.282	97.442
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.09	0.09	0.0	0.04	0.615	14.066
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.489	0.489	0.0	1.444	0.848	75.192
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.121	0.121	0.0	0.111	1.193	24.808
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			8.544	8.544	0.625	21.096	8.536	98.465
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.748	0.748	0.082	1.779	0.781	93.606
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.017	0.017	0.0	0.0	0.31	0.767
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.076	0.076	0.0	0.048	0.553	15.345
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			18.126	18.126	5.634	32.968	11.656	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.049	0.049	0.0	0.061	0.267	16.368
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.099	0.099	0.0	0.0	1.194	4.092
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			2.244	2.244	0.23	4.746	2.547	97.442
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			5.278	5.278	1.171	10.744	4.323	99.233
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	genus			0.024	0.024	0.0	0.037	0.138	12.532
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.588	0.588	0.0	1.11	3.153	76.215
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.008	0.008	0.0	0.0	0.061	3.836
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			3.593	3.593	0.431	8.961	3.968	99.233
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.011	0.011	0.0	0.033	0.041	15.09
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			1.133	1.133	0.0	0.274	8.41	47.059
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.806	0.806	0.0	1.914	1.075	86.445
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.034	0.034	0.0	0.0	0.535	6.394
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			5.321	5.321	0.17	12.107	5.271	94.885
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			2.584	2.584	0.327	5.266	2.421	97.187
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			1.968	1.968	0.147	4.308	1.89	95.908
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			1.418	1.418	0.061	3.498	1.672	92.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			0.878	0.878	0.0	2.317	1.069	83.632
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.057	0.057	0.0	0.17	0.129	38.363
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.496	0.496	0.0	1.214	0.786	83.887
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.108	0.108	0.0	0.339	0.341	26.343
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.323	0.323	0.0	0.748	0.336	82.097
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			7.902	7.902	1.204	18.182	8.27	99.744
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.157	0.157	0.0	0.441	0.36	50.384
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			4.721	4.721	1.365	8.333	3.877	99.488
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.146	0.146	0.0	0.055	1.92	18.414
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			2.549	2.549	0.278	6.518	3.612	98.977
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.045	0.045	0.0	0.132	0.11	35.294
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.378	0.378	0.0	0.886	0.385	84.655
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			1.0	1.0	0.147	2.098	0.889	95.652
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.594	0.594	0.0	1.818	1.226	54.22
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			1.576	1.576	0.32	2.911	1.27	96.931
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			1.132	1.132	0.043	2.675	1.268	91.816
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.068	0.068	0.0	0.197	0.144	38.363
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.273	0.273	0.0	0.697	0.312	77.238
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.366	0.366	0.0	0.926	0.481	74.425
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.571	0.571	0.0	1.523	0.688	81.841
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.096	0.096	0.0	0.269	0.225	43.99
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.101	0.101	0.0	0.316	0.159	54.731
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.024	0.024	0.0	0.084	0.048	34.527
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.061	0.061	0.0	0.065	0.281	15.601
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.433	0.433	0.0	1.172	0.656	79.795
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.042	0.042	0.0	0.123	0.109	31.458
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.49	0.49	0.0	1.408	0.742	78.005
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			12.145	12.145	4.226	22.948	7.974	99.744
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.088	0.088	0.0	0.0	1.356	3.325
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.007	0.007	0.0	0.0	0.11	2.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.007	0.007	0.0	0.0	0.081	2.302
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			5.308	5.308	0.81	10.865	4.324	99.488
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			2.086	2.086	0.051	5.32	3.099	92.072
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.735	0.735	0.0	1.939	0.943	85.166
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.09	0.09	0.0	0.04	0.615	14.066
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.439	0.439	0.0	1.19	0.808	70.332
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.05	0.05	0.0	0.039	0.26	15.345
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.018	0.018	0.0	0.044	0.076	13.555
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.104	0.104	0.0	0.062	1.19	15.345
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.058	0.058	0.0	0.161	0.128	43.223
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.476	0.476	0.0	0.764	2.102	65.729
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			6.757	6.757	0.358	16.02	7.55	97.187
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella	genus			1.252	1.252	0.0	3.426	4.002	29.412
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.748	0.748	0.082	1.779	0.781	93.606
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	genus			0.017	0.017	0.0	0.0	0.31	0.767
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter	genus			0.023	0.023	0.0	0.0	0.172	7.928
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.214	0.214	0.0	0.536	0.386	67.008
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			17.912	17.912	5.548	32.681	11.629	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.049	0.049	0.0	0.061	0.267	16.368
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.099	0.099	0.0	0.0	1.194	4.092
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.016	0.016	0.0	0.049	0.042	25.32
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.029	0.029	0.0	0.109	0.072	26.087
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.053	0.053	0.0	0.029	0.414	12.788
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.343	0.343	0.0	1.069	0.6	61.381
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		1.618	1.618	0.064	3.805	2.326	92.583
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.245	0.245	0.0	0.561	0.453	76.215
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.122	0.122	0.0	0.27	0.366	59.335
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.569	0.569	0.022	1.303	0.719	91.049
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	Reads equidistant to HMT-180 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-180 and HMT-701 individually at this body site (HPA).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at this site (HPA).	2.392	2.392	0.412	4.74	2.133	98.977
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (HPA).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-172 because they are too close to differentiate at this site (HPA).	2.186	2.186	0.109	4.981	2.6	95.908
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-180	species	180	Reads equidistant to HMT-180 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-180 and HMT-701 individually at this body site (HPA).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-180 because they are too close to differentiate at this site (HPA).	0.131	0.131	0.014	0.281	0.209	98.465
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium	species	588		0.013	0.013	0.0	0.0	0.108	8.184
Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;longum	species	862		0.011	0.011	0.0	0.0	0.083	5.627
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		0.167	0.167	0.0	0.37	0.427	61.125
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;kroppenstedtii	species	049		0.08	0.08	0.0	0.0	1.556	1.535
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.174	0.174	0.0	0.378	0.682	56.266
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;pilbarense	species	054		0.009	0.009	0.0	0.0	0.158	1.023
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;tuberculostearicum	species	077		0.124	0.124	0.0	0.0	1.471	8.951
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.008	0.008	0.0	0.0	0.061	3.836
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.135	0.135	0.0	0.414	0.346	53.453
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.169	0.169	0.0	0.385	0.527	58.568
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		3.289	3.289	0.359	8.449	3.777	98.465
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.011	0.011	0.0	0.033	0.041	15.09
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		1.133	1.133	0.0	0.274	8.41	47.059
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.806	0.806	0.0	1.914	1.075	86.445
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;lenta	species	654		0.034	0.034	0.0	0.0	0.535	6.394
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		4.974	4.974	0.152	11.183	5.152	94.118
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.347	0.347	0.0	1.092	0.893	41.688
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308		0.455	0.455	0.0	1.156	0.652	78.517
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.697	0.697	0.0	2.022	1.452	64.962
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-914	species	914		1.273	1.273	0.06	2.77	1.371	92.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.16	0.16	0.0	0.467	0.358	45.524
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca	species	943		0.176	0.176	0.0	0.314	0.598	27.621
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		1.176	1.176	0.0	2.731	1.594	89.77
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.079	0.079	0.0	0.239	0.179	42.711
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		1.713	1.713	0.03	4.027	1.891	90.537
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	307		0.788	0.788	0.0	2.12	1.002	82.353
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795		0.242	0.242	0.0	0.825	0.464	51.918
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-309	species	309		0.09	0.09	0.0	0.266	0.209	38.363
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.057	0.057	0.0	0.17	0.129	38.363
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.131	0.131	0.0	0.35	0.226	61.381
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325		0.052	0.052	0.0	0.136	0.121	39.642
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.156	0.156	0.0	0.367	0.528	62.916
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.157	0.157	0.0	0.487	0.293	54.476
