Taxonomy	Rank	HMT	Notes	Max	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev
Bacteria;Bacillota;Bacilli;Lactobacillales	order			21.454	21.454	8.579	39.099	11.457	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			4.768	4.768	1.058	9.043	3.241	100.0
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.359	0.359	0.017	0.86	0.369	94.194
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.25	0.25	0.0	0.68	0.383	79.355
Bacteria;Bacillota;Negativicutes;Veillonellales	order			11.894	11.894	6.384	17.95	4.745	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			9.221	9.221	0.865	19.736	7.427	100.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			0.023	0.023	0.0	0.068	0.054	43.226
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			9.151	9.151	0.12	24.328	9.774	99.355
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			3.154	3.154	0.666	6.125	2.846	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.854	1.854	0.029	5.164	3.554	96.129
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			1.688	1.688	0.046	4.325	2.088	96.774
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			0.034	0.034	0.0	0.131	0.077	39.355
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.266	0.266	0.0	0.445	1.312	41.935
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			9.826	9.826	2.354	18.437	7.181	98.71
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			4.098	4.098	0.232	10.543	5.051	96.129
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.015	0.015	0.0	0.032	0.064	23.226
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.825	0.825	0.03	2.08	0.953	95.484
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.004	0.004	0.0	0.0	0.046	2.581
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.957	2.957	0.006	9.551	4.376	90.323
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			10.609	10.609	3.64	17.014	5.295	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.077	0.077	0.0	0.304	0.165	51.613
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.612	0.612	0.0	2.388	1.19	82.581
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.211	0.211	0.0	0.508	0.311	85.806
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.855	0.855	0.11	2.19	0.872	99.355
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			2.703	2.703	0.483	5.42	2.262	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.074	0.074	0.0	0.027	0.693	29.032
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			18.677	18.677	7.298	34.034	10.089	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			4.04	4.04	1.004	7.711	2.851	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.035	0.035	0.0	0.123	0.072	41.935
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.216	0.216	0.0	0.529	0.221	87.742
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.29	0.29	0.0	0.677	0.338	81.29
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.188	0.188	0.0	0.374	0.782	70.968
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.359	0.359	0.017	0.86	0.369	94.194
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.25	0.25	0.0	0.68	0.383	79.355
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			11.894	11.894	6.384	17.95	4.745	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			5.38	5.38	0.277	13.127	5.327	99.355
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			3.841	3.841	0.084	10.509	5.081	100.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.023	0.023	0.0	0.068	0.054	43.226
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			9.151	9.151	0.12	24.328	9.774	99.355
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			3.154	3.154	0.666	6.125	2.846	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.854	1.854	0.029	5.164	3.554	96.129
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			1.688	1.688	0.046	4.325	2.088	96.774
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			0.034	0.034	0.0	0.131	0.077	39.355
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.266	0.266	0.0	0.445	1.312	41.935
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			2.127	2.127	0.058	4.352	3.071	95.484
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			7.699	7.699	1.693	13.735	5.227	98.71
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			4.098	4.098	0.232	10.543	5.051	96.129
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.015	0.015	0.0	0.032	0.064	23.226
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.825	0.825	0.03	2.08	0.953	95.484
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus			0.004	0.004	0.0	0.0	0.046	2.581
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			2.957	2.957	0.006	9.551	4.376	90.323
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			1.171	1.171	0.125	2.534	1.241	98.065
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			7.925	7.925	1.804	14.085	4.944	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.854	0.854	0.0	2.313	1.1	89.032
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			0.659	0.659	0.006	1.581	0.713	90.323
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.077	0.077	0.0	0.304	0.165	51.613
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.612	0.612	0.0	2.388	1.19	82.581
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.009	0.009	0.0	0.012	0.047	14.194
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.2	0.2	0.0	0.492	0.31	84.516
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.002	0.002	0.0	0.0	0.017	5.806
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.855	0.855	0.11	2.19	0.872	99.355
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			2.703	2.703	0.483	5.42	2.262	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.074	0.074	0.0	0.027	0.693	29.032
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			18.677	18.677	7.298	34.034	10.089	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.028	0.028	0.0	0.074	0.062	49.677
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.366	0.366	0.024	0.794	0.392	94.839
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.788	0.788	0.111	2.075	0.821	99.355
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.659	0.659	0.0	2.34	1.364	56.129
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.041	0.041	0.0	0.032	0.161	23.871
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8]	genus			0.004	0.004	0.0	0.016	0.013	15.484
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			1.264	1.264	0.374	2.389	0.862	99.355
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.89	0.89	0.045	1.974	1.077	94.839
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.035	0.035	0.0	0.123	0.072	41.935
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.216	0.216	0.0	0.529	0.221	87.742
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.152	0.152	0.0	0.353	0.19	76.129
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.015	0.015	0.0	0.024	0.046	20.645
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.123	0.123	0.0	0.323	0.177	71.613
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.119	0.119	0.0	0.155	0.704	43.226
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.069	0.069	0.0	0.153	0.132	64.516
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.359	0.359	0.017	0.86	0.369	94.194
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.25	0.25	0.0	0.68	0.383	79.355
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.009	0.009	0.0	0.022	0.037	15.484
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.494	0.494	0.0	1.336	0.594	88.387
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			11.39	11.39	6.286	17.001	4.496	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			5.38	5.38	0.277	13.127	5.327	99.355
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.865	0.865	0.013	2.201	1.377	92.258
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			2.975	2.975	0.023	9.181	4.839	94.194
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.022	0.022	0.0	0.065	0.053	42.581
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.001	0.001	0.0	0.0	0.011	2.581
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.023	0.023	0.0	0.051	0.079	26.452
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.008	0.008	0.0	0.026	0.02	27.097
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			9.119	9.119	0.088	24.319	9.763	98.71
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			3.154	3.154	0.666	6.125	2.846	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			1.854	1.854	0.029	5.164	3.554	96.129
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			1.688	1.688	0.046	4.325	2.088	96.774
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			0.034	0.034	0.0	0.131	0.077	39.355
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.005	0.005	0.0	0.014	0.02	15.484
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.078	0.078	0.0	0.07	0.528	25.161
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.016	0.016	0.0	0.017	0.109	15.484
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.172	0.172	0.0	0.308	0.751	30.968
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		2.127	2.127	0.058	4.352	3.071	95.484
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.67	0.67	0.127	1.357	0.617	98.71
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (TDO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-701 because they are too close to differentiate at this site (TDO).	4.248	4.248	0.898	8.627	3.038	98.71
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (TDO).;Some of the reads equidistant from these taxa (172-180-701) are included in HMT-172 because they are too close to differentiate at this site (TDO).	1.508	1.508	0.055	3.885	2.53	98.065
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-180	species	180	Some of the reads equidistant from these taxa (172-180-701) are included in HMT-180 because they are too close to differentiate at this site (TDO).	1.273	1.273	0.033	3.156	1.512	94.839
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.009	0.009	0.0	0.025	0.027	31.613
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.022	0.022	0.0	0.06	0.062	41.935
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		4.066	4.066	0.232	10.534	5.026	96.129
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.015	0.015	0.0	0.032	0.064	23.226
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.825	0.825	0.03	2.08	0.953	95.484
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-365	species	365		0.004	0.004	0.0	0.0	0.046	2.581
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		2.94	2.94	0.0	9.522	4.362	89.032
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-285	species	285		0.017	0.017	0.0	0.009	0.096	14.194
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava	species	302		0.103	0.103	0.0	0.364	0.25	49.032
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-308	species	308		0.615	0.615	0.0	1.512	0.759	89.032
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-473	species	473		0.217	0.217	0.0	0.559	0.831	50.323
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-913	species	913		0.007	0.007	0.0	0.0	0.067	5.806
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT-914	species	914		0.2	0.2	0.0	0.688	0.561	45.806
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae	species	466		0.029	0.029	0.0	0.041	0.104	24.516
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca	species	943		0.075	0.075	0.0	0.037	0.318	11.613
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;histicola	species	298		1.602	1.602	0.0	3.781	2.719	80.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;jejuni	species	313	Reads equidistant to HMT-313 and HMT-469 were assigned to each taxon in proportion to the abundance of HMT-313 and HMT-469 individually at this body site (TDO).;Some of the reads equidistant from these taxa (313-314-469) are included in HMT-313 because they are too close to differentiate at this site (TDO).	0.787	0.787	0.0	2.296	1.165	87.742
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica	species	469	Reads equidistant to HMT-313 and HMT-469 were assigned to each taxon in proportion to the abundance of HMT-313 and HMT-469 individually at this body site (TDO).;Some of the reads equidistant from these taxa (313-314-469) are included in HMT-469 because they are too close to differentiate at this site (TDO).	4.569	4.569	1.138	9.091	3.685	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;nanceiensis	species	299		0.661	0.661	0.0	1.636	0.958	88.387
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens	species	693		0.01	0.01	0.0	0.023	0.032	21.935
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum	species	288		0.004	0.004	0.0	0.007	0.015	11.613
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens	species	714		0.679	0.679	0.009	1.633	0.719	90.968
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae	species	307		0.545	0.545	0.006	1.423	0.643	90.323
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos	species	885	Reads equidistant to HMT-469 and HMT-885 were assigned to each taxon in proportion to the abundance of HMT-469 and HMT-885 individually at this body site (TDO).	0.03	0.03	0.0	0.097	0.095	24.516
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;shahii	species	795		0.193	0.193	0.0	0.759	0.457	39.355
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-305	species	305		0.044	0.044	0.0	0.144	0.069	46.452
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp. HMT-306	species	306		0.174	0.174	0.0	0.456	0.378	59.355
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp. HMT-309	species	309		0.067	0.067	0.0	0.243	0.148	45.806
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;serpentiformis	species	286		0.077	0.077	0.0	0.304	0.165	51.613
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;gingivalis	species	337		0.265	0.265	0.0	0.745	0.679	63.871
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;granulosa	species	325		0.024	0.024	0.0	0.048	0.082	32.903
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;haemolytica	species	627		0.001	0.001	0.0	0.0	0.004	2.581
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;leadbetteri	species	329		0.163	0.163	0.0	0.232	0.57	65.806
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;sputigena	species	775		0.16	0.16	0.0	0.403	0.449	54.194
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium;sp. HMT-206	species	206		0.009	0.009	0.0	0.012	0.047	14.194
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp. HMT-322	species	322		0.2	0.2	0.0	0.492	0.31	84.516
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1];bacterium HMT-900	species	900		0.002	0.002	0.0	0.0	0.017	5.806
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626		0.083	0.083	0.0	0.164	0.173	76.129
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757		0.772	0.772	0.06	2.103	0.801	99.355
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;adiacens	species	534		2.683	2.683	0.473	5.416	2.265	100.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;elegans	species	596		0.02	0.02	0.0	0.048	0.079	32.258
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;crispatus	species	817		0.056	0.056	0.0	0.019	0.511	20.645
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;iners	species	838		0.018	0.018	0.0	0.0	0.184	9.677
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;australis	species	073	Reads equidistant to HMT-066 and HMT-073 were assigned to each taxon in proportion to the abundance of HMT-066 and HMT-073 individually at this body site (TDO).	1.856	1.856	0.135	4.925	2.388	98.71
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mitis	species	677	Reads equidistant to HMT-058 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-677 individually at this body site (TDO).	0.632	0.632	0.061	1.746	0.876	99.355
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp. HMT-058	species	058	Reads equidistant to HMT-058 and HMT-677 were assigned to each taxon in proportion to the abundance of HMT-058 and HMT-677 individually at this body site (TDO).	0.062	0.062	0.0	0.176	0.166	54.194
