Taxonomy	Rank	HMT	Notes	Max	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae	family			0.037	0.037	0.0	0.0	0.393	2.874
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae	family			0.047	0.047	0.0	0.0	0.4	6.897
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			0.159	0.159	0.0	0.343	0.455	37.356
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			0.451	0.451	0.0	1.227	1.207	54.598
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			0.094	0.094	0.0	0.165	0.339	28.161
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.173	0.173	0.0	0.302	0.749	22.414
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae	family			0.007	0.007	0.0	0.003	0.035	12.069
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.39	0.39	0.0	1.142	0.759	52.299
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae	family			0.045	0.045	0.0	0.0	0.314	6.322
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			12.389	12.389	0.295	39.671	19.278	96.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.132	0.132	0.0	0.289	0.545	23.563
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.418	0.418	0.0	0.994	0.874	59.195
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			1.618	1.618	0.0	3.61	7.685	55.747
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			6.153	6.153	0.259	14.702	9.078	96.552
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.165	0.165	0.0	0.288	0.561	28.161
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.019	0.019	0.0	0.0	0.153	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.01	0.01	0.0	0.0	0.065	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.031	0.031	0.0	0.0	0.234	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.01	0.01	0.0	0.0	0.072	5.172
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.043	0.043	0.0	0.0	0.436	8.046
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			0.566	0.566	0.0	1.919	0.941	68.391
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.54	0.54	0.0	0.959	2.879	56.897
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			0.435	0.435	0.0	0.92	1.791	46.552
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			0.263	0.263	0.0	0.699	0.841	39.655
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family			0.41	0.41	0.0	1.485	0.955	45.402
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family			0.262	0.262	0.0	0.781	0.713	34.483
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family			0.015	0.015	0.0	0.0	0.138	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae	family			0.009	0.009	0.0	0.0	0.068	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae	family			0.21	0.21	0.0	0.041	1.828	13.218
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae	family			0.107	0.107	0.0	0.169	0.368	27.011
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.079	0.079	0.0	0.0	0.497	9.195
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.066	0.066	0.0	0.034	0.35	10.92
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.125	0.125	0.0	0.101	0.853	21.264
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae	family			0.031	0.031	0.0	0.0	0.302	1.149
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			2.286	2.286	0.0	5.193	6.436	72.414
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.872	0.872	0.0	2.459	1.821	67.241
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			0.984	0.984	0.0	2.414	2.447	71.839
Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae	family			0.014	0.014	0.0	0.0	0.133	1.724
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			0.105	0.105	0.0	0.308	0.457	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family			0.217	0.217	0.0	0.187	1.571	36.207
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			0.144	0.144	0.0	0.366	0.349	54.598
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.25	0.25	0.0	0.484	0.86	56.897
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.325	0.325	0.0	0.699	1.641	56.322
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.043	0.043	0.0	0.068	0.208	18.966
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			0.132	0.132	0.0	0.166	0.664	23.563
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			0.418	0.418	0.0	1.309	0.922	54.598
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			5.665	5.665	0.164	10.692	8.8	93.103
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			1.47	1.47	0.0	3.493	2.251	75.287
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermabacteraceae;Dermabacter	genus			0.035	0.035	0.0	0.069	0.14	16.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Dermatophilaceae;Arsenicicoccus	genus			0.009	0.009	0.0	0.0	0.094	1.149
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Janibacter	genus			0.03	0.03	0.0	0.0	0.157	6.322
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae;Kytococcus	genus			0.028	0.028	0.0	0.0	0.167	5.747
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Kocuria	genus			0.063	0.063	0.0	0.06	0.286	14.943
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus	genus			0.583	0.583	0.0	1.367	1.505	49.425
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			0.472	0.472	0.0	1.207	0.953	65.517
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			41.907	41.907	6.371	78.751	26.648	99.425
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.037	0.037	0.0	0.051	0.194	14.368
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Fannyhessea	genus			0.02	0.02	0.0	0.0	0.119	4.023
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Olegusella	genus			0.037	0.037	0.0	0.0	0.393	2.874
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella	genus			0.047	0.047	0.0	0.0	0.4	6.897
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			0.159	0.159	0.0	0.343	0.455	37.356
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.083	0.083	0.0	0.203	0.349	22.989
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.345	0.345	0.0	0.895	1.018	45.977
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			0.024	0.024	0.0	0.052	0.098	15.517
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			0.094	0.094	0.0	0.165	0.339	28.161
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.173	0.173	0.0	0.302	0.749	22.414
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus	genus			0.007	0.007	0.0	0.003	0.035	12.069
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.39	0.39	0.0	1.142	0.759	52.299
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae;Brochothrix	genus			0.045	0.045	0.0	0.0	0.314	6.322
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			12.389	12.389	0.295	39.671	19.278	96.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.105	0.105	0.0	0.166	0.532	15.517
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	genus			0.026	0.026	0.0	0.0	0.14	9.77
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus	genus			0.017	0.017	0.0	0.0	0.145	2.874
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.025	0.025	0.0	0.02	0.151	12.644
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.377	0.377	0.0	0.913	0.847	55.172
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			1.618	1.618	0.0	3.61	7.685	55.747
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	genus			0.137	0.137	0.0	0.261	0.453	29.31
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			6.016	6.016	0.259	13.912	9.057	96.552
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.023	0.023	0.0	0.0	0.133	6.897
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.03	0.03	0.0	0.028	0.138	13.218
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9]	genus			0.031	0.031	0.0	0.0	0.396	1.724
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			0.032	0.032	0.0	0.041	0.178	12.069
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.05	0.05	0.0	0.026	0.299	10.92
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.019	0.019	0.0	0.0	0.153	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.01	0.01	0.0	0.0	0.065	5.172
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.004	0.004	0.0	0.0	0.049	1.724
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.027	0.027	0.0	0.0	0.229	3.448
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.01	0.01	0.0	0.0	0.072	5.172
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.043	0.043	0.0	0.0	0.436	8.046
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.027	0.027	0.0	0.0	0.197	8.621
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.092	0.092	0.0	0.07	0.43	16.667
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			0.448	0.448	0.0	1.349	0.786	64.368
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus	genus			0.128	0.128	0.0	0.233	0.745	33.908
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia	genus			0.338	0.338	0.0	0.733	1.438	46.552
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus	genus			0.074	0.074	0.0	0.032	0.751	17.241
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			0.435	0.435	0.0	0.92	1.791	46.552
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			0.21	0.21	0.0	0.649	0.647	34.483
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			0.053	0.053	0.0	0.086	0.287	17.241
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.007	0.007	0.0	0.0	0.091	1.149
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	genus			0.278	0.278	0.0	0.893	0.741	35.057
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter	genus			0.131	0.131	0.0	0.183	0.508	16.667
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.252	0.252	0.0	0.747	0.711	32.184
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	genus			0.01	0.01	0.0	0.0	0.066	3.448
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.015	0.015	0.0	0.0	0.138	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium	genus			0.009	0.009	0.0	0.0	0.068	4.598
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Agrobacterium	genus			0.21	0.21	0.0	0.041	1.828	13.218
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Haematobacter	genus			0.014	0.014	0.0	0.0	0.132	2.299
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus	genus			0.093	0.093	0.0	0.151	0.331	25.862
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas	genus			0.079	0.079	0.0	0.0	0.497	9.195
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Novosphingobium	genus			0.066	0.066	0.0	0.034	0.35	10.92
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	genus			0.125	0.125	0.0	0.101	0.853	21.264
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	genus			0.031	0.031	0.0	0.0	0.302	1.149
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.033	0.033	0.0	0.047	0.15	13.218
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.098	0.098	0.0	0.149	0.475	20.115
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			2.156	2.156	0.0	4.731	6.452	55.747
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax	genus			0.018	0.018	0.0	0.0	0.118	4.023
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.422	0.422	0.0	0.897	1.542	43.103
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.018	0.018	0.0	0.0	0.108	5.172
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.289	0.289	0.0	0.724	0.783	40.23
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix	genus			0.07	0.07	0.0	0.013	0.4	12.069
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.026	0.026	0.0	0.0	0.286	3.448
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	genus			0.029	0.029	0.0	0.0	0.122	9.77
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.013	0.013	0.0	0.0	0.102	4.023
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.06	0.06	0.0	0.071	0.285	14.368
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			0.448	0.448	0.0	1.337	0.929	58.046
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1]	genus			0.463	0.463	0.0	0.511	2.261	32.184
Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Oryzomicrobium	genus			0.014	0.014	0.0	0.0	0.133	1.724
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			0.105	0.105	0.0	0.308	0.457	24.138
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.064	0.064	0.0	0.052	0.454	16.092
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.027	0.027	0.0	0.045	0.107	18.966
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	genus			0.126	0.126	0.0	0.017	1.147	11.494
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.144	0.144	0.0	0.366	0.349	54.598
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	genus			0.176	0.176	0.0	0.326	0.771	47.126
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella	genus			0.073	0.073	0.0	0.096	0.388	21.839
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	genus			0.27	0.27	0.0	0.393	1.618	45.977
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	genus			0.055	0.055	0.0	0.114	0.231	29.31
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.043	0.043	0.0	0.068	0.208	18.966
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			0.132	0.132	0.0	0.166	0.664	23.563
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		0.076	0.076	0.0	0.064	0.325	17.241
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		0.064	0.064	0.0	0.199	0.205	33.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.076	0.076	0.0	0.205	0.307	20.115
