Taxonomy	Rank	HMT	Notes	Max	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.267	0.267	0.0	0.598	0.727	80.667
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae	family			0.014	0.014	0.0	0.0	0.095	7.333
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.372	0.372	0.012	0.858	0.373	91.333
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			1.002	1.002	0.005	2.661	1.748	90.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			10.384	10.384	3.987	17.626	6.186	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.368	0.368	0.0	1.019	0.936	63.333
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			9.211	9.211	1.544	18.656	7.142	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			4.512	4.512	0.312	11.39	4.848	100.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			0.085	0.085	0.0	0.26	0.191	56.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.008	0.008	0.0	0.009	0.052	15.333
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			6.584	6.584	0.158	19.318	9.019	98.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			3.5	3.5	0.686	7.041	3.156	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.57	1.57	0.025	3.879	2.52	95.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae	family			0.003	0.003	0.0	0.0	0.032	1.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			1.663	1.663	0.135	3.651	2.321	98.667
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			0.597	0.597	0.0	1.409	1.615	84.0
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family			0.051	0.051	0.0	0.083	0.176	33.333
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1]	family			0.006	0.006	0.0	0.0	0.051	3.333
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.141	0.141	0.0	0.284	0.464	48.667
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.39	0.39	0.0	0.799	1.105	57.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			1.5	1.5	0.065	3.603	2.316	92.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			4.18	4.18	0.358	8.963	3.553	95.333
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			0.043	0.043	0.0	0.032	0.411	34.667
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			1.515	1.515	0.087	3.782	2.063	94.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.034	0.034	0.0	0.053	0.152	27.333
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.49	0.49	0.012	1.035	0.744	90.667
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium	genus			0.015	0.015	0.0	0.0	0.178	2.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus			0.099	0.099	0.0	0.134	0.493	29.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.087	0.087	0.0	0.148	0.419	29.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	genus			0.028	0.028	0.0	0.0	0.27	1.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.178	0.178	0.0	0.071	1.245	33.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			3.618	3.618	0.246	9.746	3.913	98.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			2.112	2.112	0.222	4.874	2.593	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			8.579	8.579	2.225	16.845	5.469	100.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			1.54	1.54	0.118	3.657	1.451	98.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella	genus			0.007	0.007	0.0	0.0	0.072	4.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			1.286	1.286	0.074	3.241	2.02	96.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.226	0.226	0.0	0.598	0.447	73.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			1.581	1.581	0.022	5.188	2.554	95.333
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.077	0.077	0.0	0.127	0.447	26.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			0.302	0.302	0.0	0.715	0.499	88.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.046	0.046	0.0	0.072	0.237	42.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			1.824	1.824	0.177	3.558	2.295	99.333
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.013	0.013	0.0	0.019	0.059	25.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			1.63	1.63	0.19	3.542	1.607	99.333
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			21.008	21.008	6.371	42.622	15.61	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.053	0.053	0.0	0.127	0.133	57.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.426	0.426	0.069	1.06	0.467	98.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.775	0.775	0.111	1.654	0.688	97.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2]	genus			0.724	0.724	0.0	2.735	1.432	62.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.056	0.056	0.0	0.13	0.186	34.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7]	genus			0.002	0.002	0.0	0.0	0.009	6.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G8]	genus			0.013	0.013	0.0	0.039	0.046	26.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			1.032	1.032	0.329	1.847	0.664	99.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus			0.008	0.008	0.0	0.014	0.042	12.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.769	0.769	0.085	1.51	0.828	96.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.062	0.062	0.0	0.17	0.104	62.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor	genus			0.074	0.074	0.0	0.112	0.283	30.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.185	0.185	0.012	0.387	0.197	90.667
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.127	0.127	0.0	0.314	0.172	78.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G6 "Eubacterium"]	genus			0.019	0.019	0.0	0.0	0.115	9.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.045	0.045	0.0	0.109	0.111	40.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.123	0.123	0.0	0.276	0.43	42.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus	genus			0.247	0.247	0.0	0.606	0.484	83.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.127	0.127	0.0	0.284	0.336	59.333
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.14	0.14	0.0	0.261	0.586	67.333
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia	genus			0.014	0.014	0.0	0.0	0.095	7.333
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.023	0.023	0.0	0.042	0.082	18.0
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.349	0.349	0.008	0.846	0.354	90.667
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.155	0.155	0.0	0.062	0.719	16.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.847	0.847	0.005	2.237	1.362	90.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.22	0.22	0.0	0.732	0.506	70.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera	genus			0.437	0.437	0.0	1.107	0.528	84.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			9.727	9.727	3.375	17.261	6.08	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.368	0.368	0.0	1.019	0.936	63.333
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			9.211	9.211	1.544	18.656	7.142	100.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			3.363	3.363	0.059	10.189	4.511	98.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			1.144	1.144	0.041	2.9	1.543	92.667
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	genus			0.004	0.004	0.0	0.0	0.051	1.333
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			0.078	0.078	0.0	0.238	0.184	53.333
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.007	0.007	0.0	0.0	0.045	8.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.006	0.006	0.0	0.0	0.051	5.333
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.08	0.08	0.0	0.232	0.225	53.333
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			0.06	0.06	0.0	0.048	0.51	42.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			6.444	6.444	0.127	19.318	8.978	97.333
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			3.5	3.5	0.686	7.041	3.156	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.108	0.108	0.0	0.031	1.0	20.667
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			1.462	1.462	0.025	3.742	2.316	95.333
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	genus			0.003	0.003	0.0	0.0	0.032	1.333
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			1.663	1.663	0.135	3.651	2.321	98.667
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			0.597	0.597	0.0	1.409	1.615	84.0
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.051	0.051	0.0	0.083	0.176	33.333
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1]	genus			0.006	0.006	0.0	0.0	0.051	3.333
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.141	0.141	0.0	0.284	0.464	48.667
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.002	0.002	0.0	0.003	0.008	11.333
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.206	0.206	0.0	0.222	0.844	40.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.026	0.026	0.0	0.075	0.072	28.667
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.158	0.158	0.0	0.46	0.53	37.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;graevenitzii	species	866		1.361	1.361	0.01	3.433	2.112	90.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893		0.081	0.081	0.0	0.029	0.883	27.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		0.026	0.026	0.0	0.033	0.158	32.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-897	species	897		0.032	0.032	0.0	0.0	0.388	1.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae	species	181		0.285	0.285	0.017	0.564	0.348	91.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;meyeri	species	671	Reads equidistant to HMT-671 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-671 and HMT-701 individually at this body site (PTO).	0.047	0.047	0.0	0.068	0.17	51.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (PTO).	2.069	2.069	0.18	4.858	1.892	95.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-172	species	172	Reads equidistant to HMT-172 and HMT-701 were assigned to each taxon in proportion to the abundance of HMT-172 and HMT-701 individually at this body site (PTO).	0.853	0.853	0.011	2.399	1.411	93.333
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp. HMT-180	species	180		0.926	0.926	0.009	2.094	1.393	90.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		0.041	0.041	0.0	0.029	0.412	26.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		0.039	0.039	0.0	0.063	0.222	37.333
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		0.066	0.066	0.0	0.108	0.254	57.333
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		1.41	1.41	0.073	3.545	1.997	94.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.034	0.034	0.0	0.053	0.152	27.333
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.38	0.38	0.011	0.896	0.417	90.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;rimae	species	750		0.11	0.11	0.0	0.082	0.571	30.0
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium;curtum	species	579		0.015	0.015	0.0	0.0	0.178	2.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-280	species	280		0.005	0.005	0.0	0.0	0.044	3.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-281	species	281		0.004	0.004	0.0	0.0	0.035	2.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-365	species	365		0.075	0.075	0.0	0.067	0.445	22.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-503	species	503		0.016	0.016	0.0	0.0	0.092	6.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.087	0.087	0.0	0.148	0.419	29.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;heparinolyticus	species	630		0.028	0.028	0.0	0.0	0.27	1.333
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274		0.178	0.178	0.0	0.071	1.245	33.333
