Taxonomy	Rank	HMT	Notes	Max	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			2.663	2.663	0.079	6.18	3.88	97.351
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			1.091	1.091	0.0	3.237	1.876	76.821
Bacteria;Synergistota;Synergistia;Synergistales	order			0.213	0.213	0.0	0.739	0.499	47.682
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.044	0.044	0.0	0.116	0.139	28.477
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.147	0.147	0.0	0.462	0.293	58.94
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			10.438	10.438	1.801	21.329	9.547	96.026
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			5.892	5.892	0.29	13.643	5.593	94.702
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae	family			0.001	0.001	0.0	0.0	0.007	6.623
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			5.808	5.808	0.354	13.636	5.99	95.364
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			1.083	1.083	0.024	2.891	1.812	94.04
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.124	0.124	0.0	0.238	0.364	63.576
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.233	0.233	0.0	0.458	1.052	26.49
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.822	0.822	0.0	2.657	1.649	61.589
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.472	2.472	0.051	6.395	3.038	95.364
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			5.999	5.999	0.367	13.04	5.615	99.338
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.297	0.297	0.0	0.814	0.519	72.185
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			8.004	8.004	1.456	15.029	5.36	99.338
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.316	1.316	0.126	2.828	1.835	99.338
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.749	0.749	0.064	1.632	1.456	95.364
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.419	0.419	0.0	1.054	0.906	70.199
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.522	0.522	0.053	1.101	0.77	96.689
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.113	0.113	0.0	0.01	1.344	13.245
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			13.75	13.75	4.307	25.214	10.43	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.669	0.669	0.034	1.388	0.725	95.364
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family			0.028	0.028	0.0	0.081	0.053	43.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family			0.027	0.027	0.0	0.065	0.062	47.682
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.348	0.348	0.0	0.95	0.431	85.43
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.096	0.096	0.0	0.167	0.359	42.384
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.05	0.05	0.0	0.114	0.144	47.682
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			1.733	1.733	0.023	4.378	2.12	94.04
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			4.37	4.37	0.46	10.887	4.993	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.344	0.344	0.0	0.888	0.459	79.47
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			9.135	9.135	1.336	22.038	7.649	99.338
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			2.981	2.981	0.242	7.089	3.278	97.351
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.098	0.098	0.0	0.339	0.225	45.695
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			2.731	2.731	0.013	7.114	3.924	90.066
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.267	0.267	0.0	0.567	0.734	50.993
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			8.371	8.371	1.365	17.268	7.735	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			2.494	2.494	0.416	5.116	2.095	99.338
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.201	0.201	0.0	0.51	0.292	82.119
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.0	1.0	0.02	2.294	1.868	93.377
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			2.663	2.663	0.079	6.18	3.88	97.351
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			1.091	1.091	0.0	3.237	1.876	76.821
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family			0.213	0.213	0.0	0.739	0.499	47.682
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.044	0.044	0.0	0.116	0.139	28.477
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.147	0.147	0.0	0.462	0.293	58.94
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			9.398	9.398	0.918	18.522	9.264	94.04
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.677	0.677	0.0	1.751	1.553	74.172
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.363	0.363	0.0	0.631	0.807	84.106
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			5.892	5.892	0.29	13.643	5.593	94.702
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus			0.001	0.001	0.0	0.0	0.007	6.623
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			5.808	5.808	0.354	13.636	5.99	95.364
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			1.053	1.053	0.009	2.891	1.812	90.066
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.03	0.03	0.0	0.047	0.154	36.424
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.1	0.1	0.0	0.181	0.357	51.656
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	genus			0.023	0.023	0.0	0.065	0.055	35.762
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus			0.011	0.011	0.0	0.0	0.098	3.311
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.222	0.222	0.0	0.458	1.045	25.828
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.822	0.822	0.0	2.657	1.649	61.589
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			2.472	2.472	0.051	6.395	3.038	95.364
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.646	0.646	0.0	1.461	1.48	83.444
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			1.25	1.25	0.022	3.108	1.757	94.04
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			2.061	2.061	0.036	5.838	2.804	98.013
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			2.042	2.042	0.015	5.279	2.162	91.391
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.297	0.297	0.0	0.814	0.519	72.185
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			8.004	8.004	1.456	15.029	5.36	99.338
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			1.206	1.206	0.104	2.791	1.827	98.675
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.11	0.11	0.0	0.276	0.272	52.98
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.749	0.749	0.064	1.632	1.456	95.364
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.419	0.419	0.0	1.054	0.906	70.199
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	genus			0.052	0.052	0.0	0.0	0.608	5.298
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.47	0.47	0.052	1.061	0.518	96.026
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus	genus			0.009	0.009	0.0	0.0	0.116	0.662
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.103	0.103	0.0	0.01	1.228	13.245
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			13.75	13.75	4.307	25.214	10.43	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio	genus			0.018	0.018	0.0	0.012	0.082	10.596
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.206	0.206	0.0	0.502	0.254	75.497
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella	genus			0.031	0.031	0.0	0.066	0.099	29.801
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.208	0.208	0.0	0.571	0.339	78.808
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.084	0.084	0.0	0.237	0.156	61.589
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium	genus			0.063	0.063	0.0	0.114	0.333	46.358
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia	genus			0.016	0.016	0.0	0.013	0.134	12.583
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum	genus			0.044	0.044	0.0	0.079	0.18	44.371
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus	genus			0.028	0.028	0.0	0.081	0.053	43.046
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium	genus			0.027	0.027	0.0	0.065	0.062	47.682
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"]	genus			0.01	0.01	0.0	0.025	0.037	21.854
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.225	0.225	0.0	0.702	0.341	72.848
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.113	0.113	0.0	0.334	0.191	61.589
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.077	0.077	0.0	0.154	0.291	36.424
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2]	genus			0.019	0.019	0.0	0.017	0.13	18.543
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia	genus			0.003	0.003	0.0	0.0	0.013	8.609
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.047	0.047	0.0	0.114	0.143	45.033
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella	genus			0.045	0.045	0.0	0.0	0.27	7.947
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			1.559	1.559	0.022	3.721	1.92	92.715
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonadaceae [G1]	genus			0.128	0.128	0.0	0.317	0.348	51.656
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus	genus			0.037	0.037	0.0	0.059	0.172	20.53
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.315	0.315	0.0	0.856	0.589	70.861
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			4.018	4.018	0.384	10.887	4.959	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.344	0.344	0.0	0.888	0.459	79.47
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			9.135	9.135	1.336	22.038	7.649	99.338
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			1.806	1.806	0.025	4.904	2.737	92.715
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			1.175	1.175	0.045	2.524	1.214	94.702
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.098	0.098	0.0	0.339	0.225	45.695
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			2.717	2.717	0.0	7.114	3.924	88.742
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.014	0.014	0.0	0.0	0.093	9.272
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.01	0.01	0.0	0.014	0.047	13.245
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.003	0.003	0.0	0.0	0.017	4.636
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.254	0.254	0.0	0.487	0.735	42.384
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.582	0.582	0.086	1.213	0.63	96.689
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			1.335	1.335	0.076	3.394	1.771	96.689
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			6.454	6.454	0.494	15.079	7.482	98.675
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			2.494	2.494	0.416	5.116	2.095	99.338
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.201	0.201	0.0	0.51	0.292	82.119
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.178	0.178	0.0	0.342	0.471	66.887
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			0.821	0.821	0.0	2.016	1.725	88.742
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			2.663	2.663	0.079	6.18	3.88	97.351
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			1.091	1.091	0.0	3.237	1.876	76.821
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.213	0.213	0.0	0.739	0.499	47.682
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.044	0.044	0.0	0.116	0.139	28.477
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-345	species	345		0.017	0.017	0.0	0.06	0.046	25.828
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.113	0.113	0.0	0.397	0.247	50.331
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.017	0.017	0.0	0.019	0.076	16.556
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;gerencseriae	species	618		0.287	0.287	0.0	0.63	0.708	70.199
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii	species	849		0.201	0.201	0.0	0.477	0.417	66.887
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852		0.536	0.536	0.0	1.532	0.698	84.768
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		1.285	1.285	0.021	3.346	1.799	90.728
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893	Reads equidistant to HMT-171 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-171 and HMT-893 individually at this body site (SUBP).	1.789	1.789	0.048	3.668	2.451	93.377
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		2.469	2.469	0.02	5.722	5.105	90.728
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170		0.79	0.79	0.0	2.201	1.478	86.093
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-171	species	171	Reads equidistant to HMT-171 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-171 and HMT-893 individually at this body site (SUBP).	0.646	0.646	0.006	1.279	1.379	90.066
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.73	0.73	0.0	2.013	1.146	86.755
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-448	species	448		0.555	0.555	0.0	0.507	2.601	32.45
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus	species	688		0.11	0.11	0.0	0.225	0.299	57.616
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;gingivicola	species	848		0.039	0.039	0.0	0.091	0.163	23.179
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT-183	species	183		0.638	0.638	0.0	1.703	1.546	69.536
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;meyeri	species	671		0.183	0.183	0.0	0.462	0.42	70.199
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701		0.18	0.18	0.0	0.342	0.561	71.523
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		1.138	1.138	0.0	3.129	1.599	88.742
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		4.754	4.754	0.0	11.733	5.302	89.404
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella;clevelandensis	species	173		0.001	0.001	0.0	0.0	0.007	6.623
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		2.179	2.179	0.0	5.813	2.927	89.404
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		3.523	3.523	0.093	9.073	4.754	94.702
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.106	0.106	0.0	0.246	0.315	56.954
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;propionica	species	739		0.537	0.537	0.0	1.396	0.824	86.755
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.516	0.516	0.0	1.101	1.689	35.762
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.03	0.03	0.0	0.047	0.154	36.424
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.063	0.063	0.0	0.101	0.327	36.424
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;rimae	species	750		0.037	0.037	0.0	0.089	0.13	35.099
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp. HMT-807	species	807		0.023	0.023	0.0	0.065	0.055	35.762
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3];bacterium HMT-280	species	280		0.011	0.011	0.0	0.0	0.098	3.311
