Taxonomy	Rank	HMT	Notes	Max	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev
Bacteria;Bacillota;Bacilli;Lactobacillales	order			17.016	17.016	6.552	28.49	9.023	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales	order			0.607	0.607	0.019	1.565	0.769	94.702
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales	order			0.01	0.01	0.0	0.03	0.028	28.477
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			0.887	0.887	0.0	2.598	1.4	84.768
Bacteria;Bacillota;Negativicutes;Veillonellales	order			4.003	4.003	0.314	8.536	4.545	99.338
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			8.175	8.175	0.817	19.119	7.227	99.338
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1]	order			0.154	0.154	0.0	0.459	0.372	47.02
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			3.598	3.598	0.054	9.02	4.988	93.377
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			10.339	10.339	2.995	21.911	8.444	99.338
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			1.906	1.906	0.083	5.193	2.199	98.675
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.212	0.212	0.0	0.555	0.281	86.755
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			1.563	1.563	0.022	3.322	4.017	96.026
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1]	order			1.952	1.952	0.02	5.293	2.458	91.391
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			0.191	0.191	0.0	0.559	0.472	54.967
Bacteria;Synergistota;Synergistia;Synergistales	order			0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1]	order			0.029	0.029	0.0	0.0	0.35	1.987
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales	order			0.013	0.013	0.0	0.009	0.073	11.258
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae	family			0.128	0.128	0.0	0.402	0.314	52.98
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae	family			10.887	10.887	2.288	23.374	8.807	96.689
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			8.518	8.518	0.638	16.837	6.528	96.026
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae	family			8.24	8.24	1.026	17.695	8.783	96.026
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae	family			0.889	0.889	0.014	2.253	1.422	92.715
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.019	0.019	0.0	0.063	0.039	38.411
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae	family			0.038	0.038	0.0	0.021	0.215	12.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2]	family			0.233	0.233	0.0	0.809	0.549	43.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			2.226	2.226	0.033	5.866	2.881	94.702
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family			1.955	1.955	0.045	5.552	2.524	95.364
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.17	0.17	0.0	0.48	0.367	60.265
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			9.202	9.202	2.068	15.857	6.099	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.589	1.589	0.331	3.035	1.335	100.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			0.51	0.51	0.023	1.003	0.841	94.04
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family			0.006	0.006	0.0	0.009	0.031	14.57
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family			0.637	0.637	0.0	1.514	1.511	80.795
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family			0.517	0.517	0.056	1.257	0.492	98.013
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family			0.011	0.011	0.0	0.045	0.028	21.854
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			15.852	15.852	6.215	26.882	8.547	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family			0.396	0.396	0.011	1.154	0.558	91.391
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.143	0.143	0.0	0.427	0.237	76.159
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			0.04	0.04	0.0	0.103	0.126	30.464
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae	family			0.01	0.01	0.0	0.03	0.028	28.477
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family			0.887	0.887	0.0	2.598	1.4	84.768
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family			4.003	4.003	0.314	8.536	4.545	99.338
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family			0.027	0.027	0.0	0.075	0.073	41.722
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			4.263	4.263	0.324	11.633	4.345	99.338
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			3.913	3.913	0.194	9.618	4.135	97.351
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1]	family			0.154	0.154	0.0	0.459	0.372	47.02
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			3.412	3.412	0.032	8.953	4.939	92.053
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.185	0.185	0.0	0.387	0.672	52.318
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			10.339	10.339	2.995	21.911	8.444	99.338
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			1.906	1.906	0.083	5.193	2.199	98.675
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.212	0.212	0.0	0.555	0.281	86.755
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			1.563	1.563	0.022	3.322	4.017	96.026
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family			1.952	1.952	0.02	5.293	2.458	91.391
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			0.191	0.191	0.0	0.559	0.472	54.967
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family			0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1]	family			0.029	0.029	0.0	0.0	0.35	1.987
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family			0.013	0.013	0.0	0.009	0.073	11.258
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus			0.128	0.128	0.0	0.402	0.314	52.98
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus			9.993	9.993	2.216	20.979	8.356	96.026
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus			0.733	0.733	0.0	2.24	1.813	73.51
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus			0.161	0.161	0.0	0.404	0.215	88.079
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus			8.518	8.518	0.638	16.837	6.528	96.026
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus			8.24	8.24	1.026	17.695	8.783	96.026
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus			0.86	0.86	0.0	2.253	1.426	88.742
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus			0.029	0.029	0.0	0.032	0.112	25.828
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus			0.012	0.012	0.0	0.037	0.031	31.126
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	genus			0.006	0.006	0.0	0.022	0.018	18.543
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus			0.038	0.038	0.0	0.021	0.215	12.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus			0.233	0.233	0.0	0.809	0.549	43.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus			2.226	2.226	0.033	5.866	2.881	94.702
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella	genus			0.22	0.22	0.0	0.658	0.585	70.199
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	genus			0.448	0.448	0.0	1.421	0.799	86.093
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	genus			0.272	0.272	0.0	0.75	0.481	73.51
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella	genus			1.016	1.016	0.0	2.924	1.747	81.457
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella	genus			0.17	0.17	0.0	0.48	0.367	60.265
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	genus			9.202	9.202	2.068	15.857	6.099	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium	genus			0.003	0.003	0.0	0.009	0.009	13.245
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella	genus			1.473	1.473	0.273	2.98	1.232	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Weeksellaceae [G1]	genus			0.114	0.114	0.0	0.282	0.257	52.98
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella	genus			0.51	0.51	0.023	1.003	0.841	94.04
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus	genus			0.006	0.006	0.0	0.009	0.031	14.57
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	genus			0.637	0.637	0.0	1.514	1.511	80.795
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	genus			0.517	0.517	0.056	1.257	0.492	98.013
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	genus			0.011	0.011	0.0	0.045	0.028	21.854
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			15.852	15.852	6.215	26.882	8.547	100.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella	genus			0.079	0.079	0.0	0.245	0.159	62.252
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Johnsonella	genus			0.023	0.023	0.0	0.039	0.082	21.192
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum	genus			0.197	0.197	0.0	0.56	0.314	81.457
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G3]	genus			0.098	0.098	0.0	0.249	0.212	54.305
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G7 "Eubacterium"]	genus			0.126	0.126	0.0	0.351	0.223	70.199
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.017	0.017	0.0	0.047	0.035	38.411
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1]	genus			0.04	0.04	0.0	0.103	0.126	30.464
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium	genus			0.01	0.01	0.0	0.03	0.028	28.477
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas	genus			0.887	0.887	0.0	2.598	1.4	84.768
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister	genus			0.046	0.046	0.0	0.136	0.11	39.735
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	genus			3.957	3.957	0.268	8.536	4.549	99.338
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas	genus			0.027	0.027	0.0	0.075	0.073	41.722
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	genus			4.263	4.263	0.324	11.633	4.345	99.338
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia	genus			2.462	2.462	0.033	6.893	3.342	94.702
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia	genus			1.45	1.45	0.066	3.948	1.583	96.026
Bacteria;Patescibacteria;Patescibacteria [C1];Patescibacteria [C1 O1];Patescibacteria [C1 O1 F1];Patescibacteria [C1 O1 F1 G1]	genus			0.154	0.154	0.0	0.459	0.372	47.02
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			3.408	3.408	0.032	8.953	4.941	92.053
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	genus			0.005	0.005	0.0	0.0	0.033	5.298
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	genus			0.005	0.005	0.0	0.0	0.027	8.609
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	genus			0.001	0.001	0.0	0.0	0.011	3.974
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia	genus			0.179	0.179	0.0	0.26	0.673	45.695
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.516	0.516	0.038	1.249	0.482	98.013
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella	genus			1.786	1.786	0.162	4.229	2.017	98.013
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			8.037	8.037	1.029	19.059	8.566	99.338
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			1.906	1.906	0.083	5.193	2.199	98.675
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.212	0.212	0.0	0.555	0.281	86.755
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter	genus			0.255	0.255	0.0	0.562	0.66	74.834
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			1.307	1.307	0.011	2.545	3.894	91.391
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1];Saccharimonadota [C1 O1 F1 G1]	genus			1.952	1.952	0.02	5.293	2.458	91.391
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			0.191	0.191	0.0	0.559	0.472	54.967
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Fretibacterium	genus			0.023	0.023	0.0	0.05	0.077	17.881
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1];Mollicutes [O1 F1 G1]	genus			0.029	0.029	0.0	0.0	0.35	1.987
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae;Metamycoplasma	genus			0.013	0.013	0.0	0.009	0.073	11.258
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-874	species	874		0.111	0.111	0.0	0.402	0.233	51.656
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1];bacterium HMT-875	species	875		0.018	0.018	0.0	0.01	0.133	13.907
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;gerencseriae	species	618		0.119	0.119	0.0	0.22	0.398	56.954
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;johnsonii	species	849		0.121	0.121	0.0	0.303	0.246	64.901
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;massiliensis	species	852		0.661	0.661	0.0	1.688	0.818	89.404
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;naeslundii	species	176		1.357	1.357	0.009	3.229	2.322	91.391
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;oris	species	893	Reads equidistant to HMT-171 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-171 and HMT-893 individually at this body site (SUPP).	1.681	1.681	0.076	4.017	2.382	94.04
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-169	species	169		2.574	2.574	0.052	6.969	4.196	94.04
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-170	species	170	Reads equidistant to HMT-170 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-170 and HMT-893 individually at this body site (SUPP).	1.076	1.076	0.018	2.854	1.72	92.053
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-171	species	171	Reads equidistant to HMT-171 and HMT-893 were assigned to each taxon in proportion to the abundance of HMT-171 and HMT-893 individually at this body site (SUPP).	0.936	0.936	0.008	2.023	1.629	90.066
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-175	species	175		0.998	0.998	0.0	2.41	1.337	89.404
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-448	species	448		0.278	0.278	0.0	0.904	0.827	35.762
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;sp. HMT-897	species	897		0.017	0.017	0.0	0.024	0.095	17.219
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces;viscosus	species	688		0.174	0.174	0.0	0.452	0.337	75.497
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;gingivicola	species	848		0.065	0.065	0.0	0.119	0.323	28.477
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga;sp. HMT-183	species	183		0.667	0.667	0.0	2.185	1.79	67.55
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;meyeri	species	671		0.04	0.04	0.0	0.118	0.071	58.94
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica	species	701		0.12	0.12	0.0	0.329	0.197	77.483
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;durum	species	595		1.698	1.698	0.056	4.448	2.285	91.391
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;matruchotii	species	666		6.82	6.82	0.047	14.89	6.521	91.391
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria	species	188		2.712	2.712	0.034	7.226	3.218	94.702
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa	species	587		5.465	5.465	0.241	14.209	7.809	95.364
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa	species	681		0.063	0.063	0.0	0.162	0.142	58.278
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;propionica	species	739		0.413	0.413	0.0	1.131	0.658	86.755
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra	species	194		0.447	0.447	0.0	1.32	1.28	41.06
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes	species	530		0.029	0.029	0.0	0.032	0.112	25.828
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;parvula	species	723		0.012	0.012	0.0	0.037	0.031	31.126
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;sp. HMT-807	species	807		0.006	0.006	0.0	0.022	0.018	18.543
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-505	species	505		0.004	0.004	0.0	0.0	0.047	1.325
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5];bacterium HMT-511	species	511		0.034	0.034	0.0	0.021	0.198	12.583
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2];bacterium HMT-274	species	274		0.233	0.233	0.0	0.809	0.549	43.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;catoniae	species	283		0.774	0.774	0.0	2.398	1.261	81.457
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;endodontalis	species	273		0.056	0.056	0.0	0.068	0.226	28.477
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;gingivalis	species	619		0.012	0.012	0.0	0.0	0.105	1.987
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri	species	279		0.91	0.91	0.0	2.966	1.761	81.457
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-275	species	275		0.15	0.15	0.0	0.459	0.419	43.046
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-277	species	277	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUPP).	0.03	0.03	0.0	0.034	0.117	23.179
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-278	species	278		0.179	0.179	0.0	0.346	0.976	43.709
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-284	species	284	Reads equidistant to HMT-277 and HMT-284 were assigned to each taxon in proportion to the abundance of HMT-277 and HMT-284 individually at this body site (SUPP).	0.081	0.081	0.0	0.209	0.294	33.775
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT-930	species	930		0.034	0.034	0.0	0.041	0.214	22.517
