Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Bacillota;Bacilli	klass			87.689	18.784	5.686	40.471	14.921	100.0	7.77	0.513	20.331	11.139	99.617	24.179	7.532	48.644	15.793	100.0	15.476	4.612	30.503	11.366	100.0	4.741	0.202	11.112	8.348	97.931	6.121	0.107	17.925	12.066	99.682	86.972	45.194	99.932	26.351	99.454	87.689	36.003	99.984	28.721	98.953	5.718	1.094	11.575	6.561	100.0	5.924	0.241	11.831	11.06	98.0	4.822	0.102	14.101	11.148	97.84	4.263	1.344	8.58	3.149	100.0	1.506	0.07	3.652	2.81	96.837	6.594	1.625	13.37	6.397	100.0	9.387	3.206	17.847	6.549	100.0	6.018	0.89	13.418	6.132	100.0	5.195	1.24	10.615	4.485	100.0	80.914	18.878	99.536	29.819	99.425
Bacteria;Bacillota;Clostridia	klass			10.466	0.372	0.0	0.875	1.068	66.667	4.965	0.08	12.96	5.788	91.571	1.879	0.197	4.144	2.085	97.519	6.676	1.856	11.978	4.208	99.744	0.874	0.0	2.652	1.367	75.862	3.115	0.0	9.207	8.486	76.752	2.009	0.0	1.142	9.723	73.224	1.19	0.0	0.154	7.961	37.173	9.486	3.211	17.186	5.587	100.0	2.023	0.0	5.332	3.943	84.0	5.229	0.0	13.718	13.526	75.0	10.466	3.18	19.402	6.802	100.0	1.389	0.0	3.869	3.581	58.151	2.59	0.527	4.957	1.739	99.012	1.286	0.102	3.101	1.347	97.805	9.948	2.646	17.79	6.174	99.377	8.686	2.647	15.637	5.358	100.0	3.37	0.017	9.787	8.43	90.805
Bacteria;Bacillota;Negativicutes	klass			21.494	11.082	0.669	28.257	11.188	99.012	0.66	0.0	1.695	1.493	82.375	7.931	1.427	17.891	7.453	99.752	13.171	4.481	25.13	8.736	100.0	1.987	0.0	4.159	3.763	86.207	0.837	0.0	1.721	2.657	67.834	0.557	0.0	0.034	1.998	13.115	1.016	0.0	1.157	4.005	25.654	14.073	4.493	25.138	8.888	100.0	2.042	0.0	5.734	3.092	88.667	0.712	0.0	1.381	2.176	64.815	21.494	8.408	37.912	11.688	100.0	0.977	0.0	2.849	2.673	42.579	8.158	1.832	16.83	7.022	99.753	6.508	0.843	13.96	5.242	100.0	16.079	5.135	30.225	9.632	100.0	16.531	6.899	29.521	9.226	100.0	1.111	0.0	3.341	3.223	64.368
Bacteria;Fusobacteriota;Fusobacteriia	klass			19.479	4.717	0.24	12.097	5.892	97.284	0.241	0.0	0.603	0.665	65.9	6.61	1.282	13.652	5.635	99.752	8.13	2.039	16.286	5.99	100.0	2.547	0.0	5.852	5.557	78.621	1.032	0.0	1.386	3.546	63.057	0.669	0.0	0.0	4.0	7.104	0.801	0.0	0.0	4.755	6.806	19.479	7.636	33.346	9.835	100.0	2.446	0.0	5.668	6.161	76.0	0.856	0.0	1.738	2.907	58.642	8.57	2.634	17.06	5.763	100.0	0.043	0.0	0.022	0.473	17.762	17.031	4.26	29.109	9.979	100.0	11.501	1.585	23.819	8.946	100.0	15.637	3.942	30.132	10.645	99.377	13.403	2.398	25.857	9.377	99.757	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			1.503	0.07	0.0	0.0	0.633	6.42	0.228	0.0	0.439	1.02	47.51	0.011	0.0	0.0	0.071	6.7	0.09	0.0	0.04	0.615	14.066	1.503	0.0	4.02	3.514	81.379	0.332	0.0	0.563	1.694	47.134	0.019	0.0	0.023	0.135	19.126	0.015	0.0	0.01	0.122	11.518	0.026	0.0	0.0	0.259	5.839	1.379	0.0	3.227	3.71	78.0	0.437	0.0	1.088	1.468	55.864	0.073	0.0	0.05	0.553	14.881	0.028	0.0	0.0	0.408	0.73	0.023	0.0	0.0	0.185	7.16	0.028	0.0	0.0	0.348	4.634	0.221	0.0	0.163	1.242	22.43	0.009	0.0	0.0	0.089	1.946	0.015	0.0	0.028	0.093	17.241
Bacteria;Pseudomonadota;Betaproteobacteria	klass			10.484	4.642	0.114	13.203	7.203	94.815	2.569	0.0	6.568	6.922	81.226	5.653	0.595	11.986	7.15	99.007	9.154	0.821	22.116	8.698	99.488	5.566	0.101	12.27	12.143	95.172	2.361	0.0	4.342	8.602	86.943	0.468	0.0	0.166	3.505	25.683	0.005	0.0	0.0	0.027	7.853	6.297	0.239	17.832	7.735	98.783	4.517	0.029	12.444	9.18	92.0	3.201	0.0	6.63	10.115	84.568	7.186	0.867	16.852	7.174	99.702	0.02	0.0	0.0	0.198	8.516	6.803	1.024	14.245	6.115	100.0	9.197	2.619	17.985	7.022	99.756	8.634	0.279	22.035	12.657	98.442	10.484	0.248	26.477	11.659	98.297	0.263	0.0	0.466	1.246	32.759
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			3.367	1.146	0.0	3.086	2.388	74.815	0.164	0.0	0.2	0.873	14.176	0.353	0.0	0.91	0.546	82.63	0.765	0.085	1.808	0.825	93.862	0.126	0.0	0.0	1.099	3.448	0.114	0.0	0.0	1.801	3.185	0.019	0.0	0.021	0.094	15.301	0.0	0.0	0.0	0.0	0.0	1.624	0.291	3.5	1.496	99.757	0.175	0.0	0.0	1.371	5.333	0.293	0.0	0.0	4.425	3.086	3.367	0.579	7.444	2.943	98.214	0.0	0.0	0.0	0.0	0.0	1.324	0.225	2.866	1.075	98.272	0.987	0.065	2.412	1.077	96.829	1.735	0.147	3.938	1.564	95.016	1.515	0.223	3.127	1.547	99.27	0.153	0.0	0.154	0.904	25.287
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			31.163	31.163	3.336	67.764	24.517	100.0	5.975	0.032	16.367	13.833	93.87	28.753	8.603	55.406	18.235	99.752	18.35	5.722	32.992	11.784	100.0	5.147	0.296	11.857	9.613	97.241	2.369	0.0	3.585	7.524	86.943	0.164	0.0	0.167	0.78	24.59	0.0	0.0	0.0	0.0	0.0	11.809	1.466	24.262	10.77	100.0	7.184	0.358	19.771	12.381	95.333	2.527	0.0	4.383	8.583	87.037	14.448	4.07	26.647	9.686	100.0	0.105	0.0	0.201	0.346	45.012	7.632	1.083	17.307	7.249	99.753	11.741	1.787	26.208	10.469	99.756	11.626	1.0	24.343	13.249	99.688	13.927	1.373	30.143	11.686	100.0	0.159	0.0	0.284	0.721	25.862
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			10.974	2.566	0.0	6.283	5.694	87.407	0.342	0.0	0.839	0.832	69.349	4.66	0.525	11.044	4.985	99.007	7.523	1.802	14.615	6.088	99.233	1.383	0.0	2.973	2.634	83.448	0.55	0.0	1.166	1.769	61.465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.863	0.744	12.653	5.574	98.783	1.379	0.0	3.606	3.139	82.0	0.513	0.0	1.161	2.202	59.568	3.36	0.737	6.846	3.517	99.702	0.017	0.0	0.01	0.186	11.436	9.563	1.449	21.066	9.015	99.753	10.974	2.058	24.417	8.795	99.024	8.356	1.531	18.602	6.948	99.688	10.299	1.954	21.523	7.882	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			44.161	0.84	0.0	1.404	3.846	57.037	44.161	8.756	78.185	24.85	100.0	0.742	0.0	1.798	2.054	86.104	0.596	0.0	1.111	3.164	76.726	9.201	0.059	25.142	11.581	92.414	10.08	0.126	33.691	19.051	98.408	0.233	0.0	0.531	0.712	58.47	0.073	0.0	0.084	0.518	34.031	0.198	0.0	0.082	3.259	38.686	9.643	0.288	21.582	12.345	96.0	10.354	0.141	33.607	19.454	96.914	0.295	0.0	0.644	0.766	83.333	0.251	0.0	0.0	4.335	3.893	9.59	0.672	19.583	8.116	98.765	13.188	2.313	24.763	8.715	98.78	0.715	0.0	0.656	4.013	62.305	0.113	0.0	0.019	0.7	11.679	0.728	0.0	0.763	3.136	68.391
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			5.262	0.992	0.0	2.391	2.924	73.086	0.181	0.0	0.429	0.481	60.536	4.162	0.248	11.459	6.108	98.511	3.593	0.431	8.961	3.968	99.233	0.8	0.0	1.321	2.313	67.586	0.367	0.0	0.519	1.725	44.586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.077	0.055	2.795	1.762	95.62	1.104	0.0	2.049	2.525	80.667	0.37	0.0	0.516	1.515	44.136	1.33	0.104	2.846	2.017	97.917	0.0	0.0	0.0	0.0	0.0	3.26	0.255	8.335	4.449	98.765	5.262	0.658	12.198	6.134	100.0	1.367	0.044	3.24	2.099	93.458	2.888	0.196	6.897	4.227	98.783	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			68.215	0.976	0.0	0.259	7.771	33.827	29.491	6.007	57.233	20.047	100.0	1.111	0.0	0.265	8.868	48.883	1.144	0.0	0.319	8.409	52.43	42.534	1.709	87.566	30.78	97.931	68.215	5.154	98.214	34.2	100.0	0.509	0.0	0.066	6.424	39.344	0.657	0.0	0.026	6.851	23.56	0.232	0.0	0.047	2.31	22.871	45.18	1.709	85.903	31.999	99.333	67.159	8.766	98.084	33.968	99.691	0.983	0.0	0.23	7.844	51.488	0.6	0.0	0.0	6.656	8.516	1.914	0.027	2.444	8.771	95.802	1.533	0.02	2.511	7.372	92.439	1.024	0.0	0.604	6.766	44.237	0.963	0.0	0.017	8.594	12.652	0.519	0.0	0.076	6.397	39.08
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			1.305	0.033	0.0	0.067	0.127	19.012	0.0	0.0	0.0	0.0	0.0	0.156	0.0	0.403	0.413	60.298	0.806	0.0	1.914	1.075	86.445	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.006	0.483	10.828	1.301	0.0	0.636	5.033	15.301	1.305	0.0	0.432	4.935	14.66	0.656	0.022	1.652	0.919	91.484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.768	0.046	1.712	0.889	92.56	0.0	0.0	0.0	0.0	0.0	0.167	0.0	0.406	0.437	68.889	0.0	0.0	0.0	0.0	0.0	0.945	0.015	2.491	1.132	90.966	1.052	0.048	2.82	1.29	95.134	1.067	0.0	1.838	3.829	16.667
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			19.123	17.598	0.273	46.504	18.446	96.296	0.26	0.0	0.452	0.903	54.023	8.731	1.101	19.559	8.22	99.752	12.226	3.472	22.065	7.546	99.744	1.55	0.0	2.769	5.081	64.828	0.719	0.0	0.63	2.882	48.726	0.38	0.0	0.316	2.3	35.519	0.586	0.0	0.182	3.921	25.654	18.833	7.23	31.815	10.108	100.0	1.195	0.0	2.608	3.229	66.667	0.443	0.0	0.551	1.663	46.605	19.123	8.458	32.326	9.09	100.0	0.0	0.0	0.0	0.0	0.0	12.655	1.335	27.102	10.002	100.0	5.294	0.209	13.16	5.461	98.537	14.823	5.173	26.905	8.43	100.0	11.211	3.137	20.879	7.319	100.0	1.045	0.0	1.63	3.458	64.368
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			11.034	3.212	0.342	6.55	4.909	98.025	0.0	0.0	0.0	0.0	0.0	3.39	0.547	6.963	4.613	99.504	0.927	0.095	2.05	0.975	93.862	0.843	0.0	2.092	2.784	48.966	0.352	0.0	0.269	1.436	33.758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.259	0.089	5.713	3.353	97.81	0.469	0.0	0.757	1.859	36.0	0.263	0.0	0.218	1.446	25.926	2.323	0.552	4.76	2.275	99.107	0.0	0.0	0.0	0.0	0.0	8.758	1.572	16.293	6.266	99.753	11.034	3.489	19.422	6.165	100.0	1.653	0.025	3.99	2.991	91.589	0.938	0.038	2.604	1.38	94.647	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales	order			15.934	9.867	1.26	23.061	11.246	99.259	3.461	0.179	6.736	7.048	98.084	15.934	2.75	38.178	14.549	100.0	7.902	1.204	18.182	8.27	99.744	1.428	0.02	2.754	3.508	90.345	4.279	0.077	11.878	8.567	99.045	0.034	0.0	0.025	0.207	19.672	0.029	0.0	0.02	0.314	18.848	2.848	0.269	6.07	4.553	99.27	1.789	0.0	3.82	4.069	88.667	3.132	0.051	7.257	7.025	95.679	1.169	0.188	2.428	1.129	97.619	0.01	0.0	0.0	0.106	7.299	0.734	0.078	1.225	2.866	98.025	0.552	0.049	1.131	0.856	96.585	3.111	0.225	7.766	4.938	97.819	1.209	0.139	2.903	1.366	99.027	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales	order			87.659	8.917	2.064	17.96	7.784	99.753	4.309	0.028	13.226	8.759	92.72	8.244	2.527	15.054	5.632	100.0	7.574	2.36	14.801	5.693	99.744	3.313	0.0	8.493	7.051	88.966	1.843	0.0	3.052	8.248	77.389	86.937	45.194	99.913	26.368	99.454	87.659	36.003	99.979	28.786	98.953	2.87	0.583	5.69	2.984	100.0	4.134	0.0	8.597	10.171	89.333	1.69	0.0	2.757	8.222	73.457	3.094	0.842	5.842	2.432	100.0	1.496	0.069	3.652	2.809	95.864	5.861	1.276	12.75	5.658	100.0	8.835	2.677	17.475	6.447	100.0	2.908	0.506	6.141	2.721	99.688	3.986	0.807	8.477	3.68	99.513	80.914	18.878	99.536	29.819	99.425
Bacteria;Bacillota;Clostridia;Eubacteriales	order			10.466	0.372	0.0	0.875	1.068	66.667	4.965	0.08	12.96	5.788	91.571	1.879	0.197	4.144	2.085	97.519	6.676	1.856	11.978	4.208	99.744	0.874	0.0	2.652	1.367	75.862	3.115	0.0	9.207	8.486	76.752	2.009	0.0	1.142	9.723	73.224	1.19	0.0	0.154	7.961	37.173	9.486	3.211	17.186	5.587	100.0	2.023	0.0	5.332	3.943	84.0	5.229	0.0	13.718	13.526	75.0	10.466	3.18	19.402	6.802	100.0	1.389	0.0	3.869	3.581	58.151	2.59	0.527	4.957	1.739	99.012	1.286	0.102	3.101	1.347	97.805	9.948	2.646	17.79	6.174	99.377	8.686	2.647	15.637	5.358	100.0	3.37	0.017	9.787	8.43	90.805
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			4.563	0.434	0.0	0.826	1.809	48.642	0.024	0.0	0.048	0.173	14.176	0.205	0.0	0.497	0.462	60.794	0.494	0.0	1.39	0.727	82.353	0.263	0.0	0.494	1.008	28.276	0.03	0.0	0.031	0.167	14.65	0.004	0.0	0.0	0.033	3.825	0.0	0.0	0.0	0.0	0.0	1.515	0.039	3.901	2.718	93.187	0.208	0.0	0.467	0.615	23.333	0.061	0.0	0.062	0.287	15.432	4.563	0.313	11.878	5.734	98.512	0.003	0.0	0.0	0.062	0.243	2.416	0.1	5.87	2.504	97.037	1.378	0.017	3.915	1.821	91.951	1.769	0.035	4.345	3.038	92.523	0.462	0.0	1.259	0.838	81.995	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales	order			16.931	10.648	0.609	27.344	11.058	98.765	0.636	0.0	1.682	1.459	81.226	7.726	1.383	17.721	7.372	99.752	12.677	4.302	23.932	8.442	99.744	1.724	0.0	3.589	3.279	80.0	0.806	0.0	1.721	2.637	64.968	0.553	0.0	0.0	1.999	9.29	1.016	0.0	1.157	4.005	25.654	12.558	3.984	23.543	8.61	100.0	1.834	0.0	5.734	2.962	86.0	0.651	0.0	0.948	2.152	60.802	16.931	6.653	30.502	9.983	99.702	0.974	0.0	2.849	2.673	42.336	5.742	0.788	14.276	6.675	99.753	5.13	0.562	12.174	5.055	100.0	14.311	4.625	27.686	9.053	100.0	16.069	6.745	29.028	9.107	100.0	1.111	0.0	3.341	3.223	64.368
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			19.479	4.717	0.24	12.097	5.892	97.284	0.241	0.0	0.603	0.665	65.9	6.61	1.282	13.652	5.635	99.752	8.13	2.039	16.286	5.99	100.0	2.547	0.0	5.852	5.557	78.621	1.032	0.0	1.386	3.546	63.057	0.669	0.0	0.0	4.0	7.104	0.801	0.0	0.0	4.755	6.806	19.479	7.636	33.346	9.835	100.0	2.446	0.0	5.668	6.161	76.0	0.856	0.0	1.738	2.907	58.642	8.57	2.634	17.06	5.763	100.0	0.043	0.0	0.022	0.473	17.762	17.031	4.26	29.109	9.979	100.0	11.501	1.585	23.819	8.946	100.0	15.637	3.942	30.132	10.645	99.377	13.403	2.398	25.857	9.377	99.757	0.812	0.0	0.145	4.362	33.908
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales	order			0.687	0.07	0.0	0.0	0.633	6.42	0.124	0.0	0.192	0.651	29.885	0.011	0.0	0.0	0.071	6.7	0.09	0.0	0.04	0.615	14.066	0.646	0.0	1.112	2.847	55.862	0.248	0.0	0.251	1.503	27.389	0.019	0.0	0.023	0.135	19.126	0.015	0.0	0.01	0.122	11.518	0.02	0.0	0.0	0.228	4.38	0.687	0.0	1.567	1.852	59.333	0.249	0.0	0.393	1.189	32.407	0.073	0.0	0.05	0.553	14.881	0.007	0.0	0.0	0.102	0.73	0.016	0.0	0.0	0.118	6.667	0.028	0.0	0.0	0.348	4.634	0.157	0.0	0.075	1.036	16.511	0.009	0.0	0.0	0.089	1.946	0.015	0.0	0.028	0.093	17.241
