Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	ST-mean	ST-sd	ST-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev
Bacteria;Bacteroidetes;Bacteroidia	class			15.559	5.249	4.812	100.0	10.146	5.856	100.0	8.537	10.617	94.805	14.406	7.815	100.0	0.01	0.021	25.974	8.335	7.465	100.0	4.052	4.104	96.104	15.559	6.607	100.0	13.45	7.141	100.0	13.474	6.507	100.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1]	class			12.121	0.389	0.721	83.117	0.777	0.789	94.805	0.284	0.708	51.948	1.901	2.699	97.403	0.007	0.025	14.286	2.896	4.646	92.208	2.266	3.245	89.61	12.121	12.855	98.701	2.154	2.579	92.208	2.367	2.508	94.805
Bacteria;Bacteroidetes;Bacteroidetes_[C-1]	class			0.409	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Firmicutes;Erysipelotrichia	class			0.36	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia	class			0.983	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1]	class			0.169	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Firmicutes;Clostridia;Eubacteriales	order			6.365	0.651	0.679	94.805	2.232	1.777	100.0	0.12	0.26	63.636	4.438	3.42	100.0	0.009	0.023	23.377	0.999	0.914	92.208	0.758	1.064	88.312	6.365	4.648	98.701	4.261	2.925	100.0	5.333	3.774	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	order			9.931	3.371	4.063	97.403	4.669	4.589	98.701	2.478	4.779	84.416	6.618	8.263	96.104	0.005	0.028	9.091	7.383	8.243	98.701	8.679	7.886	100.0	4.911	5.005	98.701	9.931	11.382	98.701	6.221	8.544	97.403
Bacteria;Firmicutes;Bacilli;Lactobacillales	order			63.721	62.532	16.171	100.0	55.072	16.5	100.0	63.721	18.602	100.0	32.957	20.908	100.0	0.074	0.107	63.636	16.989	12.135	100.0	19.616	10.367	100.0	19.369	11.533	98.701	28.524	14.202	100.0	31.652	18.26	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	order			4.92	0.859	2.043	85.714	0.328	0.65	77.922	0.071	0.107	59.74	0.153	0.348	53.247	0.001	0.004	2.597	4.174	5.923	92.208	4.92	6.043	90.909	1.813	3.563	83.117	0.038	0.087	42.857	0.328	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	order			1.906	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	order			6.436	3.396	4.437	97.403	2.126	3.07	100.0	6.436	6.54	100.0	1.928	3.136	94.805	0.011	0.032	18.182	1.121	2.195	81.818	2.161	5.76	89.61	2.759	4.037	96.104	2.606	4.56	93.506	2.641	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	order			6.841	0.499	0.574	90.909	1.126	1.021	100.0	1.631	4.103	81.818	3.372	3.239	100.0	0.001	0.008	5.195	2.299	1.85	100.0	1.703	1.935	94.805	6.841	5.173	98.701	3.093	2.831	100.0	3.564	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales	order			8.117	8.117	6.372	100.0	4.522	4.487	100.0	5.859	4.963	100.0	2.742	3.239	100.0	0.003	0.012	9.091	0.835	1.763	92.208	0.616	1.054	94.805	1.03	0.951	92.208	1.232	1.27	96.104	2.478	2.797	98.701
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	order			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.216	1.299	0.0	0.0	0.0	0.2	1.557	6.494
Bacteria;Firmicutes;Tissierellia;Tissierellales	order			0.158	0.013	0.029	29.87	0.099	0.162	59.74	0.004	0.02	11.688	0.158	0.376	59.74	0.0	0.0	0.0	0.104	0.187	54.545	0.016	0.033	28.571	0.065	0.13	45.455	0.119	0.241	49.351	0.1	0.269	49.351
Bacteria;Firmicutes;Negativicutes;Veillonellales	order			12.827	3.492	3.501	98.701	6.089	3.934	100.0	4.787	5.294	100.0	9.463	5.253	100.0	1.73	5.529	55.844	4.202	5.071	98.701	3.445	4.358	100.0	12.827	6.529	100.0	11.404	4.969	100.0	9.974	5.949	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales	order			2.963	0.079	0.103	57.143	0.241	0.385	79.221	0.044	0.133	32.468	0.981	2.111	89.61	0.0	0.004	1.299	1.259	1.917	83.117	0.911	1.661	79.221	2.963	3.393	97.403	0.367	0.863	75.325	1.272	1.964	88.312
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales	order			11.68	2.752	3.51	97.403	4.225	4.19	98.701	0.886	1.509	85.714	5.63	5.343	98.701	0.006	0.017	18.182	10.784	10.904	98.701	11.68	10.508	98.701	3.047	2.934	96.104	10.19	8.738	100.0	7.371	6.498	100.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales	order			9.851	3.852	5.178	98.701	4.01	3.722	98.701	0.728	1.41	80.519	1.921	2.384	97.403	0.003	0.01	7.792	7.393	8.225	96.104	9.851	9.343	97.403	2.33	3.514	96.104	4.931	5.086	100.0	2.669	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales	order			0.909	0.072	0.19	63.636	0.048	0.068	55.844	0.023	0.055	35.065	0.031	0.086	31.169	0.002	0.012	5.195	0.74	0.965	89.61	0.909	1.487	87.013	0.223	0.807	63.636	0.01	0.026	20.779	0.048	0.1	37.662
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	order			9.985	1.831	1.971	98.701	2.161	1.741	98.701	2.076	4.331	90.909	8.755	7.623	100.0	0.003	0.009	9.091	9.985	9.56	98.701	6.598	6.34	100.0	3.087	2.045	98.701	5.361	4.569	100.0	6.546	6.462	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	order			11.537	2.102	3.135	98.701	0.57	0.661	96.104	1.533	1.846	94.805	2.224	3.263	92.208	0.002	0.008	7.792	10.47	7.706	100.0	11.537	7.193	100.0	2.042	1.985	94.805	0.849	1.379	93.506	1.607	2.753	94.805
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	order			15.559	5.249	4.812	100.0	10.146	5.856	100.0	8.537	10.617	94.805	14.406	7.815	100.0	0.01	0.021	25.974	8.335	7.465	100.0	4.052	4.104	96.104	15.559	6.607	100.0	13.45	7.141	100.0	13.474	6.507	100.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1]	order			12.121	0.389	0.721	83.117	0.777	0.789	94.805	0.284	0.708	51.948	1.901	2.699	97.403	0.007	0.025	14.286	2.896	4.646	92.208	2.266	3.245	89.61	12.121	12.855	98.701	2.154	2.579	92.208	2.367	2.508	94.805
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1]	order			0.409	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales	order			8.529	0.243	0.422	81.818	0.163	0.243	81.818	0.315	2.048	46.753	0.031	0.065	41.558	0.002	0.01	3.896	6.067	5.697	96.104	8.529	6.172	96.104	0.178	0.302	70.13	0.018	0.039	32.468	0.191	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales	order			0.166	0.006	0.018	16.883	0.005	0.023	15.584	0.01	0.075	6.494	0.002	0.012	3.896	0.0	0.0	0.0	0.132	0.221	70.13	0.166	0.247	75.325	0.006	0.02	14.286	0.0	0.004	1.299	0.002	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	order			0.36	0.025	0.056	45.455	0.204	0.407	80.519	0.003	0.013	7.792	0.357	0.447	85.714	0.017	0.144	2.597	0.033	0.065	33.766	0.013	0.029	24.675	0.271	0.396	76.623	0.29	0.349	88.312	0.36	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	order			0.983	0.094	0.182	62.338	0.46	0.634	90.909	0.013	0.053	16.883	0.561	0.894	89.61	0.0	0.0	1.299	0.115	0.275	55.844	0.027	0.054	33.766	0.712	0.86	83.117	0.983	1.13	90.909	0.84	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1]	order			0.169	0.007	0.024	15.584	0.008	0.033	15.584	0.001	0.004	2.597	0.002	0.007	6.494	0.0	0.0	0.0	0.152	0.389	37.662	0.169	0.384	41.558	0.054	0.126	40.26	0.001	0.006	3.896	0.006	0.021	10.39
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.709	0.099	0.156	71.429	0.614	0.704	90.909	0.017	0.059	23.377	0.696	0.848	94.805	0.0	0.003	1.299	0.19	0.295	66.234	0.044	0.079	48.052	0.597	0.79	85.714	0.558	0.515	93.506	0.709	0.633	94.805
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	family			9.931	3.371	4.063	97.403	4.669	4.589	98.701	2.478	4.779	84.416	6.618	8.263	96.104	0.005	0.028	9.091	7.383	8.243	98.701	8.679	7.886	100.0	4.911	5.005	98.701	9.931	11.382	98.701	6.221	8.544	97.403
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	family			60.54	60.54	16.947	100.0	52.254	16.791	100.0	60.186	20.512	100.0	31.353	20.607	100.0	0.071	0.103	63.636	15.855	11.8	100.0	18.508	10.032	100.0	17.656	10.892	98.701	25.704	13.438	100.0	29.843	17.929	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			4.871	0.845	2.034	85.714	0.327	0.651	76.623	0.07	0.107	59.74	0.152	0.348	53.247	0.001	0.004	2.597	4.075	5.88	92.208	4.871	6.034	90.909	1.809	3.564	83.117	0.038	0.087	42.857	0.328	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae	family			1.906	0.055	0.142	37.662	0.039	0.08	38.961	0.001	0.005	6.494	0.708	2.095	80.519	0.0	0.003	2.597	1.906	3.639	72.727	0.557	1.415	49.351	0.243	0.754	64.935	0.051	0.108	40.26	0.181	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			6.436	3.396	4.437	97.403	2.126	3.07	100.0	6.436	6.54	100.0	1.928	3.136	94.805	0.011	0.032	18.182	1.121	2.195	81.818	2.161	5.76	89.61	2.759	4.037	96.104	2.606	4.56	93.506	2.641	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			6.841	0.499	0.574	90.909	1.126	1.021	100.0	1.631	4.103	81.818	3.372	3.239	100.0	0.001	0.008	5.195	2.299	1.85	100.0	1.703	1.935	94.805	6.841	5.173	98.701	3.093	2.831	100.0	3.564	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae	family			8.117	8.117	6.372	100.0	4.522	4.487	100.0	5.859	4.963	100.0	2.742	3.239	100.0	0.003	0.012	9.091	0.835	1.763	92.208	0.616	1.054	94.805	1.03	0.951	92.208	1.232	1.27	96.104	2.478	2.797	98.701
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae	family			2.379	0.022	0.053	32.468	0.061	0.117	59.74	0.005	0.02	11.688	0.273	0.879	71.429	0.0	0.0	0.0	0.085	0.218	36.364	0.101	0.253	38.961	2.379	4.029	88.312	0.157	0.45	57.143	0.329	0.99	64.935
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae	family			4.239	0.522	0.527	94.805	1.525	1.169	100.0	0.094	0.192	62.338	3.429	2.41	100.0	0.009	0.021	23.377	0.718	0.663	90.909	0.611	0.838	84.416	3.354	2.855	97.403	3.504	2.284	100.0	4.239	2.952	98.701
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.216	1.299	0.0	0.0	0.0	0.2	1.557	6.494
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae	family			0.158	0.013	0.029	29.87	0.099	0.162	59.74	0.004	0.02	11.688	0.158	0.376	59.74	0.0	0.0	0.0	0.104	0.187	54.545	0.016	0.033	28.571	0.065	0.13	45.455	0.119	0.241	49.351	0.1	0.269	49.351
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae	family			12.827	3.492	3.501	98.701	6.089	3.934	100.0	4.787	5.294	100.0	9.463	5.253	100.0	1.73	5.529	55.844	4.202	5.071	98.701	3.445	4.358	100.0	12.827	6.529	100.0	11.404	4.969	100.0	9.974	5.949	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae	family			2.963	0.079	0.103	57.143	0.241	0.385	79.221	0.044	0.133	32.468	0.981	2.111	89.61	0.0	0.004	1.299	1.259	1.917	83.117	0.911	1.661	79.221	2.963	3.393	97.403	0.367	0.863	75.325	1.272	1.964	88.312
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae	family			0.057	0.007	0.022	16.883	0.032	0.059	37.662	0.003	0.015	6.494	0.04	0.081	36.364	0.0	0.0	0.0	0.006	0.032	9.091	0.002	0.008	7.792	0.035	0.133	28.571	0.042	0.08	38.961	0.057	0.091	44.156
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae	family			11.68	2.752	3.51	97.403	4.225	4.19	98.701	0.886	1.509	85.714	5.63	5.343	98.701	0.006	0.017	18.182	10.784	10.904	98.701	11.68	10.508	98.701	3.047	2.934	96.104	10.19	8.738	100.0	7.371	6.498	100.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae	family			9.851	3.852	5.178	98.701	4.01	3.722	98.701	0.728	1.41	80.519	1.921	2.384	97.403	0.003	0.01	7.792	7.393	8.225	96.104	9.851	9.343	97.403	2.33	3.514	96.104	4.931	5.086	100.0	2.669	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae	family			0.909	0.072	0.19	63.636	0.048	0.068	55.844	0.023	0.055	35.065	0.031	0.086	31.169	0.002	0.012	5.195	0.74	0.965	89.61	0.909	1.487	87.013	0.223	0.807	63.636	0.01	0.026	20.779	0.048	0.1	37.662
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			7.081	1.095	1.288	97.403	1.216	1.194	96.104	1.744	3.971	87.013	5.495	6.722	100.0	0.002	0.007	6.494	7.081	8.758	98.701	2.669	3.16	100.0	2.134	1.676	98.701	2.94	2.859	98.701	2.879	4.231	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			1.709	0.717	1.03	97.403	0.271	0.292	90.909	0.999	1.255	93.506	0.502	0.84	81.818	0.0	0.001	1.299	1.217	1.097	100.0	1.709	1.443	100.0	0.57	1.031	84.416	0.274	0.409	79.221	0.457	0.96	84.416
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			3.929	0.736	1.296	98.701	0.945	1.036	97.403	0.332	1.213	64.935	3.26	3.995	98.701	0.001	0.007	2.597	2.905	3.115	97.403	3.929	4.283	97.403	0.953	1.015	93.506	2.421	3.346	96.104	3.668	4.582	97.403
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			4.865	2.985	3.683	98.701	3.294	3.389	93.506	3.892	5.696	84.416	3.591	3.672	96.104	0.003	0.012	11.688	2.825	3.856	94.805	2.133	3.023	85.714	4.865	5.069	93.506	3.938	5.966	92.208	2.639	3.218	92.208
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2]	family			1.202	0.048	0.295	23.377	0.007	0.029	9.091	0.001	0.007	3.896	0.197	0.778	27.273	0.0	0.002	1.299	1.202	2.462	55.844	0.363	0.919	38.961	0.112	0.259	49.351	0.003	0.013	7.792	0.02	0.067	19.481
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.202	0.039	0.115	37.662	0.02	0.045	25.974	0.003	0.012	10.39	0.202	0.469	45.455	0.0	0.0	0.0	0.126	0.336	44.156	0.113	0.244	40.26	0.044	0.189	29.87	0.095	0.213	32.468	0.156	0.391	40.26
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	family			10.658	2.177	2.694	100.0	6.825	4.812	100.0	4.641	7.101	89.61	10.416	7.575	100.0	0.007	0.017	16.883	4.181	4.704	100.0	1.443	2.103	92.208	10.539	5.463	98.701	9.414	5.236	100.0	10.658	6.652	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			9.829	1.385	2.968	90.909	0.3	0.491	88.312	0.534	1.294	67.532	1.723	3.023	90.909	0.002	0.008	6.494	9.253	7.248	98.701	9.829	6.686	97.403	1.472	1.582	92.208	0.575	1.229	81.818	1.15	2.509	87.013
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1]	family			12.104	0.384	0.72	83.117	0.772	0.791	94.805	0.284	0.708	51.948	1.895	2.701	97.403	0.007	0.025	14.286	2.761	4.33	92.208	2.22	3.213	89.61	12.104	12.856	98.701	2.152	2.581	92.208	2.366	2.508	94.805
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2]	family			0.135	0.005	0.024	6.494	0.006	0.041	3.896	0.0	0.0	0.0	0.007	0.053	3.896	0.0	0.0	0.0	0.135	1.063	9.091	0.047	0.202	11.688	0.017	0.055	10.39	0.002	0.013	3.896	0.001	0.006	5.195
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	family			0.489	0.274	0.596	61.039	0.13	0.446	53.247	0.163	0.589	32.468	0.026	0.06	31.169	0.0	0.001	1.299	0.489	1.08	63.636	0.484	0.76	75.325	0.174	0.604	42.857	0.013	0.041	20.779	0.038	0.118	24.675
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1]	family			0.409	0.016	0.063	10.39	0.002	0.009	5.195	0.0	0.003	1.299	0.026	0.103	12.987	0.0	0.0	0.0	0.409	2.164	14.286	0.088	0.492	9.091	0.021	0.083	11.688	0.001	0.008	3.896	0.002	0.009	6.494
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	family			3.371	1.718	1.842	100.0	2.688	1.78	100.0	3.371	4.204	94.805	1.578	1.209	100.0	0.003	0.013	6.494	0.646	0.809	92.208	0.624	0.614	98.701	1.539	1.252	93.506	2.808	1.886	100.0	1.772	1.345	98.701
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family			8.529	0.243	0.422	81.818	0.163	0.243	81.818	0.315	2.048	46.753	0.031	0.065	41.558	0.002	0.01	3.896	6.067	5.697	96.104	8.529	6.172	96.104	0.178	0.302	70.13	0.018	0.039	32.468	0.191	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.166	0.006	0.018	16.883	0.005	0.023	15.584	0.01	0.075	6.494	0.002	0.012	3.896	0.0	0.0	0.0	0.132	0.221	70.13	0.166	0.247	75.325	0.006	0.02	14.286	0.0	0.004	1.299	0.002	0.015	3.896
