Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	ST-mean	ST-10p	ST-90p	ST-sd	ST-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev
Bacteria;Proteobacteria;Betaproteobacteria	class			13.599	4.23	0.34	10.766	5.27	97.403	4.997	0.477	10.555	4.825	98.701	2.548	0.014	8.535	4.804	92.208	6.771	0.183	16.068	8.321	96.104	0.006	0.0	0.001	0.028	10.39	11.556	1.908	25.513	10.439	98.701	13.599	3.669	26.6	9.829	100.0	6.724	0.766	15.605	6.697	98.701	9.969	0.088	28.322	11.388	98.701	6.549	0.182	17.392	8.776	98.701
Bacteria;Firmicutes;Bacilli	class			70.649	70.649	46.764	92.283	16.375	100.0	59.595	36.536	83.079	17.574	100.0	69.58	43.284	91.271	17.947	100.0	35.699	9.769	69.085	22.718	100.0	0.077	0.0	0.224	0.107	67.532	17.825	6.171	32.161	13.3	100.0	20.232	8.619	34.838	10.654	100.0	20.399	5.571	35.347	11.75	98.701	29.756	11.693	49.709	14.7	100.0	34.13	11.508	60.776	19.942	100.0
Bacteria;Spirochaetes;Spirochaetia	class			1.906	0.055	0.0	0.127	0.142	37.662	0.039	0.0	0.13	0.08	38.961	0.001	0.0	0.0	0.005	6.494	0.708	0.0	1.196	2.095	80.519	0.0	0.0	0.0	0.003	2.597	1.906	0.0	6.051	3.639	72.727	0.557	0.0	1.797	1.415	49.351	0.243	0.0	0.443	0.754	64.935	0.051	0.0	0.17	0.108	40.26	0.181	0.0	0.409	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria	class			6.446	3.402	0.395	8.126	4.435	97.403	2.131	0.248	4.742	3.072	100.0	6.446	0.905	16.64	6.563	100.0	1.93	0.048	4.145	3.138	94.805	0.011	0.0	0.05	0.032	18.182	1.253	0.035	2.793	2.223	93.506	2.327	0.05	4.085	5.791	97.403	2.79	0.216	8.649	4.024	96.104	2.606	0.022	7.745	4.561	93.506	2.843	0.027	5.31	9.378	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria	class			6.841	0.499	0.02	1.378	0.574	90.909	1.126	0.213	2.271	1.021	100.0	1.631	0.0	3.362	4.103	81.818	3.372	0.488	7.604	3.239	100.0	0.001	0.0	0.0	0.008	5.195	2.299	0.274	4.831	1.85	100.0	1.703	0.033	4.47	1.935	94.805	6.841	1.69	12.966	5.173	98.701	3.093	0.403	6.294	2.831	100.0	3.564	0.35	8.06	3.215	98.701
Bacteria;Firmicutes;Tissierellia	class			0.158	0.013	0.0	0.045	0.029	29.87	0.099	0.0	0.337	0.162	59.74	0.004	0.0	0.008	0.02	11.688	0.158	0.0	0.514	0.376	59.74	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.327	0.187	54.545	0.016	0.0	0.058	0.033	28.571	0.065	0.0	0.224	0.13	45.455	0.119	0.0	0.434	0.241	49.351	0.1	0.0	0.238	0.269	49.351
Bacteria;Firmicutes;Negativicutes	class			15.79	3.571	0.394	8.049	3.544	100.0	6.33	2.278	12.952	4.04	100.0	4.831	0.268	13.248	5.311	100.0	10.443	2.815	19.261	5.778	100.0	1.73	0.0	4.183	5.528	55.844	5.461	0.917	12.648	5.507	98.701	4.356	0.512	9.455	4.744	100.0	15.79	6.546	26.062	7.16	100.0	11.771	5.193	16.987	5.119	100.0	11.247	4.144	18.799	6.422	100.0
Bacteria;Actinobacteria;Actinomycetia	class			30.969	6.918	0.629	14.105	7.225	100.0	8.445	2.415	14.902	6.036	98.701	1.952	0.036	4.935	3.929	92.208	7.613	1.787	16.108	5.877	98.701	0.012	0.0	0.05	0.026	25.974	24.984	7.793	44.096	15.919	100.0	30.969	12.241	50.371	15.773	100.0	5.778	1.262	12.126	5.875	97.403	15.149	6.295	23.942	8.297	100.0	10.279	1.657	18.391	8.073	100.0
Bacteria;Fusobacteria;Fusobacteriia	class			9.985	1.831	0.196	3.893	1.971	98.701	2.161	0.337	4.696	1.741	98.701	2.076	0.012	6.619	4.331	90.909	8.755	1.597	18.951	7.623	100.0	0.003	0.0	0.0	0.009	9.091	9.985	1.039	19.292	9.56	98.701	6.598	0.283	14.979	6.34	100.0	3.087	0.708	6.114	2.045	98.701	5.361	0.43	12.607	4.569	100.0	6.546	0.688	14.376	6.462	100.0
Bacteria;Bacteroidetes;Flavobacteriia	class			11.537	2.102	0.181	4.078	3.135	98.701	0.57	0.05	1.215	0.661	96.104	1.533	0.062	4.342	1.846	94.805	2.224	0.063	5.808	3.263	92.208	0.002	0.0	0.0	0.008	7.792	10.47	1.504	19.947	7.706	100.0	11.537	2.998	20.913	7.193	100.0	2.042	0.261	4.991	1.985	94.805	0.849	0.031	2.14	1.379	93.506	1.607	0.048	4.326	2.753	94.805
Bacteria;Bacteroidetes;Bacteroidia	class			15.559	5.249	0.646	13.65	4.812	100.0	10.146	3.589	17.942	5.856	100.0	8.537	0.043	23.261	10.617	94.805	14.406	6.207	25.775	7.815	100.0	0.01	0.0	0.039	0.021	25.974	8.335	0.469	18.447	7.465	100.0	4.052	0.089	8.549	4.104	96.104	15.559	8.425	24.106	6.607	100.0	13.45	5.104	23.222	7.141	100.0	13.474	6.054	20.5	6.507	100.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1]	class			12.121	0.389	0.0	0.829	0.721	83.117	0.777	0.045	1.788	0.789	94.805	0.284	0.0	1.118	0.708	51.948	1.901	0.068	5.067	2.699	97.403	0.007	0.0	0.027	0.025	14.286	2.896	0.025	6.317	4.646	92.208	2.266	0.018	6.197	3.245	89.61	12.121	1.345	30.678	12.855	98.701	2.154	0.052	5.768	2.579	92.208	2.367	0.136	6.002	2.508	94.805
Bacteria;Bacteroidetes;Bacteroidetes_[C-1]	class			0.409	0.016	0.0	0.006	0.063	10.39	0.002	0.0	0.0	0.009	5.195	0.0	0.0	0.0	0.003	1.299	0.026	0.0	0.056	0.103	12.987	0.0	0.0	0.0	0.0	0.0	0.409	0.0	0.253	2.164	14.286	0.088	0.0	0.0	0.492	9.091	0.021	0.0	0.019	0.083	11.688	0.001	0.0	0.0	0.008	3.896	0.002	0.0	0.0	0.009	6.494
Bacteria;Firmicutes;Erysipelotrichia	class			0.36	0.025	0.0	0.069	0.056	45.455	0.204	0.0	0.426	0.407	80.519	0.003	0.0	0.0	0.013	7.792	0.357	0.0	0.986	0.447	85.714	0.017	0.0	0.0	0.144	2.597	0.033	0.0	0.12	0.065	33.766	0.013	0.0	0.043	0.029	24.675	0.271	0.0	0.732	0.396	76.623	0.29	0.0	0.796	0.349	88.312	0.36	0.01	0.721	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia	class			0.983	0.094	0.0	0.224	0.182	62.338	0.46	0.036	1.175	0.634	90.909	0.013	0.0	0.021	0.053	16.883	0.561	0.01	1.239	0.894	89.61	0.0	0.0	0.0	0.0	1.299	0.115	0.0	0.257	0.275	55.844	0.027	0.0	0.095	0.054	33.766	0.712	0.0	1.802	0.86	83.117	0.983	0.033	2.758	1.13	90.909	0.84	0.0	2.043	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1]	class			0.169	0.007	0.0	0.017	0.024	15.584	0.008	0.0	0.018	0.033	15.584	0.001	0.0	0.0	0.004	2.597	0.002	0.0	0.0	0.007	6.494	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.555	0.389	37.662	0.169	0.0	0.469	0.384	41.558	0.054	0.0	0.148	0.126	40.26	0.001	0.0	0.0	0.006	3.896	0.006	0.0	0.008	0.021	10.39
Bacteria;Firmicutes;Clostridia;Eubacteriales	order			6.365	0.651	0.038	1.639	0.679	94.805	2.232	0.445	4.624	1.777	100.0	0.12	0.0	0.321	0.26	63.636	4.438	0.952	7.471	3.42	100.0	0.009	0.0	0.034	0.023	23.377	0.999	0.048	2.126	0.914	92.208	0.758	0.0	2.407	1.064	88.312	6.365	1.997	12.355	4.648	98.701	4.261	0.851	7.346	2.925	100.0	5.333	1.209	9.83	3.774	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	order			9.931	3.371	0.274	8.26	4.063	97.403	4.669	0.412	9.876	4.589	98.701	2.478	0.0	8.45	4.779	84.416	6.618	0.156	16.041	8.263	96.104	0.005	0.0	0.0	0.028	9.091	7.383	1.054	17.919	8.243	98.701	8.679	1.642	19.156	7.886	100.0	4.911	0.567	12.082	5.005	98.701	9.931	0.079	28.304	11.382	98.701	6.221	0.157	16.1	8.544	97.403
Bacteria;Firmicutes;Bacilli;Lactobacillales	order			63.721	62.532	40.895	83.345	16.171	100.0	55.072	34.275	78.437	16.5	100.0	63.721	37.208	85.607	18.602	100.0	32.957	9.402	60.978	20.908	100.0	0.074	0.0	0.224	0.107	63.636	16.989	5.904	31.783	12.135	100.0	19.616	8.416	34.734	10.367	100.0	19.369	5.059	34.088	11.533	98.701	28.524	11.079	49.219	14.202	100.0	31.652	9.919	55.888	18.26	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	order			4.92	0.859	0.0	1.875	2.043	85.714	0.328	0.0	0.878	0.65	77.922	0.071	0.0	0.216	0.107	59.74	0.153	0.0	0.563	0.348	53.247	0.001	0.0	0.0	0.004	2.597	4.174	0.03	12.968	5.923	92.208	4.92	0.029	13.562	6.043	90.909	1.813	0.0	5.155	3.563	83.117	0.038	0.0	0.127	0.087	42.857	0.328	0.0	0.502	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	order			1.906	0.055	0.0	0.127	0.142	37.662	0.039	0.0	0.13	0.08	38.961	0.001	0.0	0.0	0.005	6.494	0.708	0.0	1.196	2.095	80.519	0.0	0.0	0.0	0.003	2.597	1.906	0.0	6.051	3.639	72.727	0.557	0.0	1.797	1.415	49.351	0.243	0.0	0.443	0.754	64.935	0.051	0.0	0.17	0.108	40.26	0.181	0.0	0.409	0.504	50.649
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	order			6.436	3.396	0.362	8.126	4.437	97.403	2.126	0.248	4.631	3.07	100.0	6.436	0.905	16.64	6.54	100.0	1.928	0.048	4.145	3.136	94.805	0.011	0.0	0.05	0.032	18.182	1.121	0.0	2.739	2.195	81.818	2.161	0.01	3.993	5.76	89.61	2.759	0.163	8.649	4.037	96.104	2.606	0.022	7.745	4.56	93.506	2.641	0.027	4.919	9.301	94.805
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	order			6.841	0.499	0.02	1.378	0.574	90.909	1.126	0.213	2.271	1.021	100.0	1.631	0.0	3.362	4.103	81.818	3.372	0.488	7.604	3.239	100.0	0.001	0.0	0.0	0.008	5.195	2.299	0.274	4.831	1.85	100.0	1.703	0.033	4.47	1.935	94.805	6.841	1.69	12.966	5.173	98.701	3.093	0.403	6.294	2.831	100.0	3.564	0.35	8.06	3.215	98.701
Bacteria;Firmicutes;Bacilli;Bacillales	order			8.117	8.117	1.603	16.411	6.372	100.0	4.522	1.1	10.045	4.487	100.0	5.859	0.608	11.608	4.963	100.0	2.742	0.214	6.141	3.239	100.0	0.003	0.0	0.0	0.012	9.091	0.835	0.072	1.414	1.763	92.208	0.616	0.033	1.209	1.054	94.805	1.03	0.071	1.989	0.951	92.208	1.232	0.148	3.647	1.27	96.104	2.478	0.298	6.696	2.797	98.701
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	order			0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	1.299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.216	1.299	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	1.557	6.494
Bacteria;Firmicutes;Tissierellia;Tissierellales	order			0.158	0.013	0.0	0.045	0.029	29.87	0.099	0.0	0.337	0.162	59.74	0.004	0.0	0.008	0.02	11.688	0.158	0.0	0.514	0.376	59.74	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.327	0.187	54.545	0.016	0.0	0.058	0.033	28.571	0.065	0.0	0.224	0.13	45.455	0.119	0.0	0.434	0.241	49.351	0.1	0.0	0.238	0.269	49.351
Bacteria;Firmicutes;Negativicutes;Veillonellales	order			12.827	3.492	0.394	7.955	3.501	98.701	6.089	2.137	12.762	3.934	100.0	4.787	0.268	13.248	5.294	100.0	9.463	2.607	17.832	5.253	100.0	1.73	0.0	4.183	5.529	55.844	4.202	0.371	10.303	5.071	98.701	3.445	0.303	7.014	4.358	100.0	12.827	4.814	22.733	6.529	100.0	11.404	5.151	15.91	4.969	100.0	9.974	3.607	16.966	5.949	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales	order			2.963	0.079	0.0	0.235	0.103	57.143	0.241	0.0	0.569	0.385	79.221	0.044	0.0	0.089	0.133	32.468	0.981	0.011	3.081	2.111	89.61	0.0	0.0	0.0	0.004	1.299	1.259	0.0	3.791	1.917	83.117	0.911	0.0	2.368	1.661	79.221	2.963	0.227	7.722	3.393	97.403	0.367	0.0	0.861	0.863	75.325	1.272	0.0	3.137	1.964	88.312
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales	order			11.68	2.752	0.122	7.053	3.51	97.403	4.225	0.719	9.338	4.19	98.701	0.886	0.0	2.875	1.509	85.714	5.63	0.642	12.008	5.343	98.701	0.006	0.0	0.025	0.017	18.182	10.784	1.63	23.986	10.904	98.701	11.68	1.359	25.667	10.508	98.701	3.047	0.638	6.781	2.934	96.104	10.19	1.58	21.001	8.738	100.0	7.371	0.984	17.128	6.498	100.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales	order			9.851	3.852	0.245	9.064	5.178	98.701	4.01	0.762	7.493	3.722	98.701	0.728	0.0	2.243	1.41	80.519	1.921	0.141	5.114	2.384	97.403	0.003	0.0	0.0	0.01	7.792	7.393	0.607	16.361	8.225	96.104	9.851	1.133	23.471	9.343	97.403	2.33	0.171	5.345	3.514	96.104	4.931	0.69	12.978	5.086	100.0	2.669	0.15	7.068	2.884	94.805
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales	order			0.909	0.072	0.0	0.108	0.19	63.636	0.048	0.0	0.135	0.068	55.844	0.023	0.0	0.064	0.055	35.065	0.031	0.0	0.081	0.086	31.169	0.002	0.0	0.0	0.012	5.195	0.74	0.008	2.005	0.965	89.61	0.909	0.0	2.825	1.487	87.013	0.223	0.0	0.383	0.807	63.636	0.01	0.0	0.034	0.026	20.779	0.048	0.0	0.203	0.1	37.662
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	order			9.985	1.831	0.196	3.893	1.971	98.701	2.161	0.337	4.696	1.741	98.701	2.076	0.012	6.619	4.331	90.909	8.755	1.597	18.951	7.623	100.0	0.003	0.0	0.0	0.009	9.091	9.985	1.039	19.292	9.56	98.701	6.598	0.283	14.979	6.34	100.0	3.087	0.708	6.114	2.045	98.701	5.361	0.43	12.607	4.569	100.0	6.546	0.688	14.376	6.462	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	order			11.537	2.102	0.181	4.078	3.135	98.701	0.57	0.05	1.215	0.661	96.104	1.533	0.062	4.342	1.846	94.805	2.224	0.063	5.808	3.263	92.208	0.002	0.0	0.0	0.008	7.792	10.47	1.504	19.947	7.706	100.0	11.537	2.998	20.913	7.193	100.0	2.042	0.261	4.991	1.985	94.805	0.849	0.031	2.14	1.379	93.506	1.607	0.048	4.326	2.753	94.805
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	order			15.559	5.249	0.646	13.65	4.812	100.0	10.146	3.589	17.942	5.856	100.0	8.537	0.043	23.261	10.617	94.805	14.406	6.207	25.775	7.815	100.0	0.01	0.0	0.039	0.021	25.974	8.335	0.469	18.447	7.465	100.0	4.052	0.089	8.549	4.104	96.104	15.559	8.425	24.106	6.607	100.0	13.45	5.104	23.222	7.141	100.0	13.474	6.054	20.5	6.507	100.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1]	order			12.121	0.389	0.0	0.829	0.721	83.117	0.777	0.045	1.788	0.789	94.805	0.284	0.0	1.118	0.708	51.948	1.901	0.068	5.067	2.699	97.403	0.007	0.0	0.027	0.025	14.286	2.896	0.025	6.317	4.646	92.208	2.266	0.018	6.197	3.245	89.61	12.121	1.345	30.678	12.855	98.701	2.154	0.052	5.768	2.579	92.208	2.367	0.136	6.002	2.508	94.805
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1]	order			0.409	0.016	0.0	0.006	0.063	10.39	0.002	0.0	0.0	0.009	5.195	0.0	0.0	0.0	0.003	1.299	0.026	0.0	0.056	0.103	12.987	0.0	0.0	0.0	0.0	0.0	0.409	0.0	0.253	2.164	14.286	0.088	0.0	0.0	0.492	9.091	0.021	0.0	0.019	0.083	11.688	0.001	0.0	0.0	0.008	3.896	0.002	0.0	0.0	0.009	6.494
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales	order			8.529	0.243	0.0	0.921	0.422	81.818	0.163	0.0	0.466	0.243	81.818	0.315	0.0	0.184	2.048	46.753	0.031	0.0	0.1	0.065	41.558	0.002	0.0	0.0	0.01	3.896	6.067	0.43	13.251	5.697	96.104	8.529	1.164	17.617	6.172	96.104	0.178	0.0	0.444	0.302	70.13	0.018	0.0	0.065	0.039	32.468	0.191	0.0	0.219	1.165	46.753
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales	order			0.166	0.006	0.0	0.02	0.018	16.883	0.005	0.0	0.013	0.023	15.584	0.01	0.0	0.0	0.075	6.494	0.002	0.0	0.0	0.012	3.896	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.393	0.221	70.13	0.166	0.0	0.481	0.247	75.325	0.006	0.0	0.018	0.02	14.286	0.0	0.0	0.0	0.004	1.299	0.002	0.0	0.0	0.015	3.896
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	order			0.36	0.025	0.0	0.069	0.056	45.455	0.204	0.0	0.426	0.407	80.519	0.003	0.0	0.0	0.013	7.792	0.357	0.0	0.986	0.447	85.714	0.017	0.0	0.0	0.144	2.597	0.033	0.0	0.12	0.065	33.766	0.013	0.0	0.043	0.029	24.675	0.271	0.0	0.732	0.396	76.623	0.29	0.0	0.796	0.349	88.312	0.36	0.01	0.721	0.508	89.61
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	order			0.983	0.094	0.0	0.224	0.182	62.338	0.46	0.036	1.175	0.634	90.909	0.013	0.0	0.021	0.053	16.883	0.561	0.01	1.239	0.894	89.61	0.0	0.0	0.0	0.0	1.299	0.115	0.0	0.257	0.275	55.844	0.027	0.0	0.095	0.054	33.766	0.712	0.0	1.802	0.86	83.117	0.983	0.033	2.758	1.13	90.909	0.84	0.0	2.043	0.965	88.312
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1]	order			0.169	0.007	0.0	0.017	0.024	15.584	0.008	0.0	0.018	0.033	15.584	0.001	0.0	0.0	0.004	2.597	0.002	0.0	0.0	0.007	6.494	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.555	0.389	37.662	0.169	0.0	0.469	0.384	41.558	0.054	0.0	0.148	0.126	40.26	0.001	0.0	0.0	0.006	3.896	0.006	0.0	0.008	0.021	10.39
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.709	0.099	0.0	0.25	0.156	71.429	0.614	0.017	1.498	0.704	90.909	0.017	0.0	0.052	0.059	23.377	0.696	0.047	1.495	0.848	94.805	0.0	0.0	0.0	0.003	1.299	0.19	0.0	0.538	0.295	66.234	0.044	0.0	0.151	0.079	48.052	0.597	0.0	1.381	0.79	85.714	0.558	0.026	1.386	0.515	93.506	0.709	0.079	1.654	0.633	94.805
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	family			9.931	3.371	0.274	8.26	4.063	97.403	4.669	0.412	9.876	4.589	98.701	2.478	0.0	8.45	4.779	84.416	6.618	0.156	16.041	8.263	96.104	0.005	0.0	0.0	0.028	9.091	7.383	1.054	17.919	8.243	98.701	8.679	1.642	19.156	7.886	100.0	4.911	0.567	12.082	5.005	98.701	9.931	0.079	28.304	11.382	98.701	6.221	0.157	16.1	8.544	97.403
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	family			60.54	60.54	37.439	82.77	16.947	100.0	52.254	32.658	76.284	16.791	100.0	60.186	31.231	84.052	20.512	100.0	31.353	8.899	59.628	20.607	100.0	0.071	0.0	0.193	0.103	63.636	15.855	5.316	30.197	11.8	100.0	18.508	8.038	33.761	10.032	100.0	17.656	4.234	31.688	10.892	98.701	25.704	10.171	46.148	13.438	100.0	29.843	9.725	53.691	17.929	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			4.871	0.845	0.0	1.875	2.034	85.714	0.327	0.0	0.878	0.651	76.623	0.07	0.0	0.216	0.107	59.74	0.152	0.0	0.563	0.348	53.247	0.001	0.0	0.0	0.004	2.597	4.075	0.03	12.861	5.88	92.208	4.871	0.029	13.481	6.034	90.909	1.809	0.0	5.145	3.564	83.117	0.038	0.0	0.127	0.087	42.857	0.328	0.0	0.502	1.323	59.74
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae	family			1.906	0.055	0.0	0.127	0.142	37.662	0.039	0.0	0.13	0.08	38.961	0.001	0.0	0.0	0.005	6.494	0.708	0.0	1.196	2.095	80.519	0.0	0.0	0.0	0.003	2.597	1.906	0.0	6.051	3.639	72.727	0.557	0.0	1.797	1.415	49.351	0.243	0.0	0.443	0.754	64.935	0.051	0.0	0.17	0.108	40.26	0.181	0.0	0.409	0.504	50.649
