Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales	order			8.397	1.171	1.171	100	1.876	1.281	100	2.692	4.77	100	2.837	2.608	100	6.43	8.194	100	8.397	10.375	100	2.795	2.586	100	3.745	3.44	100	2.924	2.329	100	0.01	0.025	20
Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales	order			0.006	0	0.001	11.765	0.001	0.002	10.714	0	0.001	2.778	0	0	0	0.006	0.024	20	0.001	0.004	17.647	0	0.001	13.889	0	0	0	0	0.001	6.061	0	0	0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	order			19.097	4.312	4.67	100	4.392	5.76	100	3.523	4.653	100	9.537	9.476	100	19.097	14.494	100	18.606	12.683	100	4.912	5.507	100	8.045	9.812	100	8.988	8.976	100	0.018	0.041	30
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	order			8.394	0.437	0.551	97.059	0.952	2.836	100	0.525	1.006	100	0.252	0.416	100	4.6	5.951	100	8.394	6.419	100	0.438	0.638	97.222	0.489	1.353	100	0.527	1.071	100	0.003	0.013	10
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	order			0	0	0	0	0	0	0	0	0	0	0	0.001	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	order			21.166	5.825	6.173	100	12.7	11.275	100	5.436	6.833	100	21.166	11.991	100	12.074	10.234	100	5.793	5.172	100	19.117	16.018	100	16.148	11.038	100	20.169	9.435	100	0.054	0.103	40
Bacteria;Bacteroidetes;Bacteroidetes_[C-1];Bacteroidetes_[O-1]	order			0.108	0.012	0.04	32.353	0.003	0.01	21.429	0.002	0.01	16.667	0.108	0.372	35.484	0.1	0.426	42.857	0.01	0.028	26.471	0.003	0.009	30.556	0	0.001	5.882	0.015	0.04	33.333	0	0	0
Bacteria;Absconditabacteria_(SR1);Absconditabacteria_(SR1)_[C-1];Absconditabacteria_(SR1)_[O-1]	order			0.604	0.029	0.051	52.941	0.046	0.109	53.571	0.073	0.159	50	0.604	1.4	64.516	0.209	1.407	57.143	0.059	0.16	55.882	0.329	1.051	63.889	0.106	0.379	55.882	0.364	0.839	63.636	0	0	0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1]	order			4.575	0.418	0.913	100	0.259	0.445	96.429	0.458	0.924	91.667	0.807	1.373	100	4.575	6.904	100	2.986	5.847	100	0.764	2.21	100	0.461	0.631	100	0.805	1.139	100	0.003	0.009	10
Bacteria;Synergistetes;Synergistia;Synergistales	order			0.392	0.032	0.078	50	0.009	0.021	28.571	0.004	0.013	25	0.072	0.277	45.161	0.392	1.2	57.143	0.024	0.048	47.059	0.006	0.012	41.667	0.001	0.003	17.647	0.009	0.023	42.424	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	order			0.013	0.001	0.003	11.765	0	0.002	7.143	0	0.002	2.778	0	0.001	16.129	0.013	0.065	20	0.001	0.002	14.706	0	0.002	8.333	0	0.001	2.941	0	0.001	3.03	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales	order			0.026	0	0	2.941	0	0.001	3.571	0	0.001	5.556	0.026	0.144	6.452	0	0.001	5.714	0	0	0	0	0	2.778	0	0.001	5.882	0	0	0	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes_[O-1]	order			0.002	0.002	0.01	2.941	0	0	0	0	0.002	2.778	0	0.003	3.226	0	0.001	2.857	0	0	0	0	0	2.778	0	0	0	0	0.002	3.03	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales	order			0.103	0.003	0.005	50	0.017	0.047	46.429	0.002	0.006	38.889	0.003	0.016	12.903	0.076	0.199	85.714	0.103	0.139	88.235	0.003	0.005	33.333	0	0.001	5.882	0.004	0.024	15.152	0	0	0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales	order			0.59	0.048	0.062	79.412	0.13	0.167	89.286	0.319	0.904	61.111	0.318	0.424	96.774	0.158	0.391	82.857	0.088	0.272	73.529	0.59	0.785	97.222	0.525	0.808	97.059	0.36	0.608	100	0.002	0.007	5
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales	order			0.018	0.002	0.004	29.412	0	0.001	14.286	0.001	0.004	16.667	0.002	0.003	29.032	0.018	0.042	65.714	0.004	0.01	26.471	0.003	0.005	36.111	0.001	0.002	17.647	0.002	0.003	33.333	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	order			0.001	0	0.001	14.706	0	0.001	14.286	0.001	0.002	8.333	0	0	3.226	0.001	0.003	11.429	0	0.001	2.941	0	0	0	0	0	0	0.001	0.002	12.121	0	0	0
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales	order			0.12	0.012	0.03	41.176	0.008	0.019	35.714	0.003	0.007	25	0.12	0.4	58.065	0.018	0.047	45.714	0.008	0.015	41.176	0.007	0.017	44.444	0.002	0.006	17.647	0.013	0.028	39.394	0	0	0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1];Gracilibacteria_(GN02)_[O-1]	order			0.105	0.004	0.007	29.412	0.007	0.021	25	0.001	0.005	22.222	0	0.002	9.677	0.105	0.62	57.143	0.084	0.174	58.824	0.003	0.011	25	0	0	5.882	0.001	0.002	24.242	0	0	0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-2];Gracilibacteria_(GN02)_[O-2]	order			0.002	0	0	0	0	0.001	3.571	0	0.003	2.778	0	0	3.226	0	0	0	0.002	0.011	8.824	0	0.001	8.333	0	0	0	0	0.001	3.03	0	0	0
Bacteria;Tenericutes;Mollicutes;Mollicutes_[O-2]	order			0.005	0	0.002	5.882	0	0	0	0	0.001	2.778	0.005	0.025	12.903	0	0.003	2.857	0	0.002	2.941	0	0	0	0	0	0	0	0	3.03	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family			0.201	0	0.001	2.941	0.001	0.002	10.714	0	0	5.556	0.201	1.118	3.226	0.001	0.009	11.429	0	0.002	2.941	0	0	2.778	0	0	2.941	0	0.001	12.121	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family			0.009	0	0	2.941	0.001	0.004	10.714	0.001	0.003	5.556	0.009	0.048	6.452	0	0.001	8.571	0	0.001	2.941	0	0	0	0	0	0	0	0.001	6.061	0	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae	family			1.851	0.403	0.719	88.235	0.542	0.788	92.857	0.177	0.279	88.889	1.851	2.636	100	1.711	2.755	97.143	0.333	0.496	94.118	1.641	2.399	97.222	0.891	1.499	100	1.183	2.245	100	0.001	0.003	5
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	family			7.849	3.402	5.238	100	7.849	9.567	100	3.412	8.084	97.222	3.711	4.852	96.774	3.159	5.658	100	2.196	3.804	100	5.852	8.179	97.222	6.976	9.985	100	4.541	6.647	96.97	0.755	1.581	65
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae	family			3.617	0.154	0.234	85.294	0.193	0.287	100	0.199	0.445	77.778	0.533	1.268	90.323	1.983	3.073	94.286	0.255	0.449	91.176	0.609	1.167	91.667	0.207	0.369	79.412	0.166	0.189	93.939	3.617	6.031	85
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family			59.399	0.212	0.297	100	0.561	1.136	96.429	0.121	0.334	91.667	0.627	3.43	67.742	3.307	6.091	100	1.623	1.817	100	0.036	0.047	91.667	0.009	0.034	41.176	0.075	0.283	81.818	59.399	30.26	100
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	family			57.877	57.877	18.518	100	49.65	19.114	100	57.875	23.753	100	38.171	19.966	100	20.643	16.127	100	31.038	14.345	100	43.518	22.526	100	42.144	22.202	100	39.968	16.26	100	0.681	1.841	85
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			1.27	0.343	0.788	85.294	0.134	0.242	85.714	0.081	0.281	77.778	0.141	0.668	67.742	0.847	2.247	91.429	1.27	3.765	88.235	0.055	0.141	77.778	0.081	0.341	35.294	0.016	0.025	72.727	0	0.002	5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.162	0.001	0.003	20.588	0.002	0.007	21.429	0.001	0.004	19.444	0.023	0.128	9.677	0.162	0.577	60	0.161	0.372	58.824	0.002	0.005	22.222	0	0	2.941	0.001	0.002	21.212	0	0	0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae	family			1.366	0.097	0.269	64.706	0.028	0.07	60.714	0.026	0.053	47.222	0.328	0.874	77.419	1.366	3.435	91.429	0.235	0.499	76.471	0.018	0.021	61.111	0.01	0.025	55.882	0.057	0.126	87.879	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	family			0.066	0	0.001	17.647	0.002	0.004	17.857	0.001	0.003	11.111	0.066	0.367	12.903	0.001	0.003	11.429	0	0	0	0.001	0.002	13.889	0	0	0	0	0.001	9.091	0.001	0.004	10
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			13.881	10.083	9.785	100	6.721	5.193	100	13.881	14.868	100	3.578	4.414	100	2.58	4.275	100	3.176	4.547	100	4.758	4.424	97.222	5.79	7.08	100	3.725	5.221	100	0.014	0.036	20
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	family			0	0	0.001	5.882	0	0	3.571	0	0	2.778	0	0	0	0	0	0	0	0.001	2.941	0	0	0	0	0	0	0	0	3.03	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			1.368	0.104	0.149	100	0.217	0.226	92.857	0.483	1.414	69.444	0.754	1.47	96.774	1.177	4.114	97.143	0.355	0.574	97.059	1.368	2.072	100	0.971	1.504	100	0.713	0.689	100	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae	family			0	0	0	0	0	0	0	0	0	0	0	0.001	3.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	5
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	family			0.021	0.008	0.045	8.824	0	0.002	3.571	0	0.001	2.778	0	0.001	6.452	0.021	0.103	28.571	0	0.001	2.941	0	0.001	8.333	0	0	0	0	0.002	3.03	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			1.623	0.283	0.451	94.118	0.518	1.027	100	0.279	0.582	97.222	0.664	0.575	100	1.623	2.15	100	1.327	1.859	97.059	0.206	0.299	97.222	0.284	0.327	100	0.722	0.859	100	0.005	0.02	10
