Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	ST-mean	ST-sd	ST-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev
Bacteria;Proteobacteria;Gammaproteobacteria	class			22.238	13.316	8.849	100.0	9.043	5.952	100.0	22.238	11.507	100.0	8.726	7.268	100.0	0.055	0.201	30.769	5.304	5.374	100.0	7.591	6.657	100.0	10.918	6.754	100.0	9.593	7.278	100.0	6.903	8.022	100.0
Bacteria;Proteobacteria;Epsilonproteobacteria	class			2.339	0.223	0.341	68.243	0.394	0.49	77.703	0.565	1.362	61.486	0.886	1.133	82.432	0.001	0.004	2.797	1.041	1.053	87.162	0.882	1.146	81.757	2.339	2.671	87.162	0.77	1.052	78.378	0.936	1.104	84.459
Bacteria;Actinobacteria;Actinomycetia	class			21.926	2.932	3.867	99.324	4.422	3.805	100.0	0.858	3.176	76.351	3.678	3.794	100.0	0.007	0.026	16.084	15.317	11.166	100.0	21.926	11.826	100.0	2.754	2.504	100.0	6.588	5.355	100.0	4.346	3.487	99.324
Bacteria;Firmicutes;Clostridia	class			7.167	1.072	1.318	97.973	3.122	2.541	100.0	0.211	0.447	69.595	5.381	3.79	100.0	0.001	0.004	4.895	1.837	1.356	100.0	1.369	1.473	96.622	7.167	5.51	100.0	5.164	4.104	100.0	6.306	4.384	100.0
Bacteria;Firmicutes;Tissierellia	class			0.594	0.067	0.116	55.405	0.24	0.375	68.243	0.023	0.124	13.514	0.414	0.805	80.405	0.001	0.006	2.098	0.594	0.678	87.838	0.143	0.195	68.919	0.171	0.208	75.676	0.193	0.343	56.757	0.225	0.475	72.297
Bacteria;Firmicutes;Negativicutes	class			15.936	3.448	3.028	100.0	6.536	4.387	100.0	5.072	5.505	99.324	8.64	5.036	100.0	0.683	1.42	56.643	7.057	5.96	100.0	5.946	4.605	100.0	15.936	7.661	100.0	10.773	5.398	100.0	9.929	5.703	100.0
Bacteria;Fusobacteria;Fusobacteriia	class			18.243	4.023	3.546	100.0	4.958	4.178	100.0	2.488	3.648	97.297	15.425	8.642	100.0	0.002	0.006	6.993	18.243	9.403	100.0	13.425	8.963	100.0	8.284	4.817	100.0	11.811	8.85	100.0	11.393	8.271	100.0
Bacteria;Bacteroidetes;Flavobacteriia	class			9.325	1.347	2.822	100.0	0.466	0.581	95.946	0.611	1.245	84.459	1.616	2.642	93.919	0.001	0.007	2.098	7.257	5.151	99.324	9.325	4.933	100.0	1.83	1.335	100.0	0.657	1.217	88.514	1.136	2.266	91.216
Bacteria;Bacteroidetes;Bacteroidia	class			24.6	7.901	6.688	100.0	14.029	7.981	100.0	12.923	13.59	98.649	20.4	11.244	100.0	0.004	0.013	14.685	17.862	12.009	100.0	9.348	7.206	100.0	24.6	9.455	100.0	18.088	8.377	100.0	20.59	10.081	100.0
Bacteria;Actinobacteria;Coriobacteriia	class			0.637	0.083	0.142	62.838	0.384	0.482	87.162	0.015	0.059	14.865	0.406	0.692	84.459	0.001	0.004	2.098	0.134	0.389	50.676	0.038	0.094	36.486	0.522	0.545	94.595	0.637	0.716	90.541	0.592	0.593	94.595
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	order			10.396	3.641	3.979	99.324	7.064	7.434	99.324	2.211	4.496	87.838	5.388	6.26	96.622	0.001	0.003	2.797	5.479	5.958	99.324	8.52	6.92	100.0	6.466	6.191	99.324	10.396	11.402	98.649	5.577	7.169	98.649
Bacteria;Firmicutes;Bacilli;Lactobacillales	order			55.42	55.42	16.587	100.0	45.457	17.211	100.0	49.829	18.637	100.0	26.01	16.923	100.0	0.036	0.068	47.552	12.064	9.427	100.0	16.121	10.727	100.0	15.551	8.447	100.0	24.415	14.859	100.0	29.052	17.868	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	order			3.215	0.633	1.352	85.135	0.327	0.626	82.432	0.064	0.283	35.135	0.155	0.365	60.135	0.001	0.006	1.399	2.221	3.559	88.514	3.215	4.592	95.27	1.289	1.695	91.216	0.061	0.163	45.946	0.331	1.308	65.541
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	order			3.632	0.145	0.456	55.405	0.057	0.143	41.892	0.016	0.104	12.162	0.689	1.867	72.297	0.0	0.0	0.0	3.632	6.341	85.135	1.061	2.611	72.973	0.497	1.019	79.73	0.05	0.125	40.541	0.23	0.804	64.189
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	order			22.231	13.284	8.866	100.0	8.966	5.914	100.0	22.231	11.515	100.0	8.72	7.267	100.0	0.055	0.201	30.769	5.072	5.377	99.324	7.287	6.649	100.0	10.898	6.756	100.0	9.591	7.277	100.0	6.015	5.311	100.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	order			2.339	0.223	0.341	68.243	0.394	0.49	77.703	0.565	1.362	61.486	0.886	1.133	82.432	0.001	0.004	2.797	1.041	1.053	87.162	0.882	1.146	81.757	2.339	2.671	87.162	0.77	1.052	78.378	0.936	1.104	84.459
Bacteria;Firmicutes;Bacilli;Bacillales	order			5.281	5.281	5.352	99.324	2.482	2.741	99.324	2.642	2.665	99.324	1.545	2.019	97.973	0.0	0.002	1.399	0.455	0.797	90.541	0.454	0.918	90.541	0.615	0.48	96.622	0.71	0.734	97.297	1.797	2.028	97.297
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales	order			13.318	0.383	0.932	82.432	0.42	1.55	81.081	0.285	2.322	35.811	0.179	1.085	54.73	0.001	0.006	4.196	8.379	7.071	98.649	13.318	8.32	99.324	0.231	0.363	80.405	0.129	0.565	51.351	0.166	0.514	64.189
Bacteria;Firmicutes;Clostridia;Eubacteriales	order			7.167	1.072	1.318	97.973	3.122	2.541	100.0	0.211	0.447	69.595	5.381	3.79	100.0	0.001	0.004	4.895	1.837	1.356	100.0	1.369	1.473	96.622	7.167	5.51	100.0	5.164	4.104	100.0	6.306	4.384	100.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	order			0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	1.351	0.0	0.0	0.0	0.001	0.018	0.676	0.0	0.0	0.0	0.0	0.003	0.676	0.0	0.0	0.0	0.756	6.237	4.73
Bacteria;Firmicutes;Tissierellia;Tissierellales	order			0.594	0.067	0.116	55.405	0.24	0.375	68.243	0.023	0.124	13.514	0.414	0.805	80.405	0.001	0.006	2.098	0.594	0.678	87.838	0.143	0.195	68.919	0.171	0.208	75.676	0.193	0.343	56.757	0.225	0.475	72.297
Bacteria;Firmicutes;Negativicutes;Veillonellales	order			12.645	3.26	2.895	100.0	6.277	4.22	100.0	4.841	5.403	98.649	7.732	4.645	100.0	0.683	1.419	56.643	4.53	5.659	99.324	3.952	4.362	100.0	12.645	6.429	100.0	10.529	5.274	100.0	8.904	5.239	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales	order			3.291	0.187	0.279	76.351	0.259	0.326	85.135	0.231	0.86	41.892	0.908	1.663	90.541	0.0	0.003	0.699	2.527	2.44	97.973	1.994	2.139	93.919	3.291	4.078	99.324	0.244	0.375	76.351	1.024	1.407	95.27
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales	order			5.121	1.312	1.888	95.27	2.783	2.624	100.0	0.355	0.961	64.189	3.021	3.255	99.324	0.002	0.01	8.392	4.048	5.687	100.0	4.256	5.019	100.0	1.729	1.847	100.0	5.121	4.832	100.0	3.613	3.169	99.324
Bacteria;Actinobacteria;Actinomycetia;Micrococcales	order			3.708	1.203	2.365	91.216	1.162	1.608	93.243	0.195	0.68	50.676	0.46	0.707	81.081	0.001	0.003	2.797	2.299	3.818	93.919	3.708	5.368	98.649	0.68	0.964	94.595	1.331	2.087	83.784	0.516	0.717	82.432
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales	order			0.645	0.033	0.071	44.595	0.056	0.159	53.378	0.023	0.124	17.568	0.019	0.045	29.73	0.003	0.021	4.895	0.59	0.891	86.486	0.645	1.184	87.162	0.113	0.632	53.378	0.008	0.053	10.811	0.053	0.134	43.243
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales	order			18.243	4.023	3.546	100.0	4.958	4.178	100.0	2.488	3.648	97.297	15.425	8.642	100.0	0.002	0.006	6.993	18.243	9.403	100.0	13.425	8.963	100.0	8.284	4.817	100.0	11.811	8.85	100.0	11.393	8.271	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales	order			9.325	1.347	2.822	100.0	0.466	0.581	95.946	0.611	1.245	84.459	1.616	2.642	93.919	0.001	0.007	2.098	7.257	5.151	99.324	9.325	4.933	100.0	1.83	1.335	100.0	0.657	1.217	88.514	1.136	2.266	91.216
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	order			24.6	7.901	6.688	100.0	14.029	7.981	100.0	12.923	13.59	98.649	20.4	11.244	100.0	0.004	0.013	14.685	17.862	12.009	100.0	9.348	7.206	100.0	24.6	9.455	100.0	18.088	8.377	100.0	20.59	10.081	100.0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales	order			0.304	0.016	0.06	20.27	0.004	0.016	10.135	0.007	0.066	4.73	0.005	0.037	6.081	0.0	0.0	0.0	0.226	0.44	64.189	0.304	0.476	67.568	0.012	0.03	20.946	0.002	0.008	7.432	0.005	0.026	8.108
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	order			0.127	0.016	0.182	1.351	0.072	0.661	5.405	0.0	0.003	0.676	0.002	0.013	3.378	0.0	0.0	0.0	0.004	0.035	2.703	0.0	0.0	0.0	0.007	0.046	2.703	0.0	0.003	0.676	0.127	1.217	4.054
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	order			0.637	0.083	0.142	62.838	0.384	0.482	87.162	0.015	0.059	14.865	0.406	0.692	84.459	0.001	0.004	2.098	0.134	0.389	50.676	0.038	0.094	36.486	0.522	0.545	94.595	0.637	0.716	90.541	0.592	0.593	94.595
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	family			10.396	3.641	3.979	99.324	7.064	7.434	99.324	2.211	4.496	87.838	5.388	6.26	96.622	0.001	0.003	2.797	5.479	5.958	99.324	8.52	6.92	100.0	6.466	6.191	99.324	10.396	11.402	98.649	5.577	7.169	98.649
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	family			53.562	53.562	17.084	100.0	42.633	17.323	100.0	47.345	19.781	100.0	24.424	16.421	100.0	0.032	0.06	44.755	11.343	8.898	100.0	15.133	10.212	100.0	13.836	7.785	100.0	21.267	13.652	100.0	27.269	17.66	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			3.014	0.598	1.313	85.135	0.281	0.543	76.351	0.064	0.283	33.784	0.153	0.363	58.108	0.0	0.006	0.699	1.909	2.978	87.162	3.014	4.547	93.243	1.278	1.692	90.541	0.061	0.163	45.946	0.181	0.49	59.459
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.312	0.035	0.261	16.892	0.046	0.329	23.649	0.001	0.006	2.027	0.002	0.008	7.432	0.0	0.002	0.699	0.312	1.782	34.459	0.201	0.611	36.486	0.011	0.031	15.541	0.0	0.002	0.676	0.15	1.213	16.216
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae	family			3.632	0.145	0.456	55.405	0.057	0.143	41.892	0.016	0.104	12.162	0.689	1.867	72.297	0.0	0.0	0.0	3.632	6.341	85.135	1.061	2.611	72.973	0.497	1.019	79.73	0.05	0.125	40.541	0.23	0.804	64.189
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			22.231	13.284	8.866	100.0	8.966	5.914	100.0	22.231	11.515	100.0	8.72	7.267	100.0	0.055	0.201	30.769	5.072	5.377	99.324	7.287	6.649	100.0	10.898	6.756	100.0	9.591	7.277	100.0	6.015	5.311	100.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			2.338	0.22	0.339	68.243	0.374	0.454	77.027	0.564	1.362	61.486	0.886	1.133	82.432	0.001	0.004	2.797	1.041	1.052	87.162	0.88	1.143	81.757	2.338	2.672	87.162	0.77	1.052	78.378	0.933	1.104	84.459
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae	family			5.281	5.281	5.352	99.324	2.482	2.741	99.324	2.642	2.665	99.324	1.545	2.019	97.973	0.0	0.002	1.399	0.455	0.797	90.541	0.454	0.918	90.541	0.615	0.48	96.622	0.71	0.734	97.297	1.797	2.028	97.297
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae	family			13.318	0.383	0.932	82.432	0.42	1.55	81.081	0.285	2.322	35.811	0.179	1.085	54.73	0.001	0.006	4.196	8.379	7.071	98.649	13.318	8.32	99.324	0.231	0.363	80.405	0.129	0.565	51.351	0.166	0.514	64.189
Bacteria;Firmicutes;Clostridia;Eubacteriales;Ruminococcaceae	family			2.04	0.042	0.099	43.243	0.106	0.21	60.135	0.004	0.012	10.135	0.248	0.473	69.595	0.0	0.001	0.699	0.079	0.193	38.514	0.092	0.238	41.892	2.04	3.79	92.568	0.166	0.401	60.135	0.337	0.605	78.378
Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae	family			5.368	0.907	1.163	97.973	2.511	2.233	99.324	0.183	0.407	66.216	4.49	3.455	100.0	0.0	0.002	2.098	1.072	1.034	97.973	0.961	1.199	95.27	4.528	3.621	100.0	4.641	3.811	100.0	5.368	4.012	99.324
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae	family			0.62	0.107	0.192	68.243	0.457	0.502	95.27	0.023	0.061	26.351	0.574	0.746	93.919	0.001	0.004	2.098	0.62	0.576	95.27	0.293	0.389	79.73	0.562	0.571	95.946	0.315	0.304	93.243	0.546	0.58	96.622
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	1.351	0.0	0.0	0.0	0.001	0.018	0.676	0.0	0.0	0.0	0.0	0.003	0.676	0.0	0.0	0.0	0.756	6.237	4.73
Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae	family			0.594	0.067	0.116	55.405	0.24	0.375	68.243	0.023	0.124	13.514	0.414	0.805	80.405	0.001	0.006	2.098	0.594	0.678	87.838	0.143	0.195	68.919	0.171	0.208	75.676	0.193	0.343	56.757	0.225	0.475	72.297
Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae	family			12.645	3.26	2.895	100.0	6.277	4.22	100.0	4.841	5.403	98.649	7.732	4.645	100.0	0.683	1.419	56.643	4.53	5.659	99.324	3.952	4.362	100.0	12.645	6.429	100.0	10.529	5.274	100.0	8.904	5.239	100.0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae	family			3.291	0.187	0.279	76.351	0.259	0.326	85.135	0.231	0.86	41.892	0.908	1.663	90.541	0.0	0.003	0.699	2.527	2.44	97.973	1.994	2.139	93.919	3.291	4.078	99.324	0.244	0.375	76.351	1.024	1.407	95.27
Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae	family			0.07	0.016	0.044	23.649	0.047	0.078	43.243	0.002	0.007	5.405	0.07	0.122	57.432	0.0	0.0	0.0	0.066	0.127	43.919	0.023	0.057	29.054	0.037	0.07	43.919	0.042	0.08	42.568	0.055	0.088	49.324
Bacteria;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae	family			5.121	1.312	1.888	95.27	2.783	2.624	100.0	0.355	0.961	64.189	3.021	3.255	99.324	0.002	0.01	8.392	4.048	5.687	100.0	4.256	5.019	100.0	1.729	1.847	100.0	5.121	4.832	100.0	3.613	3.169	99.324
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae	family			3.708	1.203	2.365	91.216	1.162	1.608	93.243	0.195	0.68	50.676	0.46	0.707	81.081	0.001	0.003	2.797	2.299	3.818	93.919	3.708	5.368	98.649	0.68	0.964	94.595	1.331	2.087	83.784	0.516	0.717	82.432
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae	family			0.645	0.033	0.071	44.595	0.056	0.159	53.378	0.023	0.124	17.568	0.019	0.045	29.73	0.003	0.021	4.895	0.59	0.891	86.486	0.645	1.184	87.162	0.113	0.632	53.378	0.008	0.053	10.811	0.053	0.134	43.243
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			14.944	2.994	3.115	100.0	3.379	3.023	99.324	2.182	3.304	96.622	10.717	7.73	99.324	0.001	0.006	5.594	14.944	8.993	100.0	8.326	6.251	100.0	6.83	4.687	100.0	8.418	7.635	100.0	6.059	5.52	100.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Weeksellaceae	family			0.622	0.618	2.582	92.568	0.155	0.186	81.081	0.372	0.872	77.027	0.21	0.315	79.73	0.0	0.0	0.0	0.438	0.469	89.865	0.622	0.615	94.595	0.33	0.448	91.216	0.126	0.252	65.541	0.238	0.561	77.027
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			5.334	1.029	1.264	95.946	1.579	2.496	97.973	0.306	0.895	69.595	4.708	5.541	97.973	0.0	0.002	1.399	3.299	3.405	97.297	5.099	4.776	99.324	1.455	1.434	100.0	3.393	4.948	97.297	5.334	6.553	98.649
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			5.754	3.634	4.318	99.324	3.814	3.591	98.649	4.083	6.192	89.865	4.579	4.882	98.649	0.001	0.006	5.594	4.68	4.901	98.649	3.871	3.531	94.595	5.754	4.645	100.0	4.381	5.564	95.946	4.031	4.825	95.946
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_[F-2]	family			1.198	0.051	0.252	33.784	0.013	0.044	18.243	0.003	0.016	5.405	0.159	0.667	30.405	0.0	0.0	0.0	1.198	2.025	62.162	0.449	0.905	54.054	0.149	0.287	64.865	0.004	0.017	9.459	0.015	0.042	20.27
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae	family			0.558	0.051	0.091	51.351	0.049	0.113	42.568	0.009	0.039	10.811	0.286	0.542	66.892	0.0	0.001	0.699	0.558	0.909	75.0	0.332	0.456	67.568	0.118	0.138	72.297	0.097	0.372	41.216	0.165	0.373	58.784
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	family			18.579	4.165	4.762	100.0	10.152	7.284	100.0	8.828	11.335	94.595	15.376	10.774	100.0	0.003	0.008	11.888	11.425	10.596	100.0	4.696	5.03	100.0	18.579	9.041	100.0	13.606	8.171	100.0	16.38	10.048	99.324
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			8.703	0.729	1.241	95.27	0.311	0.515	93.243	0.239	0.796	52.703	1.405	2.522	90.541	0.001	0.007	2.098	6.819	5.011	99.324	8.703	4.887	99.324	1.501	1.197	99.324	0.531	1.147	83.108	0.898	2.173	85.811
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	family			0.312	0.232	0.46	64.189	0.084	0.19	48.649	0.058	0.258	25.676	0.023	0.06	30.405	0.0	0.001	0.699	0.188	0.448	57.432	0.312	0.618	69.595	0.109	0.181	58.108	0.01	0.037	19.595	0.041	0.115	35.811
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae	family			3.138	1.627	1.861	99.324	2.74	1.677	99.324	2.427	2.905	95.27	1.562	1.23	98.649	0.003	0.019	7.692	0.533	0.671	92.568	0.677	0.774	98.649	1.606	1.263	99.324	3.138	2.36	100.0	1.742	1.214	100.0
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family			0.304	0.016	0.06	20.27	0.004	0.016	10.135	0.007	0.066	4.73	0.005	0.037	6.081	0.0	0.0	0.0	0.226	0.44	64.189	0.304	0.476	67.568	0.012	0.03	20.946	0.002	0.008	7.432	0.005	0.026	8.108
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae	family			0.127	0.016	0.182	1.351	0.072	0.661	5.405	0.0	0.003	0.676	0.002	0.013	3.378	0.0	0.0	0.0	0.004	0.035	2.703	0.0	0.0	0.0	0.007	0.046	2.703	0.0	0.003	0.676	0.127	1.217	4.054
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae	family			0.637	0.083	0.142	62.838	0.384	0.482	87.162	0.015	0.059	14.865	0.406	0.692	84.459	0.001	0.004	2.098	0.134	0.389	50.676	0.038	0.094	36.486	0.522	0.545	94.595	0.637	0.716	90.541	0.592	0.593	94.595
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family			0.021	0.004	0.04	2.027	0.021	0.218	2.703	0.001	0.009	0.676	0.0	0.003	0.676	0.0	0.0	0.0	0.0	0.005	0.676	0.001	0.016	0.676	0.001	0.007	2.027	0.0	0.004	0.676	0.003	0.025	2.703
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella	genus			0.341	0.036	0.072	50.676	0.014	0.023	42.568	0.01	0.032	20.946	0.034	0.113	41.892	0.0	0.0	0.0	0.296	0.327	91.892	0.341	0.309	91.892	0.035	0.054	57.432	0.021	0.058	38.514	0.023	0.079	28.378
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	genus			10.354	3.5	3.92	99.324	5.582	6.032	99.324	2.078	4.47	85.135	5.301	6.217	95.946	0.001	0.003	2.797	4.303	5.565	96.622	6.941	6.7	99.324	6.295	6.19	98.649	10.354	11.381	98.649	5.499	7.166	97.297
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	genus			53.562	53.562	17.084	100.0	42.633	17.323	100.0	47.345	19.781	100.0	24.424	16.421	100.0	0.032	0.06	44.755	11.343	8.898	100.0	15.133	10.212	100.0	13.836	7.785	100.0	21.267	13.652	100.0	27.269	17.66	100.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia	genus			3.014	0.598	1.313	85.135	0.281	0.543	76.351	0.064	0.283	33.784	0.153	0.363	58.108	0.0	0.006	0.699	1.909	2.978	87.162	3.014	4.547	93.243	1.278	1.692	90.541	0.061	0.163	45.946	0.181	0.49	59.459
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	genus			0.148	0.023	0.256	6.757	0.043	0.329	16.892	0.0	0.0	0.0	0.001	0.006	4.73	0.0	0.0	0.0	0.001	0.006	2.703	0.0	0.001	0.676	0.003	0.018	4.73	0.0	0.0	0.0	0.148	1.213	12.838
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Treponemataceae;Treponema	genus			3.632	0.145	0.456	55.405	0.057	0.143	41.892	0.016	0.104	12.162	0.689	1.867	72.297	0.0	0.0	0.0	3.632	6.341	85.135	1.061	2.611	72.973	0.497	1.019	79.73	0.05	0.125	40.541	0.23	0.804	64.189
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus	genus			20.987	12.368	8.677	100.0	8.723	5.903	100.0	20.987	11.625	100.0	7.964	6.799	100.0	0.055	0.201	30.07	3.375	4.514	97.297	5.328	5.824	99.324	9.954	6.476	100.0	9.521	7.225	100.0	5.806	5.252	100.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	genus			2.338	0.22	0.339	68.243	0.374	0.454	77.027	0.564	1.362	61.486	0.886	1.133	82.432	0.001	0.004	2.797	1.041	1.052	87.162	0.88	1.143	81.757	2.338	2.672	87.162	0.77	1.052	78.378	0.933	1.104	84.459
Bacteria;Firmicutes;Bacilli;Bacillales;Gemellaceae;Gemella	genus			5.281	5.281	5.352	99.324	2.482	2.741	99.324	2.642	2.665	99.324	1.545	2.019	97.973	0.0	0.002	1.399	0.455	0.797	90.541	0.454	0.918	90.541	0.615	0.48	96.622	0.71	0.734	97.297	1.797	2.028	97.297
