ID type,FeatureID,HMT,Kingdom,Phylum,Class,Order,Family,Genus,Species,Assign_reads_to,UC01,UC02,UC03,UC04,UC06,UC08,UC09,UC11,UC13,UC15,UC16,UC18,UC19,UC25,UC29,UC30,UC31,UC32,UC34,UC35
0,HMT019,19,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens,100,2775,58605,3104,31294,79540,157,2016,0,0,12373,53993,1967,14089,34026,970,23110,24987,35869,0,1523
1,SS4,"19,50",Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens:macginleyi,"50,50",14,0,0,0,0,0,219,0,0,0,0,128,0,0,2,0,0,0,0,78
1,SS2,"19,50,77",Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens:macginleyi:tuberculostearicum,"33,33,33",1265,10928,2304,12392,8195,754,8184,437,177,5410,9219,5136,5314,8184,809,1847,769,4703,2079,6948
1,SS3,"19,77",Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens:tuberculostearicum,"50,50",2,371,0,102,29,1785,36,1426,38,95,48,29,46,338,0,3,2,123,4090,1
0,HMT030,30,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,afermentans,100,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
0,HMT031,31,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,amycolatum,100,0,0,0,0,0,0,0,0,41,9,0,0,0,0,0,0,0,0,0,0
0,HMT033,33,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,appendicis,100,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,HMT034,34,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,aurimucosum,100,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0
0,HMT208,208,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,bovis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0
0,HMT595,595,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,durum,100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0,HMT047,47,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,jeikeium,100,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
0,HMT049,49,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kroppenstedtii,100,35,518,0,0,0,0,9,29,0,0,7,0,0,1731,0,0,0,0,826,1207
0,HMT050,50,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,macginleyi,100,4026,0,0,0,0,0,63,0,0,0,0,0,0,0,576,0,0,0,0,65
0,HMT666,666,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,matruchotii,100,49,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
0,HMT054,54,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,pilbarense,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT059,59,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,propinquum,100,0,19,74,7943,4953,0,289,0,2330,0,0,0,4026,0,35211,0,0,0,0,0
0,HMT060,60,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,pseudodiphtheriticum,100,48,0,65372,0,0,0,17369,75,0,0,4433,0,0,11663,0,0,0,0,0,26749
0,HMT062,62,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,simulans,100,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,19
0,HMT063,63,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,singulare,100,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0
0,HMT207,207,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,sp.HMT207,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,HMT077,77,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,tuberculostearicum,100,72,4747,0,6419,2429,24484,418,10703,1693,218,1467,1215,952,4888,19,96,287,8319,63606,36
0,HMT530,530,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,100,3312,15650,1153,2804,2953,33508,4461,93538,7642,37242,3641,10958,12689,13236,1374,3325,3869,4316,28414,3887
0,HMT552,552,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,avidum,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0
0,HMT114,114,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,granulosum,100,0,408,0,84,0,378,158,883,81,278,198,387,509,157,0,119,182,338,366,72
0,HMT354,354,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter,hominis,100,0,11,0,29,0,0,0,0,0,5,0,0,47,0,0,0,0,0,0,0
0,HMT040,40,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,sp.HMT040,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT843,843,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,micraerophilus,100,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
0,HMT119,119,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,sp.HMT119,100,0,0,0,0,0,0,0,0,0,55,130,0,0,0,0,0,0,0,0,0
0,HMT813,813,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,pigrum,100,2,0,898,112,132,0,61,0,2895,0,35,0,0,237,258,0,0,0,32,346
0,HMT577,577,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,corrodens,100,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,HMT565,565,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cancerogenus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
0,HMT662,662,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Finegoldia,magna,100,0,9,0,237,0,0,107,0,0,361,270,196,325,0,0,52,10,0,334,0
0,HMT953,953,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,hwasookii,100,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
0,HMT690,690,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,necrophorum,100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,HMT420,420,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum_subsp.animalis,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT202,202,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum_subsp.polymorphum,100,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
0,HMT201,201,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,periodonticum,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0,HMT626,626,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,haemolysans,100,35,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,2,175,0,0
0,HMT046,46,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,morbillorum,100,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
0,HMT757,757,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,sanguinis,100,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
0,HMT928,928,Bacteria,Firmicutes,Bacilli,Bacillales,Gemellaceae,Gemella,sp.HMT928,100,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,HMT534,534,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,adiacens,100,156,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,31,0,0
0,HMT596,596,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,elegans,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,0,0
0,HMT851,851,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,haemolyticus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,HMT718,718,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae,100,31,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,66,0,0
0,HMT036,36,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,sp.HMT036,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
0,HMT908,908,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,sp.HMT908,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
0,HMT339,339,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,indicus,100,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0,0,0,0,0
0,HMT706,706,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,oralis,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT153,153,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,aerogenes,100,0,0,0,0,0,882,0,0,0,0,0,0,0,0,8,0,43,0,0,0
0,HMT084,84,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,palustris,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,HMT189,189,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,sp.HMT189,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT615,615,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,gasseri,100,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,HMT804,804,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,100,62,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
0,HMT173,173,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriales [F-1],Lawsonella,clevelandensis,100,0,20,0,0,0,119,0,0,0,0,10,0,31,32,0,23,9,16,0,0
0,HMT213,213,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,hongkongensis,100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT212,212,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp.HMT212,100,31,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
0,HMT215,215,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp.HMT215,100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,HMT225,225,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,sp.HMT225,100,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
0,HMT222,222,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,wadei,100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT122,122,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,micronuciformis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,HMT841,841,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,sp.HMT841,100,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
0,HMT185,185,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,ginsengisoli,100,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
0,HMT087,87,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,luteus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
0,HMT833,833,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,catarrhalis,100,0,0,0,0,0,0,0,0,0,0,2145,0,0,0,0,0,0,0,0,0
0,HMT098,98,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,nonliquefaciens,100,0,0,0,0,0,0,1097,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT598,598,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,elongata,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,HMT609,609,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,flava,100,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4
0,HMT099,99,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,macacae,100,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT101,101,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,perflava,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0,HMT476,476,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,HMT092,92,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,weaveri,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
0,HMT174,174,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae [G-1],bacterium_HMT174,100,0,0,698,1608,0,17,0,841,5083,0,510,0,0,36,0,0,0,0,816,0
0,HMT327,327,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseriaceae [G-1],bacterium_HMT327,100,0,0,0,1754,0,190,0,0,0,0,100,0,0,0,532,0,0,0,0,0
0,HMT104,104,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,yeei,100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,HMT840,840,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,indolicus,100,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,HMT187,187,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,sp.HMT187,100,0,313,0,380,0,0,199,0,0,477,680,123,803,44,8,270,61,47,0,0
0,HMT467,467,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae [XI],Peptostreptococcaceae [XI][G-1],sulci,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,HMT279,279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,pasteri,100,86,0,0,0,0,0,0,0,66,0,8,0,0,0,0,0,0,5,0,7
0,HMT277,277,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp.HMT277,100,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
0,HMT285,285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,sp.HMT285,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,HMT562,562,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,100,0,22,0,71,0,0,0,0,0,65,297,0,0,0,0,0,0,0,0,0
0,HMT298,298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,histicola,100,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT469,469,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica,100,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,86
0,HMT314,314,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,sp.HMT314,100,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT612,612,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fluorescens,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT032,32,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,sp.HMT032,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,HMT188,188,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,aeria,100,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,14,0,7
0,HMT952,952,Bacteria,Saccharibacteria (TM7),Saccharibacteria (TM7) [C-1],Saccharibacteria (TM7) [O-1],Saccharibacteria (TM7) [F-1],Saccharibacteria (TM7) [G-1],bacterium_HMT952,100,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,17
0,HMT130,130,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,noxia,100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,HMT844,844,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,amnii_[Not_Validly_Published],100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
0,HMT837,837,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,sanguinegens,100,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT678,678,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,moorei,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,HMT550,550,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,aureus,100,65676,0,0,0,0,2463,0,63,0,0,0,0,0,0,0,0,0,0,0,3478
0,HMT331,331,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,auricularis,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
0,HMT116,116,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,capitis,100,0,0,0,0,0,176,0,0,0,70,0,0,0,296,0,0,0,0,0,0
1,SS35,"116,550",Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,capitis:aureus,"50,50",4,51,0,19,11,67,3,27,94,20,75,48,7,11,0,2,93,70,184,3
1,SS33,"116,550,567",Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,capitis:aureus:caprae,"33,33,33",8,36,20,0,393,953,0,0,0,8,0,0,0,1320,0,0,0,0,0,28
1,SS34,"116,567",Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,capitis:caprae,"50,50",2818,203,0,0,0,616,0,0,0,547,0,0,0,490,0,0,0,319,0,0
0,HMT567,567,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,caprae,100,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT117,117,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,cohnii,100,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT601,601,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,epidermidis,100,846,4099,0,1499,2233,7256,1484,5030,69134,731,12196,5473,5977,3539,68,1306,8273,2496,41121,461
0,HMT127,127,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,hominis,100,0,131,0,0,0,0,0,0,103,0,0,0,113,0,0,0,0,0,0,0
0,HMT128,128,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,lugdunensis,100,0,0,0,0,0,0,0,0,1885,0,1370,0,0,0,0,0,0,0,0,45
0,HMT142,142,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pettenkoferi,100,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HMT076,76,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,warneri,100,109,0,0,0,0,0,0,48,9,0,0,0,4,0,0,0,0,0,0,0
0,HMT073,73,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,australis,100,81,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,104,0,0
0,HMT578,578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,cristatus_clade_578,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,HMT622,622,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,gordonii,100,15,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0
0,HMT638,638,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,infantis_clade_638,100,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,11
0,HMT644,644,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,intermedius,100,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,16
0,HMT677,677,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,mitis,100,290,20,0,0,0,0,22,8,114,0,0,0,0,0,0,0,0,130,5,0
0,HMT058,58,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,oralis_subsp.dentisani_clade_058,100,22,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
