Assembly,SRA_Accession,Submitters,Release_Date,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_001736955.2,,"Lee,O.H., Kim,D.W.",2021-03-08T13:50:39.343Z,Bacillus virus SPG24,Nitunavirus,Herelleviridae,dsDNA,RefSeq,,,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,,,ASM173695v2
GCF_009828335.1,,"Korbsrisate,S., Supokaivanich,R., Taharnklaew,R., Ong,C.",2021-03-08T13:50:24.297Z,Salmonella phage ST-374,Chivirus,Siphoviridae,dsDNA,RefSeq,,,,,Salmonella,,,,ASM982833v1
GCF_008704725.1,,"Kim,S.G., Park,S.C.",2021-03-08T13:49:55.010Z,Erwinia phage pEp_SNUABM_08,,Siphoviridae,dsDNA,RefSeq,,,South Korea,,Erwinia pyrifoliae,,2018-08-04,,ASM870472v1
GCF_003308595.1,,"Zhan,Y., Chen,F., Wommack,E.K., Nasko,D.",2021-03-08T13:49:24.020Z,Ruegeria phage vB_RpoS-V7,,Siphoviridae,dsDNA,RefSeq,,,USA,,Ruegeria pomeroyi DSS-3,,,,ASM330859v1
GCF_003308695.1,,"Zhan,Y., Chen,F., Wommack,E.K., Nasko,D.",2021-03-08T13:49:09.623Z,Ruegeria phage vB_RpoS-V11,,Siphoviridae,dsDNA,RefSeq,,,USA,,Ruegeria pomeroyi DSS-3,,2013-02,,ASM330869v1
GCF_003308655.1,,"Zhan,Y., Chen,F., Wommack,E.K., Nasko,D.",2021-03-08T13:48:54.033Z,Ruegeria phage vB_RpoS-V18,,Siphoviridae,dsDNA,RefSeq,,,USA,,Ruegeria pomeroyi DSS-3,,2012-11,,ASM330865v1
GCF_003308755.1,,"Zhan,Y., Chen,F., Wommack,E., Nasko,D.",2021-03-08T13:48:38.620Z,Ruegeria phage vB_RpoS-V16,,Siphoviridae,dsDNA,RefSeq,,,USA,,Ruegeria pomeroyi DSS-3,,2012-08,,ASM330875v1
GCF_002619805.1,,"Han,Y.",2021-03-08T13:48:23.047Z,Synechococcus virus S-ESS1,,Siphoviridae,dsDNA,RefSeq,,,China,,Synechococcus sp.,,2011-08-10,,ASM261980v1
GCF_009931875.1,,"Kiseleva,I.A., Zulkarneev,E.R., Kalendr,R.S., Rubalskii,E.O., Aleshkin,A.V., Vakarina,A.A., Stepanova,T.F., Kataeva,L.V.",2021-03-08T13:48:06.923Z,Proteus phage P16-2532,,Siphoviridae,dsDNA,RefSeq,,,,,Proteus mirabilis,,,,ASM993187v1
GCF_009909565.1,,"Zaczek-Moczydlowska,M.A., Young,G.K., Trudgett,J., Fleming,C.C., Campbell,K., O'Hanlon,R., Zaczek-Moczydlowska,M., Young,G., Fleming,C.",2021-03-08T13:47:51.583Z,Pectobacterium phage MA12,,Siphoviridae,dsDNA,RefSeq,,1,United Kingdom,,Pectobacterium carotovorum,,,,ASM990956v1
GCF_009662755.1,,"Zaczek-Moczydlowska,M.A., Young,G.K., Trudgett,J., Fleming,C.C., Campbell,K., O'Hanlon,R.",2021-03-08T13:47:36.127Z,Pectobacterium phage MA11,,Siphoviridae,dsDNA,RefSeq,,1,United Kingdom,,Pectobacterium carotovorum,,,,ASM966275v1
GCF_011067295.1,,"Hammerl,J.A., Jaeckel,C., Schnehle,S., Schmoger,S.",2021-03-08T13:47:20.977Z,Pseudomonas phage vB_Pae-SS2019XI,,Siphoviridae,dsDNA,RefSeq,,,Germany,,Pseudomonas aeruginosa,,2019,,ASM1106729v1
GCF_009662515.1,,"Malone,L.M., Fineran,P.C.",2021-03-08T13:47:02.927Z,Serratia phage JS26,,Siphoviridae,dsDNA,RefSeq,,,,,Serratia sp. ATCC 39006,,,,ASM966251v1
GCF_014183395.1,,"Batinovic,S., Chan,H.T., Stiles,J., Petrovski,S.",2021-03-08T13:46:48.187Z,Providencia phage vB_PreS-Stilesk,,Siphoviridae,dsDNA,RefSeq,,,Australia: Victoria,,Providencia rettgeri,,2018,,ASM1418339v1
GCF_014183385.1,,"Batinovic,S., Chan,H.T., Stiles,J., Petrovski,S.",2021-03-08T13:46:32.150Z,Providencia phage vB_PreS-PibeRecoleta,,Siphoviridae,dsDNA,RefSeq,,,Australia: Victoria,,Providencia rettgeri,,2018,,ASM1418338v1
GCF_013306735.1,,"Shahin,K., Soleimani-Delfan,A., Barazandeh,M., Komijani, Majid., Bao,H., Zhang,L., Wang,R., Komijani,M.",2021-03-08T13:46:17.200Z,Salmonella phage SAP012,,Siphoviridae,dsDNA,RefSeq,,,Iran,,Salmonella sp.,,,,ASM1330673v1
GCF_016759575.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:46:02.300Z,Salmonella phage vB_SenS_ER6,Chivirus,Siphoviridae,dsDNA,RefSeq,,,Malawi,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675957v1
GCF_016759545.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:45:48.110Z,Salmonella phage vB_SenS_ER3,Chivirus,Siphoviridae,dsDNA,RefSeq,,,Malawi,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675954v1
GCF_014190375.1,,"Park,H., Ryu,S.",2021-03-08T13:45:19.727Z,Salmonella phage TS13,Chivirus,Siphoviridae,dsDNA,RefSeq,,,,,Salmonella enterica,,,,ASM1419037v1
GCF_015709985.1,,"Cong,C., Tan,D., Sun,X., Zhang,H., Chi,X., He,Y., Li,X.",2021-03-08T13:45:04.397Z,Salmonella phage vB_SalS_ABTNLsp1,Chivirus,Siphoviridae,dsDNA,RefSeq,,,China: Yangzhou,,Salmonella enterica,,2020-04-28,,ASM1570998v1
GCF_002615565.1,,"Leavitt,J.C., Heitkamp,A.J., Bhattacharjee,A.S., Gilcrease,E.B., Cajens,S.R.",2021-03-08T13:44:50.243Z,Escherichia phage Utah,Chivirus,Siphoviridae,dsDNA,RefSeq,,,,,Escherichia coli,,,,ASM261556v1
GCF_004146725.1,,"Yuan,S., Ma,Y., Liu,Q.",2021-03-08T13:44:33.200Z,Salmonella phage SeZq-1,Chivirus,Siphoviridae,dsDNA,RefSeq,,,,,Salmonella enterica,,,,ASM414672v1
GCF_004146705.1,,"Yuan,S., Ma,Y., Liu,Q.",2021-03-08T13:44:18.703Z,Salmonella phage SeWh-1,Chivirus,Siphoviridae,dsDNA,RefSeq,,,,,Salmonella enterica,,,,ASM414670v1
GCF_016759525.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:44:04.023Z,Salmonella phage vB_SenS_ER24,Chivirus,Siphoviridae,dsDNA,RefSeq,,,United Kingdom,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675952v1
GCF_008894245.1,,"Phothaworn,P., Dunne,M., Supokaivanich,R., Ong,C., Lim,J., Taharnklaew,R., Vesaratchavest,M., Khumthong,R., Pringsulaka,O., Ajawatanawong,P., Klumpp,J., Brown,N., Imam,M., Clokie,M.R.J., Galyov,E.E., Korbsrisate,S.",2021-03-08T13:43:48.660Z,Salmonella phage ST-118,Chivirus,Siphoviridae,dsDNA,RefSeq,,1,,,Salmonella,,,,ASM889424v1
GCF_016759325.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:43:34.787Z,Salmonella phage vB_SenS_BPS4,Chivirus,Siphoviridae,dsDNA,RefSeq,,,United Kingdom,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675932v1
GCF_016759305.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:43:20.213Z,Salmonella phage vB_SenS_BPS2,Chivirus,Siphoviridae,dsDNA,RefSeq,,,United Kingdom,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675930v1
GCF_016759295.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:43:05.247Z,Salmonella phage vB_SenS_BPS1,Chivirus,Siphoviridae,dsDNA,RefSeq,,,United Kingdom,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675929v1
GCF_016759465.1,,"Rodwell,E.V., Wenner,N., Pulford,C.V., Cai,Y., Bowers-Barnard,A., Beckett,A., Rigby,J., Picton,D., Blower,T.R., Feasey,N.A., Hinton,J.C.D., Perez-Sepulveda,B.",2021-03-08T13:42:50.380Z,Salmonella phage vB_SenS_ER19,Chivirus,Siphoviridae,dsDNA,RefSeq,,,Malawi,,Salmonella enterica subsp. enterica serovar Typhimurium,,2018,,ASM1675946v1
GCF_004016005.1,,"Xie,Y., O'Leary,C.J., Liu,M., Gill,J.J.",2021-03-08T13:42:21.053Z,Salmonella phage Season12,Chivirus,Siphoviridae,dsDNA,RefSeq,,,USA,,Salmonella enterica subsp. enterica serovar Newport,,2014,,ASM401600v1
GCF_012979645.1,,"Jiang,J., Zhao,C., Tie,D., Li,Z.",2021-03-08T13:42:06.917Z,Cronobacter phage JC01,,Siphoviridae,dsDNA,RefSeq,,,China: First Hospital of Jilin University,,Cronobacter sakazakii,,,,ASM1297964v1
GCF_002628005.1,,"Jeon,J., Yong,D., Lee,K.",2021-03-08T13:41:51.993Z,Klebsiella phage KPN U2874,,Siphoviridae,dsDNA,RefSeq,,,South Korea,,Klebsiella pneumoniae,,,,ASM262800v1
GCF_002958525.1,,"Jeon,J., Yong,D., Lee,K.",2021-03-08T13:41:35.673Z,Klebsiella phage KPN N98,,Siphoviridae,dsDNA,RefSeq,,,South Korea,,Klebsiella pneumoniae,,,,ASM295852v1
GCF_014892765.1,,"Qin,H., Tong,Y., Fan,H., Song,L., An,X., Hu,Y.",2021-03-08T13:41:20.593Z,Aeromonas phage BUCT551,,,unknown,RefSeq,,,China,,Aeromonas,,,,ASM1489276v1
GCF_006863845.1,,"Kabwe,M., Brown,T.L., Speirs,L., Ku,H., Leach,M., Chan,H.T., Petrovski,S., Lock,P., Tucci,J.",2021-03-08T13:41:05.057Z,Aeromonas phage LAh_7,,Siphoviridae,dsDNA,RefSeq,,,Australia,,Aeromonas hydrophila,,2018-04-10,,ASM686384v1
GCF_008946305.1,,"Zhang,R.",2021-03-08T13:40:49.527Z,Aeromonas phage vB_AhyS-A18P4,,Siphoviridae,dsDNA,RefSeq,,,China: Nanjing,,Aeromonas hydrophila,,,,ASM894630v1
GCF_009662895.1,,"Wei,B., Cong,C.",2021-03-08T13:40:35.087Z,Escherichia phage E21,,Podoviridae,dsDNA,RefSeq,,,China,,Escherichia,,2018-09-25,,ASM966289v1
GCF_002957125.1,,"Morozova,V., Kozlova,Y., Shedko,E., Babkin,I., Kurilshikov,A., Bokovaya,O., Bardashova,A., Yunusova,A., Tikunov,A., Tupikin,A., Ushakova,T., Ryabchikova,E., Tikunova,N., Kozlova,Y.N., Morozova,V.V., Babkin,I.V., Tikunova,N.V., Bokovaya,O.V., Shedko,E.D.",2021-03-08T13:40:20.250Z,Proteus phage PM87,,Siphoviridae,dsDNA,RefSeq,,1,Russia,,Proteus mirabilis,,2011-06-29,,ASM295712v1
GCF_015502185.1,,"Ben Porat,S., Alkalay-Oren,S., Coppenhagen-Glazer,S., Hazan,R.",2021-03-08T13:39:48.867Z,Providencia phage Kokobel1,,Siphoviridae,dsDNA,RefSeq,,,Israel,,Providencia stuartii,,,,ASM1550218v1
GCF_009667665.1,,"Lightbourn,L., Amarillas,L., Estrada,M., Leon,R., Figueroa,L.",2021-03-08T13:39:24.997Z,Bacteriophage Phobos,,Siphoviridae,dsDNA,RefSeq,,,Mexico,,,,,,ASM966766v1
GCF_003226615.1,,"Yang,Z., Tao,X., Gao,L., Rao,S.",2021-03-08T13:39:10.003Z,Pseudomonas phage PspYZU01,,Siphoviridae,dsDNA,RefSeq,,,,,Pseudomonas sp.,,,,ASM322661v1
GCF_002629125.1,,"Jeon,J., Yong,D., Lee,K.",2021-03-08T13:38:53.983Z,Klebsiella phage YMC16/01/N133_KPN_BP,,Siphoviridae,dsDNA,RefSeq,,,South Korea,,Klebsiella pneumoniae,,,,ASM262912v1
GCF_008375435.2,,"Assadpour,T., Ahmed,J., Anderson,S., Espinosa,K., Gadsden,T., Graham,A., Hajjar,W., Howard,T., Lacafta,O., Matney,K., Matsen,K., Osu,J., Rupe,E., Sang,H., Wadi,S., McNeal,J., Temple,L.",2020-11-25T18:19:17.827Z,Pseudomonas phage Zuri,,Podoviridae,dsDNA,RefSeq,,,USA,,Pseudomonas putida,,2017-09-01,,ASM837543v2
GCF_002617425.2,,"Shneider,M.M., Kabanova,A.P., Vo,T.N.H., Samarov,N.I., Korzhenkov,A.A., Toshchakov,S.V., Miroshnikov,K.K., Ignatov,A.N., Kulikov,E.E., Miroshnkov,K.A.",2020-11-25T18:10:46.030Z,Pectobacterium virus PP81,Pektosvirus,Autographiviridae,dsDNA,RefSeq,,,Russia,,Pectobacterium carotovorum,,2015,,ASM261742v1
GCF_002617925.2,,"Shneider,M.M., Kabanova,A.P., Vo,T., Samarov,N.I., Korzhenkov,A.A., Toschakov,S.V., Miroshnikov,K.K., Ignatov,A.N., Kulikov,E.E., Miroshnikov,K.A.",2020-11-25T18:10:41.073Z,Pectobacterium virus PP47,Pektosvirus,Autographiviridae,dsDNA,RefSeq,,,Russia,,Pectobacterium carotovorum,,2014,,ASM261792v1
GCF_003442555.1,,"Shkoporov,A.N., Khokhlova,E.V., Fitzgerald,C.B., Stockdale,S.R., Draper,L.A., Ross,R.P., Hill,C.",2020-07-29T21:30:01.883Z,Bacteroides phage crAss001,,Podoviridae,dsDNA,RefSeq,,,Ireland,,Bacteroides intestinalis,,,,ASM344255v1
GCF_003443495.1,,"Oude Munnink,B.B., Canuti,M., Deijs,M., de Vries,M., Jebbink,M.F., Rebers,S., Molenkamp,R., van Hemert,F.J., Chung,K., Cotten,M., Snijders,F., Sol,C.J., van der Hoek,L.",2020-07-29T21:29:22.327Z,IAS virus,,Podoviridae,dsDNA,RefSeq,,1,Netherlands,,,feces,1994,,ASM344349v1
GCF_013348135.1,,"Guo,X.",2020-07-29T13:05:53.277Z,Bacillus phage Gxv1,Salasvirus,Podoviridae,dsDNA,RefSeq,,,,,Bacillus sp. (in: Bacteria),,,,ASM1334813v1
GCF_009932005.1,,"Shah Mahmud,R., Ulyanova,V., Mindubaeva,L., Markelova,M., Garifullina,K., Malanin,S., Doijad,S.P., Chakraborty,T., Ilinskaya,O.",2020-07-29T13:05:33.417Z,Bacillus virus SRT01hs,Salasvirus,Podoviridae,dsDNA,RefSeq,,,Russia: Republic of Tatarstan,,Bacillus safensis,,2015,,ASM993200v1
GCF_009673345.1,,"Batinovic,S., Rice,D., Beer,M., Petrovski,S.",2020-07-29T13:05:19.350Z,Bacillus phage vB_Bpu_PumA2,,Podoviridae,dsDNA,RefSeq,,,Australia,,Bacillus pumilus,,2017,,ASM967334v1
GCF_009673325.1,,"Batinovic,S., Rice,D., Beer,M., Petrovski,S.",2020-07-29T13:04:58.940Z,Bacillus phage vB_Bpu_PumA1,,Podoviridae,dsDNA,RefSeq,,,Australia,,Bacillus pumilus,,2017,,ASM967332v1
GCF_006869665.1,,"Sanders,K., Barth,R., Bowles,K., Glasgow,G., Gloe,M., Lewis,H., McGough,T., Nutbrown,S., Romulus,S., Sergiano,J., Shin,D., Suresh,M., Johnson,A., Temple,L.",2020-07-29T13:04:34.570Z,Bacillus phage Karezi,Salasvirus,Podoviridae,dsDNA,RefSeq,,,"USA: Harrisonburg, VA",VA,Bacillus thuringiensis serovar kurstaki,,2013-08-28,,ASM686966v1
GCF_004135245.1,,"Kong,L., Ding,Y., Wu,Q.",2020-07-29T13:04:20.877Z,Bacillus phage DK3,,Podoviridae,dsDNA,RefSeq,,,,,Bacillus cereus,,,,ASM413524v1
GCF_004135225.1,,"Kong,L., Ding,Y., Wu,Q.",2020-07-29T13:04:04.050Z,Bacillus phage DK2,,Podoviridae,dsDNA,RefSeq,,,,,Bacillus cereus,,,,ASM413522v1
GCF_004135185.1,,"Kong,L., Ding,Y., Wu,Q.",2020-07-29T13:03:47.873Z,Bacillus phage DK1,,Podoviridae,dsDNA,RefSeq,,,,,Bacillus cereus,,,,ASM413518v1
GCF_003614635.1,,"Schilling,T., Hoppert,M., Hertel,R.",2020-07-29T13:03:24.917Z,Bacillus phage vB_BthP-Goe4,,Podoviridae,dsDNA,RefSeq,,,,,Bacillus,,,SAMN07198486,ASM361463v1
GCF_002627245.1,,"Hertel,R., Schilling,T., Daniel,R.",2020-07-29T13:03:03.013Z,Bacillus phage vB_BveP-Goe6,Salasvirus,Podoviridae,dsDNA,RefSeq,,,,,Bacillus velezensis FZB42,,,SAMN07200655,ASM262724v1
GCF_002627325.1,,"Kassa,L., Himelright,M., Sutterfield,B., Lovrinic,A., McNeal,J., Shah,S., Todd,M., Temple,L.",2020-07-29T13:02:44.317Z,Bacillus phage KonjoTrouble,,Podoviridae,dsDNA,RefSeq,,,USA,,Bacillus,,2016-08-30,,ASM262732v1
GCF_002627305.1,,"Persinger,R., Himelright,M., Sutterfield,B., Davis,G., Huang,C., Martinez,E., Miscione,A., O'Neill,T., Temple,L.",2020-07-29T13:02:27.417Z,Bacillus phage Juan,,Podoviridae,dsDNA,RefSeq,,,USA,,Bacillus thuringiensis serovar kurstaki,,2016-09-29,,ASM262730v1
GCF_002755075.1,,"Paces,V., Vlcek,C., Urbanek,P., Hostomsky,Z.",2020-07-29T13:02:13.730Z,Bacillus virus phi29,Salasvirus,Podoviridae,dsDNA,RefSeq,,3,,,Bacillus subtilis,,,,ASM275507v1
GCF_002623485.1,,"Abille,Z., Afsharjavan,R., Alms,C.E., Anil,A., Azuma,E.A., Boateng,D., Bowden,K.V., Bui,Q., Callaghan,K.D., Canova,P.N., Carter,A.-G.V., Carty,B., Choudhary,A., Chugh,K., Clark,C.B., Clark,J., Cortez,R., Dalwadi,R.M., Daou,G., Das,M., Dasari,S., Davis,E.H., Defreitas,N., Demirji,J., Endres,C., Fakhar,S., Feeley,N., Flores,D.C., Fowler,A.R., George,T., Greis,H.L., Groleau,D.L., Gulati,J.K., Guzman,W., Hallworth,A.N., Hariri,A., Haya,V.N., Hoffman,A.K., Horne,B., Howard,T., Iglesia,A.J., Ijezie,O.D., Incognito,N.A., Inen,J.A., Jaiswal,A., Jezek,R.A., Kawa,A.C., Khan,F., Khin,A.C., Knapo,J., Kong,A.S., Le,B.Q., Le,Q.M., Le,T.-H.M., Lee,M., Lockwood,J.L., Loto-Rojas,G.S., Mantzavinos,A., Martinez,D.R., Meadows,A.R., Mehr,S., Mellon,M.N., Memon,S., Miller,B., Min,S., Mitchell,L.M., Mohamed,I.R., Mohammed,F.O., More,S., Muntaha,S., Nadeem,I., Ndjeumen-Njinguet,A.S., Ng,P., Ngu,V.E., Nguyen,B.N., OHern,C.T., Oboh,U.S., Pagano,C.W., Panakal,P.R., Park,D.A., Parsana,D., Patel,P., Patel,V.S., Patwardhan,V.M., Pawar,S.D., Payne,V.R., Petricel,I.M., Phillips,C., Puglisi,K.M., Ramaprasad,G., Raza,A.S., Rivera-Oven,A.G., Robins,E., Roeun,D.C., Rostovtseva,N., Sadat,M., Seas,A., So,E.J., Sogbesan,C., Strumsky,L.A., Sun,J.L., Sutherland,H.J., Tchakounte,I., Tewell,J.R., Thapa,D.J., Tkach,Y., Tran,C.D., Tran,V., Vithayathil,T., Vivekanandan,A., Wang,S.R., White,E., Yang,A.L., Ye,D.T., Yirenkyi,M., Zarb,J.S., Zhang,S., Zhou,M.T., Cao,A., Nguyen,K.M., Patel,K., Pennington,E., Sendze,O., Zahangir,S., Correa-Mendez,M., Fabian,M.F., Liu,S., Jethmalani,Y., Nunn,R., Prakash,A., Louise,T., Johnson,A., Erill,I., Caruso,S.M.",2020-07-29T12:56:38.570Z,Bacillus phage SerPounce,,Podoviridae,dsDNA,RefSeq,,,"USA: Ellicott City, MD",MD,Bacillus thuringiensis,,2016-09-14,,ASM262348v1
GCF_002601545.1,,"Hertel,R., Willms,I.M., Daniel,R.",2020-07-29T12:56:05.907Z,Bacillus phage vB_BsuP-Goe1,,Podoviridae,dsDNA,RefSeq,,,Germany,,Bacillus subtilis,,2014-11-01,,ASM260154v1
GCF_002755055.1,,"Castilla-Llorente,V., Salas,M., Meijer,W.J., Meijer,W.J.J.",2020-07-29T12:55:30.523Z,Bacillus phage Nf,,Podoviridae,dsDNA,RefSeq,,1,,,Bacillus,,,,ASM275505v1
