phage_id	Assembly.NCBI	SRA_Accession.NCBI	Submitters.NCBI	Release_Date.NCBI	Species.NCBI	Genus.NCBI	Family.NCBI	Molecule_type.NCBI	Sequence_Type.NCBI	Geo_Location.NCBI	USA.NCBI	Host.NCBI	Isolation_Source.NCBI	Collection_Date.NCBI	BioSample.NCBI	GenBank_Title.NCBI
PHAGE-0011	GCF_000837725.1		Plunkett,G. III, Rose,D.J., Durfee,T.J., Blattner,F.R.	2015-02-12T16:31:13.947Z	Escherichia virus 933W	Traversvirus	Podoviridae	dsDNA	RefSeq			Escherichia coli O157:H7 str. EDL933				ViralProj14043
PHAGE-0012	GCF_000837805.1		Luiten,R.G., Putterman,D.G., Schoenmakers,J.G., Konings,R.N., Day,L.A.	2015-02-12T16:31:25.923Z	Pseudomonas virus Pf3	Tertilicivirus	Inoviridae	ssDNA(+)	RefSeq			Pseudomonas aeruginosa				ViralProj14061
PHAGE-0013	GCF_000837885.1		Esposito,D., Fitzmaurice,W.P., Benjamin,R.C., Goodman,S.D., Waldman,A.S., Scocca,J.J., Huang,P.C.	2015-02-12T16:31:33.903Z	Haemophilus virus HP1	Hpunavirus	Myoviridae	dsDNA	RefSeq			Haemophilus influenzae				ViralProj14078
PHAGE-0014	GCF_000837965.1		Chandry,P.S., Moore,S.C., Boyce,J.D., Davidson,B.E., Hillier,A.J., Moore,M.C.	2015-02-12T16:31:41.800Z	Lactococcus virus sk1	Skunavirus	Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14096
PHAGE-0015	GCF_000838045.1		Chopin,A., Bolotin,A., Sorokin,A., Ehrlich,S.D., Chopin,M., Chopin,M.-C.	2015-02-12T16:31:54.997Z	Lactococcus phage bIL310		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. lactis Il1403				ViralProj14112
PHAGE-0016	GCF_000838065.1		Brondsted,L., Ostergaard,S., Pedersen,M., Hammer,K., Vogensen,F.K., Broendsted,L., Oestergaard,S., Christiansen,B., Johnsen,M.G., Madsen,P.L.	2015-02-12T16:31:57.563Z	Lactococcus phage TP901-1		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14116
PHAGE-0017	GCF_000838765.1		Crutz-Le Coq,A.M., Cesselin,B., Commissaire,J., Anba,J., Kyriakidis,S., Chopin,M.C.	2015-02-12T16:32:37.913Z	Lactococcus virus bIL170	Skunavirus	Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14087
PHAGE-0018	GCF_000838885.1		Chopin,A., Bolotin,A., Sorokin,A., Ehrlich,S.D., Chopin,M., Chopin,M.-C.	2015-02-12T16:32:45.827Z	Lactococcus phage bIL285		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. lactis Il1403				ViralProj14111
PHAGE-0019	GCF_000838905.1		Clark,A.J., Inwood,W., Cloutier,T., Dhillon,T.S., Inwood,W.B.	2015-02-12T16:32:47.027Z	Escherichia virus HK620	Lederbergvirus	Podoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14115
PHAGE-0020	GCF_000838985.1		van de Guchte,M., Daly,C., Fitzgerald,G.F., Arendt,E.K., van Sinderen,D., Seegers,J.F.M.L., McGrath,S.	2015-02-12T16:32:52.293Z	Lactococcus phage Tuc2009		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14131
PHAGE-0021	GCF_000839005.1		Zou,D., Kaneko,J., Narita,S., Kamio,Y., Kimura,T., Kawakami,Y., Tomita,T.	2015-02-12T16:32:53.580Z	Staphylococcus prophage phiPV83	Biseptimavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14135
PHAGE-0022	GCF_000839025.1		Chopin,A., Bolotin,A., Sorokin,A., Ehrlich,S.D., Chopin,M., Chopin,M.-C.	2015-02-12T16:32:56.267Z	Lactococcus phage bIL311		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. lactis Il1403				ViralProj14139
PHAGE-0023	GCF_000839445.1		Desiere,F., Lucchini,S., Brussow,H.	2015-02-12T16:33:17.053Z	Streptococcus virus Sfi19	Moineauvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj14045
PHAGE-0024	GCF_000839465.1		Stanley,E., Walsh,L., van der Zwet,A., Fitzgerald,G.F., van Sinderen,D., Le Marrec,C., Vlegels,E., Moineau,S., Heinze,P., Fitzgerald,G., Fayard,B.	2015-02-12T16:33:22.313Z	Streptococcus virus 7201	Moineauvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj14051
PHAGE-0025	GCF_000839905.1		Zimmer,M., Sattelberger,E., Inman,R.B., Calendar,R., Loessner,M.J.	2015-02-12T16:33:40.860Z	Listeria virus PSA	Psavirus	Siphoviridae	dsDNA	RefSeq			Listeria monocytogenes				ViralProj14142
PHAGE-0026	GCF_000840245.1		Chen,C.Y., Richardson,J.P., Peltz,S.W., Brown,A.L., Hasan,N., Podhajska,A.J., Szybalski,W., Coleclough,C., Erlitz,F.L., Place,N., Fien,K., Mahoney,M.E., Wulff,D.L., Ho,Y.S., Debouck,C., Rosenberg,M., Shih,M.C., Gussin,G.N., Frackman,S., Siegele,D.A., Feiss,M., Craig,N.L., Nash,H.A., Edlind,T.D., Cooley,T.E., Richards,S.H., Ihler,G.M., Warren,F., Das,A., Mahoney,M., Shatzman,A., Hohn,B., Taylor,A., Benedik,M., Campbell,A., Miwa,T., Matsubara,K., Mascarenhas,D., Luk,K.C., Kobayashi,I., Widner,W., Knight,D.M., Echols,H., Daniels,D.L., Schroeder,J.L., Sanger,F., Blattner,F.R., Coulson,A.R., Hong,G.F., Hill,D.F., Petersen,G.B., Kroger,M., Hobom,G., Landsmann,J., Lau,L.F., Roberts,J.W., Wu,R., Hawley,D.K., McClure,W.R., Moore,D.D., Hyman,H.C., Honigman,A., Kravchenko,V.V., Mikryukov,N.N., Drahos,D., Petrov,N.A., Karginov,V.A., Mikriukov,N.N., Serpinski,O.I., Remaut,E., Stanssens,P., Fiers,W., Ineichen,K., Shepherd,J.C., Bickle,T.A., Denniston,K.J., Horn,G.T., Wells,R.D., Abraham,J., Smith,G.R., Comb,M., Schultz,D.W., Miller,H.I., Court,D., Fischer,R., Galindo,J.M., Guarneros,G., Hernandez,T., Montanez,C., Schindler,D., Schmeissner,U., Sosa,L., Rosenvold,E.C., Calva,E., Burgess,R.R., Lieb,M., Rosen,E.D., Hartley,J.L., Matz,K., Nichols,B.P., Young,K.M., Donelson,J.E., Mizuuchi,M., Mizuuchi,K., Meyer,B.J., Maurer,R., Ptashne,M., Hsu,P.L., Ross,W., Landy,A., Hoess,R.H., Foeller,C., Bidwell,K., Davies,R.W., Brady,C., Behr,M., Izumi,S.U., Beher,M., Izumi,S., Beck,J., Shimatake,H., Crasemann,J.M., Pirrotta,V., Walz,A., Schwarz,E., Scherer,G., Kossel,H., Franklin,N.C., Bennett,G.N., Kikuchi,Y., Nash,H., Faulds,D.H., Sprague,K.U., Grosschedl,R., Lusky,M., Denniston-Thompson,K., Kruger,K.E., Furth,M.E., Williams,B.G., Sauer,R.T., Flashman,S.M., Schreier,P.H., Buchel,D.E., Adhya,S., Gottesman,M., Roberts,T.M., Humayun,Z., Jeffrey,A., Sklar,J.L., Backman,K., Humayun,M.Z., Meyer,B., Eisen,H., Reichardt,L., Hedgepeth,J., Dahlberg,J.E., Kleid,D.G., Agarwal,K.L., Khorana,H.G., Maniatis,T., Kield,D., Flashman,S., Sklar,J., Yot,P., Weissman,S.M., Weigel,P.H., Englund,P.T., Murray,K., Old,R.W., Imada,M., Tsugita,A., Lebowitz,P., Radding,C.M., Taylor,E.	2015-02-12T16:33:57.770Z	Escherichia virus Lambda	Lambdavirus	Siphoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14204
PHAGE-0027	GCF_000840305.1		Pecenkova,T., Benes,V., Paces,J., Vlcek,C., Paces,V.	2015-02-12T16:34:03.183Z	Bacillus virus B103		Podoviridae	dsDNA	RefSeq			Bacillus subtilis				ViralProj14216
PHAGE-0028	GCF_000840345.1		van Sinderen,D., Karsens,H., Kok,J., Terpstra,P., Ruiters,M.H., Venema,G., Nauta,A., Smit,E.	2015-02-12T16:34:04.510Z	Lactococcus phage r1t		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14225
PHAGE-0029	GCF_000840705.1		Desplats,C., Krisch,H.M., Dez,C., Tetart,F., Eleaume,H., Ang,D., Richardson,A., Mayer,M.P., Keppel,F., Krisch,H., Georgopoulos,C., Kutateladze,M., Monod,C., Ackermann,H.W., Klein,G., Repoila,F., Bertrand,C., Petrov,V., Nolan,J., Letarov,A., Chin,D., Karam,J.D., Letarov,A.V., Krisch,h.M., Tetart,P., Thiemer,C.A., Zhao,L., Arisaka,F., Ackermann,H.-W.	2015-02-12T16:34:22.473Z	Escherichia virus RB49	Krischvirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14301
PHAGE-0030	GCF_000840725.1		Summer,E.J., Peek,M.L., Haliburton,J.R., Hall,E., Heusinkveld,K., Simser,J., No,E.G., Gonzalez,C.F., Young,R.F., Peek,M., Verzosa,N.	2015-02-12T16:34:23.823Z	Burkholderia virus BcepNazgul	Nazgulvirus	Siphoviridae	dsDNA	RefSeq			Burkholderia cepacia				ViralProj14305
PHAGE-0031	GCF_000840945.1		Liu,J., Dehbi,M., Moeck,G., Arhin,F., Bauda,P., Bergeron,D., Callejo,M., Ferretti,V., Ha,N., Kwan,T., McCarty,J., Srikumar,R., Williams,D., Wu,J.J., Gros,P., Pelletier,J., DuBow,M., Dubow,M.	2015-02-12T16:34:32.057Z	Staphylococcus virus 77	Biseptimavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14352
PHAGE-0032	GCF_000841145.1		Stanley,E., Fitzgerald,G.F., Le Marrec,C., Fayard,B., van Sinderen,D.	2015-02-12T16:34:48.850Z	Streptococcus virus O1205	Brussowvirus	Siphoviridae	dsDNA	RefSeq			Streptococcus thermophilus				ViralProj14226
PHAGE-0033	GCF_000841245.1		Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.	2015-02-12T16:34:54.313Z	Staphylococcus virus 11	Phietavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus subsp. aureus NCTC 8325				ViralProj14246
PHAGE-0034	GCF_000841405.1		Elliott,J.M., Filippov,A.A., Kutyrev,V.V., Bobrov,A.G., Kirillina,O.A., Motin,V.L., Chain,P.S., Garcia,E.	2015-02-12T16:35:02.293Z	Yersinia virus L413C	Peduovirus	Myoviridae	dsDNA	RefSeq			Yersinia pestis				ViralProj14280
PHAGE-0035	GCF_000841525.1		Kim,S.-H., Isaacs,N., Marsh,T.L.	2015-02-12T16:35:07.950Z	Ralstonia phage p12J		Inoviridae	ssDNA(+)	RefSeq			Ralstonia pickettii				ViralProj14307
PHAGE-0036	GCF_000841645.1		Labrie,S., Moineau,S.	2015-02-12T16:35:16.300Z	Lactococcus phage ul36		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14331
PHAGE-0037	GCF_000841665.1		Pajunen,M.I., Elizondo,M.R., Skurnik,M., Kieleczawa,J., Molineux,I.J.	2015-02-12T16:35:16.380Z	Escherichia virus T3	Teetrevirus	Autographiviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14336
PHAGE-0038	GCF_000841865.1		Ford,M.E., Sarkis,G.J., Belanger,A.E., Hendrix,R.W., Hatfull,G.F.	2015-02-12T16:35:25.790Z	Mycobacterium virus D29	Fromanvirus	Siphoviridae	dsDNA	RefSeq			Mycobacterium tuberculosis				ViralProj14203
PHAGE-0039	GCF_000842085.1		Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.	2015-02-12T16:35:32.580Z	Staphylococcus virus 13	Biseptimavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus subsp. aureus NCTC 8325				ViralProj14248
PHAGE-0040	GCF_000842185.1		Vybiral,D., Takac,M., Loessner,M., Witte,A., von Ahsen,U., Blasi,U., Blaesi,U.	2015-02-12T16:35:38.760Z	Staphylococcus phage P68	Rosenblumvirus	Podoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14269
PHAGE-0041	GCF_000842485.1		Wang,P.W., Chu,L., Guttman,D.S.	2015-02-12T16:35:48.897Z	Pseudomonas virus D3112	Casadabanvirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj14334
PHAGE-0042	GCF_000842505.1		Chopin,A., Bolotin,A., Sorokin,A., Ehrlich,S.D., Chopin,M., Chopin,M.-C.	2015-02-12T16:35:48.957Z	Lactococcus phage bIL309		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. lactis Il1403				ViralProj14338
PHAGE-0043	GCF_000842565.1		Ventura,M., Canchaya,C., Pridmore,R.D., Brussow,H., Canchaya,C.A., Pridmore,D., Bruessow,H.	2015-02-12T16:35:51.167Z	Lactobacillus prophage Lj965		Siphoviridae	dsDNA	RefSeq			Lactobacillus johnsonii				ViralProj14351
PHAGE-0044	GCF_000842865.1		Williams,B.J., Golomb,M., Phillips,T., Brownlee,J., Olson,M.V., Smith,A.L.	2015-02-12T16:36:04.517Z	Haemophilus virus HP2	Hpunavirus	Myoviridae	dsDNA	RefSeq			Haemophilus influenzae				ViralProj14231
PHAGE-0045	GCF_000842945.1		Iandolo,J.J., Worrell,V., Groicher,K.H., Qian,Y., Tian,R., Kenton,S., Dorman,A., Ji,H., Lin,S., Loh,P., Qi,S., Zhu,H., Roe,B.A., Roe,B., Jia,H.	2015-02-12T16:36:07.983Z	Staphylococcus virus phi12	Triavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus subsp. aureus NCTC 8325				ViralProj14247
PHAGE-0046	GCF_000843045.1		Vybiral,D., Takac,M., Loessner,M., Witte,A., von Ahsen,U., Blasi,U., Blaesi,U.	2015-02-12T16:36:11.910Z	Staphylococcus virus 44AHJD	Rosenblumvirus	Podoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14268
PHAGE-0047	GCF_000843105.1		Trotter,M., McAuliffe,O., Callanan,M., Edwards,R., Fitzgerald,G.F., Coffey,A., Ross,R.P., Fitzgerald,G.	2015-02-12T16:36:15.333Z	Lactococcus phage P335 sensu lato		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis				ViralProj14281
PHAGE-0048	GCF_000843125.1		Creuzburg,K., Recktenwald,J., Kuhle,V., Herold,S., Hensel,M., Schmidt,H.	2015-02-12T16:36:15.413Z	Enterobacteria phage BP-4795		Siphoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14287
PHAGE-0049	GCF_000843165.1		Bensing,B.A., Siboo,I.R., Sullam,P.M., Rubens,C.E.	2015-02-12T16:36:25.050Z	Streptococcus phage SM1		Siphoviridae	dsDNA	RefSeq			Streptococcus mitis				ViralProj14295
PHAGE-0050	GCF_000843345.1		Garcia,E., Elliott,J.M., Ramanculov,E., Chain,P.S., Chu,M.C., Molineux,I.J.	2015-02-12T16:36:25.183Z	Yersinia phage phiA1122	Teseptimavirus	Autographiviridae	dsDNA	RefSeq			Yersinia pestis				ViralProj14332
PHAGE-0051	GCF_000843425.1		Ventura,M., Canchaya,C., Pridmore,R.D., Brussow,H., Canchaya,C.A., Pridmore,D., Bruessow,H.	2015-02-12T16:36:28.237Z	Lactobacillus prophage Lj928		Siphoviridae	dsDNA	RefSeq			Lactobacillus johnsonii				ViralProj14350
PHAGE-0052	GCF_000843485.1		Blatny,J.M., Godager,L., Lunde,M., Nes,I.F., Ventura,M., Rosenhaven,E.M., Risoen,P.A., Brussow,H., Lillehaug,D., Birkeland,N.K., Lonneborg,A.M., Lindqvist,B., Lunde,J.M., Birkeland,N.	2015-02-12T16:36:32.440Z	Lactococcus phage phiLC3		Siphoviridae	dsDNA	RefSeq			Lactococcus lactis subsp. cremoris				ViralProj14362
PHAGE-0053	GCF_000843545.1		Hu,F., Huang,J., Zhang,K., Tan,Y., Hu,X., Rao,X., Zhu,J., Jin,X.	2015-02-12T16:36:32.390Z	Pseudomonas phage PaP2		Podoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj14377
PHAGE-0054	GCF_000843605.1		Summer,E.J., Christian,B.N., Collins,J., Morrison,W., Patel,P., Wells,W., Mebane,L., Gonzalez,C.F., Young,R.F.	2015-02-12T16:36:33.960Z	Burkholderia virus BcepC6B	Ryyoungvirus	Podoviridae	dsDNA	RefSeq			Burkholderia cepacia				ViralProj14379
PHAGE-0055	GCF_000843665.1		Kaneko,J., Kimura,T., Narita,S., Tomita,T., Kamio,Y., Kawakami,Y.	2015-02-12T16:36:38.490Z	Staphylococcus phage PVL	Biseptimavirus	Siphoviridae	dsDNA	RefSeq			Staphylococcus aureus				ViralProj14392
PHAGE-0056	GCF_000844165.1		Lobocka,M.B., Rose,D.J., Plunkett,G. III, Rusin,M., Samojedny,A., Lehnherr,H., Yarmolinsky,M.B., Blattner,F.R.	2015-02-12T16:36:57.397Z	Escherichia virus P1	Punavirus	Myoviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14493
PHAGE-0057	GCF_000844345.1		Braid,M.D., Silhavy,J.L., Kitts,C.L., Cano,R.J., Howe,M.M.	2015-02-12T16:37:04.843Z	Pseudomonas virus B3	Beetrevirus	Siphoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa PAO1				ViralProj14542
PHAGE-0058	GCF_000844585.1		Summer,E.J., Gonzalez,C.F., Bomer,M., Carlile,T., Embry,A., Kucherka,A.M., Lee,J., Mebane,L., Morrison,W.C., Mark,L., King,M.D., LiPuma,J.J., Vidaver,A.K., Young,R., Bomer,M.L., Bean,E.D., Embry,A.E., Mebane,L.M., Tsou,L.L., No,E.G., Young,R.F.	2015-02-12T16:37:16.470Z	Burkholderia virus Bcep43	Naesvirus	Myoviridae	dsDNA	RefSeq			Burkholderia cepacia				ViralProj14411
PHAGE-0059	GCF_000844605.1		Nakayama,K., Kanaya,S., Ohnishi,M., Terawaki,Y., Hayashi,T., Matsumoto,H., Kamio,Y., Hishinuma,F., Usami,Y., Titani,K.	2015-02-12T16:37:16.523Z	Pseudomonas virus phiCTX	Citexvirus	Myoviridae	dsDNA	RefSeq			Pseudomonas aeruginosa				ViralProj14415
PHAGE-0060	GCF_000844825.1		Cheng,X., Zhang,X., Pflugrath,J.W., Studier,F.W., Liu,Q., Richardson,C.C., Mendelman,L.V., Notarnicola,S.M., Rosenberg,A.H., Patel,S.S., Johnson,K.A., Lin,L., Condron,B.G., Atkins,J.F., Gesteland,R.F., Beck,P.J., Gonzalez,S., Ward,C.L., Molineux,I.J., Casjens,S., Eppler,K., Parr,R., Poteete,A.R., Schmitt,C.K., Condreay,J.P., Huber,H.E., Beauchamp,B.B., Moffatt,B.A., Prosen,D.E., Cech,C.L., Dunn,J.J.	2015-02-12T16:37:30.110Z	Escherichia virus T7	Teseptimavirus	Autographiviridae	dsDNA	RefSeq			Escherichia coli				ViralProj14460
PHAGE-0061	GCF_000844925.1		Miyamoto,H., Nakai,W., Yajima,N., Fujibayashi,A., Higuchi,T., Sato,K., Matsushiro,A.	2015-02-12T16:37:35.200Z	Enterobacteria phage VT2-Sakai	Traversvirus	Podoviridae	dsDNA	RefSeq			Escherichia coli O157:H7				ViralProj14480
