Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014982-AKE	S700016069-AKE	S700016160-AKE	S700016325-AKE	S700016366-AKE	S700016582-AKE	S700016637-AKE	S700016939-AKE	S700021866-AKE	S700021904-AKE	S700023003-AKE	S700023086-AKE	S700023220-AKE	S700023253-AKE	S700023410-AKE	S700023467-AKE	S700023521-AKE	S700023568-AKE	S700023778-AKE	S700023835-AKE	S700023892-AKE	S700023958-AKE	S700024015-AKE	S700024056-AKE	S700024119-AKE	S700024177-AKE	S700024223-AKE	S700024282-AKE	S700024330-AKE	S700024369-AKE	S700024423-AKE	S700024482-AKE	S700024531-AKE	S700024578-AKE	S700024627-AKE	S700024663-AKE	S700024723-AKE	S700024780-AKE	S700024817-AKE	S700024894-AKE	S700024938-AKE	S700024988-AKE	S700033008-AKE	S700033171-AKE	S700033465-AKE	S700033767-AKE	S700037064-AKE	S700037212-AKE	S700037460-AKE	S700037572-AKE	S700037724-AKE	S700038043-AKE	S700038239-AKE	S700038376-AKE	S700038462-AKE	S700038510-AKE	S700038558-AKE	S700038606-AKE	S700038714-AKE	S700038773-AKE	S700038990-AKE	S700095390-AKE	S700095447-AKE	S700097271-AKE	S700097331-AKE	S700097668-AKE	S700098307-AKE	S700098399-AKE	S700098972-AKE	S700099039-AKE	S700099099-AKE	S700099627-AKE	S700099783-AKE	S700100267-AKE	S700101675-AKE	S700102279-AKE	S700102625-AKE	S700102942-AKE	S700103317-AKE	S700103458-AKE	S700103597-AKE	S700103633-AKE	S700103684-AKE	S700105077-AKE	S700105136-AKE	S700105193-AKE	S700105250-AKE	S700105384-AKE	S700105429-AKE	S700105504-AKE	S700105602-AKE	S700105658-AKE	S700105697-AKE	S700105818-AKE	S700105868-AKE	S700105916-AKE	S700105948-AKE	S700106372-AKE	S700106424-AKE	S700106532-AKE	S700106591-AKE	S700106627-AKE	S700106675-AKE	S700106849-AKE	S700106888-AKE	S700106958-AKE	S700113083-AKE	S700113130-AKE	S700113515-AKE	S700113590-AKE	S700113628-AKE	S700113686-AKE	S700113830-AKE	S700113944-AKE	S700114029-AKE	S700114137-AKE	S700114201-AKE	S700114258-AKE	S700114399-AKE	S700114470-AKE	S700114529-AKE	S700114570-AKE	S700114627-AKE	S700114691-AKE	S700114739-AKE	S700114789-AKE	S700114846-AKE	S700114894-AKE	S700114951-AKE	S700114999-AKE	S700116229-AKE	S700116316-AKE	S700116370-AKE	S700116580-AKE	S700116631-AKE	S700116790-AKE	S700116850-AKE	S700117012-AKE	S700117672-AKE	S700117729-AKE	S700117840-AKE	S700117966-AKE	S700118450-AKE
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family				1.023	0.76	0.474	0.0	0.82	0.995	0.198	0.156	5.965	0.658	0.605	1.63	0.207	1.158	0.018	0.447	1.227	0.351	1.027	0.888	0.593	2.034	2.552	0.278	1.342	0.833	0.249	0.763	0.277	2.434	0.402	2.402	2.815	2.58	0.968	0.976	2.848	0.656	0.661	0.551	1.275	0.615	2.404	0.527	1.402	0.914	0.465	0.177	5.561	0.976	1.393	1.863	0.413	0.495	1.224	3.068	0.409	2.933	0.461	0.0	0.828	0.73	2.211	0.782	1.85	0.132	0.09	3.575	7.018	0.318	1.861	1.945	0.603	0.552	0.342	0.887	1.598	0.719	0.123	0.161	1.548	3.929	8.731	1.324	0.228	1.318	0.827	7.231	1.151	1.047	2.008	0.089	1.18	0.288	0.62	1.091	0.22	1.186	4.397	0.53	0.387	0.448	0.351	0.671	0.469	0.132	0.038	3.357	0.016	1.937	0.86	0.517	0.663	0.54	0.574	0.204	1.342	0.562	0.719	0.187	1.26	0.823	0.633	1.84	1.132	2.391	0.0	0.776	1.496	1.036	0.243	0.66	2.567	1.728	0.039	0.091	1.584	0.157	0.159	2.397	2.845	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family				0.72	0.574	1.671	1.716	8.518	3.823	7.967	4.486	9.259	22.226	6.245	5.93	9.765	2.479	2.28	8.681	1.864	13.414	10.341	14.56	6.364	0.036	9.864	20.51	6.456	5.05	2.172	2.178	2.772	5.914	9.516	5.022	1.456	0.457	9.02	0.801	1.672	2.852	0.984	7.225	0.737	4.223	3.229	3.659	4.858	12.439	0.049	9.507	3.396	6.704	8.579	1.24	7.411	8.213	3.042	7.642	7.333	11.022	6.937	0.158	16.753	3.68	0.27	7.822	1.077	2.346	5.925	3.9	1.4	3.018	3.634	2.672	2.534	1.163	0.274	6.108	8.297	2.587	2.469	11.217	7.895	5.058	7.211	14.233	4.423	3.259	10.081	0.184	2.326	13.964	5.754	6.446	8.413	3.524	9.228	5.309	7.198	3.501	0.432	1.589	4.733	1.133	10.401	8.691	4.096	22.32	3.995	3.033	0.47	4.144	1.7	8.777	5.661	4.721	1.586	0.774	2.086	6.145	4.843	6.365	0.081	3.85	14.529	11.003	6.362	2.305	6.056	2.605	8.418	6.194	1.717	7.448	0.455	1.807	0.216	1.082	1.298	1.688	3.123	5.808	13.289	9.376	2.907
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family				0.0	0.0	0.0	0.0	0.015	0.0	0.023	0.0	0.0	0.0	0.0	1.53	0.019	0.012	0.0	0.079	0.0	0.073	0.0	0.0	0.438	0.0	1.468	0.036	0.075	0.0	0.059	0.0	0.0	3.038	0.0	0.086	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.028	0.0	0.007	0.601	0.147	0.819	0.051	0.228	0.0	0.975	0.258	0.0	0.417	0.0	0.01	0.426	1.695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.01	0.0	0.0	0.053	0.0	0.02	0.0	0.181	0.022	0.0	2.469	0.252	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.062	0.0	0.14	0.048	0.0	0.159	0.01	0.0	0.627	0.118	0.013	0.0	0.0	0.031	5.761	0.004	0.024	0.0	0.168	0.0	0.064	0.0	0.018	0.097	0.26	2.958	0.095	0.0	0.258	0.103	0.153	0.0	0.13	0.0	0.0	0.13	0.009	0.0	0.0	0.263	0.02	0.008	0.036	0.0	0.063	0.0	0.082	0.0	0.0	0.048	0.101	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family				10.207	0.321	2.868	0.054	15.73	7.096	10.344	3.056	0.512	0.061	0.0	1.983	0.169	0.137	0.036	1.221	5.506	7.534	9.122	1.391	5.514	0.178	4.267	0.35	3.296	0.397	1.472	0.022	0.218	0.221	5.689	0.897	5.63	0.514	1.95	0.029	0.618	1.084	1.777	5.907	4.716	0.68	1.351	4.229	0.492	0.734	1.884	11.209	0.269	5.394	0.219	0.419	1.743	0.362	0.355	1.177	1.781	1.395	0.802	0.0	0.627	4.944	0.09	2.816	3.354	0.589	1.645	0.135	6.188	1.807	0.103	0.021	0.03	0.158	0.297	0.805	7.356	2.344	0.288	3.9	0.688	1.577	3.908	2.681	1.721	1.167	1.37	0.042	0.083	5.811	0.191	5.659	0.405	0.456	0.248	0.312	0.453	5.057	4.725	0.555	2.057	5.472	4.061	2.488	7.619	1.583	0.19	1.413	0.016	1.635	0.3	0.534	2.43	0.14	0.337	0.149	3.208	1.146	9.764	4.616	0.022	0.229	6.588	1.02	4.098	4.584	0.899	5.627	11.434	0.319	4.164	5.298	0.0	3.174	0.02	1.037	0.062	1.992	5.755	1.724	0.345	0.019	0.104
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family				37.911	72.311	32.836	96.132	42.9	25.884	67.313	57.246	74.227	73.777	58.92	69.704	84.021	50.42	96.541	50.73	32.975	26.696	11.334	54.616	58.219	60.48	45.985	74.408	46.55	56.464	22.988	82.218	83.465	27.034	8.846	61.65	33.745	46.863	21.25	32.053	69.515	35.095	47.069	36.29	39.619	58.109	66.938	38.567	25.23	50.461	51.632	50.087	37.312	36.22	50.515	42.969	66.222	64.652	44.814	49.245	29.776	54.611	50.149	93.603	58.34	71.43	66.099	43.691	53.725	64.523	61.403	67.868	54.051	47.316	63.404	60.31	77.312	68.819	60.903	76.22	17.884	48.672	36.312	26.905	56.751	48.12	28.711	60.767	90.949	74.374	78.971	75.687	62.636	72.878	22.982	37.783	31.911	76.142	82.022	76.101	64.128	18.135	33.082	83.077	38.914	49.258	23.643	34.728	38.55	60.108	73.8	44.068	94.04	52.318	75.603	46.843	26.478	45.662	60.272	11.356	25.745	54.348	47.326	66.714	66.194	43.933	11.234	37.566	55.801	44.986	58.836	22.269	50.544	55.254	34.704	60.259	59.083	33.728	73.153	39.801	44.052	36.12	28.99	49.735	55.125	88.783	81.38
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family				0.073	0.022	0.138	0.0	0.038	0.0	0.03	0.013	0.184	0.0	0.238	0.101	0.0	0.199	0.0	0.0	0.01	0.044	0.023	0.024	0.064	0.0	0.041	0.0	0.686	0.0	2.86	0.0	0.119	0.206	0.0	0.007	0.084	0.014	0.279	0.321	0.121	0.0	0.044	0.0	0.0	0.032	0.011	0.028	0.384	0.117	0.049	0.048	0.077	0.122	0.172	0.121	0.516	0.305	0.301	0.0	0.0	0.024	0.355	0.0	0.0	0.028	0.018	0.072	0.0	0.088	0.0	0.163	0.07	0.596	0.0	0.0	0.151	0.0	0.0	0.099	0.022	0.0	0.727	0.103	0.774	0.034	0.016	0.114	0.028	0.081	0.0	0.2	1.72	0.0	0.861	0.279	1.215	0.192	0.159	0.021	0.385	0.043	0.0	0.076	0.278	1.014	0.109	0.327	0.0	0.0	0.202	0.026	0.0	0.0	0.0	0.0	0.166	0.1	0.562	1.005	0.073	0.011	0.051	0.017	0.007	0.511	0.0	0.139	0.052	0.803	1.372	0.378	0.403	0.159	0.0	0.045	0.0	0.126	0.0	0.791	0.07	0.115	0.428	0.028	0.066	0.038	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.036	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.013	0.057	0.103	0.0	0.0	0.0	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.009	0.009	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.079	0.014	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.016	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.026	0.0	0.031	0.0	0.039	0.019	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.015	0.0	0.0	0.008	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.079	0.04	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family				0.125	0.052	0.026	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.424	0.0	0.0	0.01	0.0	0.677	0.0	0.0	0.018	0.0	0.0	0.03	0.0	0.51	0.0	0.0	0.044	0.022	0.007	0.012	0.008	20.467	0.0	0.0	0.0	0.0	0.0	0.0	0.437	0.0	0.0	4.184	0.0	0.049	0.0	0.038	0.0	0.219	0.209	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.238	0.0	0.0	0.0	0.0	0.0	0.016	0.898	0.0	0.096	0.011	0.0	0.396	0.049	0.013	0.0	0.0	0.0	0.0	1.448	0.0	1.275	0.19	0.167	0.024	0.0	0.0	0.027	0.009	0.0	0.0	0.031	0.009	0.008	0.074	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.342	0.028	0.0	0.022	2.689	0.146	0.0	0.0	0.0	0.0	0.427	1.636	0.0	0.0	0.0	0.158	0.02	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.728	0.008	0.063	0.317	0.018	0.015	0.019	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				14.611	8.954	5.375	1.377	6.392	18.094	0.556	5.422	0.768	0.207	0.065	0.025	0.339	0.523	0.0	0.236	0.309	6.729	3.601	0.264	16.207	5.566	2.483	0.012	1.908	3.728	7.975	0.37	0.515	10.634	10.23	0.066	0.445	12.318	5.916	9.588	2.17	15.816	17.11	19.94	11.28	7.102	1.385	14.453	1.381	5.513	25.294	7.564	9.47	0.61	3.898	3.257	1.743	3.049	1.524	0.444	16.922	1.774	15.641	0.045	0.267	1.18	1.402	0.289	1.87	16.49	2.546	0.244	0.37	15.806	2.008	0.064	4.977	1.085	0.867	2.151	2.507	1.205	16.189	7.375	13.485	2.714	2.158	4.406	0.512	4.092	0.74	6.204	19.02	1.078	18.569	17.536	13.763	2.757	0.443	1.236	1.264	0.978	2.133	2.168	10.565	23.835	6.794	23.38	2.385	0.336	5.551	6.817	0.141	0.222	0.86	3.425	5.357	5.301	4.083	5.651	10.904	1.966	0.668	8.215	2.16	8.668	6.763	3.043	3.018	3.133	10.172	4.872	0.888	0.827	19.856	2.391	0.766	10.668	0.745	5.667	5.656	17.715	10.399	4.739	6.601	0.17	2.419
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				7.462	0.999	2.105	0.054	0.38	0.092	0.358	0.039	0.408	0.0	0.065	2.499	0.056	5.481	0.0	0.026	2.927	13.078	5.035	0.6	0.709	0.339	2.895	0.048	5.392	0.952	6.349	1.066	0.851	12.286	14.224	2.917	8.855	0.517	2.228	8.903	1.281	0.499	2.6	0.067	0.433	1.181	0.061	0.057	11.205	0.687	0.391	0.369	3.473	2.538	1.409	4.149	1.317	0.095	2.42	0.618	0.257	1.679	6.164	0.0	0.027	1.067	2.606	1.504	0.508	0.009	0.135	0.054	0.11	0.894	0.953	0.577	1.599	0.256	0.274	0.624	0.58	0.708	8.053	6.893	1.754	2.395	0.768	2.554	0.043	2.947	0.173	3.357	2.254	0.484	4.622	3.718	16.17	1.774	0.673	1.371	0.907	1.745	0.039	0.744	1.114	0.493	6.403	2.872	0.075	0.084	0.025	2.644	0.047	5.001	0.04	2.181	0.538	8.622	1.293	27.723	3.122	0.112	0.385	0.136	0.066	3.049	6.086	3.984	0.585	6.741	2.255	12.01	3.716	0.518	0.031	0.232	0.476	1.948	0.0	3.402	10.763	2.631	3.535	2.627	0.742	0.113	0.218
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.24	0.052	0.158	0.0	0.091	0.013	0.091	0.065	0.224	0.0	0.0	0.308	0.0	2.666	0.0	0.066	0.019	0.102	0.011	0.36	0.245	0.303	0.151	0.0	0.136	0.0	13.826	0.0	0.099	1.755	0.022	0.251	0.253	0.125	0.557	0.175	0.331	0.014	0.073	0.0	0.094	0.582	0.028	0.028	2.682	0.109	0.294	0.225	0.051	0.228	1.863	0.623	0.516	0.191	2.734	0.058	0.01	0.118	0.035	0.0	0.013	0.0	0.144	0.361	0.0	0.061	0.0	0.027	0.06	4.17	0.161	0.278	0.0	0.02	0.0	0.115	0.558	0.011	0.494	0.413	6.794	0.526	0.147	0.02	0.0	0.092	0.0	0.476	0.059	0.016	11.619	0.0	3.73	0.0	0.053	0.0	1.635	0.171	0.0	0.101	0.247	0.502	0.141	0.475	0.004	0.0	0.038	0.868	0.219	3.381	0.16	0.026	0.193	0.92	0.99	4.102	0.012	0.281	0.039	0.085	0.0	1.182	0.0	0.096	0.13	0.147	2.618	1.452	0.156	0.09	0.031	0.107	0.207	0.047	0.0	1.646	0.131	0.073	0.174	0.387	0.47	0.151	0.313
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089	0.013	0.0	0.0	0.0	0.0	0.069	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.269	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.533
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.01	0.0	0.0	0.014	0.008	0.0	0.0	0.091	0.056	0.012	0.13	0.101	0.0	0.062	0.089	0.079	0.039	0.073	0.0	0.096	0.026	0.036	0.137	0.012	0.219	0.172	0.047	0.55	0.178	0.133	0.011	0.007	0.036	0.324	0.013	0.0	0.0	0.0	0.015	0.0	0.012	0.146	0.006	0.0	0.013	0.148	1.223	0.0	0.359	0.033	0.204	12.206	0.297	0.152	12.441	0.077	0.01	0.0	0.298	0.0	0.0	0.0	0.0	0.349	0.0	0.009	0.068	0.0	0.0	0.02	0.0	0.192	0.0	0.296	0.046	0.066	0.0	0.0	0.604	0.218	0.0	1.818	0.0	0.033	0.028	0.035	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.195	0.031	1.387	0.482	0.144	0.038	0.0	0.311	0.062	0.245	0.012	0.192	0.0	0.026	0.11	0.095	0.08	0.131	0.221	0.0	3.273	0.0	0.0	0.135	0.077	0.017	0.081	0.61	0.0	0.07	0.065	0.0	0.3	0.0	0.008	0.06	0.102	0.009	0.207	0.0	0.0	0.109	0.201	0.021	0.032	0.009	0.037	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.019	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.258	0.0	0.0	0.036	0.0	0.0	0.071	0.022	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.015	0.014	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.462	0.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468	0.065	0.016	0.0	0.0	0.026	0.456	0.02	0.0	0.041	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.0	0.0	0.026	0.158	0.0	0.049	2.539	0.039	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.044	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				0.313	0.007	0.039	0.034	0.046	0.0	0.069	1.209	1.047	0.073	0.022	8.178	0.132	1.071	0.018	1.235	13.011	0.351	9.596	10.482	0.103	4.264	1.056	0.314	10.98	8.818	0.997	1.729	0.376	5.87	6.091	5.8	4.103	1.256	0.0	0.423	0.588	10.91	0.0	1.452	0.831	5.873	0.759	0.342	0.047	0.64	5.088	1.574	1.768	18.664	0.971	5.318	0.826	2.325	16.836	4.882	0.457	4.186	5.036	0.0	0.414	3.596	0.288	0.566	2.297	0.009	1.825	0.108	0.02	0.099	1.509	14.814	0.121	0.079	18.279	1.051	14.032	8.326	6.585	0.493	1.737	17.586	1.39	5.322	0.583	0.058	0.062	0.033	0.403	1.109	8.416	0.013	4.647	0.024	3.011	0.779	9.725	22.278	32.548	0.567	0.108	0.265	6.567	1.956	0.37	0.959	0.013	4.601	0.11	1.413	3.821	7.603	1.284	4.101	5.736	1.195	5.806	15.369	0.424	0.034	0.403	11.397	7.766	8.221	1.704	0.0	0.505	8.153	0.025	14.629	0.055	0.054	6.025	1.65	0.059	2.228	4.69	0.157	5.168	0.664	0.206	0.019	0.305
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				1.764	7.515	2.737	0.0	0.0	0.118	0.008	0.078	0.032	0.012	0.0	0.094	0.038	0.361	0.0	0.026	0.261	0.863	3.635	0.096	0.155	12.096	0.604	0.0	0.437	3.741	3.133	0.011	0.238	0.457	0.335	0.178	1.083	5.179	11.354	15.314	1.974	2.924	1.41	0.033	0.023	3.187	0.0	0.057	22.795	0.266	0.171	0.0	9.726	0.423	12.884	0.204	0.116	0.21	0.219	0.965	1.124	0.615	0.915	0.0	0.053	0.225	0.557	0.012	0.041	0.07	0.203	0.027	0.04	3.058	0.147	0.086	4.163	0.0	0.0	0.197	2.704	0.387	1.152	0.057	0.155	3.214	6.802	1.163	0.284	0.023	0.012	1.194	6.656	0.937	2.996	4.669	2.419	1.391	0.407	0.519	1.113	1.704	0.013	0.189	17.865	2.576	1.655	1.146	0.021	0.012	0.101	0.272	0.063	0.619	0.0	1.244	0.11	0.42	0.427	9.875	5.001	0.124	0.694	0.034	0.0	1.509	3.163	1.761	0.026	0.829	0.473	2.068	0.493	0.149	0.227	0.018	2.153	0.141	0.0	2.601	3.067	3.459	1.062	0.23	0.154	0.019	0.078
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family				0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.529	0.0	0.0	0.027	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.039	0.0	0.524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.873	0.0	0.0	0.028	0.007	0.019	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				6.506	4.621	3.23	0.273	7.365	9.335	3.69	18.7	2.786	1.28	33.193	5.487	4.464	22.998	0.448	3.328	6.144	2.327	2.541	8.828	0.954	11.902	5.723	2.882	5.546	10.247	0.084	6.366	4.396	4.81	1.339	7.982	7.749	20.87	0.942	6.399	12.917	6.548	0.134	4.09	3.547	3.321	21.935	0.618	3.568	15.563	0.202	1.174	17.109	3.346	5.809	5.271	9.917	1.182	7.343	4.788	4.525	9.013	0.922	0.06	1.759	8.739	22.668	27.886	9.886	7.821	7.757	21.406	24.265	7.212	22.88	12.349	2.778	21.991	14.77	4.257	1.818	14.011	2.486	0.541	0.835	1.036	5.315	0.485	0.121	2.995	2.705	0.39	0.0	0.333	0.608	0.029	0.048	0.723	0.213	8.138	0.144	0.493	6.18	5.236	1.411	1.081	0.174	0.067	0.154	4.728	3.037	7.837	3.029	12.184	4.373	10.621	14.348	15.09	1.982	0.231	3.32	3.545	8.79	2.82	28.358	2.244	5.389	11.772	8.29	8.117	2.479	5.351	9.218	13.547	2.631	2.732	26.403	15.29	23.593	0.176	8.958	0.568	6.584	9.766	1.009	0.083	3.443
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family				0.0	0.015	0.125	0.0	0.023	0.0	0.008	0.0	0.224	0.0	0.0	0.025	0.019	0.61	0.0	7.0	9.147	0.029	1.908	0.096	0.129	0.0	0.014	0.0	2.029	0.0	1.923	0.0	0.0	0.192	0.335	0.026	12.584	0.0	0.027	0.117	0.015	0.029	0.0	0.067	0.0	0.0	0.0	0.0	0.108	4.35	0.269	0.016	0.013	0.081	0.063	0.915	0.052	1.391	0.314	0.0	0.076	0.047	0.149	0.656	0.013	0.0	0.036	0.0	1.138	0.079	0.0	0.027	0.01	0.139	0.0	0.021	0.0	0.039	0.0	0.016	0.23	0.022	0.288	0.057	0.043	0.009	0.965	0.02	0.0	0.035	0.037	1.002	0.154	0.0	2.502	0.216	1.227	0.0	0.0	0.0	1.168	0.113	0.0	0.013	0.263	0.128	0.016	0.196	0.253	0.348	0.013	0.026	0.0	1.048	0.14	0.044	0.552	0.18	0.067	9.332	0.0	0.079	0.026	0.017	0.0	1.372	2.64	0.0	0.0	0.0	0.363	0.278	0.682	0.07	0.259	0.268	0.0	0.0	0.0	1.965	0.031	0.084	1.094	0.009	0.029	0.0	0.0
