Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015003-LAF	S700015295-LAF	S700015971-LAF	S700016092-LAF	S700016174-LAF	S700016229-LAF	S700016658-LAF	S700021830-LAF	S700023013-LAF	S700023108-LAF	S700023273-LAF	S700023426-LAF	S700023483-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023660-LAF	S700023794-LAF	S700023851-LAF	S700023908-LAF	S700023942-LAF	S700023993-LAF	S700024260-LAF	S700024312-LAF	S700024431-LAF	S700024515-LAF	S700024560-LAF	S700024609-LAF	S700024705-LAF	S700024835-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032119-LAF	S700033029-LAF	S700033185-LAF	S700033713-LAF	S700033781-LAF	S700034688-LAF	S700034889-LAF	S700037022-LAF	S700037048-LAF	S700037116-LAF	S700037169-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037554-LAF	S700037706-LAF	S700037783-LAF	S700037840-LAF	S700037874-LAF	S700037922-LAF	S700038027-LAF	S700038152-LAF	S700038360-LAF	S700038408-LAF	S700038478-LAF	S700038526-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038896-LAF	S700038944-LAF	S700038972-LAF	S700095267-LAF	S700095404-LAF	S700095461-LAF	S700097285-LAF	S700097345-LAF	S700097682-LAF	S700098413-LAF	S700098593-LAF	S700098986-LAF	S700099053-LAF	S700099113-LAF	S700099797-LAF	S700099854-LAF	S700100073-LAF	S700100281-LAF	S700101185-LAF	S700101398-LAF	S700101632-LAF	S700101689-LAF	S700102293-LAF	S700102407-LAF	S700102639-LAF	S700102956-LAF	S700103267-LAF	S700103647-LAF	S700105007-LAF	S700105169-LAF	S700105898-LAF	S700106320-LAF	S700106510-LAF	S700106567-LAF	S700106689-LAF	S700106717-LAF	S700106924-LAF	S700106972-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113741-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114345-LAF	S700114413-LAF	S700114511-LAF	S700114584-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116281-LAF	S700116384-LAF	S700116804-LAF	S700117220-LAF	S700117631-LAF	S700117688-LAF	S700117854-LAF	S700118464-LAF	S700122398-LAF	S700161500-LAF	S700161624-LAF	S700161730-LAF	S700161844-LAF	S700163547-LAF	S700163654-LAF	S700163760-LAF	S700164076-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164544-LAF	S700164761-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165193-LAF	S700165402-LAF	S700165660-LAF	S700165708-LAF	S700165804-LAF	S700165901-LAF	S700171108-LAF	S700171141-LAF	S700171416-LAF	S700171519-LAF	S700171567-LAF	S700171620-LAF	S700171722-LAF	S700171922-LAF	S700172056-LAF	S700172647-LAF	S700173018-LAF	S700173066-LAF	S700173315-LAF	S700173476-LAF	S700173622-LAF	S700173826-LAF
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae	family				2.373	0.0	0.0	0.0	0.03	0.0	0.047	0.0	6.378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.433	0.0	0.0	0.0	0.057	0.53	1.738	0.0	0.0	0.0	0.0	0.0	0.24	0.108	0.0	0.129	2.571	0.051	0.139	0.0	0.323	0.776	0.0	0.0	0.665	0.0	0.0	0.0	0.35	0.864	0.151	0.0	0.0	0.0	1.252	0.0	0.533	0.0	0.0	0.304	0.0	0.0	0.108	0.028	0.0	0.0	0.214	0.13	0.0	0.0	0.137	0.212	0.0	0.459	0.614	1.497	0.0	0.825	0.21	1.124	0.0	0.334	0.085	0.479	0.264	0.0	0.0	0.0	0.411	0.733	0.0	0.0	0.282	3.282	0.0	12.173	2.598	0.0	0.0	0.0	0.0	0.0	0.897	1.058	0.324	0.051	0.0	0.0	0.074	0.071	1.403	0.218	0.0	1.516	0.0	0.889	0.214	0.0	0.0	0.051	0.106	0.358	0.903	0.143	0.028	5.003	2.049	0.0	0.261	0.0	1.122	0.0	0.0	1.58	0.0	0.676	0.0	1.168	0.0	0.146	0.511	0.0	0.076	0.0	0.223	0.0	0.0	0.116	0.231	1.498	0.384	0.184	0.024	0.079	1.918	0.714	0.401	0.298	0.0	0.752	0.047	1.271	0.0	0.163	0.0	0.507	0.0	0.412	0.0	0.0	0.481	0.225	0.131	0.311	0.022	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family				0.458	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.075	0.0	0.697	0.0	0.115	0.0	0.0	0.0	0.051	0.0	0.0	0.129	0.0	0.009	0.0	0.0	0.0	0.0	0.015	0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.187	0.0	0.0	0.0	1.771	0.009	0.0	0.0	0.0	0.672	0.0	0.0	0.0	0.0	0.354	0.0	0.085	0.137	0.0	0.0	0.148	0.0	0.102	0.0	0.0	0.368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.151	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.439	0.381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.053	0.0	0.0	0.059	0.026	0.0	0.0	0.619	0.0	0.0	1.437	0.0	0.046	0.169	0.0	0.0	0.0	0.0	0.033	0.043	0.0	0.0	0.024	0.04	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.196	0.0	0.0	0.0	0.579	2.597	0.0	0.0	0.36	0.0	0.18	0.0	0.025	0.0	0.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae	family				0.0	0.0	0.589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.216	0.0	0.202	0.098	0.0	0.0	1.779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.144	0.0	0.0	1.098	0.0	0.0	0.0	0.0	0.0	0.134	0.021	0.16	0.979	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.261	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.336	2.128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.107	0.336	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.421	0.95	0.066	0.128	0.0	2.45	0.0	0.119	0.436	0.0	0.017	1.19	0.0	0.0	0.0	0.0	0.0	0.224	0.145	0.0	7.902	0.0	0.0	0.799	0.0	0.075	0.0	0.025	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae	family				0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.015	0.0	0.0	0.0	0.0	0.128	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.02	0.0	0.025	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.128	0.0	0.273	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.001	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family				0.0	0.0	0.207	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.0	0.0	2.423	3.235	0.0	2.126	0.458	0.707	1.088	0.0	0.0	0.0	0.1	0.381	2.527	0.0	0.0	0.054	3.398	0.711	0.228	0.0	0.0	0.0	2.694	0.009	0.0	0.0	1.3	0.0	0.122	0.196	0.0	0.0	0.596	0.565	1.005	0.033	0.5	0.324	0.175	0.046	0.0	0.0	0.181	0.141	0.0	0.0	0.0	0.0	0.0	0.087	0.466	0.885	0.258	0.427	0.319	0.642	0.0	2.045	0.014	0.0	0.0	0.223	0.849	0.479	1.121	5.125	0.622	0.0	0.511	0.895	1.289	0.0	0.037	0.0	0.0	1.062	1.391	0.0	0.0	1.103	0.0	0.0	0.0	1.151	0.0	0.0	0.0	0.012	1.644	0.0	0.17	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.803	0.112	0.0	1.183	0.0	0.0	0.064	0.0	0.0	0.0	0.534	0.0	0.02	0.297	0.155	0.406	0.0	1.1	0.0	0.0	0.0	0.077	0.061	0.73	0.086	0.0	0.0	0.0	0.132	0.3	0.423	0.237	0.072	0.04	2.441	0.202	0.541	0.43	0.0	2.728	0.0	0.293	0.0	0.224	0.0	0.0	0.835	1.097	0.0	0.0	0.183	0.27	0.096	0.0	0.22	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Listeriaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.273	0.0	0.0	3.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae	family				1.698	0.212	8.039	0.0	0.357	1.247	0.566	0.0	9.242	2.388	12.956	0.0	6.161	85.181	2.012	0.148	6.887	6.097	3.592	10.336	8.245	1.484	1.959	3.8	27.68	1.991	42.249	2.272	0.15	3.539	8.887	3.734	7.504	0.601	8.356	36.408	2.467	8.535	5.765	5.383	14.86	1.249	0.021	8.852	20.324	10.226	40.551	19.031	60.944	4.691	5.666	5.504	3.42	1.074	11.971	2.878	0.658	6.655	3.129	0.0	2.794	3.655	34.664	0.633	1.695	22.221	0.268	20.331	1.681	4.005	28.212	69.942	5.744	51.213	6.635	14.002	79.286	21.266	6.373	6.106	4.441	43.953	2.822	28.68	4.168	3.619	5.053	4.511	7.678	8.531	4.104	0.14	0.0	1.691	2.414	3.386	32.406	0.0	60.313	0.066	57.111	2.147	6.812	0.152	52.643	0.21	50.111	73.059	7.558	92.229	4.576	8.155	0.032	6.37	4.529	8.816	2.459	6.609	4.242	22.112	6.604	1.882	1.079	0.779	15.493	1.954	4.436	5.977	3.314	2.004	0.262	43.086	1.319	9.875	1.331	6.017	2.8	2.331	7.41	62.728	1.543	4.4	6.856	10.68	4.956	1.745	1.983	5.049	4.833	4.108	2.707	3.593	9.59	26.026	3.017	1.521	4.84	3.285	1.594	7.209	37.619	12.551	2.588	3.22	2.348	36.808	0.105	2.958	77.289	14.801	0.98	79.99	9.853	15.96
Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.593	0.414	0.0	0.0	0.0	0.367	1.296	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.196	0.0	0.0	0.779	0.0	0.934	0.0	0.304	0.0	0.0	0.0	0.0	0.0	0.433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.123	0.042	2.351	0.0	0.0	0.0	0.0	0.297	0.0	0.0	0.008	0.0	0.027	0.019	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.269	0.0	0.0	0.0	0.0	5.506	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.015	3.37	0.0	0.0	0.0	0.0	0.231	0.128	0.384	0.237	0.0	0.04	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.265	0.0	0.0	0.948	0.046	0.0	0.0	0.0	0.165	0.753	0.0	0.0	0.311
Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae	family				0.884	0.0	0.653	0.086	0.0	0.0	0.005	0.0	2.603	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.877	0.504	0.0	1.573	0.0	0.071	0.151	0.0	0.228	0.0	0.113	0.826	1.242	0.215	0.018	0.064	0.0	0.0	0.19	0.0	0.0	0.854	0.0	0.089	3.285	0.883	0.912	0.0	0.791	0.34	0.139	0.0	1.243	0.0	0.952	0.0	0.729	0.656	0.143	0.243	0.0	0.0	0.208	0.0	0.0	1.284	0.0	0.0	0.0	0.348	0.082	0.913	0.086	0.128	0.296	0.107	0.0	2.772	0.112	2.589	0.0	0.0	0.509	0.037	0.0	0.763	0.014	0.017	0.311	0.733	0.52	0.0	0.025	0.0	0.0	0.0	0.0	6.358	0.0	0.0	0.0	0.0	0.0	1.182	0.0	0.0	0.0	0.0	0.445	0.018	0.0	0.065	0.556	2.189	0.0	3.111	0.445	0.0	0.0	0.0	0.0	1.288	0.502	0.412	0.0	0.0	0.0	0.0	0.0	0.195	0.695	0.0	0.0	0.511	0.121	0.135	0.0	1.031	0.061	0.0	0.0	0.026	0.046	0.786	0.137	0.0	0.015	0.058	0.364	0.513	0.423	0.421	0.858	0.211	1.656	0.337	1.012	0.033	0.721	6.347	0.187	0.953	0.382	0.286	0.0	0.362	1.355	0.594	0.0	0.919	0.023	0.285	0.155	0.0	0.418	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae	family				0.376	0.0	0.0	0.0	0.0	0.0	0.0	0.041	3.742	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.53	0.966	0.013	0.022	0.0	0.0	0.0	0.0	0.095	0.0	0.501	2.034	0.436	0.126	0.018	2.103	0.0	0.0	0.0	1.531	0.0	0.569	0.0	0.054	0.0	0.0	3.718	0.0	0.107	5.744	0.0	2.466	2.087	0.0	0.0	0.0	0.108	0.349	0.0	0.0	0.0	0.0	5.129	0.042	0.68	0.0	0.0	0.0	96.7	0.044	0.384	0.757	0.107	0.0	5.963	0.0	0.251	1.404	6.214	0.0	0.0	0.0	0.0	0.111	1.319	1.018	0.113	0.0	0.0	1.311	0.0	0.0	0.049	2.304	0.0	1.042	1.889	0.0	0.0	0.0	0.852	0.0	3.096	0.529	0.0	0.0	0.0	0.012	0.161	0.276	23.342	0.044	0.056	0.0	2.224	0.296	0.692	1.213	0.0	2.818	5.408	3.247	1.907	3.799	0.235	0.779	0.64	0.0	5.689	0.0	0.0	0.949	0.04	0.024	0.0	4.633	0.0	4.742	1.4	1.02	0.287	0.0	0.183	0.0	2.818	0.0	0.0	0.0	0.0	3.081	5.227	0.448	2.026	0.119	1.046	4.739	0.174	9.355	0.405	1.67	0.047	4.301	0.382	2.122	0.0	0.543	0.0	0.0	0.236	3.357	0.0	0.0	0.0	0.0	0.176	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family				9.984	12.173	2.292	4.811	2.171	4.641	0.635	10.045	17.247	32.041	0.059	1.669	9.728	1.145	1.376	0.018	3.578	0.0	15.435	7.563	6.007	15.194	2.832	3.305	2.237	3.153	2.049	0.139	2.029	6.082	12.459	1.813	0.719	94.796	32.14	9.578	0.93	0.035	3.772	1.708	2.851	0.58	17.713	0.289	5.68	3.348	4.519	3.729	3.976	7.07	8.217	3.228	9.272	0.152	9.993	7.774	1.907	1.352	0.0	0.018	7.223	0.97	0.388	0.763	3.558	0.036	0.03	1.545	3.594	13.396	2.084	3.267	23.259	5.615	21.717	13.131	1.12	16.457	0.57	1.113	11.146	9.292	6.992	4.835	2.84	0.654	1.965	16.867	6.254	16.377	0.539	6.285	0.0	0.413	4.067	0.0	2.619	0.761	0.17	1.344	0.0	13.721	1.991	0.0	7.326	18.205	7.748	1.868	8.631	0.873	2.371	13.928	4.915	12.444	3.806	5.581	5.212	11.834	6.31	6.852	7.929	7.24	2.173	3.595	7.17	0.794	5.01	0.234	9.3	0.246	5.758	4.787	3.224	3.449	1.018	12.577	2.313	9.687	3.897	0.515	0.672	2.453	3.625	0.893	3.454	0.33	4.76	20.71	15.527	7.587	12.205	2.113	19.355	6.571	7.238	3.57	2.454	15.033	1.687	10.533	2.992	1.714	2.507	5.029	23.978	4.161	8.395	4.556	0.092	2.532	0.466	0.807	2.947	2.659
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family				0.769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.849	0.0	0.0	0.0	1.116	0.0	0.242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.456	0.0	0.076	0.236	0.076	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.214	0.0	0.172	0.0	0.0	0.0	0.0	0.0	0.258	0.0	0.0	0.085	0.0	0.0	0.0	0.212	0.0	0.049	3.561	0.0	0.118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.354	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	1.131	0.0	0.0	0.0	0.0	0.0	1.383	0.0	0.056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.104	0.0	0.141	0.0	1.081	0.009	0.0	0.0	1.649	0.0	0.0	0.064	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.066	0.043	5.227	0.0	1.097	0.0	1.656	0.067	0.0	0.0	0.36	0.0	0.0	0.171	0.286	0.0	0.0	0.217	0.61	0.274	0.0	1.559	0.0	0.075	0.0	0.273	0.22	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.628	0.0	0.557	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	2.657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108	0.0	0.0	1.432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.681	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0
