Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700015295-LAF	S700015908-LAF	S700016092-LAF	S700016174-LAF	S700016339-LAF	S700016658-LAF	S700016758-LAF	S700023273-LAF	S700023537-LAF	S700023584-LAF	S700023627-LAF	S700023794-LAF	S700023851-LAF	S700024260-LAF	S700024312-LAF	S700024515-LAF	S700024609-LAF	S700024705-LAF	S700024758-LAF	S700024872-LAF	S700024924-LAF	S700024972-LAF	S700032276-LAF	S700032370-LAF	S700032462-LAF	S700032976-LAF	S700033185-LAF	S700033250-LAF	S700033609-LAF	S700033781-LAF	S700034075-LAF	S700034132-LAF	S700034220-LAF	S700035208-LAF	S700035629-LAF	S700037022-LAF	S700037048-LAF	S700037278-LAF	S700037383-LAF	S700037431-LAF	S700037474-LAF	S700037840-LAF	S700037922-LAF	S700038027-LAF	S700038098-LAF	S700038152-LAF	S700038360-LAF	S700038572-LAF	S700038620-LAF	S700038728-LAF	S700038972-LAF	S700095404-LAF	S700095461-LAF	S700095518-LAF	S700095575-LAF	S700095701-LAF	S700095768-LAF	S700095882-LAF	S700097228-LAF	S700097742-LAF	S700099053-LAF	S700099339-LAF	S700099940-LAF	S700100591-LAF	S700100651-LAF	S700101127-LAF	S700101185-LAF	S700101566-LAF	S700101948-LAF	S700102293-LAF	S700102464-LAF	S700102639-LAF	S700102899-LAF	S700103581-LAF	S700103647-LAF	S700105802-LAF	S700105898-LAF	S700106689-LAF	S700106924-LAF	S700107429-LAF	S700107540-LAF	S700107597-LAF	S700107810-LAF	S700108149-LAF	S700108272-LAF	S700108947-LAF	S700109224-LAF	S700109557-LAF	S700109675-LAF	S700109975-LAF	S700110800-LAF	S700111210-LAF	S700111799-LAF	S700112806-LAF	S700113099-LAF	S700113150-LAF	S700113529-LAF	S700113568-LAF	S700113642-LAF	S700113670-LAF	S700113795-LAF	S700113846-LAF	S700114043-LAF	S700114185-LAF	S700114240-LAF	S700114293-LAF	S700114413-LAF	S700114641-LAF	S700114675-LAF	S700114723-LAF	S700114773-LAF	S700114878-LAF	S700114927-LAF	S700114983-LAF	S700116102-LAF	S700116384-LAF	S700116953-LAF	S700117631-LAF	S700117854-LAF	S700118464-LAF	S700119216-LAF	S700119616-LAF	S700119790-LAF	S700120091-LAF	S700122398-LAF	S700163705-LAF	S700163760-LAF	S700163914-LAF	S700164185-LAF	S700164275-LAF	S700164345-LAF	S700164493-LAF	S700164761-LAF	S700164818-LAF	S700164858-LAF	S700165040-LAF	S700165138-LAF	S700165402-LAF	S700171060-LAF	S700171519-LAF	S700171567-LAF	S700171828-LAF	S700172056-LAF	S700173066-LAF	S700173476-LAF
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae	family				0.0	0.0	0.0	1.591	0.0	0.0	0.0	0.0	2.247	0.631	1.157	1.926	0.0	0.906	0.0	0.0	0.0	0.245	0.0	0.569	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.035	1.579	0.843	0.0	0.0	0.0	0.066	0.125	0.556	0.0	0.664	0.0	0.0	0.189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.993	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.027	0.0	0.0	0.0	0.167	0.074	0.0	0.0	0.0	0.345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae	family				0.246	0.0	4.839	2.785	0.0	0.024	0.077	0.0	0.0	0.126	1.456	0.736	0.773	0.0	1.103	0.0	0.0	0.0	1.656	0.613	0.0	0.0	0.0	0.0	0.0	0.0	3.709	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.559	0.468	0.0	0.0	0.189	0.044	0.021	0.478	0.0	1.482	0.008	0.0	0.075	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.0	0.744	0.0	0.0	0.0	0.0	0.091	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.02	0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.086	0.0	0.0	0.0	0.0	0.505	0.288	8.616	5.025	0.08	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae	family				0.328	0.527	0.0	1.932	0.0	0.089	0.539	0.0	0.0	2.036	0.0	0.0	0.758	3.366	1.006	0.0	0.0	0.563	0.0	1.62	0.957	0.141	0.034	0.0	2.251	0.321	8.605	1.153	0.193	0.439	0.256	0.707	0.0	1.14	1.041	3.899	0.071	3.651	2.247	1.875	1.811	0.142	0.0	0.815	0.278	1.499	1.737	0.626	0.297	0.0	0.0	0.042	0.0	0.278	0.948	1.258	0.06	1.354	2.232	4.928	2.482	0.98	1.328	2.183	2.589	0.0	2.224	0.074	0.14	0.066	0.386	0.546	3.32	2.882	0.616	7.344	3.33	0.0	0.038	0.454	0.414	0.243	1.364	0.882	1.674	1.498	0.181	0.282	1.079	1.621	0.052	1.676	2.88	1.134	0.876	16.599	1.522	5.056	0.053	3.497	0.662	2.481	0.0	9.963	2.013	6.027	0.0	21.652	15.11	7.884	11.002	16.191	1.901	3.105	0.279	0.0	1.424	0.0	0.073	1.529	0.0	0.0	2.423	1.055	0.065	0.0	0.205	0.0	0.0	0.041	0.109	1.73	4.082	1.338	0.062	0.845	0.106	1.042	0.023	0.336	0.0	0.0	0.0	0.25	1.393
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae	family				0.623	0.843	0.0	0.0	0.0	0.071	0.0	1.391	0.0	0.0	0.0	0.0	0.0	0.0	1.816	0.0	0.022	0.0	2.899	0.657	0.0	0.071	0.472	0.0	0.0	0.677	0.0	0.0	0.733	0.0	4.382	0.136	0.476	0.489	0.228	0.025	0.0	0.033	0.0	0.521	0.792	0.378	0.022	2.632	7.97	0.757	0.894	0.447	0.495	0.415	2.133	0.274	0.797	0.348	0.0	0.18	0.0	1.692	1.545	0.0	0.72	0.91	4.066	0.376	0.18	0.014	3.793	0.468	0.619	0.066	0.0	0.172	3.757	0.989	0.229	0.0	0.0	1.316	0.614	0.454	1.654	0.243	0.273	4.365	0.791	0.883	3.146	2.538	3.957	0.524	0.312	0.025	0.146	0.475	0.0	0.0	0.0	0.056	0.96	0.0	0.0	0.0	0.192	0.0	0.056	2.728	4.72	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.297	0.329	3.159	0.058	0.049	0.0	0.645	0.0	0.317	0.281	0.0	0.0	0.0	0.0	0.428	0.0	0.192	5.982	0.36	0.308	0.0	0.921	0.439	0.0	1.971	0.136	0.684	0.565	0.15	2.012
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family				0.0	1.791	0.0	0.824	20.081	0.302	0.327	3.54	2.535	4.812	4.051	4.483	4.386	2.006	3.665	0.0	0.0	0.441	0.0	5.298	0.851	0.336	0.505	0.0	4.448	1.14	9.125	0.329	0.0	0.513	0.256	0.177	0.238	0.081	0.0	4.619	0.018	5.493	1.685	1.146	1.32	0.0	0.022	3.237	0.5	0.983	1.175	0.138	0.148	0.0	0.0	0.0	0.0	0.0	0.656	1.678	0.0	0.0	0.215	3.29	0.382	0.0	0.664	4.24	0.36	0.085	0.065	0.0	0.0	0.0	1.235	0.0	1.963	2.624	0.581	9.906	10.276	0.0	0.0	0.302	0.0	0.0	0.091	1.631	0.651	2.532	0.0	0.077	1.362	0.324	0.0	0.518	4.12	0.293	9.599	15.031	0.109	1.292	0.053	1.601	0.556	1.985	0.357	25.492	1.454	3.124	0.0	5.382	11.963	10.32	15.297	4.094	3.537	3.35	0.111	0.297	0.0	0.116	0.087	0.345	0.0	0.0	1.211	0.246	0.0	0.0	0.614	0.0	0.0	0.0	0.0	0.231	0.0	0.463	0.308	0.507	0.212	0.055	0.0	0.0	0.0	0.114	0.1	0.5	0.155
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family				0.0	0.316	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263	0.0	0.106	0.0	0.0	1.876	0.036	0.0	1.27	0.0	0.0	0.0	0.027	0.0	0.081	0.0	0.0	0.0	0.0	0.281	0.833	0.641	0.0	0.0	0.439	0.0	0.0	0.281	0.033	0.099	0.0	0.194	0.0	0.0	0.835	0.0	0.0	0.0	0.592	0.601	0.3	0.25	0.07	0.415	1.806	0.0	0.0	0.458	0.0	0.0	0.0	0.656	0.115	0.145	3.527	0.158	13.066	7.231	0.0	0.192	0.0	0.046	0.0	0.455	0.132	0.186	0.442	0.0	0.0	0.771	0.673	0.416	0.0	2.187	0.256	1.528	2.688	0.0	0.056	0.0	3.656	0.556	0.0	0.0	5.452	0.895	0.616	0.0	0.0	4.214	8.901	22.534	2.109	0.917	0.0	0.0	0.0	0.11	0.0	0.029	0.0	0.0	0.0	0.936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.154	0.0	0.0	0.0	0.603	0.0	0.0	0.0	0.0	0.0	0.05	2.941
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae	family				0.0	0.0	9.818	0.0	0.0	0.0	0.038	6.321	0.0	3.604	0.807	2.487	0.253	2.977	0.0	0.662	0.0	0.0	0.0	0.438	0.532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.228	2.458	0.018	0.197	0.0	1.146	0.0	0.0	0.0	0.585	1.012	0.0	0.255	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.196	0.0	0.114	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.744	0.0	0.029	0.056	0.0	0.021	0.018	0.0	0.0	0.0	0.0	0.027	0.0	0.056	0.223	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.312	0.955	0.0	0.0	0.173	0.036	0.038	0.422	0.0	0.185	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae	family				0.0	0.0	5.119	1.876	0.0	0.0	0.0	2.655	0.0	0.919	2.49	0.0	0.758	0.0	0.0	0.0	0.0	0.343	1.449	0.0	0.0	0.0	0.0	0.0	0.429	0.0	6.009	0.0	0.0	0.687	0.0	0.0	0.0	0.0	0.0	0.646	0.018	1.184	0.0	0.417	0.641	0.0	0.0	0.042	0.211	0.612	0.409	0.089	0.0	0.302	0.039	0.0	0.0	0.0	0.146	0.0	0.361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.686	0.038	0.0	0.046	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.049	0.0	0.645	0.0	0.0	0.0	0.0	2.046	0.0	0.59	0.0	0.109	0.0	0.0	0.167	0.123	0.0	0.0	0.219	0.0	0.048	0.136	0.057	0.0	0.0	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae	family				0.0	0.0	0.421	0.0	0.0	0.361	8.482	0.0	0.461	0.865	0.193	0.0	0.149	0.0	0.422	0.039	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.018	0.143	0.0	0.0	4.36	0.183	0.0	0.0	0.0	0.0	0.065	0.05	0.018	0.099	1.966	0.208	2.112	0.0	0.0	0.376	0.478	0.226	1.559	0.008	0.0	0.49	0.0	0.0	0.086	0.035	0.219	0.0	0.0	0.0	0.343	0.0	0.103	0.0	0.0	0.0	0.0	0.0	0.262	0.0	0.12	0.0	0.0	0.0	0.024	0.0	0.0	0.085	0.0	0.114	0.0	0.05	0.092	0.0	0.091	0.044	0.279	0.0	0.0	0.0	0.026	0.05	0.0	0.0	0.146	0.073	0.0	0.022	0.0	0.0	0.16	0.0	0.053	0.248	0.522	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	2.614	0.0	0.0	0.876	0.0	0.0	5.525	0.0	0.0	2.258	0.0	0.086	0.0	0.546	0.0	0.0	0.01	0.146	0.423	0.563	4.322	2.338	0.084	0.673	0.329	0.0	0.985	0.045	0.0	0.0	0.35	0.155
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.601	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	4.186	0.0	0.0	0.0	0.0	0.243	0.091	0.0	0.14	1.045	0.0	0.0	0.257	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.024	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.006	0.0	3.477	2.823	0.0	0.614	1.261	1.16	0.388	0.616	0.0	0.0	0.0	1.035	0.0	0.0	0.318	0.303	0.0	0.0	0.0	0.0	0.376	0.0	0.458	0.0	0.0	0.149	0.0	1.171	0.621	0.106	0.23	0.0	0.625	0.038	0.0	0.088	0.0	0.0	0.693	0.255	0.016	0.148	0.0	0.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.519	0.0	0.0	0.144	0.0	0.589	0.062	0.0	0.0	0.0	0.0	0.194	0.817	0.018	0.0	0.0	0.0	0.269	0.05	0.046	0.0	0.455	0.397	0.698	0.0	0.242	0.0	0.308	0.0	0.0	0.0	0.036	0.0	0.0	0.022	0.145	0.0	0.0	0.0	0.0	33.002	0.0	0.029	0.336	0.352	0.043	0.09	0.0	0.0	0.08	0.124	0.013	3.186	5.351	4.451	0.0	1.156	0.451	1.529	0.0	0.0	0.826	0.0	0.0	0.938	2.319	0.0	0.885	0.775	0.255	0.231	0.493	0.064	0.677	0.591	0.248	0.055	0.0	2.836	0.023	0.0	0.0	0.0	0.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family				0.049	0.0	9.046	0.796	16.279	0.012	0.0	53.919	56.624	57.398	52.455	59.335	39.132	3.172	1.2	28.126	0.045	0.22	1.449	1.007	0.461	0.0	0.0	0.0	0.697	0.0	6.38	0.0	0.0	0.339	0.0	0.177	0.387	0.081	0.195	1.838	0.018	1.974	0.187	1.354	0.528	0.708	0.088	2.903	1.745	18.582	0.741	1.39	0.0	0.264	0.0	0.084	0.0	0.0	0.0	0.12	0.0	1.861	0.0	0.09	0.646	0.0	0.083	0.527	0.0	0.0	0.0	0.136	0.08	0.0	0.733	0.0	0.073	0.0	0.0	4.099	0.0	0.973	0.422	0.0	0.092	0.0	0.0	0.794	0.14	0.043	0.0	0.0	0.283	0.05	0.0	0.0	0.109	0.658	1.671	0.022	0.0	0.056	0.0	2.555	0.767	1.737	0.0	0.057	0.503	0.44	0.043	2.178	0.039	0.077	0.027	0.248	2.712	0.0	0.557	0.371	0.219	0.039	0.015	0.395	0.0	4.516	2.258	0.457	0.0	4.062	0.819	0.332	0.0	0.0	0.182	0.192	0.281	0.283	2.092	0.169	0.035	0.823	0.0	0.168	0.0	0.0	0.1	0.0	0.31
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.135	0.0	0.0	1.316	0.737	0.736	0.312	1.165	1.2	0.078	0.067	0.0	0.621	1.007	0.319	0.088	0.168	0.315	1.125	0.249	0.0	0.541	0.27	0.0	0.0	0.0	0.0	0.0	0.0	1.564	0.035	2.434	0.281	0.0	0.453	0.047	0.088	0.0	1.212	0.0	0.0	0.146	0.346	0.0	0.116	0.084	0.0	0.035	0.073	0.479	1.082	1.184	0.3	0.09	0.118	0.0	0.249	0.652	0.0	0.071	0.719	0.0	0.279	0.017	9.842	0.402	0.0	0.043	0.053	0.0	0.0	0.229	0.038	0.454	0.0	0.0	0.0	0.0	0.419	0.345	0.181	0.051	0.591	0.574	0.156	0.0	0.073	0.256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.555	0.0	0.056	0.088	0.0	0.036	0.0	0.0	0.027	0.0	0.0	0.654	0.0	0.074	1.862	0.0	0.0	0.197	0.0	0.0	0.165	0.317	0.0	0.312	0.205	0.0	0.664	2.09	4.292	0.077	0.352	0.0	2.277	0.845	0.035	0.219	0.0	0.505	0.045	0.0	0.0	0.15	0.619
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				0.0	0.0	0.0	0.0	3.354	0.012	0.346	1.707	2.189	0.757	0.737	1.191	0.357	5.113	0.0	0.0	0.269	0.196	3.106	1.401	1.383	0.318	0.0	1.681	1.233	0.0	0.519	0.565	0.0	0.879	1.281	0.122	1.31	0.0	0.0	1.838	0.053	5.658	0.281	0.0	0.453	0.236	0.199	0.251	1.078	0.967	0.23	0.057	10.831	0.604	1.28	0.0	0.0	0.731	0.292	0.0	1.684	0.423	0.043	1.277	0.749	0.0	0.166	0.953	0.719	0.028	0.392	1.712	0.16	0.099	1.737	2.785	5.356	1.72	0.053	0.427	0.0	0.0	0.0	0.0	19.164	0.0	0.364	4.453	0.0	6.421	0.121	0.0	2.03	0.873	0.364	0.394	1.094	0.732	10.536	20.744	0.362	1.91	0.107	0.852	0.794	0.744	0.44	3.083	53.803	1.584	0.0	4.716	7.749	17.149	7.264	1.737	1.635	7.435	0.948	0.0	0.11	0.039	0.087	0.247	0.491	1.935	3.084	0.844	0.0	0.0	0.136	0.398	0.074	0.0	0.291	0.115	5.489	3.653	0.123	1.436	0.319	0.0	0.015	0.24	0.272	0.0	0.632	0.4	0.31
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	11.773	6.135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae	family				0.0	0.0	4.348	1.762	14.445	1.255	23.505	2.149	0.0	1.153	0.298	1.786	0.952	4.142	0.811	0.974	1.055	0.441	1.656	1.27	0.355	0.018	0.0	0.0	0.0	0.214	0.371	0.0	16.281	0.549	0.0	0.014	0.357	0.0	0.0	1.465	0.035	3.914	0.936	0.417	1.132	0.142	0.0	0.752	1.134	2.015	0.0	0.049	0.049	0.566	0.0	0.0	0.065	0.209	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.0	0.249	0.0	0.0	0.057	0.196	0.0	0.06	0.033	0.425	0.0	0.0	0.043	0.0	1.708	0.0	2.346	0.0	0.252	0.23	0.121	0.273	0.044	0.326	0.043	0.0	0.0	0.0	0.0	0.0	0.0	0.255	0.073	0.0	0.0	0.0	0.0	0.427	0.011	0.291	1.985	0.55	0.029	0.056	0.396	0.0	0.0	0.039	0.0	0.0	0.0	0.027	1.879	0.167	0.0	0.11	0.039	0.073	2.072	0.0	0.0	1.817	0.0	0.0	0.0	0.273	0.0	0.0	0.061	0.182	0.961	0.352	34.139	3.323	0.338	0.177	0.384	0.0	0.336	0.023	0.0	0.0	0.3	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae	family				0.0	0.0	0.351	0.0	0.0	0.024	0.616	0.0	0.0	0.775	0.0	0.0	0.506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.656	1.831	0.0	0.0	0.0	0.0	2.538	0.0	0.0	0.0	0.0	0.312	0.0	0.0	0.0	0.021	1.1	0.0	0.179	0.0	0.0	0.0	0.0	0.0	0.194	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293	0.0	0.0	0.036	0.0	0.0	0.0	0.582	0.496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.223	0.0	3.067	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.273	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.233	0.35	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				0.59	1.054	0.0	0.0	0.045	0.077	1.173	0.0	0.058	0.018	0.0	0.0	0.238	2.395	0.0	0.0	0.0	0.073	0.0	2.846	0.851	0.035	0.876	0.0	1.501	1.71	0.0	0.306	0.039	0.0	0.0	1.291	0.298	0.081	0.521	0.223	0.035	1.316	2.903	0.208	1.471	0.283	0.022	0.585	0.389	1.112	0.588	0.829	0.049	0.0	0.0	0.358	0.0	0.487	1.676	1.678	0.0	0.761	2.232	2.674	0.646	7.978	2.988	3.763	2.913	0.0	2.42	0.136	0.419	0.05	1.351	0.373	22.71	4.0	0.07	1.793	3.711	0.4	0.576	0.504	0.276	0.0	0.273	0.265	1.86	2.09	0.907	0.308	1.002	0.249	0.0	0.493	1.385	2.56	0.591	4.413	81.479	10.506	4.533	44.805	6.589	0.248	0.275	16.015	0.336	2.948	0.0	17.981	8.953	21.868	3.659	12.407	8.882	0.49	0.223	0.0	1.095	0.0	0.087	0.888	0.0	0.0	1.597	0.633	0.0	0.312	1.296	0.332	0.369	0.0	0.036	1.038	1.196	0.219	0.246	0.169	0.248	1.207	0.008	0.288	0.023	1.653	0.0	1.199	0.155
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family				0.049	1.054	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.054	0.614	1.086	1.353	1.359	0.032	0.0	0.09	0.367	0.518	1.489	5.319	0.053	0.168	0.175	3.966	0.534	0.0	1.529	0.27	0.595	0.341	0.285	0.387	0.326	3.677	0.795	0.0	0.592	0.0	4.479	0.189	0.0	0.0	0.084	1.056	0.0	1.303	0.098	0.049	0.0	19.62	0.337	1.163	0.348	0.437	2.397	0.0	0.254	0.215	0.06	0.911	0.63	28.548	0.853	1.366	1.08	0.785	0.209	0.02	1.273	0.463	0.603	0.242	2.968	0.0	0.0	0.095	0.0	0.154	2.621	0.138	1.82	1.273	6.173	1.86	1.433	0.423	0.026	3.289	0.324	1.974	0.049	0.401	0.512	0.0	0.0	0.036	0.0	0.0	0.0	0.132	0.248	6.186	0.057	0.112	1.936	0.0	0.0	0.0	0.0	0.0	0.124	0.0	1.634	0.502	0.445	13.143	0.039	0.029	0.641	0.0	0.0	3.139	0.176	0.0	0.312	1.501	0.73	1.254	0.693	1.237	1.077	0.0	4.914	12.246	0.929	0.531	1.481	0.023	2.644	0.181	0.0	0.598	1.949	0.774
