HMT	Domain-old	Phylum-old	Class-old	Order-old	Family-old	Genus-old	Species-old	Domain-new	Phylum-new	Class-new	Order-new	Family-new	Genus-new	Species-new
733	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydophila	pneumoniae	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	pneumoniae
738	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	prevotii	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	prevotii
739	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Arachnia	propionica	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	propionica
740	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	pseudoalcaligenes	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	oleovorans
742	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Mogibacterium	pumilum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Mogibacterium	pumilum
743	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	putidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	putidum
746	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	radicidentis	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	radicidentis
747	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythromicrobium	ramosum	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	ramosus
749	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rhamnosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	rhamnosus
750	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	rimae	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	rimae
754	Bacteria	Firmicutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	salivarium	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	salivarium
756	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	salivarius
759	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-5]	[Eubacterium]_saphenum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-5]	[Eubacterium]_saphenum
769	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	socranskii	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	socranskii
777	Bacteria	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	Jonquetella	anthropi	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella	anthropi
788	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	tetradius	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	tetradius
790	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilaceae_[G-2]	bacterium_HMT_790	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilaceae_[G-2]	bacterium_HMT_790
805	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	pallidum
808	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	sp._HMT_808	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	sp._HMT_808
810	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	sp._HMT_810	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olegusella	massiliensis
811	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Arcanobacterium	haemolyticum	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	haemolyticum
814	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	vaginae	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Fannyhessea	vaginae
816	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	coleohominis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	coleohominis
818	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri_clade_818	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri_clade_818
822	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	tuberculosis	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	tuberculosis
823	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	leprae	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	leprae
827	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yersinia	pestis	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	pestis
829	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	vaginalis	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	vaginalis
830	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Mobiluncus	mulieris	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	mulieris
832	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella	otitidis	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	otitidis
835	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	mucifaciens	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	mucifaciens
836	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus	lacrimalis	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	lacrimalis
840	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilus	indolicus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	indolicus
844	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	amnii	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	vaginalis
845	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	goodfellowii	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	goodfellowii
848	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Peptidiphaga	gingivicola	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Peptidiphaga	gingivicola
849	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	johnsonii	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	johnsonii
850	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	cardiffensis	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	cardiffensis
852	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	massiliensis	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	massiliensis
853	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	urealyticum	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	urealyticum
855	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Kytococcus	sedentarius	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Kytococcaceae	Kytococcus	sedentarius
856	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	keddieii	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Sanguibacteraceae	Sanguibacter	keddieii
859	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Anaerococcus	lactolyticus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	lactolyticus
861	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	plantarum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	plantarum
862	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum
866	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	graevenitzii	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	graevenitzii
876	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_[F-3]	Clostridiales_[F-3][G-1]	bacterium_HMT_876	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales_[F-3]	Clostridiales_[F-3][G-1]	bacterium_HMT_876
877	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_877	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_877
881	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	buchneri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	buchneri
882	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	panis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	panis
883	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	pentosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	pentosus
884	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	rapi	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	rapi
888	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	dentalis	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	dentalis
889	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve
890	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	subtile	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	subtile
891	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	scardovii	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	scardovii
893	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	oris	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	oris
895	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis
896	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_896	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_896
897	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_897	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_897
900	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	sp._HMT_900	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae [G-1]	sp._HMT_900
906	Bacteria	Firmicutes	Mollicutes	Mollicutes_[O-2]	Mollicutes_[F-2]	Mollicutes_[G-2]	bacterium_HMT_906	Bacteria	Tenericutes	Mollicutes	Mollicutes_[O-2]	Mollicutes_[F-2]	Mollicutes_[G-2]	bacterium_HMT_906
907	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	sp._HMT_907	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae [G-1]	sp._HMT_907
910	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Stomatobaculum	sp._HMT_910	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Stomatobaculum	sp._HMT_910
915	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_[G-1]	bacterium_HMT_915	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_[G-1]	bacterium_HMT_915
916	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella	sp._HMT_916	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	sp._HMT_916
918	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonellaceae_[G-1]	bacterium_HMT_918	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_918
922	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-7]	bacterium_HMT_922	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	bacterium_HMT_922
924	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Lachnospiraceae_[G-9]	bacterium_HMT_924	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-9]	bacterium_HMT_924
927	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	sp._HMT_927	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	sp._HMT_927
929	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Peptoniphilaceae_[G-3]	bacterium_HMT_929	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilaceae_[G-3]	bacterium_HMT_929
931	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bergeyella	sp._HMT_931	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae [G-1]	sp._HMT_931
934	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	Oribacterium	parvum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	parvum
935	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	sanguinis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Fastidiosipila	sanguinis
938	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri_clade_938	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri_clade_938
950	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae_[XI]	Peptostreptococcaceae_[XI][G-3]	bacterium_HMT_950	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-3]	bacterium_HMT_950
951	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	sp._HMT_951	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	sp._HMT_951
982	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	album	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	album
983	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	roseus	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	roseus
