Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014994-SUBP	S700015286-SUBP	S700015662-SUBP	S700016077-SUBP	S700016168-SUBP	S700016333-SUBP	S700016374-SUBP	S700016590-SUBP	S700016948-SUBP	S700021912-SUBP	S700023021-SUBP	S700023078-SUBP	S700023208-SUBP	S700023259-SUBP	S700023331-SUBP	S700023418-SUBP	S700023475-SUBP	S700023529-SUBP	S700023576-SUBP	S700023690-SUBP	S700023786-SUBP	S700023843-SUBP	S700023900-SUBP	S700023966-SUBP	S700024023-SUBP	S700024064-SUBP	S700024127-SUBP	S700024185-SUBP	S700024231-SUBP	S700024290-SUBP	S700024338-SUBP	S700024377-SUBP	S700024443-SUBP	S700024490-SUBP	S700024539-SUBP	S700024586-SUBP	S700024635-SUBP	S700024671-SUBP	S700024731-SUBP	S700024788-SUBP	S700024825-SUBP	S700024902-SUBP	S700024946-SUBP	S700024996-SUBP	S700033020-SUBP	S700033179-SUBP	S700033477-SUBP	S700033775-SUBP	S700037220-SUBP	S700037468-SUBP	S700037580-SUBP	S700037732-SUBP	S700038051-SUBP	S700038247-SUBP	S700038384-SUBP	S700038470-SUBP	S700038518-SUBP	S700038566-SUBP	S700038614-SUBP	S700038722-SUBP	S700038781-SUBP	S700038938-SUBP	S700038998-SUBP	S700095398-SUBP	S700095455-SUBP	S700097279-SUBP	S700097339-SUBP	S700097676-SUBP	S700098315-SUBP	S700098407-SUBP	S700099047-SUBP	S700099107-SUBP	S700099635-SUBP	S700099791-SUBP	S700100275-SUBP	S700101683-SUBP	S700102287-SUBP	S700102633-SUBP	S700102950-SUBP	S700103261-SUBP	S700103325-SUBP	S700103466-SUBP	S700103535-SUBP	S700103605-SUBP	S700103692-SUBP	S700105085-SUBP	S700105201-SUBP	S700105304-SUBP	S700105354-SUBP	S700105392-SUBP	S700105437-SUBP	S700105512-SUBP	S700105610-SUBP	S700105666-SUBP	S700105705-SUBP	S700105759-SUBP	S700105828-SUBP	S700105876-SUBP	S700105924-SUBP	S700106038-SUBP	S700106113-SUBP	S700106380-SUBP	S700106540-SUBP	S700106599-SUBP	S700106635-SUBP	S700106683-SUBP	S700106743-SUBP	S700106857-SUBP	S700106896-SUBP	S700106916-SUBP	S700106966-SUBP	S700107234-SUBP	S700113007-SUBP	S700113055-SUBP	S700113091-SUBP	S700113138-SUBP	S700113523-SUBP	S700113598-SUBP	S700113636-SUBP	S700113694-SUBP	S700113838-SUBP	S700113952-SUBP	S700114037-SUBP	S700114088-SUBP	S700114145-SUBP	S700114209-SUBP	S700114266-SUBP	S700114323-SUBP	S700114407-SUBP	S700114478-SUBP	S700114537-SUBP	S700114578-SUBP	S700114635-SUBP	S700114699-SUBP	S700114747-SUBP	S700114797-SUBP	S700114854-SUBP	S700114902-SUBP	S700114959-SUBP	S700116237-SUBP	S700116324-SUBP	S700116378-SUBP	S700116588-SUBP	S700116639-SUBP	S700116798-SUBP	S700116858-SUBP	S700117020-SUBP	S700117680-SUBP	S700117737-SUBP	S700117848-SUBP	S700117974-SUBP
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family				5.324	0.468	2.149	1.065	2.038	4.7	1.686	1.822	6.825	0.198	0.021	1.435	0.825	2.536	0.566	0.02	5.014	6.123	1.517	2.625	4.97	1.44	7.695	0.635	3.255	0.012	0.367	0.0	2.093	0.128	0.933	0.6	0.49	1.025	3.946	0.0	3.349	0.0	2.042	2.12	0.016	0.535	0.962	2.275	0.72	4.433	8.46	1.344	2.595	0.06	1.226	0.509	0.795	1.686	2.912	0.201	0.15	2.687	0.516	6.18	0.714	5.118	28.315	6.722	3.576	1.041	4.284	2.485	3.822	0.209	5.49	29.078	11.873	1.608	0.315	4.316	3.055	1.521	2.356	0.249	0.993	4.188	0.844	0.861	2.7	0.022	2.142	10.687	0.117	0.116	0.311	0.293	3.383	1.381	5.039	0.0	2.168	1.235	0.129	9.544	3.142	1.033	0.032	3.816	6.56	1.06	0.754	8.716	2.846	0.013	0.49	0.153	0.058	1.011	1.086	6.679	0.178	1.611	0.432	0.074	5.022	1.261	4.15	1.095	1.333	3.195	4.587	1.999	4.528	1.296	1.31	0.366	7.33	0.445	1.189	0.079	5.111	0.008	0.575	1.737	2.056	2.345	0.608	0.909	0.797	8.353	1.607	6.668	1.508	5.551	2.78
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family				3.953	0.057	2.118	1.004	0.0	7.762	5.333	11.702	0.946	1.334	0.0	0.842	0.437	5.741	0.01	0.02	1.063	2.829	0.0	0.0	1.926	0.752	0.868	0.399	2.056	0.0	0.0	0.0	0.053	0.013	4.028	0.404	0.106	0.786	0.93	0.0	0.057	0.036	0.398	0.0	0.0	0.0	0.372	2.597	0.961	3.208	1.507	0.131	0.555	0.0	1.009	0.048	0.012	2.925	0.163	0.014	0.0	1.069	2.545	4.555	0.0	0.207	0.0	0.635	0.099	11.65	2.484	0.0	1.539	0.0	0.173	2.822	0.0	1.281	0.158	2.418	0.579	1.622	0.011	0.378	0.0	1.081	0.0	0.215	5.477	0.0	0.29	0.563	0.0	0.667	0.0	0.136	1.531	0.0	0.0	0.0	0.422	0.076	0.0	3.971	0.0	0.02	0.011	0.178	0.626	0.518	0.562	0.339	0.0	0.0	0.0	3.392	0.0	0.084	0.119	0.073	0.0	0.203	0.216	0.037	4.036	0.736	1.295	1.494	1.838	0.011	0.0	1.749	1.532	0.432	0.032	0.086	4.742	0.338	1.72	0.184	0.321	0.0	2.226	0.383	0.076	1.58	0.319	3.692	0.58	3.237	0.029	3.684	0.436	0.365	1.08
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family				0.459	0.0	0.275	0.342	0.0	0.137	0.739	1.496	0.026	0.0	0.0	0.02	0.226	0.028	0.0	0.0	0.0	1.041	0.0	0.0	0.323	1.762	0.189	0.0	0.981	0.0	0.0	0.0	0.0	0.0	2.911	0.026	0.0	0.274	0.393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.873	0.102	0.375	0.927	0.0	0.079	0.0	0.066	0.048	0.006	1.239	0.02	0.0	0.0	0.0	2.435	0.04	0.0	0.021	0.0	0.033	0.666	0.098	0.203	0.0	0.05	0.0	0.049	0.014	0.0	0.327	0.0	0.208	0.025	1.926	0.0	0.0	0.0	0.0	0.0	0.041	1.396	0.0	0.0	0.009	0.0	0.0	0.0	0.042	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.244	0.0	0.013	0.0	0.0	0.0	0.145	0.0	0.008	0.0	0.0	0.0	1.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.132	0.035	0.11	0.0	0.0	2.199	0.712	0.306	0.0	0.0	1.27	0.445	0.043	0.0	0.0	0.0	0.008	0.0	0.076	0.0	0.061	0.265	0.0	1.684	0.0	0.052	0.047	0.029	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family				0.486	0.0	0.02	0.502	0.0	0.158	0.414	0.691	0.0	0.0	0.0	0.0	0.0	0.014	0.015	0.0	0.0	0.159	0.0	0.0	0.118	0.0	0.0	0.0	0.912	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.023	0.0	0.145	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.012	0.101	0.0	0.05	0.0	0.0	0.116	0.0	0.0	0.0	0.039	0.003	0.177	0.0	0.0	0.0	0.019	0.0	0.0	0.015	0.0	0.442	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.238	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.856	0.0	0.0	0.0	0.0	0.0	0.02	0.031	0.0	0.0	0.0	0.044	0.0	0.064	0.0	0.0	0.0	0.03	0.0	0.0	0.122	0.032	0.0	0.244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.028	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus				0.007	0.0	0.173	0.0	0.0	0.084	0.02	0.058	0.026	0.0	0.0	0.035	0.146	0.014	0.786	0.0	0.0	0.024	0.29	0.0	1.235	0.258	0.0	0.0	0.082	0.0	0.018	0.0	0.0	1.179	0.111	0.026	0.397	0.477	0.143	0.0	0.0	0.0	0.027	0.04	0.0	0.0	0.0	0.046	0.0	0.452	0.132	0.098	0.119	0.0	0.028	0.0	1.259	0.344	0.143	0.007	0.0	0.462	0.037	0.106	0.0	0.062	0.0	0.0	0.0	0.441	0.634	0.0	0.0	0.0	0.025	0.0	0.0	0.05	0.0	0.104	0.242	0.101	0.0	0.212	0.0	1.51	0.022	0.033	0.053	0.0	0.014	0.0	0.117	0.018	0.0	0.0	0.013	0.0	0.136	0.0	0.0	0.14	0.107	0.418	1.199	0.0	0.297	0.0	0.791	0.446	0.115	0.023	0.047	0.0	0.0	0.031	0.0	0.0	0.0	0.672	0.014	1.449	0.015	0.049	0.0	0.105	0.187	0.234	0.506	0.0	0.0	0.0	0.049	0.036	0.0	0.0	0.595	0.016	0.1	0.0	0.029	0.0	0.0	0.028	0.122	0.0	0.091	0.0	0.039	0.578	0.088	0.0	0.171	0.7	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus				0.918	4.694	4.685	7.613	11.334	3.2	6.743	2.206	4.116	6.49	0.766	6.838	14.424	12.556	4.48	29.803	11.807	4.519	5.13	10.305	1.794	13.26	20.596	14.735	4.14	17.015	10.793	8.774	7.132	15.924	15.586	3.836	14.291	14.357	4.769	14.303	14.402	11.043	3.496	2.937	16.241	16.161	7.127	12.871	11.978	3.246	7.483	9.35	2.397	22.615	3.085	41.933	9.362	6.848	9.489	8.996	18.522	10.143	5.533	2.306	52.218	11.645	36.992	3.545	8.903	1.727	0.33	6.93	1.886	3.846	7.171	0.868	5.416	9.322	2.074	0.299	3.971	4.766	6.018	4.21	36.296	0.01	27.084	5.282	0.0	50.527	17.275	2.174	21.27	0.0	9.065	5.014	0.0	0.0	3.422	3.297	24.182	14.115	16.967	2.316	4.774	0.0	11.102	0.0	0.0	10.084	3.617	2.175	3.506	8.308	24.088	0.764	25.767	26.393	31.351	1.416	16.332	2.361	11.295	4.35	3.76	8.92	1.767	0.0	0.0	4.814	12.134	7.546	2.373	10.459	14.658	15.437	3.874	10.85	14.546	2.205	8.148	7.355	6.865	11.325	5.232	7.205	5.941	4.829	14.168	9.842	11.182	3.49	13.704	3.071	3.819
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus				0.013	0.0	1.915	0.04	0.0	0.686	0.0	0.115	0.102	0.09	0.0	1.48	0.647	0.557	0.04	0.0	5.363	0.38	0.648	13.434	1.029	0.0	0.113	4.252	0.0	0.0	0.122	0.0	0.547	0.115	0.012	1.344	2.662	0.326	0.155	3.052	0.011	0.698	0.905	0.026	0.0	0.097	0.0	0.0	0.0	0.26	0.232	0.175	2.476	1.751	0.113	0.921	0.041	0.034	0.0	0.079	0.635	0.173	4.168	0.0	0.0	0.021	0.129	0.033	0.049	0.025	0.051	0.0	0.124	0.759	3.437	0.087	0.031	0.025	0.473	0.104	0.657	0.0	0.044	0.313	0.0	0.0	0.13	0.0	0.0	1.577	0.097	0.433	0.058	0.0	0.361	0.094	0.0	0.0	0.221	0.0	1.106	0.267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.181	3.246	0.324	0.028	0.013	1.732	0.031	7.363	0.435	0.0	0.109	0.014	0.274	0.015	1.997	0.421	2.733	0.033	0.0	0.0	0.777	0.0	0.925	0.168	1.692	0.268	0.654	1.624	0.552	0.244	0.07	0.57	0.05	0.0	0.738	0.015	2.819	0.0	0.303	0.266	0.477	0.007	0.389	5.463	0.496	0.931
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus				0.067	0.0	0.631	0.141	1.33	0.084	0.168	0.173	0.0	1.677	0.517	0.369	0.485	1.087	0.245	0.02	0.413	1.139	0.443	0.013	0.103	2.149	0.886	0.03	0.109	0.0	0.367	0.0	0.2	0.154	0.135	0.483	0.053	0.041	0.429	0.311	0.656	0.012	5.127	0.395	0.064	0.146	1.049	0.069	0.095	0.245	0.315	0.044	0.277	0.417	0.113	0.073	0.377	0.436	0.061	0.482	0.568	0.39	0.0	0.159	0.173	0.062	0.144	0.502	0.049	0.049	0.0	0.048	0.0	0.0	0.0	0.014	0.0	0.0	0.013	0.0	0.0	0.456	0.1	0.129	1.26	0.01	0.216	0.339	0.328	0.172	0.332	0.035	0.0	0.0	0.125	0.241	0.09	0.0	0.0	0.0	0.553	0.0	0.322	0.697	0.2	0.0	0.212	7.061	0.0	0.241	0.166	0.173	0.151	0.37	0.827	0.0	0.133	0.59	0.04	3.557	0.273	0.101	0.293	0.404	0.618	0.03	0.121	0.0	0.0	0.054	0.166	0.35	0.277	0.018	0.473	0.014	0.209	0.561	0.33	0.131	0.088	0.117	0.21	0.131	0.114	0.012	0.228	1.931	0.108	0.108	0.17	0.234	0.493	0.19	0.094
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus				2.017	2.341	19.544	12.676	6.399	19.326	4.83	3.837	14.519	3.047	0.186	3.259	2.28	9.601	2.027	7.451	10.963	7.078	11.23	7.603	7.999	3.331	2.716	6.437	1.089	4.484	2.228	0.0	13.905	6.29	3.918	8.429	9.854	0.576	13.352	1.679	0.192	10.826	1.33	0.303	25.104	5.819	1.552	7.516	0.604	7.916	1.291	30.158	8.954	6.776	0.198	3.658	1.775	3.648	13.643	0.446	8.559	2.572	2.139	2.262	1.623	13.821	0.532	0.635	2.515	0.784	0.076	5.496	1.663	5.311	11.301	0.463	10.037	3.543	0.039	1.833	13.891	3.549	6.726	8.457	3.306	7.684	1.234	7.211	1.114	1.457	12.258	10.133	4.021	0.0	6.438	1.769	9.145	0.0	3.354	8.546	6.897	13.415	1.051	0.888	6.006	0.003	3.202	0.0	0.0	4.157	11.299	2.981	11.499	0.0	1.701	0.611	3.469	0.604	7.629	0.29	4.643	5.34	5.123	3.553	0.684	2.928	8.969	0.0	0.0	22.223	5.169	2.374	7.553	19.784	0.032	4.784	4.935	11.642	15.119	4.392	15.129	7.83	2.0	15.629	9.497	10.595	1.428	0.303	4.545	6.901	14.035	7.006	13.173	7.083	15.924
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae;Lawsonella	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus				0.0	10.416	3.514	0.281	16.302	0.359	3.805	5.007	5.112	11.321	1.635	0.419	12.435	8.988	5.982	17.398	3.438	3.012	5.01	7.913	0.456	7.372	0.736	4.872	0.354	18.859	18.299	19.49	2.373	9.108	10.575	0.483	3.126	15.993	2.062	0.569	33.556	2.947	2.454	5.201	4.743	15.545	12.549	5.332	3.522	2.159	3.411	1.464	0.376	2.513	4.519	7.752	1.746	4.049	16.534	12.095	11.518	4.364	1.955	0.12	3.311	1.368	4.583	13.11	6.313	4.753	0.989	2.437	8.265	6.907	1.484	0.275	5.692	3.869	6.945	0.221	3.548	0.963	12.666	3.602	2.507	0.224	12.719	2.508	0.015	2.966	4.367	0.788	13.636	0.0	1.158	10.414	0.116	0.0	1.004	4.172	18.1	3.156	13.642	0.975	3.02	0.0	8.334	1.641	0.0	5.807	7.707	0.602	6.192	12.43	9.822	0.489	13.609	9.167	8.728	1.706	13.533	1.064	21.694	7.266	0.947	5.241	0.329	0.0	0.0	2.925	4.366	1.099	0.811	2.07	25.955	6.602	0.852	8.781	3.167	9.238	4.965	12.889	17.503	20.521	2.353	3.742	1.671	7.063	6.326	3.093	2.226	0.843	4.069	1.415	1.849
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus				0.246	0.16	0.234	0.141	0.0	0.201	0.877	0.46	0.0	0.361	0.021	1.859	0.566	0.488	0.38	0.156	0.871	4.323	1.295	1.396	0.573	3.116	0.905	0.03	1.076	0.0	0.845	0.246	0.387	3.42	0.405	1.07	2.94	0.233	3.195	0.065	0.984	0.06	0.069	0.0	0.703	1.994	0.678	1.862	0.073	2.366	1.358	0.579	1.406	5.478	2.245	0.218	1.328	1.468	2.891	0.273	0.802	0.318	1.734	0.447	0.606	0.021	0.057	0.435	0.345	0.061	0.076	0.024	2.606	1.151	0.223	0.0	0.734	0.628	1.982	0.026	0.504	0.152	0.1	0.018	0.472	0.633	4.817	0.0	1.175	0.299	1.313	0.156	1.923	0.0	0.012	1.089	1.093	0.0	0.221	0.0	0.087	2.24	0.021	1.341	0.389	0.081	6.638	0.0	0.0	3.952	0.102	0.151	0.066	0.026	2.605	0.031	0.784	1.053	0.0	0.018	12.413	1.642	0.123	0.0	3.458	1.922	1.032	0.0	0.257	0.151	0.049	0.175	0.801	0.45	0.0	12.988	0.354	0.585	2.049	0.009	0.672	2.997	0.688	0.159	0.358	0.122	4.255	0.379	0.207	0.34	4.069	0.506	0.607	0.292	0.459
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus				0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.019	0.102	0.036	0.0	0.005	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.402	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.006	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.058	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.033	0.029	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.026	0.049	0.13	0.0	0.0	0.092	0.0	0.008	0.0	0.044	0.0	0.012	0.0	0.032	0.0	0.008	0.0	0.0	0.0	0.058	0.009	0.012	0.01	0.103	0.0	0.0	0.0	0.015	0.013	0.0	0.0	0.011	0.0	0.011	1.783	0.0	0.012	0.0	0.0	0.009	0.0	0.015	0.0	0.017	0.0	0.0	0.472	0.014	0.0	0.046	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.072	0.0	0.049	0.129	0.227	0.0	0.0	0.016	0.028	0.0	0.0	0.0	0.019	0.01	0.0	0.0	0.0	0.009	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus				0.013	0.0	0.031	0.0	0.792	0.19	0.049	0.0	0.179	0.0	0.207	0.015	0.0	0.111	0.015	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.094	0.059	0.014	0.0	0.018	0.0	0.04	0.0	0.025	0.0	0.0	0.041	0.0	0.012	0.0	0.084	0.027	0.145	0.0	0.0	0.0	0.0	0.306	0.092	0.017	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.02	0.165	0.0	0.014	0.0	0.359	0.368	0.041	0.0	0.0	0.0	0.061	0.0	0.119	0.124	0.0	0.074	1.491	0.398	0.151	0.039	0.195	0.047	0.0	0.177	0.028	0.0	0.0	0.0	0.166	0.0	0.007	0.152	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.238	0.0	1.091	0.0	0.021	0.0	0.178	0.0	0.0	3.78	0.0	0.0	0.013	0.181	0.0	0.0	0.015	0.031	0.017	0.0	0.119	1.016	0.0	0.0	0.093	0.0	0.342	0.0	0.0	0.0	0.0	0.065	0.007	0.025	0.089	0.072	0.016	0.0	0.0	0.0	0.086	0.0	0.146	0.0	0.016	0.149	0.0	0.049	0.0	0.0	0.216	0.036	0.029	0.052	0.0	0.051	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	genus				0.28	0.0	0.031	0.04	0.017	0.021	0.01	0.096	0.026	0.0	0.0	0.0	0.0	0.279	0.005	0.0	0.037	0.0	0.0	0.0	0.132	0.0	0.038	0.015	0.014	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.023	0.0	0.0	0.045	0.0	0.055	0.026	0.0	0.0	0.0	0.023	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.173	0.148	0.004	0.0	0.0	0.014	0.033	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.026	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.291	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.015	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.018	0.063	0.0	0.113	0.016	0.043	0.0	0.044	0.0	0.016	0.047	0.0	0.073	0.0	0.019	0.118	0.231	0.0	0.065	0.057	0.0	0.162
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G3]	genus				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacteraceae [G5]	genus				10.968	0.0	0.0	1.045	0.0	3.992	2.021	0.575	0.026	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.221	0.0	0.472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.442	0.0	0.0	0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.057	0.0	0.0	0.149	0.0	0.0	0.0	0.0	0.959	0.0	0.0	0.186	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.427	0.0	0.598	0.0	0.0	0.0	0.12	0.0	0.458	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.562	0.0	0.0	0.0	0.0	0.157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.055	0.562	0.0	0.0	0.0	0.25	0.089	0.0	0.0	0.0	0.675	0.0	0.86	0.0	0.0	0.0	0.178	0.0	0.0	0.0	0.03	0.757	0.423	0.513	0.0	0.0	0.303	0.0	0.0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales [F2];Bacteroidales [F2 G2]	genus				2.003	1.222	0.479	4.279	0.0	0.528	0.089	1.477	0.0	0.0	0.0	0.15	0.663	0.098	0.05	0.0	0.0	2.657	0.0	0.0	1.235	1.956	1.415	0.0	0.082	0.0	0.0	0.0	0.0	0.026	4.851	0.0	0.225	0.541	1.407	0.0	0.011	0.204	0.918	0.119	0.0	0.0	0.284	1.954	0.0	3.751	2.864	0.0	0.218	0.333	0.226	0.0	0.07	1.56	0.122	0.0	0.0	0.043	8.558	0.925	0.0	0.435	0.014	0.234	3.009	0.711	6.565	0.0	5.163	0.0	0.198	0.043	0.0	1.859	0.0	0.416	0.128	0.203	0.0	0.009	0.0	1.734	0.0	0.058	2.365	0.0	1.133	0.0	0.0	1.396	0.0	0.0	0.437	0.0	1.924	0.0	0.0	0.0	0.0	0.366	0.0	0.302	0.0	0.0	0.181	0.723	0.013	0.09	0.0	0.0	0.0	3.484	0.0	0.0	0.0	0.073	0.0	0.892	0.108	0.466	0.592	0.0	5.72	6.783	6.388	0.011	0.0	3.173	0.148	0.0	0.0	0.0	3.118	0.651	0.244	0.009	0.102	0.0	0.008	1.531	0.145	0.024	0.0	8.654	0.01	2.652	1.165	0.0	0.55	0.015	0.175
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	genus				0.686	2.09	7.404	3.335	0.051	0.961	6.191	4.661	0.153	0.0	0.352	1.635	1.051	0.195	3.139	0.02	1.604	0.269	2.318	0.233	3.014	2.407	0.075	0.221	7.667	0.0	2.516	0.287	4.479	1.371	0.528	6.772	4.914	3.947	2.67	3.633	0.113	0.866	1.247	1.699	0.112	0.13	0.109	2.666	0.4	2.672	2.583	5.68	12.639	2.691	10.425	0.266	8.092	2.936	2.423	0.079	2.173	1.965	1.402	4.002	0.0	0.394	0.0	0.903	2.219	2.254	6.565	0.0	4.368	0.366	1.533	0.043	6.395	1.206	2.455	4.706	0.73	5.526	1.427	0.571	0.145	10.723	0.227	0.257	6.591	0.037	0.884	3.594	0.408	0.374	1.469	1.12	1.556	2.049	0.885	0.0	0.087	6.491	0.011	7.907	1.621	9.86	0.021	0.107	2.167	2.819	1.892	1.4	2.422	0.026	0.077	3.148	0.133	0.225	0.013	2.613	0.396	4.904	0.231	0.257	2.209	2.973	6.554	22.96	4.412	2.968	0.353	1.0	6.248	5.509	0.0	0.998	5.883	0.857	2.737	1.295	0.058	4.199	1.142	0.009	6.527	0.535	2.355	0.644	0.846	3.83	3.354	3.827	2.352	4.158	3.428
