Taxonomy	Rank	HMT	Notes	Max	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	LAF-mean	LAF-10p	LAF-90p	LAF-sd	LAF-prev	LRC-mean	LRC-10p	LRC-90p	LRC-sd	LRC-prev	MVA-mean	MVA-10p	MVA-90p	MVA-sd	MVA-prev	PFO-mean	PFO-10p	PFO-90p	PFO-sd	PFO-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	RAF-mean	RAF-10p	RAF-90p	RAF-sd	RAF-prev	RRC-mean	RRC-10p	RRC-90p	RRC-sd	RRC-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Bacteroidota;Bacteroidia	klass			17.885	9.336	0.147	27.432	10.786	97.902	0.455	0.0	1.167	1.216	70.333	4.555	0.534	10.164	4.773	98.63	11.253	3.393	18.625	6.11	100.0	0.61	0.0	1.548	1.476	62.644	0.234	0.0	0.392	1.069	55.172	0.779	0.0	0.699	3.85	44.595	0.591	0.0	0.163	3.459	34.211	17.761	7.196	28.897	8.343	100.0	0.76	0.0	1.874	1.639	64.516	0.088	0.0	0.149	0.512	45.042	17.012	8.281	27.295	8.341	99.231	0.022	0.0	0.0	0.271	0.654	9.823	0.726	20.496	8.091	100.0	4.622	0.203	10.539	4.738	98.013	17.885	7.246	28.766	8.337	99.702	13.647	6.006	21.184	5.835	100.0	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacteroidota;Flavobacteriia	klass			10.791	2.03	0.23	4.831	2.291	97.902	0.047	0.0	0.145	0.106	39.333	1.789	0.202	3.636	2.011	96.575	0.518	0.04	1.202	0.507	92.617	0.267	0.0	0.704	0.945	39.655	0.145	0.0	0.138	0.814	39.943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.005	0.085	5.606	2.849	97.333	0.333	0.0	0.712	1.21	40.553	0.101	0.0	0.125	0.572	34.561	1.985	0.341	4.559	1.776	93.846	0.0	0.0	0.0	0.0	0.0	9.32	2.178	16.115	6.069	99.338	10.791	3.294	17.472	6.73	100.0	1.283	0.022	3.442	2.223	93.75	0.823	0.014	2.857	1.325	93.548	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli	klass			91.317	60.192	36.327	85.07	19.046	100.0	23.7	6.099	44.707	16.952	100.0	62.79	40.678	86.083	16.691	100.0	52.162	25.831	80.032	18.643	100.0	21.152	2.791	48.491	21.245	99.425	22.25	2.081	55.028	21.142	99.713	88.518	72.94	99.492	20.434	100.0	91.317	77.568	99.917	21.187	100.0	24.476	7.461	51.945	17.616	100.0	20.534	2.622	52.703	21.328	99.539	21.934	2.063	55.053	21.685	99.717	17.975	4.69	31.032	11.288	99.231	21.149	3.314	43.69	16.734	100.0	15.552	5.257	28.965	12.026	100.0	17.533	6.998	28.584	9.321	100.0	26.373	8.426	50.736	17.068	100.0	22.309	8.793	39.788	11.727	100.0	82.978	45.132	98.997	24.118	100.0
Bacteria;Bacillota;Clostridia	klass			6.192	0.198	0.0	0.566	0.373	72.727	2.896	0.022	7.422	3.462	92.667	0.681	0.037	1.583	0.927	93.151	2.738	0.359	5.661	2.295	99.329	0.776	0.0	1.769	2.955	69.54	1.745	0.0	5.385	5.151	75.0	1.822	0.0	2.336	7.746	77.027	1.213	0.0	0.98	7.202	32.895	5.375	1.498	9.179	3.299	100.0	0.946	0.0	2.395	1.964	69.124	2.136	0.0	5.49	6.419	66.856	6.192	1.498	11.604	4.83	96.923	1.113	0.0	3.703	2.515	50.327	1.511	0.158	3.396	1.339	97.351	0.607	0.019	1.565	0.769	94.702	5.531	1.6	10.264	3.518	99.107	4.768	1.058	9.043	3.241	100.0	2.231	0.0	6.391	6.046	87.324
Bacteria;Bacillota;Negativicutes	klass			15.503	5.877	0.271	16.269	6.403	99.301	0.272	0.0	0.724	0.652	70.667	4.411	0.712	8.738	4.357	100.0	7.113	2.044	14.239	4.631	100.0	0.609	0.0	1.919	1.096	68.966	0.184	0.0	0.252	0.842	53.736	1.019	0.0	0.845	3.585	45.946	1.127	0.0	0.908	4.132	28.947	11.386	4.371	18.763	6.217	100.0	0.74	0.0	1.763	1.503	66.359	0.107	0.0	0.24	0.384	46.742	15.503	5.648	27.341	8.22	99.231	1.337	0.0	2.474	5.529	34.641	6.103	1.185	13.955	5.571	100.0	4.89	0.484	9.65	4.764	99.338	11.742	4.329	19.493	6.035	99.702	12.143	6.506	18.125	4.79	100.0	1.339	0.0	3.899	3.962	47.887
Bacteria;Fusobacteriota;Fusobacteriia	klass			13.722	3.116	0.068	8.514	4.668	97.203	0.182	0.0	0.383	0.711	59.0	3.553	0.475	7.568	3.578	99.315	4.39	0.597	9.752	4.078	99.329	0.697	0.0	1.487	2.398	59.77	0.295	0.0	0.293	1.52	49.713	0.398	0.0	0.092	2.223	16.216	0.398	0.0	0.028	2.77	11.842	13.722	2.843	24.564	8.627	100.0	0.688	0.0	1.637	1.754	56.682	0.119	0.0	0.154	0.605	41.36	5.054	1.136	11.447	3.899	97.692	0.003	0.0	0.0	0.035	1.307	12.117	1.996	23.783	8.425	99.338	8.175	0.817	19.119	7.227	99.338	10.424	2.139	21.74	8.453	99.405	9.221	0.865	19.736	7.427	100.0	0.497	0.0	0.066	2.452	23.944
Bacteria;Pseudomonadota;Alphaproteobacteria	klass			1.283	0.029	0.0	0.0	0.296	6.294	0.111	0.0	0.182	0.496	48.333	0.038	0.0	0.004	0.394	10.274	0.007	0.0	0.001	0.034	10.067	1.283	0.0	3.341	2.704	82.759	0.121	0.0	0.23	0.622	52.011	0.034	0.0	0.042	0.113	24.324	0.003	0.0	0.0	0.011	7.895	0.0	0.0	0.0	0.0	0.0	0.943	0.0	2.354	2.145	69.124	0.163	0.0	0.208	0.69	50.992	0.134	0.0	0.103	0.816	23.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.029	0.225	14.286	0.0	0.0	0.0	0.0	0.0	0.028	0.0	0.101	0.063	32.394
Bacteria;Pseudomonadota;Betaproteobacteria	klass			13.937	3.902	0.054	11.075	5.84	98.601	5.031	0.042	13.474	9.134	96.667	5.447	0.492	12.891	5.531	98.63	6.064	0.548	14.053	6.51	99.329	4.186	0.18	10.453	7.153	97.126	1.928	0.0	2.183	8.961	85.345	0.133	0.0	0.136	0.661	31.081	0.009	0.0	0.012	0.046	11.842	6.677	0.223	19.318	9.007	99.333	3.675	0.105	8.27	7.38	94.009	2.495	0.0	3.539	10.071	87.819	6.988	0.865	15.123	7.26	99.231	0.0	0.0	0.0	0.0	0.0	11.369	1.688	23.019	9.218	100.0	13.937	4.49	26.951	10.259	99.338	7.828	0.255	21.452	11.459	99.405	9.174	0.124	24.441	9.778	99.355	0.455	0.0	0.171	2.413	46.479
Bacteria;Pseudomonadota;Epsilonproteobacteria	klass			5.734	1.728	0.011	4.079	3.479	90.909	0.327	0.0	0.366	2.362	21.333	0.424	0.012	0.943	0.511	91.096	1.145	0.11	2.611	1.306	96.644	0.105	0.0	0.308	0.457	24.138	0.082	0.0	0.04	0.458	18.103	0.077	0.0	0.042	0.33	18.919	0.032	0.0	0.012	0.179	13.158	3.5	0.686	7.041	3.156	100.0	0.186	0.0	0.099	1.416	17.051	0.052	0.0	0.0	0.45	9.915	5.734	1.134	10.333	4.576	96.923	0.0	0.0	0.0	0.0	0.0	2.494	0.416	5.116	2.095	99.338	1.906	0.083	5.193	2.199	98.675	2.536	0.402	5.468	2.293	98.214	3.154	0.666	6.125	2.846	100.0	0.231	0.0	0.187	1.018	30.986
Bacteria;Pseudomonadota;Gammaproteobacteria	klass			6.711	6.711	0.217	16.8	7.138	99.301	1.412	0.0	2.059	5.705	76.0	3.86	0.224	9.194	4.628	97.945	1.952	0.129	4.769	2.297	97.987	0.979	0.0	1.928	2.464	86.782	0.125	0.0	0.261	0.413	57.184	0.222	0.0	0.722	0.498	47.297	0.054	0.0	0.154	0.169	26.316	1.573	0.025	3.879	2.519	95.333	0.865	0.004	1.918	2.125	89.862	0.13	0.0	0.281	0.487	58.64	2.523	0.07	6.447	4.267	95.385	0.0	0.0	0.0	0.0	0.0	1.2	0.061	2.613	1.915	96.689	1.775	0.052	3.629	4.044	98.675	2.253	0.066	4.118	6.541	97.321	1.854	0.029	5.164	3.554	96.129	0.469	0.0	1.427	1.331	49.296
Bacteria;Patescibacteria;Saccharimonadia	klass			9.474	0.536	0.0	1.162	1.679	70.629	0.019	0.0	0.031	0.103	18.333	0.455	0.0	0.879	1.012	85.616	0.686	0.0	1.604	0.812	89.262	0.132	0.0	0.166	0.664	23.563	0.044	0.0	0.028	0.255	21.264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.663	0.135	3.651	2.321	98.667	0.035	0.0	0.043	0.181	14.286	0.027	0.0	0.01	0.21	11.331	9.474	0.834	22.106	10.101	98.462	0.0	0.0	0.0	0.0	0.0	2.663	0.079	6.18	3.88	97.351	1.952	0.02	5.293	2.458	91.391	1.482	0.072	3.322	1.703	94.643	1.688	0.046	4.325	2.088	96.774	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes	klass			0.147	0.002	0.0	0.0	0.013	3.497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.0	0.284	0.485	49.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.221	0.309	35.385	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.116	0.139	28.477	0.042	0.0	0.009	0.415	11.258	0.029	0.0	0.062	0.118	23.512	0.005	0.0	0.014	0.02	15.484	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			10.887	1.467	0.019	4.563	2.303	94.406	0.182	0.0	0.444	0.38	66.333	3.188	0.193	7.788	3.904	95.89	4.506	0.857	9.49	4.248	97.315	0.418	0.0	1.309	0.922	54.598	0.135	0.0	0.218	0.657	47.989	0.069	0.0	0.0	0.569	9.459	0.149	0.0	0.0	1.29	7.895	5.679	0.629	13.357	4.964	95.333	0.489	0.0	1.411	1.055	60.369	0.103	0.0	0.174	0.384	36.261	2.799	0.519	7.122	2.865	96.923	0.0	0.0	0.0	0.0	0.0	10.438	1.801	21.329	9.547	96.026	10.887	2.288	23.374	8.807	96.689	6.637	1.356	14.435	5.502	99.405	9.826	2.354	18.437	7.181	98.71	0.11	0.0	0.011	0.871	14.085
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			38.295	0.415	0.0	0.602	1.946	42.657	38.295	8.979	69.009	22.429	99.0	0.23	0.0	0.474	0.435	84.247	0.151	0.0	0.247	0.546	75.168	7.135	0.231	14.611	8.901	93.103	7.715	0.22	24.069	12.871	96.839	0.065	0.0	0.076	0.294	37.838	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.032	0.411	34.667	8.707	0.4	20.459	10.196	96.774	6.496	0.126	16.43	12.336	96.601	0.095	0.0	0.194	0.216	60.0	0.0	0.0	0.0	0.0	0.0	5.894	0.29	13.643	5.593	94.702	8.518	0.638	16.837	6.528	96.026	0.134	0.0	0.169	0.846	47.917	0.0	0.0	0.0	0.0	0.0	0.121	0.0	0.301	0.247	67.606
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			8.24	0.882	0.001	2.927	1.78	89.51	0.227	0.0	0.472	0.625	70.333	5.297	0.466	13.902	7.032	96.575	4.56	0.512	9.135	5.085	97.315	1.22	0.0	3.492	1.993	81.609	0.162	0.0	0.35	0.516	66.667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.515	0.087	3.782	2.063	94.0	1.084	0.0	2.639	1.931	79.724	0.169	0.0	0.279	1.039	56.374	2.033	0.037	4.453	3.116	90.769	0.0	0.0	0.0	0.0	0.0	5.808	0.354	13.636	5.99	95.364	8.24	1.026	17.695	8.783	96.026	1.857	0.136	4.32	2.147	96.726	4.098	0.232	10.543	5.051	96.129	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			62.973	0.062	0.0	0.1	0.253	41.259	23.564	6.702	45.626	16.103	99.0	0.292	0.0	0.218	1.657	56.164	0.169	0.0	0.244	0.631	53.691	41.907	6.371	78.751	26.648	99.425	61.877	12.41	94.409	29.737	100.0	0.046	0.0	0.147	0.094	56.757	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.053	0.152	27.333	43.875	6.305	82.503	27.712	100.0	62.973	17.542	94.975	28.839	100.0	0.604	0.0	0.609	3.196	60.769	0.0	0.0	0.0	0.0	0.0	1.083	0.024	2.891	1.812	94.04	0.889	0.014	2.253	1.422	92.715	0.226	0.0	0.286	1.013	43.155	0.015	0.0	0.032	0.064	23.226	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.942	0.018	0.0	0.039	0.058	24.476	0.009	0.0	0.01	0.042	11.0	0.071	0.0	0.144	0.144	63.699	0.413	0.0	1.086	0.587	83.221	0.094	0.0	0.133	0.449	19.54	0.011	0.0	0.018	0.048	13.506	0.881	0.0	0.623	3.617	27.027	0.93	0.0	0.03	5.467	11.842	0.49	0.012	1.035	0.744	90.667	0.071	0.0	0.081	0.347	14.286	0.019	0.0	0.008	0.136	10.765	0.603	0.0	1.436	0.748	79.231	0.0	0.0	0.0	0.0	0.0	0.124	0.0	0.238	0.364	63.576	0.019	0.0	0.063	0.039	38.411	0.647	0.0	1.56	0.712	87.5	0.825	0.03	2.08	0.953	95.484	0.942	0.0	1.646	3.579	36.62
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			17.885	9.336	0.147	27.432	10.786	97.902	0.455	0.0	1.167	1.216	70.333	4.555	0.534	10.164	4.773	98.63	11.253	3.393	18.625	6.11	100.0	0.61	0.0	1.548	1.476	62.644	0.234	0.0	0.392	1.069	55.172	0.779	0.0	0.699	3.85	44.595	0.591	0.0	0.163	3.459	34.211	17.761	7.196	28.897	8.343	100.0	0.76	0.0	1.874	1.639	64.516	0.088	0.0	0.149	0.512	45.042	17.012	8.281	27.295	8.341	99.231	0.022	0.0	0.0	0.271	0.654	9.823	0.726	20.496	8.091	100.0	4.622	0.203	10.539	4.738	98.013	17.885	7.246	28.766	8.337	99.702	13.647	6.006	21.184	5.835	100.0	0.846	0.0	1.142	3.173	59.155
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			10.791	2.03	0.23	4.831	2.291	97.902	0.047	0.0	0.145	0.106	39.333	1.789	0.202	3.636	2.011	96.575	0.518	0.04	1.202	0.507	92.617	0.267	0.0	0.704	0.945	39.655	0.145	0.0	0.138	0.814	39.943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.005	0.085	5.606	2.849	97.333	0.333	0.0	0.712	1.21	40.553	0.101	0.0	0.125	0.572	34.561	1.985	0.341	4.559	1.776	93.846	0.0	0.0	0.0	0.0	0.0	9.32	2.178	16.115	6.069	99.338	10.791	3.294	17.472	6.73	100.0	1.283	0.022	3.442	2.223	93.75	0.823	0.014	2.857	1.325	93.548	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Caryophanales	order			20.843	5.396	0.744	10.389	4.438	100.0	16.21	2.7	35.069	14.771	99.333	8.266	1.664	15.904	6.978	97.945	4.699	1.015	10.04	4.577	97.987	12.831	0.608	39.843	19.267	97.126	20.843	1.583	52.763	20.711	99.138	0.153	0.0	0.118	0.638	59.459	0.0	0.0	0.0	0.0	0.0	1.838	0.177	3.626	2.303	99.333	12.853	0.603	44.719	21.193	97.235	20.553	1.557	53.97	21.246	99.717	1.236	0.098	2.162	2.742	92.308	0.0	0.0	0.0	0.0	0.0	0.749	0.064	1.632	1.456	95.364	0.517	0.023	1.019	0.842	94.702	1.905	0.134	4.266	2.721	97.321	0.855	0.11	2.19	0.872	99.355	0.094	0.0	0.274	0.165	66.197
Bacteria;Bacillota;Bacilli;Lactobacillales	order			91.317	54.796	30.447	77.612	18.62	100.0	7.49	0.262	20.706	10.972	99.0	54.523	35.846	75.297	15.333	100.0	47.463	24.515	71.061	16.839	100.0	8.321	0.698	18.311	12.09	97.701	1.407	0.024	4.202	2.517	94.253	88.365	72.931	99.367	20.48	100.0	91.317	77.568	99.917	21.187	100.0	22.638	6.857	45.117	16.214	100.0	7.681	0.665	18.117	7.749	98.157	1.381	0.017	2.945	3.665	92.068	16.739	4.073	29.714	10.75	99.231	21.149	3.314	43.69	16.734	100.0	14.803	5.128	27.978	11.145	100.0	17.016	6.552	28.49	9.023	100.0	24.468	7.9	47.187	15.715	100.0	21.454	8.579	39.099	11.457	100.0	82.883	45.132	98.988	24.104	100.0
Bacteria;Bacillota;Clostridia;Lachnospirales	order			4.359	0.185	0.0	0.515	0.363	72.727	0.028	0.0	0.015	0.237	14.0	0.578	0.026	1.33	0.794	92.466	2.034	0.284	4.207	1.859	99.329	0.165	0.0	0.288	0.561	28.161	0.097	0.0	0.05	1.298	24.425	1.238	0.0	0.069	7.699	25.676	0.99	0.0	0.066	7.131	19.737	3.858	0.996	7.047	2.533	100.0	0.222	0.0	0.403	0.751	35.484	0.016	0.0	0.002	0.13	10.198	3.791	0.707	8.558	4.016	95.385	0.0	0.0	0.0	0.0	0.0	0.669	0.034	1.388	0.725	95.364	0.396	0.011	1.154	0.558	91.391	4.359	1.164	8.74	2.995	98.81	4.04	1.004	7.711	2.851	100.0	0.998	0.0	0.22	5.442	32.394
