Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	STO-mean	STO-10p	STO-90p	STO-sd	STO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev
Bacteria;Bacillota;Bacilli	klass			60.702	60.702	36.215	82.701	17.407	100.0	47.939	25.324	73.18	17.958	100.0	52.471	28.501	77.575	18.448	100.0	27.554	8.234	53.503	17.712	100.0	0.036	0.0	0.11	0.068	48.252	12.519	2.71	28.058	9.826	100.0	16.575	5.627	32.969	11.159	100.0	16.165	6.471	27.556	8.657	100.0	25.125	8.144	46.085	15.082	100.0	30.848	8.454	59.306	18.859	100.0
Bacteria;Actinomycetota;Actinomycetes	klass			21.926	2.932	0.294	7.308	3.867	99.324	4.422	1.125	8.791	3.805	100.0	0.858	0.0	2.223	3.176	76.351	3.678	0.535	7.645	3.794	100.0	0.007	0.0	0.015	0.026	16.084	15.317	3.501	29.516	11.166	100.0	21.926	7.799	36.925	11.826	100.0	2.754	0.659	5.476	2.504	100.0	6.588	1.329	14.381	5.355	100.0	4.346	1.178	7.895	3.487	99.324
Bacteria;Bacillota;Clostridia	klass			7.337	1.14	0.082	2.491	1.36	98.649	3.362	0.929	6.828	2.608	100.0	0.234	0.0	0.64	0.525	70.946	5.795	1.767	11.139	3.809	100.0	0.002	0.0	0.0	0.009	5.594	2.431	0.596	4.468	1.581	100.0	1.513	0.171	3.275	1.524	96.622	7.337	2.308	13.878	5.526	100.0	5.357	1.479	10.691	4.074	100.0	6.531	1.659	12.461	4.378	100.0
Bacteria;Bacillota;Negativicutes	klass			15.936	3.448	0.588	7.675	3.028	100.0	6.536	1.859	12.784	4.387	100.0	5.072	0.254	12.951	5.505	99.324	8.64	2.836	15.959	5.036	100.0	0.683	0.0	2.625	1.42	56.643	7.057	1.725	15.012	5.96	100.0	5.946	1.37	10.794	4.605	100.0	15.936	5.868	25.188	7.661	100.0	10.773	4.036	17.921	5.398	100.0	9.929	3.603	16.402	5.703	100.0
Bacteria;Fusobacteriota;Fusobacteriia	klass			18.243	4.023	0.634	7.898	3.546	100.0	4.958	0.994	10.12	4.178	100.0	2.488	0.063	6.443	3.648	97.297	15.425	4.645	27.985	8.642	100.0	0.002	0.0	0.0	0.006	6.993	18.243	5.243	30.312	9.403	100.0	13.425	1.873	24.934	8.963	100.0	8.284	2.191	14.896	4.817	100.0	11.811	1.891	24.711	8.85	100.0	11.393	2.387	23.445	8.271	100.0
Bacteria;Bacteroidota;Flavobacteriia	klass			9.325	1.347	0.176	2.622	2.822	100.0	0.466	0.059	0.926	0.581	95.946	0.611	0.0	1.357	1.245	84.459	1.616	0.041	4.755	2.642	93.919	0.001	0.0	0.0	0.007	2.098	7.257	1.148	14.008	5.151	99.324	9.325	3.004	16.098	4.933	100.0	1.83	0.462	3.703	1.335	100.0	0.657	0.0	1.546	1.217	88.514	1.136	0.031	2.634	2.266	91.216
Bacteria;Bacteroidota;Bacteroidia	klass			24.6	7.901	1.467	18.113	6.688	100.0	14.029	4.69	25.07	7.981	100.0	12.923	0.138	33.34	13.59	98.649	20.4	8.085	36.285	11.244	100.0	0.004	0.0	0.014	0.013	14.685	17.862	2.861	33.57	12.009	100.0	9.348	1.317	17.087	7.206	100.0	24.6	12.778	36.505	9.455	100.0	18.088	7.304	28.893	8.377	100.0	20.59	8.948	34.671	10.081	100.0
Bacteria;Actinomycetota;Coriobacteriia	klass			0.637	0.083	0.0	0.23	0.142	62.838	0.384	0.0	0.914	0.482	87.162	0.015	0.0	0.032	0.059	14.865	0.406	0.0	0.901	0.692	84.459	0.001	0.0	0.0	0.004	2.098	0.134	0.0	0.289	0.389	50.676	0.038	0.0	0.108	0.094	36.486	0.522	0.055	1.158	0.545	94.595	0.637	0.021	1.504	0.716	90.541	0.592	0.051	1.541	0.593	94.595
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales	order			10.396	3.641	0.387	8.005	3.979	99.324	7.064	0.538	19.491	7.434	99.324	2.211	0.0	7.182	4.496	87.838	5.388	0.159	15.53	6.26	96.622	0.001	0.0	0.0	0.003	2.797	5.479	0.737	12.84	5.958	99.324	8.52	2.092	18.603	6.92	100.0	6.466	0.827	14.321	6.191	99.324	10.396	0.285	27.172	11.402	98.649	5.577	0.13	14.128	7.169	98.649
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales	order			3.215	0.633	0.0	1.277	1.352	85.135	0.327	0.0	0.843	0.626	82.432	0.064	0.0	0.123	0.283	35.135	0.155	0.0	0.473	0.365	60.135	0.001	0.0	0.0	0.006	1.399	2.221	0.0	6.06	3.559	88.514	3.215	0.063	6.825	4.592	95.27	1.289	0.029	3.238	1.695	91.216	0.061	0.0	0.13	0.163	45.946	0.331	0.0	0.485	1.308	65.541
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales	order			3.632	0.145	0.0	0.431	0.456	55.405	0.057	0.0	0.141	0.143	41.892	0.016	0.0	0.016	0.104	12.162	0.689	0.0	1.766	1.867	72.297	0.0	0.0	0.0	0.0	0.0	3.632	0.0	10.365	6.341	85.135	1.061	0.0	2.388	2.611	72.973	0.497	0.0	1.181	1.019	79.73	0.05	0.0	0.183	0.125	40.541	0.23	0.0	0.45	0.804	64.189
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales	order			22.231	13.284	4.164	24.715	8.866	100.0	8.966	2.535	16.027	5.914	100.0	22.231	7.889	38.428	11.515	100.0	8.72	1.063	17.545	7.267	100.0	0.055	0.0	0.154	0.201	30.769	5.072	0.492	11.754	5.377	99.324	7.287	1.204	16.768	6.649	100.0	10.898	4.075	19.89	6.756	100.0	9.591	1.332	20.765	7.277	100.0	6.015	0.838	12.953	5.311	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales	order			2.339	0.223	0.0	0.648	0.341	68.243	0.394	0.0	1.008	0.49	77.703	0.565	0.0	1.573	1.362	61.486	0.886	0.0	2.241	1.133	82.432	0.001	0.0	0.0	0.004	2.797	1.041	0.0	2.507	1.053	87.162	0.882	0.0	2.489	1.146	81.757	2.339	0.0	6.314	2.671	87.162	0.77	0.0	1.684	1.052	78.378	0.936	0.0	2.421	1.104	84.459
Bacteria;Bacillota;Bacilli;Caryophanales	order			5.281	5.281	0.7	12.147	5.352	99.324	2.482	0.514	4.87	2.741	99.324	2.642	0.285	5.737	2.665	99.324	1.545	0.162	3.208	2.019	97.973	0.0	0.0	0.0	0.002	1.399	0.455	0.029	0.823	0.797	90.541	0.454	0.023	0.774	0.918	90.541	0.615	0.129	1.201	0.48	96.622	0.71	0.063	1.507	0.734	97.297	1.797	0.159	4.635	2.028	97.297
Bacteria;Bacillota;Bacilli;Lactobacillales	order			55.42	55.42	32.4	76.908	16.587	100.0	45.457	24.466	71.738	17.211	100.0	49.829	25.032	74.295	18.637	100.0	26.01	7.767	50.706	16.923	100.0	0.036	0.0	0.11	0.068	47.552	12.064	2.64	27.53	9.427	100.0	16.121	5.492	32.217	10.727	100.0	15.551	6.105	26.517	8.447	100.0	24.415	7.919	45.861	14.859	100.0	29.052	8.028	55.588	17.868	100.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales	order			13.318	0.383	0.0	0.94	0.932	82.432	0.42	0.0	0.563	1.55	81.081	0.285	0.0	0.204	2.322	35.811	0.179	0.0	0.198	1.085	54.73	0.001	0.0	0.0	0.006	4.196	8.379	1.337	18.056	7.071	98.649	13.318	2.97	24.22	8.32	99.324	0.231	0.0	0.597	0.363	80.405	0.129	0.0	0.167	0.565	51.351	0.166	0.0	0.364	0.514	64.189
Bacteria;Bacillota;Clostridia;Eubacteriales	order			2.077	0.058	0.0	0.164	0.116	50.676	0.154	0.0	0.379	0.238	71.622	0.005	0.0	0.024	0.015	13.514	0.317	0.0	0.827	0.489	83.784	0.0	0.0	0.0	0.001	0.699	0.145	0.0	0.403	0.232	62.162	0.115	0.0	0.304	0.245	56.081	2.077	0.066	4.406	3.792	93.243	0.208	0.0	0.439	0.408	69.595	0.392	0.0	0.881	0.617	83.108
Bacteria;Bacillota;Clostridia;Lachnospirales	order			5.368	0.907	0.061	2.092	1.163	97.973	2.511	0.676	4.909	2.233	99.324	0.183	0.0	0.493	0.407	66.216	4.49	1.298	9.75	3.455	100.0	0.0	0.0	0.0	0.002	2.098	1.072	0.155	1.991	1.034	97.973	0.961	0.047	2.122	1.199	95.27	4.528	1.375	7.989	3.621	100.0	4.641	1.078	10.005	3.811	100.0	5.368	1.28	10.909	4.012	99.324
Bacteria;Bacillota;Clostridia;Peptostreptococcales	order			0.62	0.107	0.0	0.261	0.192	68.243	0.457	0.032	1.184	0.502	95.27	0.023	0.0	0.073	0.061	26.351	0.574	0.039	1.118	0.746	93.919	0.001	0.0	0.0	0.004	2.098	0.62	0.04	1.323	0.576	95.27	0.293	0.0	0.725	0.389	79.73	0.562	0.042	1.371	0.571	95.946	0.315	0.037	0.726	0.304	93.243	0.546	0.087	1.172	0.58	96.622
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales	order			0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	1.351	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.018	0.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.676	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	6.237	4.73
Bacteria;Bacillota;Clostridia;Tissierellales	order			0.594	0.067	0.0	0.188	0.116	55.405	0.24	0.0	0.669	0.375	68.243	0.023	0.0	0.021	0.124	13.514	0.414	0.0	0.917	0.805	80.405	0.001	0.0	0.0	0.006	2.098	0.594	0.0	1.501	0.678	87.838	0.143	0.0	0.358	0.195	68.919	0.171	0.0	0.45	0.208	75.676	0.193	0.0	0.526	0.343	56.757	0.225	0.0	0.512	0.475	72.297
Bacteria;Bacillota;Negativicutes;Veillonellales	order			12.645	3.26	0.523	7.414	2.895	100.0	6.277	1.673	12.258	4.22	100.0	4.841	0.254	12.734	5.403	98.649	7.732	2.569	13.736	4.645	100.0	0.683	0.0	2.625	1.419	56.643	4.53	0.481	10.846	5.659	99.324	3.952	0.46	8.684	4.362	100.0	12.645	4.436	21.086	6.429	100.0	10.529	4.036	17.238	5.274	100.0	8.904	3.18	15.095	5.239	100.0
Bacteria;Bacillota;Negativicutes;Selenomonadales	order			3.291	0.187	0.0	0.58	0.279	76.351	0.259	0.0	0.687	0.326	85.135	0.231	0.0	0.423	0.86	41.892	0.908	0.014	2.669	1.663	90.541	0.0	0.0	0.0	0.003	0.699	2.527	0.091	5.444	2.44	97.973	1.994	0.048	5.488	2.139	93.919	3.291	0.28	8.998	4.078	99.324	0.244	0.0	0.675	0.375	76.351	1.024	0.035	2.741	1.407	95.27
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales	order			5.121	1.312	0.07	3.435	1.888	95.27	2.783	0.614	6.453	2.624	100.0	0.355	0.0	0.998	0.961	64.189	3.021	0.359	7.092	3.255	99.324	0.002	0.0	0.0	0.01	8.392	4.048	0.393	11.31	5.687	100.0	4.256	0.741	9.029	5.019	100.0	1.729	0.383	4.016	1.847	100.0	5.121	0.898	12.698	4.832	100.0	3.613	0.677	7.33	3.169	99.324
Bacteria;Actinomycetota;Actinomycetes;Micrococcales	order			3.708	1.203	0.026	2.862	2.365	91.216	1.162	0.028	2.875	1.608	93.243	0.195	0.0	0.368	0.68	50.676	0.46	0.0	1.034	0.707	81.081	0.001	0.0	0.0	0.003	2.797	2.299	0.07	5.377	3.818	93.919	3.708	0.304	8.649	5.368	98.649	0.68	0.053	1.684	0.964	94.595	1.331	0.0	3.535	2.087	83.784	0.516	0.0	1.335	0.717	82.432
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales	order			0.645	0.033	0.0	0.086	0.071	44.595	0.056	0.0	0.105	0.159	53.378	0.023	0.0	0.032	0.124	17.568	0.019	0.0	0.064	0.045	29.73	0.003	0.0	0.0	0.021	4.895	0.59	0.0	1.724	0.891	86.486	0.645	0.0	1.555	1.184	87.162	0.113	0.0	0.161	0.632	53.378	0.008	0.0	0.004	0.053	10.811	0.053	0.0	0.126	0.134	43.243
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	order			18.243	4.023	0.634	7.898	3.546	100.0	4.958	0.994	10.12	4.178	100.0	2.488	0.063	6.443	3.648	97.297	15.425	4.645	27.985	8.642	100.0	0.002	0.0	0.0	0.006	6.993	18.243	5.243	30.312	9.403	100.0	13.425	1.873	24.934	8.963	100.0	8.284	2.191	14.896	4.817	100.0	11.811	1.891	24.711	8.85	100.0	11.393	2.387	23.445	8.271	100.0
Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales	order			9.325	1.347	0.176	2.622	2.822	100.0	0.466	0.059	0.926	0.581	95.946	0.611	0.0	1.357	1.245	84.459	1.616	0.041	4.755	2.642	93.919	0.001	0.0	0.0	0.007	2.098	7.257	1.148	14.008	5.151	99.324	9.325	3.004	16.098	4.933	100.0	1.83	0.462	3.703	1.335	100.0	0.657	0.0	1.546	1.217	88.514	1.136	0.031	2.634	2.266	91.216
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales	order			24.6	7.901	1.467	18.113	6.688	100.0	14.029	4.69	25.07	7.981	100.0	12.923	0.138	33.34	13.59	98.649	20.4	8.085	36.285	11.244	100.0	0.004	0.0	0.014	0.013	14.685	17.862	2.861	33.57	12.009	100.0	9.348	1.317	17.087	7.206	100.0	24.6	12.778	36.505	9.455	100.0	18.088	7.304	28.893	8.377	100.0	20.59	8.948	34.671	10.081	100.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales	order			0.304	0.016	0.0	0.036	0.06	20.27	0.004	0.0	0.006	0.016	10.135	0.007	0.0	0.0	0.066	4.73	0.005	0.0	0.0	0.037	6.081	0.0	0.0	0.0	0.0	0.0	0.226	0.0	0.61	0.44	64.189	0.304	0.0	0.865	0.476	67.568	0.012	0.0	0.046	0.03	20.946	0.002	0.0	0.0	0.008	7.432	0.005	0.0	0.0	0.026	8.108
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales	order			0.127	0.016	0.0	0.0	0.182	1.351	0.072	0.0	0.0	0.661	5.405	0.0	0.0	0.0	0.003	0.676	0.002	0.0	0.0	0.013	3.378	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.035	2.703	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.046	2.703	0.0	0.0	0.0	0.003	0.676	0.127	0.0	0.0	1.217	4.054
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales	order			0.637	0.083	0.0	0.23	0.142	62.838	0.384	0.0	0.914	0.482	87.162	0.015	0.0	0.032	0.059	14.865	0.406	0.0	0.901	0.692	84.459	0.001	0.0	0.0	0.004	2.098	0.134	0.0	0.289	0.389	50.676	0.038	0.0	0.108	0.094	36.486	0.522	0.055	1.158	0.545	94.595	0.637	0.021	1.504	0.716	90.541	0.592	0.051	1.541	0.593	94.595
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family			10.396	3.641	0.387	8.005	3.979	99.324	7.064	0.538	19.491	7.434	99.324	2.211	0.0	7.182	4.496	87.838	5.388	0.159	15.53	6.26	96.622	0.001	0.0	0.0	0.003	2.797	5.479	0.737	12.84	5.958	99.324	8.52	2.092	18.603	6.92	100.0	6.466	0.827	14.321	6.191	99.324	10.396	0.285	27.172	11.402	98.649	5.577	0.13	14.128	7.169	98.649
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae	family			3.014	0.598	0.0	1.231	1.313	85.135	0.281	0.0	0.771	0.543	76.351	0.064	0.0	0.123	0.283	33.784	0.153	0.0	0.473	0.363	58.108	0.0	0.0	0.0	0.006	0.699	1.909	0.0	4.99	2.978	87.162	3.014	0.055	6.392	4.547	93.243	1.278	0.018	3.238	1.692	90.541	0.061	0.0	0.13	0.163	45.946	0.181	0.0	0.417	0.49	59.459
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae	family			0.312	0.035	0.0	0.031	0.261	16.892	0.046	0.0	0.049	0.329	23.649	0.001	0.0	0.0	0.006	2.027	0.002	0.0	0.0	0.008	7.432	0.0	0.0	0.0	0.002	0.699	0.312	0.0	0.428	1.782	34.459	0.201	0.0	0.434	0.611	36.486	0.011	0.0	0.053	0.031	15.541	0.0	0.0	0.0	0.002	0.676	0.15	0.0	0.04	1.213	16.216
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family			3.632	0.145	0.0	0.431	0.456	55.405	0.057	0.0	0.141	0.143	41.892	0.016	0.0	0.016	0.104	12.162	0.689	0.0	1.766	1.867	72.297	0.0	0.0	0.0	0.0	0.0	3.632	0.0	10.365	6.341	85.135	1.061	0.0	2.388	2.611	72.973	0.497	0.0	1.181	1.019	79.73	0.05	0.0	0.183	0.125	40.541	0.23	0.0	0.45	0.804	64.189
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family			22.231	13.284	4.164	24.715	8.866	100.0	8.966	2.535	16.027	5.914	100.0	22.231	7.889	38.428	11.515	100.0	8.72	1.063	17.545	7.267	100.0	0.055	0.0	0.154	0.201	30.769	5.072	0.492	11.754	5.377	99.324	7.287	1.204	16.768	6.649	100.0	10.898	4.075	19.89	6.756	100.0	9.591	1.332	20.765	7.277	100.0	6.015	0.838	12.953	5.311	100.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family			2.338	0.22	0.0	0.645	0.339	68.243	0.374	0.0	0.963	0.454	77.027	0.564	0.0	1.573	1.362	61.486	0.886	0.0	2.241	1.133	82.432	0.001	0.0	0.0	0.004	2.797	1.041	0.0	2.507	1.052	87.162	0.88	0.0	2.489	1.143	81.757	2.338	0.0	6.314	2.672	87.162	0.77	0.0	1.684	1.052	78.378	0.933	0.0	2.421	1.104	84.459
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae	family			5.281	5.281	0.7	12.147	5.352	99.324	2.482	0.514	4.87	2.741	99.324	2.642	0.285	5.737	2.665	99.324	1.545	0.162	3.208	2.019	97.973	0.0	0.0	0.0	0.002	1.399	0.455	0.029	0.823	0.797	90.541	0.454	0.023	0.774	0.918	90.541	0.615	0.129	1.201	0.48	96.622	0.71	0.063	1.507	0.734	97.297	1.797	0.159	4.635	2.028	97.297
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae	family			53.562	53.562	30.04	76.145	17.084	100.0	42.633	21.856	69.637	17.323	100.0	47.345	22.592	73.344	19.781	100.0	24.424	7.022	48.023	16.421	100.0	0.032	0.0	0.109	0.06	44.755	11.343	2.278	25.949	8.898	100.0	15.133	5.085	28.608	10.212	100.0	13.836	5.751	23.509	7.785	100.0	21.267	6.729	40.401	13.652	100.0	27.269	7.213	52.137	17.66	100.0
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae	family			13.318	0.383	0.0	0.94	0.932	82.432	0.42	0.0	0.563	1.55	81.081	0.285	0.0	0.204	2.322	35.811	0.179	0.0	0.198	1.085	54.73	0.001	0.0	0.0	0.006	4.196	8.379	1.337	18.056	7.071	98.649	13.318	2.97	24.22	8.32	99.324	0.231	0.0	0.597	0.363	80.405	0.129	0.0	0.167	0.565	51.351	0.166	0.0	0.364	0.514	64.189
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae	family			2.04	0.042	0.0	0.131	0.099	43.243	0.106	0.0	0.23	0.21	60.135	0.004	0.0	0.003	0.012	10.135	0.248	0.0	0.664	0.473	69.595	0.0	0.0	0.0	0.001	0.699	0.079	0.0	0.242	0.193	38.514	0.092	0.0	0.25	0.238	41.892	2.04	0.052	4.406	3.79	92.568	0.166	0.0	0.369	0.401	60.135	0.337	0.0	0.766	0.605	78.378
Bacteria;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae	family			5.368	0.907	0.061	2.092	1.163	97.973	2.511	0.676	4.909	2.233	99.324	0.183	0.0	0.493	0.407	66.216	4.49	1.298	9.75	3.455	100.0	0.0	0.0	0.0	0.002	2.098	1.072	0.155	1.991	1.034	97.973	0.961	0.047	2.122	1.199	95.27	4.528	1.375	7.989	3.621	100.0	4.641	1.078	10.005	3.811	100.0	5.368	1.28	10.909	4.012	99.324
Bacteria;Bacillota;Clostridia;Peptostreptococcales;Filifactoraceae	family			0.377	0.032	0.0	0.101	0.094	35.135	0.072	0.0	0.177	0.143	52.027	0.009	0.0	0.038	0.026	14.189	0.156	0.0	0.409	0.353	58.784	0.0	0.0	0.0	0.0	0.0	0.377	0.0	0.96	0.456	77.703	0.232	0.0	0.627	0.325	70.27	0.205	0.0	0.503	0.342	68.919	0.052	0.0	0.178	0.107	39.189	0.092	0.0	0.244	0.202	47.297
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	family			0.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	1.351	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.018	0.676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.676	0.0	0.0	0.0	0.0	0.0	0.756	0.0	0.0	6.237	4.73
