Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700014991-SUPP	S700015283-SUPP	S700015659-SUPP	S700016075-SUPP	S700016166-SUPP	S700016331-SUPP	S700016372-SUPP	S700016588-SUPP	S700016646-SUPP	S700016946-SUPP	S700021856-SUPP	S700021910-SUPP	S700023019-SUPP	S700023076-SUPP	S700023206-SUPP	S700023257-SUPP	S700023329-SUPP	S700023416-SUPP	S700023473-SUPP	S700023527-SUPP	S700023574-SUPP	S700023688-SUPP	S700023784-SUPP	S700023841-SUPP	S700023898-SUPP	S700023964-SUPP	S700024021-SUPP	S700024062-SUPP	S700024125-SUPP	S700024183-SUPP	S700024229-SUPP	S700024288-SUPP	S700024336-SUPP	S700024375-SUPP	S700024441-SUPP	S700024488-SUPP	S700024537-SUPP	S700024584-SUPP	S700024633-SUPP	S700024669-SUPP	S700024729-SUPP	S700024786-SUPP	S700024823-SUPP	S700024900-SUPP	S700024944-SUPP	S700024994-SUPP	S700033017-SUPP	S700033176-SUPP	S700033473-SUPP	S700033773-SUPP	S700037070-SUPP	S700037218-SUPP	S700037466-SUPP	S700037578-SUPP	S700038049-SUPP	S700038245-SUPP	S700038382-SUPP	S700038468-SUPP	S700038516-SUPP	S700038564-SUPP	S700038612-SUPP	S700038720-SUPP	S700038779-SUPP	S700095396-SUPP	S700097277-SUPP	S700097337-SUPP	S700097674-SUPP	S700098313-SUPP	S700098978-SUPP	S700099045-SUPP	S700099105-SUPP	S700099633-SUPP	S700099789-SUPP	S700100273-SUPP	S700101681-SUPP	S700102285-SUPP	S700102631-SUPP	S700102948-SUPP	S700103259-SUPP	S700103323-SUPP	S700103464-SUPP	S700103533-SUPP	S700103603-SUPP	S700103690-SUPP	S700105083-SUPP	S700105142-SUPP	S700105199-SUPP	S700105256-SUPP	S700105302-SUPP	S700105390-SUPP	S700105435-SUPP	S700105510-SUPP	S700105608-SUPP	S700105664-SUPP	S700105703-SUPP	S700105826-SUPP	S700105874-SUPP	S700105922-SUPP	S700105954-SUPP	S700106036-SUPP	S700106111-SUPP	S700106378-SUPP	S700106538-SUPP	S700106597-SUPP	S700106633-SUPP	S700106681-SUPP	S700106741-SUPP	S700106855-SUPP	S700106894-SUPP	S700106918-SUPP	S700106964-SUPP	S700106997-SUPP	S700108328-SUPP	S700113005-SUPP	S700113053-SUPP	S700113089-SUPP	S700113136-SUPP	S700113521-SUPP	S700113596-SUPP	S700113634-SUPP	S700113692-SUPP	S700113836-SUPP	S700113950-SUPP	S700114035-SUPP	S700114086-SUPP	S700114143-SUPP	S700114207-SUPP	S700114264-SUPP	S700114405-SUPP	S700114476-SUPP	S700114535-SUPP	S700114576-SUPP	S700114633-SUPP	S700114697-SUPP	S700114745-SUPP	S700114795-SUPP	S700114852-SUPP	S700114900-SUPP	S700114957-SUPP	S700116235-SUPP	S700116322-SUPP	S700116376-SUPP	S700116586-SUPP	S700116637-SUPP	S700116796-SUPP	S700116856-SUPP	S700117018-SUPP	S700117678-SUPP	S700117735-SUPP	S700117846-SUPP	S700117972-SUPP
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae	family				1.836	42.925	2.828	5.011	1.859	0.655	2.995	2.95	8.168	4.657	9.502	3.942	10.561	11.04	18.178	2.417	16.525	7.91	6.438	5.173	6.081	14.486	11.206	14.632	1.048	2.757	10.285	4.919	13.435	3.358	5.025	12.132	8.0	7.518	19.928	23.157	12.842	14.313	6.143	22.774	6.365	25.141	11.57	9.89	22.065	4.947	19.351	6.727	6.007	5.649	24.454	21.171	7.507	20.097	12.096	15.121	7.198	35.191	43.239	20.179	13.186	12.346	1.188	9.647	4.816	7.743	8.089	8.652	4.719	2.383	16.339	6.044	5.182	4.081	9.567	3.317	5.738	3.606	18.216	6.12	3.959	2.969	7.682	7.532	15.652	6.827	4.408	4.948	5.597	0.0	2.167	9.869	12.407	4.468	7.432	4.367	12.514	8.488	23.534	4.997	14.171	22.064	14.092	10.42	2.366	22.612	35.73	3.506	38.397	33.961	8.765	5.29	5.916	6.839	3.312	3.511	3.114	3.268	8.472	6.112	21.911	13.239	9.768	17.946	4.359	9.14	8.041	34.354	17.048	4.648	2.068	9.98	8.477	15.574	10.181	4.316	6.597	4.693	4.401	6.196	7.407	7.474	19.345	6.433	6.357	9.465	4.86	6.836	4.702	14.535	4.525
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae	family				6.165	0.332	5.047	3.793	0.148	3.758	4.072	2.119	2.999	7.181	0.566	0.13	0.064	2.455	0.23	1.431	0.01	0.016	1.373	0.893	0.264	0.502	2.414	0.227	4.17	2.297	1.104	0.027	0.178	0.353	4.593	2.915	0.498	1.649	0.585	1.498	2.26	1.369	0.087	0.439	1.591	0.019	0.155	0.213	0.912	4.018	1.071	1.919	1.274	1.158	0.792	2.484	0.516	0.01	0.2	1.034	0.425	0.083	0.369	0.854	0.366	3.288	0.042	0.915	1.413	0.46	2.623	1.952	5.219	3.301	0.727	0.74	6.445	4.614	6.652	6.815	1.267	0.955	1.286	0.556	5.852	0.72	4.819	9.071	0.235	1.68	0.077	3.23	2.104	11.524	2.39	0.316	1.459	1.022	2.403	2.114	2.513	0.605	9.479	3.944	7.745	0.776	0.629	1.87	3.199	0.865	0.128	6.144	0.665	0.042	0.053	0.444	0.143	0.526	0.382	1.089	2.371	0.016	8.162	0.0	0.176	0.993	0.783	0.364	2.943	5.636	0.608	0.045	0.772	1.331	0.0	1.689	5.193	0.913	0.209	0.072	1.755	0.659	0.539	1.077	0.964	2.094	0.707	2.71	5.742	2.615	0.538	2.5	2.389	1.413	0.581
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae	family				0.085	0.042	0.148	0.151	0.007	0.097	0.223	0.147	0.207	0.088	0.057	0.016	0.091	0.261	0.101	0.905	0.025	0.0	0.129	0.212	0.193	0.017	0.07	0.555	0.121	0.207	0.526	0.162	0.013	0.0	0.171	0.352	0.016	0.145	0.191	0.479	0.242	0.539	0.012	0.166	0.867	0.0	0.095	0.0	0.093	0.276	0.0	0.312	0.209	0.134	0.144	0.0	0.219	0.143	0.637	0.015	0.193	0.077	0.044	0.092	0.102	0.099	0.0	0.056	1.425	0.049	0.198	0.659	0.044	0.765	0.273	0.357	0.565	0.352	0.315	0.44	0.464	0.18	0.027	0.038	0.02	0.182	0.019	0.023	0.02	0.016	0.366	0.019	0.09	0.0	0.0	0.0	0.01	0.021	0.043	0.378	0.179	0.017	0.063	0.044	0.0	0.015	0.276	0.125	0.0	0.0	0.0	0.016	0.0	0.021	0.015	0.014	0.057	0.125	0.109	0.245	0.232	0.291	0.635	0.0	0.427	1.153	0.918	0.094	0.009	0.0	0.584	0.0	0.405	0.415	0.0	0.099	0.093	0.02	0.493	0.007	0.174	0.02	0.0	0.058	0.226	0.451	0.802	0.328	0.225	1.773	0.892	0.617	0.236	0.485	0.205
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae	family				0.345	1.085	0.164	0.234	0.0	0.032	0.458	1.125	0.196	0.802	0.141	0.795	3.262	3.321	2.414	0.594	3.9	0.343	0.072	0.238	3.322	0.719	0.6	0.631	0.287	0.044	1.066	1.765	0.694	1.623	0.091	0.473	0.747	0.053	0.896	1.208	0.993	0.895	0.037	0.475	1.182	1.614	0.429	0.443	0.529	0.025	1.265	0.759	0.828	0.249	0.936	0.497	0.165	5.886	4.888	0.487	0.019	2.101	2.823	1.114	0.041	0.285	0.085	1.858	7.912	24.182	7.538	1.293	3.542	0.022	28.74	0.612	0.229	1.126	3.822	1.679	3.595	0.036	0.761	0.607	0.02	0.334	0.073	0.008	0.071	0.016	1.013	0.61	0.008	0.0	0.0	0.316	0.041	0.227	0.021	0.042	0.042	1.21	0.021	0.445	0.015	0.022	0.408	0.285	0.17	0.022	0.058	0.122	0.038	0.398	0.22	0.029	29.894	1.428	0.995	0.0	0.267	0.146	0.472	0.032	4.254	1.357	1.535	0.176	0.0	0.01	1.263	5.914	0.595	1.348	1.237	0.099	0.466	0.823	0.552	6.29	0.0	3.609	2.574	0.234	2.514	0.613	3.222	1.996	0.029	2.743	1.003	1.069	0.161	0.14	0.273
Bacteria;Candidatus Saccharimonadota;Saccharimonadota [C1];Saccharimonadota [C1 O1];Saccharimonadota [C1 O1 F1]	family				7.454	0.219	4.085	0.179	1.4	6.41	2.934	4.547	1.112	3.767	1.103	0.032	0.0	2.543	1.767	1.404	0.02	0.0	3.262	5.982	0.246	0.937	3.712	1.186	5.241	0.074	3.159	0.027	0.165	0.0	0.534	0.737	0.109	0.712	0.096	0.567	2.962	0.0	2.423	0.036	2.269	0.075	0.071	0.115	0.093	3.315	0.162	4.757	3.209	1.455	0.336	1.771	0.066	0.143	1.315	1.093	11.289	0.006	0.0	5.978	0.406	0.724	1.868	0.42	0.233	0.247	0.176	4.273	4.974	11.213	1.923	5.203	2.654	0.593	3.602	2.418	0.206	3.425	0.009	3.161	2.077	3.902	0.312	2.034	0.082	1.4	0.085	5.399	5.063	0.241	0.0	0.25	0.041	2.342	8.591	0.826	4.922	1.108	5.823	6.628	1.728	1.072	0.143	2.387	0.255	0.298	0.0	8.287	2.964	0.0	2.443	0.0	0.143	0.03	0.763	0.082	2.336	0.0	1.466	5.293	0.02	5.693	2.769	0.0	0.069	1.886	2.692	0.045	5.025	0.38	0.0	0.578	10.503	0.139	0.702	0.101	0.349	0.0	0.045	0.326	1.671	0.035	0.177	3.976	1.66	0.695	8.592	5.602	0.439	3.34	0.034
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae	family				1.159	0.0	3.305	0.0	0.0	3.071	1.461	1.271	0.36	0.029	0.0	0.0	0.0	0.47	0.0	1.094	0.0	0.0	0.057	0.559	0.0	0.0	0.042	0.0	0.508	0.015	0.013	0.0	0.0	0.0	0.068	0.165	0.016	0.026	0.012	0.013	0.597	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.079	1.155	0.016	0.051	0.006	0.278	0.0	0.108	0.0	0.019	0.0	0.0	0.039	0.006	0.015	0.117	0.0	0.074	0.0	0.019	0.025	0.0	0.0	0.739	0.333	1.443	0.03	0.0	0.522	0.163	0.024	1.359	0.01	0.0	0.009	0.0	0.133	0.0	0.031	0.889	0.0	0.0	0.009	0.066	0.099	0.256	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.979	0.0	0.0	0.0	0.908	0.0	0.03	0.0	0.455	0.0	0.0	0.0	0.0	0.0	0.018	0.027	0.014	0.407	0.0	0.049	0.0	0.0	0.234	0.0	0.0	0.249	0.402	0.0	0.0	0.0	0.0	0.0	0.117	0.885	0.02	0.0	0.0	0.012	0.0	0.03	0.008	0.06	0.035	0.014	0.194	0.439	0.351	0.0	0.256	0.011	0.0	0.051
Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae	family				0.007	0.0	0.493	0.0	0.0	0.0	0.05	0.114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.216	0.0	0.0	0.0	0.141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.405	0.0	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.132	0.427	0.0	0.019	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.079	0.244	0.044	0.0	0.0	0.086	0.0	0.0	0.02	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mollicutes [O1];Mollicutes [O1 F1]	family				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota;Mollicutes;Mycoplasmoidales;Metamycoplasmataceae	family				0.065	0.0	0.0	0.0	0.0	0.011	0.099	0.13	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.392	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.776	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.145	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Patescibacteria;Patescibacteria [C1];Absconditabacterales;Absconditicoccaceae;Absconditicoccaceae [G1]	genus				0.0	0.0	0.066	0.0	0.035	0.107	0.223	0.717	0.0	0.068	0.0	0.016	0.0	0.01	0.057	0.041	0.056	0.0	0.0	0.013	0.07	0.0	0.209	0.0	0.154	0.0	0.18	0.0	0.007	0.0	0.0	0.297	0.016	0.013	0.084	1.35	0.178	0.0	0.0	0.036	0.063	0.0	0.0	0.0	0.079	0.0	0.0	0.153	0.023	0.115	0.0	0.065	0.0	0.057	0.4	0.074	0.0	0.0	0.0	0.025	0.061	0.062	0.0	0.0	0.455	0.016	0.0	0.106	0.0	0.087	0.0	0.0	0.09	0.0	0.044	0.44	0.381	0.0	0.136	0.0	2.629	0.0	0.038	0.402	0.0	0.0	0.119	0.085	0.0	0.595	0.0	0.0	0.0	0.227	0.5	0.0	0.547	0.0	0.0	0.652	1.015	0.067	0.022	0.0	0.0	0.999	0.0	0.089	0.009	0.0	0.0	0.0	0.029	0.012	0.0	0.0	0.128	0.0	1.401	0.0	0.0	0.0	0.181	0.0	0.472	0.144	0.024	0.0	0.139	0.0	0.0	0.0	0.862	0.04	0.119	0.0	0.0	0.112	0.0	0.0	0.015	0.0	0.0	0.0	0.02	0.121	0.089	0.0	0.054	0.485	0.0
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Actinomyces	genus				1.1	3.208	5.614	13.816	14.321	5.519	6.857	1.776	3.468	3.004	14.395	16.042	21.852	7.217	12.301	11.396	3.86	30.838	10.2	4.106	10.58	6.44	5.317	17.735	8.462	20.883	6.433	16.119	8.474	4.882	6.924	11.032	10.195	2.981	15.221	10.401	7.313	18.942	17.256	9.891	10.036	9.625	12.522	10.595	3.477	13.712	21.8	4.177	4.298	4.72	8.183	3.003	13.806	4.01	9.134	14.279	11.636	4.771	11.645	10.182	18.224	6.309	30.497	4.128	5.16	1.381	10.778	2.954	6.163	3.978	0.803	3.443	5.813	1.624	2.854	4.097	8.385	3.822	3.431	26.072	0.01	39.505	2.598	0.0	51.371	23.142	10.977	2.085	3.049	0.0	15.602	4.51	5.453	15.354	5.912	26.862	7.382	24.246	11.445	6.48	0.0	0.0	13.871	12.504	3.251	4.654	7.144	2.906	0.019	9.084	19.449	35.78	1.715	17.538	20.979	16.726	13.178	23.374	2.216	17.155	4.186	7.532	13.666	9.978	0.0	0.0	10.232	2.273	4.354	6.445	9.015	15.508	5.892	9.979	23.824	5.526	5.427	4.176	6.9	27.998	5.42	11.188	4.935	26.031	11.688	12.998	13.769	6.746	7.744	4.905	11.202
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Peptidiphaga	genus				0.02	0.0	0.436	0.207	0.0	0.676	0.0	0.212	0.065	0.059	1.018	0.065	0.118	0.726	0.144	0.311	0.01	0.0	2.947	0.0	0.967	17.782	1.144	0.227	0.695	0.667	0.116	0.108	0.284	0.0	0.625	0.418	0.0	0.501	1.685	0.142	0.048	4.615	0.012	0.095	3.75	0.0	0.0	0.377	0.0	0.0	0.065	0.523	0.967	0.182	1.152	3.219	3.018	0.019	0.126	0.044	0.0	0.0	0.059	0.1	5.323	0.0	0.0	0.028	0.074	0.0	0.0	0.264	0.533	0.918	0.0	0.0	0.01	0.653	0.074	0.639	0.031	0.0	0.407	0.051	0.0	0.132	0.0	0.0	0.031	2.893	0.306	0.0	0.041	0.0	0.087	0.0	0.0	1.29	0.117	0.322	0.011	0.043	3.762	0.119	0.0	0.0	0.011	0.018	0.306	0.455	0.661	0.162	0.0	0.0	0.782	4.931	0.314	3.208	0.463	0.0	2.208	0.0	0.0	0.0	0.095	0.963	4.38	0.071	0.0	0.0	0.226	0.0	0.19	0.985	0.0	5.898	1.863	0.03	0.522	0.281	2.24	0.01	0.015	1.027	0.038	3.297	0.0	0.045	0.332	1.084	0.022	1.536	0.364	0.327	2.357
Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia	genus				0.026	0.101	0.107	0.172	0.17	0.161	0.161	0.277	0.022	0.01	0.283	0.211	0.109	0.047	0.244	1.107	0.096	0.0	0.157	0.09	0.158	0.1	0.195	0.101	1.048	0.015	0.167	0.04	0.178	0.141	0.08	0.088	0.296	0.119	0.024	0.148	0.097	0.463	0.074	0.071	0.551	0.113	0.036	0.082	0.568	0.025	0.032	0.013	0.081	0.048	0.192	0.216	0.34	0.095	0.374	0.546	0.0	0.019	0.429	0.218	0.0	0.341	0.0	0.047	0.012	0.033	0.022	0.053	0.056	0.022	0.015	0.0	0.03	0.0	0.0	0.04	0.062	0.036	0.1	0.632	0.041	0.304	0.027	0.023	0.163	0.404	0.043	0.638	0.0	0.0	0.223	0.1	0.362	0.506	0.043	0.308	0.011	0.401	0.074	0.356	0.0	0.0	0.309	0.16	0.017	0.03	0.186	0.17	0.313	0.188	1.176	0.0	0.029	0.137	0.654	0.027	0.36	0.0	0.049	0.063	0.108	0.015	0.045	0.153	0.0	0.0	0.0	0.015	0.025	0.0	0.0	0.009	0.116	0.099	0.045	0.022	0.075	0.051	0.329	0.81	0.068	0.012	0.177	0.715	0.117	0.051	0.479	0.045	0.086	0.076	0.017
Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium	genus				6.25	1.744	16.539	16.383	16.837	24.501	4.951	8.621	18.113	13.14	11.623	9.554	7.263	4.544	4.455	6.684	1.953	7.354	16.538	6.123	6.397	7.494	15.42	10.646	8.451	21.328	3.612	16.995	4.379	0.056	11.733	19.622	10.163	23.82	11.613	2.376	5.013	1.338	0.124	6.566	8.713	0.638	22.271	10.284	0.185	13.737	1.509	15.853	10.339	25.62	3.48	6.243	3.753	0.819	4.578	2.909	9.784	0.205	2.276	10.006	8.391	1.597	3.014	2.988	7.101	0.74	3.923	1.715	7.284	6.907	5.572	7.855	6.272	0.172	12.736	13.349	8.828	10.456	8.393	13.82	3.121	11.919	10.134	0.008	6.587	12.597	23.979	2.732	14.523	0.0	4.965	1.947	17.146	7.11	8.347	18.911	15.985	8.446	5.992	5.768	0.0	0.0	4.646	8.425	19.52	4.385	6.123	8.66	9.594	0.0	1.419	17.575	1.115	5.967	4.975	10.384	5.09	10.984	8.439	16.052	0.982	8.962	3.853	8.72	0.0	0.0	10.566	0.059	9.72	11.077	0.225	8.282	3.889	11.388	16.525	9.225	27.023	8.91	0.554	7.265	10.23	13.572	6.444	8.503	11.2	11.55	7.058	10.134	35.979	12.036	14.02
Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia	genus				0.085	6.707	3.485	2.788	35.018	0.859	2.203	2.722	0.502	2.72	14.338	11.452	13.951	1.076	14.039	14.488	8.526	22.226	4.049	3.611	6.151	8.464	3.684	9.485	0.243	4.847	6.099	17.695	12.437	35.981	4.707	3.751	17.105	0.488	4.528	17.515	5.222	0.844	31.669	8.312	4.585	8.968	4.845	17.517	26.983	14.465	14.096	3.023	2.769	1.723	4.152	0.799	9.581	5.096	3.11	12.064	9.977	12.251	14.142	4.078	4.043	1.412	17.615	21.451	6.057	9.535	4.188	17.832	3.698	1.049	0.439	17.623	4.192	7.897	3.619	1.918	9.765	9.356	4.183	1.353	0.01	11.3	2.259	0.0	1.601	1.337	3.14	7.39	1.027	0.0	3.987	11.516	7.326	15.055	3.413	8.441	2.829	7.636	2.695	2.298	0.0	0.0	5.738	2.975	1.566	5.116	6.935	1.088	1.026	17.143	12.627	2.537	23.121	18.673	7.906	8.547	7.716	22.582	1.792	28.04	10.228	2.146	19.07	1.199	0.0	0.0	6.504	3.938	1.911	5.167	65.715	10.63	1.211	12.866	10.703	23.964	5.775	11.171	23.754	9.778	5.126	5.901	1.387	10.127	5.576	11.059	4.617	1.581	1.05	4.888	13.268
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia	genus				0.156	0.291	0.329	0.392	0.0	0.365	0.805	0.228	1.025	0.01	1.471	0.422	0.21	1.044	0.115	1.08	0.132	0.033	0.801	5.224	3.269	0.117	0.837	8.628	1.18	0.015	0.552	0.067	1.096	0.014	1.216	0.264	0.202	0.369	2.724	0.189	1.84	0.014	0.148	0.0	2.253	0.0	0.369	0.722	0.079	0.552	0.016	2.557	1.894	0.172	0.144	1.728	5.63	1.819	0.894	0.812	1.351	0.602	0.547	0.687	2.194	0.861	0.0	0.009	0.233	0.049	0.0	1.794	0.022	0.328	0.061	0.485	0.618	0.876	0.014	0.879	1.112	0.036	0.009	0.215	1.412	1.642	0.008	0.317	0.031	3.064	0.196	0.376	0.214	0.0	0.0	0.749	0.466	0.671	0.829	0.0	0.473	0.017	0.18	1.275	0.0	0.421	2.748	0.196	0.0	1.141	0.023	0.276	0.076	0.0	0.273	0.014	0.2	0.275	1.131	0.014	0.546	2.637	2.411	0.047	0.135	2.408	1.249	9.754	0.0	0.0	1.072	0.0	1.139	0.311	0.0	5.69	0.442	0.05	3.344	0.0	0.386	0.223	0.12	0.05	0.113	0.0	3.344	1.147	0.117	0.848	1.482	1.686	0.246	0.123	0.529
Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Cutibacterium	genus				0.0	0.629	0.008	0.0	0.092	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.01	0.0	0.014	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.024	0.0	0.022	0.0	0.011	0.0	0.019	0.032	0.0	0.0	0.0	0.019	0.0	0.075	0.0	0.0	0.0	0.026	0.0	0.0	0.015	0.0	0.0	0.009	0.0	0.02	0.0	0.415	0.0	0.0	0.0	0.223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.383	0.444	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.016	0.264	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.104	0.944	0.054	0.0	0.01	0.0	0.216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.007	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella	genus				0.0	0.0	0.016	0.0	0.014	0.064	0.037	0.033	0.011	0.02	0.0	0.0	0.0	0.005	0.0	0.014	0.0	0.0	0.0	0.0	0.018	0.0	0.014	0.0	0.088	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.012	0.0	0.0	0.022	0.011	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	0.066	0.053	0.033	0.066	0.045	0.0	0.047	0.009	0.0	0.12	0.0	0.018	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.093	0.009	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.021	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.232	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.012	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.167	0.015	0.035	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella	genus				0.124	0.0	0.049	0.0	0.0	0.043	0.012	0.033	0.022	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.023	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.016	0.0	0.0	0.0	0.013	0.025	0.049	0.013	0.006	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.03	0.029	0.0	0.0	0.015	0.0	0.0	0.0
